Rk,Name,Age,Tm,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,ERA+,FIP,WHIP,H9,HR9,BB9,SO9,SO/W
1,Don Aase\aasedo01,34,NYM,1,5,.167,3.94,49,0,22,0,0,2,59.1,56,27,26,5,26,3,34,1,1,0,261,83,4.08,1.382,8.5,0.8,3.9,5.2,1.31
2,Jim Acker\ackerji01,30,ATL,0,6,.000,2.67,59,0,23,0,0,2,97.2,84,29,29,5,20,8,68,1,0,2,383,136,2.68,1.065,7.7,0.5,1.8,6.3,3.40
3,Juan Agosto*\agostju01,31,HOU,4,5,.444,2.93,71,0,28,0,0,1,83.0,81,32,27,3,32,10,46,2,1,4,361,117,3.35,1.361,8.8,0.3,3.5,5.0,1.44
4,Rick Aguilera\aguilri01,27,NYM,6,6,.500,2.34,36,0,19,0,0,7,69.1,59,19,18,3,21,3,80,2,3,3,284,140,2.01,1.154,7.7,0.4,2.7,10.4,3.81
5,Jay Aldrich\aldrija01,28,ATL,1,2,.333,2.19,8,0,2,0,0,0,12.1,7,5,3,0,6,1,7,0,0,0,50,170,3.09,1.054,5.1,0.0,4.4,5.1,1.17
6,Jose Alvarez\alvarjo01,33,ATL,3,3,.500,2.86,30,0,12,0,0,2,50.1,44,18,16,4,24,2,45,1,1,2,217,127,3.50,1.351,7.9,0.7,4.3,8.0,1.88
7,Larry Andersen\anderla02,36,HOU,4,4,.500,1.54,60,0,21,0,0,3,87.2,63,19,15,2,24,4,85,0,1,2,351,222,1.94,0.992,6.5,0.2,2.5,8.7,3.54
8,Jack Armstrong\armstja01,24,CIN,2,3,.400,4.64,9,8,1,0,0,0,42.2,40,24,22,5,21,4,23,0,0,0,187,79,4.68,1.430,8.4,1.1,4.4,4.9,1.10
9,Paul Assenmacher*\assenpa01,28,TOT,3,4,.429,3.99,63,0,17,0,0,0,76.2,74,37,34,3,28,8,79,1,1,3,331,92,2.35,1.330,8.7,0.4,3.3,9.3,2.82
10,Paul Assenmacher*\assenpa01,28,ATL,1,3,.250,3.59,49,0,14,0,0,0,57.2,55,26,23,2,16,7,64,1,1,3,247,101,1.88,1.231,8.6,0.3,2.5,10.0,4.00
11,Paul Assenmacher*\assenpa01,28,CHC,2,1,.667,5.21,14,0,3,0,0,0,19.0,19,11,11,1,12,1,15,0,0,0,84,74,3.76,1.632,9.0,0.5,5.7,7.1,1.25
12,Doug Bair\bairdo01,39,PIT,2,3,.400,2.27,44,0,17,0,0,1,67.1,52,19,17,4,28,10,56,0,0,7,276,149,3.12,1.188,7.0,0.5,3.7,7.5,2.00
13,Blaine Beatty*\beattbl01,25,NYM,0,0,,1.50,2,1,0,0,0,0,6.0,5,1,1,1,2,0,3,0,0,0,25,234,4.93,1.167,7.5,1.5,3.0,4.5,1.50
14,Steve Bedrosian\bedrost01,31,TOT,3,7,.300,2.87,68,0,60,0,0,23,84.2,56,31,27,12,39,5,58,1,0,2,342,121,4.65,1.122,6.0,1.3,4.1,6.2,1.49
