Rk,Name,Age,Tm,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB,Pos Summary
1,Don Aase\aasedo01,34,NYM,49,5,5,0,0,0,0,0,0,0,0,0,3,.000,.000,.000,.000,-100,0,0,0,0,0,0,1
2,Shawn Abner\abnersh01,23,SDP,57,108,102,13,18,4,0,2,14,1,0,5,20,.176,.213,.275,.487,38,28,1,0,0,1,2,87/9
3,Jim Acker\ackerji01,30,ATL,59,7,7,0,1,0,0,0,0,0,0,0,2,.143,.143,.143,.286,-18,1,1,0,0,0,0,1
4,Jim Adduci*\adducji01,29,PHI,13,19,19,1,7,1,0,0,0,0,0,0,4,.368,.368,.421,.789,127,8,0,0,0,0,0,/37
5,Juan Agosto*\agostju01,31,HOU,71,5,5,0,1,0,0,0,0,0,0,0,2,.200,.200,.200,.400,17,1,0,0,0,0,0,1
6,Rick Aguilera\aguilri01,27,NYM,36,8,7,1,0,0,0,0,0,0,0,1,2,.000,.125,.000,.125,-60,0,0,0,0,0,0,1
7,Mike Aldrete*\aldremi01,28,MON,76,159,136,12,30,8,1,1,12,1,3,19,30,.221,.316,.316,.633,81,43,4,1,1,2,0,973/8
8,Jay Aldrich\aldrija01,28,ATL,8,1,1,0,0,0,0,0,0,0,0,0,1,.000,.000,.000,.000,-100,0,0,0,0,0,0,/1
9,Roberto Alomar#\alomaro01,21,SDP,158,702,623,82,184,27,1,7,56,42,17,53,76,.295,.347,.376,.723,107,234,10,1,17,8,4,*4
10,Sandy Alomar\alomasa02,23,SDP,7,22,19,1,4,1,0,1,6,0,0,3,3,.211,.318,.421,.739,109,8,1,0,0,0,1,/2
11,Jose Alvarez\alvarjo01,33,ATL,30,5,3,0,0,0,0,0,0,0,0,0,2,.000,.000,.000,.000,-100,0,0,0,2,0,0,1
12,Larry Andersen\anderla02,36,HOU,60,4,3,0,1,0,0,0,0,0,0,0,2,.333,.333,.333,.667,94,1,0,0,1,0,0,1
13,Dave Anderson\anderda02,28,LAD,87,163,140,15,32,2,0,1,14,2,0,17,26,.229,.310,.264,.574,67,37,1,0,5,1,1,65/4
14,Eric Anthony*\anthoer01,21,HOU,25,70,61,7,11,2,0,4,7,0,0,9,16,.180,.286,.410,.696,100,25,1,0,0,0,2,9/7
15,Jack Armstrong\armstja01,24,CIN,10,12,8,0,0,0,0,0,0,0,0,1,5,.000,.111,.000,.111,-66,0,1,0,3,0,0,/1
16,Alan Ashby#\ashbyal01,37,HOU,22,71,61,4,10,1,1,0,3,0,0,7,8,.164,.257,.213,.470,38,13,2,1,1,1,0,2
17,Paul Assenmacher*\assenpa01,28,TOT,63,5,5,0,0,0,0,0,0,0,0,0,2,.000,.000,.000,.000,-100,0,1,0,0,0,0,1
18,Paul Assenmacher*\assenpa01,28,ATL,49,2,2,0,0,0,0,0,0,0,0,0,1,.000,.000,.000,.000,-100,0,1,0,0,0,0,1
19,Paul Assenmacher*\assenpa01,28,CHC,14,3,3,0,0,0,0,0,0,0,0,0,1,.000,.000,.000,.000,-100,0,0,0,0,0,0,1
20,Doug Bair\bairdo01,39,PIT,44,5,5,0,1,1,0,0,0,0,0,0,3,.200,.200,.400,.600,71,2,0,0,0,0,0,1
21,Skeeter Barnes\barnesk01,32,CIN,5,3,3,1,0,0,0,0,0,0,1,0,0,.000,.000,.000,.000,-100,0,0,0,0,0,0,
22,Tom Barrett#\barreto01,29,PHI,14,31,27,3,6,0,0,0,1,0,0,1,7,.222,.250,.222,.472,37,6,0,0,3,0,0,/4
23,Kevin Bass#\basske01,30,HOU,87,348,313,42,94,19,4,5,44,11,4,29,44,.300,.357,.435,.792,129,136,2,1,1,4,3,97
24,Bill Bathe\bathebi01,28,SFG,30,33,32,3,9,1,0,0,6,0,0,0,7,.281,.273,.313,.585,70,10,0,0,0,1,0,/2
25,Bill Bean*\beanbi01,25,LAD,51,76,71,7,14,4,0,0,3,0,2,4,10,.197,.250,.254,.504,45,18,0,1,0,0,0,78/9
26,Blaine Beatty*\beattbl01,25,NYM,2,2,2,0,1,0,0,0,0,0,0,0,0,.500,.500,.500,1.000,194,1,0,0,0,0,0,/1
27,Steve Bedrosian\bedrost01,31,TOT,68,6,6,0,1,0,0,0,0,0,0,0,3,.167,.167,.167,.333,-3,1,0,0,0,0,0,1
28,Steve Bedrosian\bedrost01,31,PHI,28,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,1
29,Steve Bedrosian\bedrost01,31,SFG,40,6,6,0,1,0,0,0,0,0,0,0,3,.167,.167,.167,.333,-3,1,0,0,0,0,0,1
30,Tim Belcher\belchti01,27,LAD,39,83,70,3,7,1,0,0,6,0,0,2,26,.100,.137,.114,.251,-27,8,2,1,10,0,0,1
31,Stan Belinda\belinst01,22,PIT,8,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,/1
32,Jay Bell\bellja01,23,PIT,78,303,271,33,70,13,3,2,27,5,3,19,47,.258,.307,.351,.658,92,95,9,1,10,2,0,6
33,Rafael Belliard\bellira01,27,PIT,67,165,154,10,33,4,0,0,8,5,2,8,22,.214,.253,.240,.493,45,37,1,0,3,0,2,64/5
34,Bruce Benedict\benedbr01,33,ATL,66,186,160,12,31,3,0,1,6,0,0,23,18,.194,.299,.231,.530,53,37,1,1,2,0,4,2
35,Andy Benes\benesan01,21,SDP,10,25,24,2,6,0,0,1,2,0,0,0,12,.250,.250,.375,.625,76,9,1,0,1,0,0,1
36,Mike Benjamin\benjami01,23,SFG,14,6,6,6,1,0,0,0,0,0,0,0,1,.167,.167,.167,.333,-3,1,0,0,0,0,0,/6
37,Todd Benzinger#\benzito01,26,CIN,161,686,628,79,154,28,3,17,76,3,7,44,120,.245,.293,.381,.674,89,239,5,2,4,8,13,*3
38,Geronimo Berroa\berroge01,24,ATL,81,143,136,7,36,4,0,2,9,0,1,7,32,.265,.301,.338,.639,81,46,2,0,0,0,1,9/7
39,Damon Berryhill#\berryda01,25,CHC,91,361,334,37,86,13,0,5,41,1,0,16,54,.257,.291,.341,.633,75,114,13,2,4,5,4,2
40,Mike Bielecki\bielemi01,29,CHC,33,82,70,1,3,0,0,0,3,1,0,3,35,.043,.082,.043,.125,-64,3,0,0,9,0,0,1
41,Craig Biggio\biggicr01,23,HOU,134,509,443,64,114,21,2,13,60,21,3,49,64,.257,.336,.402,.738,114,178,7,6,6,5,8,*2/87
42,Dann Bilardello\bilarda01,30,PIT,33,83,80,11,18,6,0,2,8,1,2,2,18,.225,.244,.375,.619,78,30,1,0,1,0,0,2
43,Tim Birtsas*\birtsti01,28,CIN,42,4,4,1,1,0,0,1,1,0,0,0,1,.250,.250,1.000,1.250,236,4,0,0,0,0,0,1
44,Kevin Blankenship\blankke01,26,CHC,2,1,1,0,0,0,0,0,0,0,0,0,1,.000,.000,.000,.000,-100,0,0,0,0,0,0,/1
45,Jeff Blauser\blausje01,23,ATL,142,507,456,63,123,24,2,12,46,5,2,38,101,.270,.325,.410,.735,108,187,7,1,8,4,2,546/8
46,Terry Blocker*\blockte01,29,ATL,26,32,31,1,7,1,0,0,1,1,0,1,5,.226,.250,.258,.508,45,8,0,0,0,0,0,/9871
47,Joe Boever\boevejo01,28,ATL,66,1,1,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,-100,0,0,0,0,0,0,1
48,Barry Bonds*\bondsba01,24,PIT,159,679,580,96,144,34,6,19,58,32,10,93,93,.248,.351,.426,.777,126,247,9,1,1,4,22,*7
49,Bobby Bonilla#\bonilbo01,26,PIT,163,698,616,96,173,37,10,24,86,8,8,76,93,.281,.358,.490,.848,145,302,10,1,0,5,20,*5/39
50,Greg Booker\bookegr01,29,SDP,11,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,1
