Rk,Name,Age,Tm,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,ERA+,FIP,WHIP,H9,HR9,BB9,SO9,SO/W
1,Joaquin Andujar\andujjo01,25,HOU,5,7,.417,3.42,35,13,11,2,0,1,110.2,88,45,42,3,58,6,55,4,5,3,470,97,3.62,1.319,7.2,0.2,4.7,4.5,0.95
2,Bill Atkinson\atkinbi01,23,MON,2,2,.500,4.37,29,0,14,0,0,3,45.1,45,23,22,5,28,4,32,1,0,0,204,81,4.53,1.610,8.9,1.0,5.6,6.4,1.14
3,Stan Bahnsen\bahnsst01,33,MON,1,5,.167,3.84,44,1,22,0,0,7,75.0,74,35,32,9,31,2,44,0,0,2,317,92,4.21,1.400,8.9,1.1,3.7,5.3,1.42
4,Doug Bair\bairdo01,28,CIN,7,6,.538,1.97,70,0,56,0,0,28,100.1,87,23,22,6,38,3,91,0,0,1,416,180,2.68,1.246,7.8,0.5,3.4,8.2,2.39
5,Floyd Bannister*\bannifl01,23,HOU,3,9,.250,4.81,28,16,3,2,2,0,110.1,120,59,59,13,63,4,94,1,2,7,502,69,4.15,1.659,9.8,1.1,5.1,7.7,1.49
6,Jim Barr\barrji01,30,SFG,8,11,.421,3.53,32,25,2,5,2,1,163.0,180,69,64,7,35,6,44,0,2,0,690,98,3.25,1.319,9.9,0.4,1.9,2.4,1.26
7,Juan Berenguer\berenju01,23,NYM,0,2,.000,8.31,5,3,1,0,0,0,13.0,17,12,12,1,11,0,8,1,0,0,65,43,5.12,2.154,11.8,0.7,7.6,5.5,0.73
8,Dwight Bernard\bernadw01,26,NYM,1,4,.200,4.31,30,1,10,0,0,0,48.0,54,25,23,4,27,3,26,0,0,2,213,81,4.27,1.688,10.1,0.8,5.1,4.9,0.96
9,Jim Bibby\bibbyji01,33,PIT,8,7,.533,3.53,34,14,10,3,2,1,107.0,100,52,42,10,39,7,72,2,0,5,460,106,3.60,1.299,8.4,0.8,3.3,6.1,1.85
10,Vida Blue*\bluevi01,28,SFG,18,10,.643,2.79,35,35,0,9,4,0,258.0,233,87,80,12,70,4,171,0,0,5,1042,123,2.68,1.174,8.1,0.4,2.4,6.0,2.44
11,Bert Blyleven\blylebe01,27,PIT,14,10,.583,3.03,34,34,0,11,4,0,243.2,217,94,82,17,66,5,182,6,2,6,1011,123,2.88,1.161,8.0,0.6,2.4,6.7,2.76
12,Tommy Boggs\boggsto01,22,ATL,2,8,.200,6.71,16,12,2,1,1,0,59.0,80,46,44,8,26,3,21,1,1,3,283,61,5.01,1.797,12.2,1.2,4.0,3.2,0.81
13,Dan Boitano\boitada01,25,PHI,0,0,,0.00,1,0,0,0,0,0,1.0,0,0,0,0,1,0,0,0,0,0,4,,5.59,1.000,0.0,0.0,9.0,0.0,0.00
14,Bill Bonham\bonhabi01,29,CIN,11,5,.688,3.53,23,23,0,1,0,0,140.1,151,59,55,9,50,8,83,1,2,8,610,101,3.33,1.432,9.7,0.6,3.2,5.3,1.66
15,Pedro Borbon\borbope01,31,CIN,8,2,.800,4.98,62,0,22,0,0,4,99.1,102,56,55,6,27,8,35,3,2,2,418,71,3.57,1.299,9.2,0.5,2.4,3.2,1.30
16,Jim Bouton\boutoji01,39,ATL,1,3,.250,4.97,5,5,0,0,0,0,29.0,25,18,16,4,21,1,10,0,0,0,129,83,5.86,1.586,7.8,1.2,6.5,3.1,0.48
17,Mike Bruhert\bruhemi01,27,NYM,4,11,.267,4.78,27,22,1,1,1,0,133.2,171,83,71,6,34,5,56,1,2,10,585,73,3.12,1.534,11.5,0.4,2.3,3.8,1.65
18,Tom Bruno\brunoto01,25,STL,4,3,.571,1.99,18,3,8,0,0,1,49.2,38,12,11,3,17,1,33,0,1,0,201,179,3.07,1.107,6.9,0.5,3.1,6.0,1.94
19,Warren Brusstar\brusswa01,26,PHI,6,3,.667,2.33,58,0,17,0,0,0,88.2,74,25,23,0,30,7,60,3,2,1,348,154,2.35,1.173,7.5,0.0,3.0,6.1,2.00
20,Ray Burris\burrira01,27,CHC,7,13,.350,4.75,40,32,3,4,1,1,199.0,210,112,105,15,79,11,94,10,3,6,870,85,3.96,1.452,9.5,0.7,3.6,4.3,1.19
21,Rick Camp\campri01,25,ATL,2,4,.333,3.75,42,4,9,0,0,0,74.1,99,42,31,5,32,10,23,3,1,1,344,109,4.25,1.762,12.0,0.6,3.9,2.8,0.72
22,Dave Campbell\campbda02,26,ATL,4,4,.500,4.80,53,0,35,0,0,1,69.1,67,39,37,10,49,12,45,5,2,2,322,85,5.50,1.673,8.7,1.3,6.4,5.8,0.92
23,John Candelaria*\candejo01,24,PIT,12,11,.522,3.24,30,29,1,3,1,1,189.0,191,73,68,15,49,6,94,5,3,3,796,115,3.48,1.270,9.1,0.7,2.3,4.5,1.92
