Name	Tm	Elig Pos	RBI	HR	AVG	SB	AB	H	R	BB	SO	OBP	SLG	OPS
Maldonado, Carlos	Was(NRI)	C,UT	1	0	.000	0	9	0	0	2	4	.182	.000	.182
Maldonado, Martin	Mil	C,UT	30	8	.266	1	233	62	22	17	56	.321	.408	.729
Manzella, Tommy	Col(NRI)	MI,UT,SS	0	0	.000	0	0	0	0	0	0	.000	.000	.000
Marisnick, Jake	Mia(NRI)	UT,OF	0	0	.000	0	0	0	0	0	0	.000	.000	.000
Marrero, Chris	Was	1B,CM,UT	0	0	.000	0	0	0	0	0	0	.000	.000	.000
Martin, Russell	Pit	C,UT	53	21	.211	6	422	89	50	53	95	.311	.403	.713
Martinez, Michael	Phi(NRI)	UT,MI,2B	7	2	.174	0	115	20	10	5	21	.208	.252	.461
Mathis, Jeff	Mia	C,UT	27	8	.218	1	211	46	25	9	68	.249	.393	.642
Matthes, Kent	Col(NRI)	UT,OF	0	0	.000	0	0	0	0	0	0	.000	.000	.000
May, Lucas	Pit(NRI)	C,UT	0	0	.000	0	0	0	0	0	0	.000	.000	.000
Maysonet, Edwin	ChC(NRI)	UT,MI,SS	4	1	.250	1	60	15	7	3	9	.297	.350	.647
McBride, Matt	Col(NRI)	UT,OF	11	2	.205	0	78	16	8	1	17	.222	.308	.530
McCutchen, Andrew	Pit	UT,OF	96	31	.327	20	593	194	107	70	132	.400	.553	.953
McDonald, Darnell	ChC(NRI)	UT,OF	9	2	.205	1	88	18	17	12	19	.297	.352	.649
McDonald, John	Ari	UT,MI,SS	22	6	.249	0	197	49	16	12	33	.295	.386	.681
McKenry, Mike	Pit	C,UT	39	12	.233	0	240	56	25	29	73	.320	.442	.762
Mercer, Jordy	Pit	UT,MI,SS	5	1	.210	0	62	13	7	4	14	.265	.371	.636
Miller, Corky	Cin(NRI)	C,UT	0	0	.000	0	0	0	0	0	0	.000	.000	.000
Mitchell, Jermaine	Phi(NRI)	UT,OF	0	0	.000	0	0	0	0	0	0	.000	.000	.000
Molina, Gustavo	Col(NRI)	C,UT	0	0	.000	0	0	0	0	0	0	.000	.000	.000
Monell, Johnny	SF(NRI)	C,UT	0	0	.000	0	0	0	0	0	0	.000	.000	.000
Morris, Hunter	Mil(NRI)	1B,CM,UT	0	0	.000	0	0	0	0	0	0	.000	.000	.000
Murphy, Donnie	Mil(NRI)	CM,UT,3B	12	3	.216	1	116	25	13	9	35	.281	.379	.661
Navarro, Dioner	ChC	C,UT	12	2	.290	0	69	20	6	2	12	.306	.449	.755
