Rk,Name,Age,Tm,Yrs,G,GS,Batting,Defense,P,C,1B,2B,3B,SS,LF,CF,RF,OF,PH,PR
1,Matt Alexander\alexama01,32,PIT,7,44,2,44,12,0,0,0,0,0,1,6,3,3,11,1,36
2,Neil Allen\allenne01,21,NYM,1st,50,5,50,50,50,0,0,0,0,0,0,0,0,0,0,0
3,Bill Almon\almonbi01,26,SDP,6,100,57,100,80,0,0,0,61,0,25,0,1,0,1,4,23
4,Jesus Alou\alouje01,37,HOU,15,42,1,42,7,0,0,1,0,0,0,5,0,1,6,39,0
5,Mike Anderson\andermi01,28,PHI,9,79,21,79,71,1,0,0,0,0,0,46,6,21,70,12,11
6,Rob Andrews\andrero01,26,SFG,5,75,30,75,55,0,0,0,53,3,0,0,0,0,0,24,5
7,Joaquin Andujar\andujjo01,26,HOU,4,46,23,46,46,46,0,0,0,0,0,0,0,0,0,0,0
8,Alan Ashby\ashbyal01,27,HOU,7,108,104,108,105,0,105,0,0,0,0,0,0,0,0,3,0
9,Brian Asselstine\asselbr01,25,ATL,4,8,1,8,1,0,0,0,0,0,0,1,0,0,1,7,0
10,Bill Atkinson\atkinbi01,24,MON,4,10,0,10,10,10,0,0,0,0,0,0,0,0,0,0,0
11,Rick Auerbach\auerbri01,29,CIN,9,62,17,62,36,0,0,0,3,18,16,0,0,0,0,28,5
12,Ramon Aviles\avilera01,27,PHI,2,27,17,27,27,0,0,0,27,0,0,0,0,0,0,3,0
13,Stan Bahnsen\bahnsst01,34,MON,13,55,0,55,55,55,0,0,0,0,0,0,0,0,0,0,0
14,Doug Bair\bairdo01,29,CIN,4,65,0,65,65,65,0,0,0,0,0,0,0,0,0,0,0
15,Dusty Baker\bakerdu01,30,LAD,12,151,147,151,150,0,0,0,0,0,0,150,0,0,150,4,0
16,Reggie Baldwin\baldwre01,24,HOU,2,14,1,14,4,0,3,1,0,0,0,0,0,0,0,12,0
17,Randy Bass\bassra01,25,MON,3,2,0,2,1,0,0,1,0,0,0,0,0,0,0,1,0
18,Bob Beall\beallbo01,31,ATL,3,17,1,17,3,0,0,3,0,0,0,0,0,0,0,13,1
19,Joe Beckwith\beckwjo01,24,LAD,1st,17,0,17,17,17,0,0,0,0,0,0,0,0,0,0,0
20,Johnny Bench\benchjo01,31,CIN,13,130,125,130,128,0,126,2,0,0,0,0,0,0,0,5,0
21,Bruce Benedict\benedbr01,23,ATL,2,76,69,76,76,0,76,0,0,0,0,0,0,0,0,1,0
22,Juan Berenguer\berenju01,24,NYM,2,5,5,5,5,5,0,0,0,0,0,0,0,0,0,0,0
23,Dave Bergman\bergmda01,26,HOU,4,13,1,13,4,0,0,4,0,0,0,0,0,0,0,10,0
24,Dwight Bernard\bernadw01,27,NYM,2,32,1,32,32,32,0,0,0,0,0,0,0,0,0,0,0
25,Tony Bernazard\bernato01,22,MON,1st,22,13,22,14,0,0,0,14,0,0,0,0,0,0,2,6
26,Dale Berra\berrada01,22,PIT,3,44,31,44,44,0,0,0,0,22,22,0,0,0,0,0,1
27,Kurt Bevacqua\bevacku01,32,SDP,9,114,73,114,87,0,0,8,16,64,0,8,0,0,8,39,0
28,Jim Bibby\bibbyji01,34,PIT,8,34,17,34,34,34,0,0,0,0,0,0,0,0,0,0,0
29,Larry Biittner\biittla01,32,CHC,10,111,58,111,69,0,0,32,0,0,0,23,0,20,43,46,0
30,Doug Bird\birddo01,29,PHI,7,32,1,32,32,32,0,0,0,0,0,0,0,0,0,0,0
31,Tim Blackwell\blackti01,26,CHC,6,63,40,63,63,0,63,0,0,0,0,0,0,0,0,2,0
32,Paul Blair\blairpa01,35,CIN,16,75,37,75,67,0,0,0,0,0,0,18,55,4,67,9,7
33,Vida Blue\bluevi01,29,SFG,11,37,34,37,34,34,0,0,0,0,0,0,0,0,0,2,1
34,Bert Blyleven\blylebe01,28,PIT,10,38,37,38,37,37,0,0,0,0,0,0,0,0,0,0,1
35,Bruce Bochy\bochybr01,24,HOU,2,56,36,56,55,0,55,0,0,0,0,0,0,0,0,4,0
36,Tommy Boggs\boggsto01,23,ATL,4,3,3,3,3,3,0,0,0,0,0,0,0,0,0,0,0
37,Bruce Boisclair\boiscbr01,26,NYM,5,59,14,59,24,0,0,1,0,0,0,8,0,17,24,38,0
38,Bill Bonham\bonhabi01,30,CIN,9,29,29,29,29,29,0,0,0,0,0,0,0,0,0,0,0
39,Barry Bonnell\bonneba01,25,ATL,3,127,97,127,124,0,0,0,0,1,0,78,74,0,124,4,8
40,Bob Boone\boonebo01,31,PHI,8,119,112,119,119,0,117,0,0,2,0,0,0,0,0,1,0
41,Pedro Borbon\borbope01,32,2TM,11,60,0,60,60,60,0,0,0,0,0,0,0,0,0,0,0
42,Larry Bowa\bowala01,33,PHI,10,147,147,147,146,0,0,0,0,0,146,0,0,0,0,0,0
43,Doe Boyland\boylado01,24,PIT,2,4,0,4,0,0,0,0,0,0,0,0,0,0,0,3,1
44,Larry Bradford\bradfla01,29,ATL,2,21,0,21,21,21,0,0,0,0,0,0,0,0,0,0,0
45,Ken Brett\brettke01,30,LAD,12,30,0,30,30,30,0,0,0,0,0,0,0,0,0,0,0
46,Dan Briggs\briggda01,26,SDP,5,104,55,104,83,0,0,50,0,0,0,25,16,3,44,24,7
47,Tony Brizzolara\brizzto01,22,ATL,1st,20,19,20,20,20,0,0,0,0,0,0,0,0,0,0,0
48,Lou Brock\brocklo01,40,STL,19,120,95,120,98,0,0,0,0,0,0,98,0,0,98,22,2
49,Tom Bruno\brunoto01,26,STL,4,27,1,27,27,27,0,0,0,0,0,0,0,0,0,0,0
50,Warren Brusstar\brusswa01,27,PHI,3,13,0,13,13,13,0,0,0,0,0,0,0,0,0,0,0
51,Bill Buckner\bucknbi01,29,CHC,11,149,140,149,140,0,0,140,0,0,0,0,0,0,0,9,0
52,Ray Burris\burrira01,28,2TM,7,18,4,18,18,18,0,0,0,0,0,0,0,0,0,0,0
53,Jeff Burroughs\burroje01,28,ATL,10,116,110,116,110,0,0,0,0,0,0,110,0,0,110,6,0
54,Enos Cabell\cabelen01,29,HOU,8,155,154,155,155,0,0,51,0,132,0,0,0,0,0,0,0
55,John Candelaria\candejo01,25,PIT,5,33,30,33,33,33,0,0,0,0,0,0,0,0,0,0,0
56,Doug Capilla\capildo01,27,2TM,4,18,1,18,18,18,0,0,0,0,0,0,0,0,0,0,0
57,Bernie Carbo\carbobe01,31,STL,11,52,7,52,17,0,0,0,0,0,0,4,0,13,17,41,0
58,Jose Cardenal\cardejo02,35,2TM,17,40,20,40,23,0,0,3,0,0,0,9,0,15,21,20,0
59,Steve Carlton\carltst01,34,PHI,15,36,35,36,35,35,0,0,0,0,0,0,0,0,0,1,0
60,Gary Carter\cartega01,25,MON,6,141,136,141,138,0,138,0,0,0,0,0,0,0,0,4,0
61,Dave Cash\cashda01,31,MON,11,76,35,76,47,0,0,0,47,0,0,0,0,0,0,34,0
62,Bobby Castillo\castibo01,24,LAD,3,19,0,19,19,19,0,0,0,0,0,0,0,0,0,0,0
63,Bill Caudill\caudibi01,22,CHC,1st,29,12,29,29,29,0,0,0,0,0,0,0,0,0,0,0
64,Cesar Cedeno\cedence01,28,HOU,10,132,129,132,129,0,0,91,0,0,0,0,40,0,40,3,0
65,Ron Cey\ceyro01,31,LAD,9,150,148,150,150,0,0,0,0,150,0,0,0,0,0,1,0
66,Darrel Chaney\chaneda01,31,ATL,11,63,29,63,48,0,1,0,5,4,39,0,0,0,0,15,3
67,Kelvin Chapman\chapmke01,23,NYM,1st,35,15,35,23,0,0,0,22,1,0,0,0,0,0,12,3
68,Larry Christenson\chrisla01,25,PHI,7,19,17,19,19,19,0,0,0,0,0,0,0,0,0,0,0
69,Jack Clark\clarkja01,23,SFG,5,143,134,143,140,0,0,0,0,2,0,1,0,139,140,2,3
70,Gene Clines\clinege01,32,CHC,10,10,0,10,0,0,0,0,0,0,0,0,0,0,0,10,0
71,Joe Coleman\colemjo05,32,2TM,15,15,0,15,15,15,0,0,0,0,0,0,0,0,0,0,0
