Rk,Name,Age,Tm,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,ERA+,FIP,WHIP,H9,HR9,BB9,SO9,SO/W
1,Neil Allen\allenne01,26,STL,9,6,.600,3.55,57,1,18,0,0,3,119.0,105,54,47,6,49,9,66,0,0,6,495,98,3.55,1.294,7.9,0.5,3.7,5.0,1.35
2,Porfi Altamirano\altampo01,32,CHC,0,0,,4.76,5,0,2,0,0,0,11.1,8,6,6,2,1,0,7,0,0,1,43,84,4.09,0.794,6.4,1.6,0.8,5.6,7.00
3,Larry Andersen\anderla02,31,PHI,3,7,.300,2.38,64,0,25,0,0,4,90.2,85,32,24,5,25,6,54,0,1,2,376,153,3.12,1.213,8.4,0.5,2.5,5.4,2.16
4,Joaquin Andujar\andujjo01,31,STL,20,14,.588,3.34,36,36,0,12,4,0,261.1,218,104,97,20,70,13,147,7,4,6,1052,105,3.52,1.102,7.5,0.7,2.4,5.1,2.10
5,Greg Bargar\bargagr01,25,MON,0,1,.000,7.88,3,1,0,0,0,0,8.0,8,7,7,1,7,1,2,0,0,0,36,46,6.52,1.875,9.0,1.1,7.9,2.3,0.29
6,Len Barker\barkele01,28,ATL,7,8,.467,3.85,21,20,0,1,0,0,126.1,120,59,54,10,38,2,95,2,1,3,528,100,3.24,1.251,8.5,0.7,2.7,6.8,2.50
7,Steve Bedrosian\bedrost01,26,ATL,9,6,.600,2.37,40,4,28,0,0,11,83.2,65,23,22,5,33,5,81,1,0,4,345,163,2.83,1.171,7.0,0.5,3.5,8.7,2.45
8,Bruce Berenyi\berenbr01,29,TOT,12,13,.480,4.45,32,30,1,0,0,0,166.0,163,93,82,6,95,4,134,1,0,11,737,82,3.36,1.554,8.8,0.3,5.2,7.3,1.41
9,Bruce Berenyi\berenbr01,29,CIN,3,7,.300,6.00,13,11,1,0,0,0,51.0,63,35,34,0,42,2,53,0,0,4,251,63,3.16,2.059,11.1,0.0,7.4,9.4,1.26
10,Bruce Berenyi\berenbr01,29,NYM,9,6,.600,3.76,19,19,0,0,0,0,115.0,100,58,48,6,53,2,81,1,0,7,486,95,3.45,1.330,7.8,0.5,4.1,6.3,1.53
11,Mike Bielecki\bielemi01,24,PIT,0,0,,0.00,4,0,1,0,0,0,4.1,4,0,0,0,0,0,1,0,1,0,17,,2.31,0.923,8.3,0.0,0.0,2.1,
12,Greg Booker\bookegr01,24,SDP,1,1,.500,3.30,32,1,12,0,0,0,57.1,67,27,21,4,27,4,28,0,0,6,262,110,4.11,1.640,10.5,0.6,4.2,4.4,1.04
13,Rich Bordi\bordiri01,25,CHC,5,2,.714,3.46,31,7,10,0,0,4,83.1,78,37,32,11,20,4,41,0,0,0,347,113,4.22,1.176,8.4,1.2,2.2,4.4,2.05
14,Fred Breining\breinfr01,28,MON,0,0,,1.35,4,0,0,0,0,0,6.2,4,1,1,0,5,0,5,0,0,0,27,273,3.52,1.350,5.4,0.0,6.8,6.8,1.00
15,Tony Brizzolara\brizzto01,27,ATL,1,2,.333,5.28,10,4,2,0,0,0,29.0,33,22,17,4,13,1,17,0,1,3,132,74,4.73,1.586,10.2,1.2,4.0,5.3,1.31
16,Tom Browning*\brownto05,24,CIN,1,0,1.000,1.54,3,3,0,0,0,0,23.1,27,4,4,0,5,0,14,0,0,1,95,249,2.21,1.371,10.4,0.0,1.9,5.4,2.80
17,Warren Brusstar\brusswa01,32,CHC,1,1,.500,3.11,41,0,16,0,0,3,63.2,57,23,22,4,21,7,36,1,0,2,260,126,3.49,1.225,8.1,0.6,3.0,5.1,1.71
18,Marty Bystrom\bystrma01,25,PHI,4,4,.500,5.08,11,11,0,0,0,0,56.2,66,36,32,5,22,1,36,0,4,0,258,72,3.81,1.553,10.5,0.8,3.5,5.7,1.64
19,Jeff Calhoun*\calhoje01,26,HOU,0,1,.000,1.17,9,0,2,0,0,0,15.1,5,3,2,0,2,2,11,0,0,2,54,290,1.72,0.457,2.9,0.0,1.2,6.5,5.50
20,Mark Calvert\calvema01,27,SFG,2,4,.333,5.06,10,5,5,1,0,0,32.0,40,21,18,4,9,1,5,1,0,0,146,70,5.02,1.531,11.3,1.1,2.5,1.4,0.56
21,Rick Camp\campri01,31,ATL,8,6,.571,3.27,31,21,1,1,0,0,148.2,134,59,54,11,63,3,69,2,2,4,621,118,4.11,1.325,8.1,0.7,3.8,4.2,1.10
22,Bill Campbell\campbbi02,35,PHI,6,5,.545,3.43,57,0,24,0,0,1,81.1,68,43,31,2,35,13,52,0,1,3,351,106,3.10,1.266,7.5,0.2,3.9,5.8,1.49
23,John Candelaria*\candejo01,30,PIT,12,11,.522,2.72,33,28,4,3,1,2,185.1,179,69,56,19,34,3,133,1,1,1,751,134,3.23,1.149,8.7,0.9,1.7,6.5,3.91
24,Steve Carlton*\carltst01,39,PHI,13,7,.650,3.58,33,33,0,1,0,0,229.0,214,104,91,14,79,7,163,0,7,11,964,102,3.17,1.279,8.4,0.6,3.1,6.4,2.06
25,Don Carman*\carmado01,24,PHI,0,1,.000,5.40,11,0,9,0,0,0,13.1,14,9,8,2,6,4,16,0,0,3,61,69,3.67,1.500,9.5,1.4,4.1,10.8,2.67
26,Keefe Cato\catoke01,26,CIN,0,1,.000,8.04,8,0,1,0,0,1,15.2,22,14,14,5,4,0,12,0,0,0,72,48,6.15,1.660,12.6,2.9,2.3,6.9,3.00
27,Floyd Chiffer\chifffl01,28,SDP,1,0,1.000,7.71,15,1,6,0,0,0,28.0,42,24,24,1,16,2,20,0,0,4,139,47,3.52,2.071,13.5,0.3,5.1,6.4,1.25
28,Ralph Citarella\citarra01,26,STL,0,1,.000,3.63,10,2,2,0,0,0,22.1,20,9,9,0,7,2,15,3,0,1,95,98,2.77,1.209,8.1,0.0,2.8,6.0,2.14
29,Jeff Cornell\corneje01,27,SFG,1,3,.250,6.10,23,0,5,0,0,0,38.1,51,30,26,4,22,6,19,1,1,3,181,58,4.93,1.904,12.0,0.9,5.2,4.5,0.86
30,Danny Cox\coxda01,24,STL,9,11,.450,4.03,29,27,0,1,1,0,156.1,171,81,70,9,54,6,70,7,4,2,668,87,3.79,1.439,9.8,0.5,3.1,4.0,1.30
31,Ron Darling\darliro01,23,NYM,12,9,.571,3.81,33,33,0,2,2,0,205.2,179,97,87,17,104,2,136,5,1,7,884,94,4.11,1.376,7.8,0.7,4.6,6.0,1.31
32,Mark Davis*\davisma01,23,SFG,5,17,.227,5.36,46,27,6,1,0,0,174.2,201,113,104,25,54,12,124,5,4,8,766,66,4.22,1.460,10.4,1.3,2.8,6.4,2.30
33,Bill Dawley\dawlebi01,26,HOU,11,4,.733,1.93,60,0,27,0,0,5,98.0,82,24,21,5,35,9,47,0,1,2,402,172,3.54,1.194,7.5,0.5,3.2,4.3,1.34
34,Ken Dayley*\dayleke01,25,TOT,0,5,.000,7.99,7,6,1,0,0,0,23.2,44,28,21,6,11,1,10,1,0,0,124,49,6.74,2.324,16.7,2.3,4.2,3.8,0.91
35,Ken Dayley*\dayleke01,25,ATL,0,3,.000,5.30,4,4,0,0,0,0,18.2,28,18,11,5,6,1,10,1,0,0,92,74,6.30,1.821,13.5,2.4,2.9,4.8,1.67
36,Ken Dayley*\dayleke01,25,STL,0,2,.000,18.00,3,2,1,0,0,0,5.0,16,10,10,1,5,0,0,0,0,0,32,21,8.37,4.200,28.8,1.8,9.0,0.0,0.00
37,Jeff Dedmon\dedmoje01,24,ATL,4,3,.571,3.78,54,0,19,0,0,4,81.0,86,39,34,5,35,9,51,2,0,3,354,102,3.68,1.494,9.6,0.6,3.9,5.7,1.46
38,Jose DeLeon\deleojo01,23,PIT,7,13,.350,3.74,30,28,0,5,1,0,192.1,147,86,80,10,92,5,153,3,2,6,795,97,3.33,1.243,6.9,0.5,4.3,7.2,1.66
39,Luis DeLeon\deleolu01,25,SDP,2,2,.500,5.48,32,0,10,0,0,0,42.2,44,34,26,12,12,2,44,4,0,1,191,66,5.49,1.313,9.3,2.5,2.5,9.3,3.67
40,John Denny\dennyjo01,31,PHI,7,7,.500,2.45,22,22,0,2,0,0,154.1,122,53,42,11,29,2,94,4,0,0,612,149,3.12,0.978,7.1,0.6,1.7,5.5,3.24
