Rk,Name,Age,Tm,Yrs,G,GS,Batting,Defense,P,C,1B,2B,3B,SS,LF,CF,RF,OF,PH,PR
1,Cy Acosta\acostcy01,28,PHI,4,6,0,6,6,6,0,0,0,0,0,0,0,0,0,0,0
2,Glenn Adams\adamsgl01,27,SFG,1st,61,14,61,26,0,0,0,0,0,0,18,0,8,26,38,0
3,Gary Alexander\alexaga01,22,SFG,1st,3,1,3,2,0,2,0,0,0,0,0,0,0,0,1,0
4,Dick Allen\allendi01,33,PHI,13,119,112,119,113,0,0,113,0,0,0,0,0,0,0,6,0
5,Bill Almon\almonbi01,22,SDP,2,6,2,6,2,0,0,0,0,0,2,0,0,0,0,1,3
6,Jesus Alou\alouje01,33,NYM,13,62,15,62,20,0,0,0,0,0,0,15,0,5,20,44,0
7,Orlando Alvarez\alvaror01,23,LAD,3,4,0,4,0,0,0,0,0,0,0,0,0,0,0,4,0
8,Mike Anderson\andermi01,24,PHI,5,115,62,115,108,0,0,3,0,0,0,0,31,85,107,16,8
9,Rob Andrews\andrero01,22,HOU,1st,103,85,103,98,0,0,0,94,0,7,0,0,0,0,6,7
10,Bob Apodaca\apodabo01,25,NYM,3,46,0,46,46,46,0,0,0,0,0,0,0,0,0,0,0
11,Ed Armbrister\armbred01,26,CIN,3,59,7,59,19,0,0,0,0,0,0,10,3,7,19,36,6
12,Chris Arnold\arnolch01,27,SFG,5,29,5,29,8,0,0,0,4,0,0,3,0,1,4,23,0
13,Rick Auerbach\auerbri01,25,LAD,5,85,53,85,83,0,0,0,1,2,80,0,0,0,0,0,12
14,Bob Bailey\bailebo01,32,MON,14,106,60,106,63,0,0,0,0,3,0,61,0,0,61,46,0
15,Dusty Baker\bakerdu01,26,ATL,8,142,134,142,136,0,0,0,0,0,0,0,14,126,136,7,0
16,Rick Baldwin\baldwri01,22,NYM,1st,54,0,54,54,54,0,0,0,0,0,0,0,0,0,0,0
17,Alan Bannister\bannial01,23,PHI,2,24,16,24,20,0,0,0,1,0,1,2,16,0,18,1,5
18,Mike Barlow\barlomi01,27,STL,1st,9,0,9,9,9,0,0,0,0,0,0,0,0,0,0,0
19,Jim Barr\barrji01,27,SFG,5,38,33,38,35,35,0,0,0,0,0,0,0,0,0,0,3
20,Rafael Batista\batisra01,29,HOU,2,10,0,10,0,0,0,0,0,0,0,0,0,0,0,10,0
21,Bob Beall\beallbo01,27,ATL,1st,20,6,20,8,0,0,8,0,0,0,0,0,0,0,10,2
22,Mike Beard\beardmi01,25,ATL,2,34,2,34,34,34,0,0,0,0,0,0,0,0,0,0,0
23,Glenn Beckert\beckegl01,34,SDP,11,9,4,9,4,0,0,0,0,4,0,0,0,0,0,5,0
24,Rob Belloir\belloro01,26,ATL,1st,43,34,43,39,0,0,0,0,0,39,0,0,0,0,3,1
25,Johnny Bench\benchjo01,27,CIN,9,142,136,142,138,0,121,9,0,0,0,16,0,3,19,6,0
26,Larry Biittner\biittla01,28,MON,6,121,86,121,93,0,0,0,0,0,0,35,4,55,93,33,0
27,Jack Billingham\billija01,32,CIN,8,33,32,33,33,33,0,0,0,0,0,0,0,0,0,0,0
28,Dick Billings\billidi01,32,STL,8,3,0,3,0,0,0,0,0,0,0,0,0,0,0,3,0
29,Dennis Blair\blairde01,21,MON,2,30,27,30,30,30,0,0,0,0,0,0,0,0,0,0,0
30,Larvell Blanks\blankla01,25,ATL,4,141,131,141,140,0,0,0,12,0,129,0,0,0,0,2,2
31,Bill Bonham\bonhabi01,26,CHC,5,40,36,40,38,38,0,0,0,0,0,0,0,0,0,0,2
32,Bob Boone\boonebo01,27,PHI,4,97,83,97,95,0,92,0,0,3,0,0,0,0,0,6,0
33,Pedro Borbon\borbope01,28,CIN,7,67,0,67,67,67,0,0,0,0,0,0,0,0,0,0,0
34,Ken Boswell\bosweke01,29,HOU,9,86,38,86,54,0,0,0,32,23,0,0,0,0,0,44,0
35,Larry Bowa\bowala01,29,PHI,6,136,135,136,135,0,0,0,0,0,135,0,0,0,0,1,0
36,Buddy Bradford\bradfbu01,30,STL,10,50,16,50,25,0,0,0,0,0,0,3,2,20,25,26,3
37,Tom Bradley\bradlto01,28,SFG,7,13,6,13,13,13,0,0,0,0,0,0,0,0,0,0,0
38,Hal Breeden\breedha01,31,MON,5,24,8,24,12,0,0,12,0,0,0,0,0,0,0,15,1
39,Ken Brett\brettke01,26,PIT,8,26,16,26,23,23,0,0,0,0,0,0,0,0,0,3,0
40,Jim Brewer\breweji01,37,LAD,16,21,0,21,21,21,0,0,0,0,0,0,0,0,0,0,0
41,Ed Brinkman\brinked01,33,STL,15,28,24,28,24,0,0,0,0,0,24,0,0,0,0,4,0
42,Lou Brock\brocklo01,36,STL,15,136,126,136,128,0,0,0,0,0,0,128,0,0,128,10,0
43,Jake Brown\brownja02,27,SFG,1st,41,6,41,14,0,0,0,0,0,0,9,1,4,14,26,6
44,Ollie Brown\brownol02,31,PHI,11,84,27,84,63,0,0,0,0,0,0,24,0,48,63,35,4
45,Ron Bryant\bryanro01,27,STL,8,10,1,10,10,10,0,0,0,0,0,0,0,0,0,0,0
46,Bill Buckner\bucknbi01,25,LAD,7,92,67,92,72,0,0,0,0,0,0,72,0,0,72,22,0
47,Ray Burris\burrira01,24,CHC,3,38,35,38,36,36,0,0,0,0,0,0,0,0,0,0,2
48,Enos Cabell\cabelen01,25,HOU,4,117,80,117,103,0,0,27,0,22,0,37,0,33,67,21,6
49,Mike Caldwell\caldwmi01,26,SFG,5,38,21,38,38,38,0,0,0,0,0,0,0,0,0,0,0
50,John Candelaria\candejo01,21,PIT,1st,18,18,18,18,18,0,0,0,0,0,0,0,0,0,0,0
51,Buzz Capra\caprabu01,27,ATL,5,12,12,12,12,12,0,0,0,0,0,0,0,0,0,0,0
52,Jose Cardenal\cardejo02,31,CHC,13,154,147,154,151,0,0,0,0,0,0,140,0,20,151,6,0
53,Steve Carlton\carltst01,30,PHI,11,37,37,37,37,37,0,0,0,0,0,0,0,0,0,0,0
54,Don Carrithers\carrido01,25,MON,6,19,14,19,19,19,0,0,0,0,0,0,0,0,0,0,0
55,Clay Carroll\carrocl02,34,CIN,12,56,2,56,56,56,0,0,0,0,0,0,0,0,0,0,0
56,Tom Carroll\carroto02,22,CIN,2,12,7,12,12,12,0,0,0,0,0,0,0,0,0,0,0
57,Gary Carter\cartega01,21,MON,2,144,136,144,142,0,66,0,0,1,0,0,0,92,92,7,0
58,Dave Cash\cashda01,27,PHI,7,162,162,162,162,0,0,0,162,0,0,0,0,0,0,0,0
59,Danny Cater\caterda01,35,STL,12,22,7,22,12,0,0,12,0,0,0,0,0,0,0,14,0
60,Cesar Cedeno\cedence01,24,HOU,6,131,131,131,131,0,0,0,0,0,0,0,131,0,131,0,0
61,Ron Cey\ceyro01,27,LAD,5,158,158,158,158,0,0,0,0,158,0,0,0,0,0,0,0
62,Darrel Chaney\chaneda01,27,CIN,7,71,41,71,68,0,0,0,22,13,35,0,0,0,0,5,1
63,Larry Christenson\chrisla01,21,PHI,3,29,26,29,29,29,0,0,0,0,0,0,0,0,0,0,0
64,Jack Clark\clarkja01,19,SFG,1st,8,3,8,5,0,0,0,0,2,0,1,2,1,3,4,1
