Name	Tm	W	SV	ERA	WHIP	IP	G	H	SO	BB	ER
Rosenthal, Trevor	StL	0	0	2.78	0.926	22.7	19	14	25	7	7
Ross, Tyson	SD	2	0	6.50	1.814	73.3	18	96	46	37	53
Runzler, Dan	SF	0	0	0.00	1.091	3.7	6	1	5	3	0
Rusin, Chris	ChC	2	0	6.37	1.652	29.7	7	38	21	11	21
Ryu, Hyun-Jin	LAD	0	0	0.00	0.000	0.0	0	0	0	0	0
Rzepczynski, Marc	StL	1	0	4.24	1.350	46.7	70	46	33	17	22
Sadowski, Ryan	SF(NRI)	0	0	0.00	0.000	0.0	0	0	0	0	0
Sanchez, Jonathan	Pit(NRI)	1	0	8.07	2.088	64.7	15	82	45	53	58
Santana, Johan	NYM	6	0	4.85	1.333	117.0	21	117	111	39	63
Scahill, Rob	Col	0	0	1.04	1.154	8.7	6	7	4	3	1
Schmidt, Nick	Col(NRI)	0	0	0.00	0.000	0.0	0	0	0	0	0
Simon, Alfredo	Cin	3	1	2.66	1.426	61.0	36	65	52	22	18
Simon, Kyle	Phi(NRI)	0	0	0.00	0.000	0.0	0	0	0	0	0
Sipp, Tony	Ari	1	1	4.42	1.273	55.0	63	47	51	23	27
Skaggs, Tyler	Ari	1	0	5.83	1.466	29.3	6	30	21	13	19
Slowey, Kevin	Mia(NRI)	0	0	0.00	0.000	0.0	0	0	0	0	0
Soriano, Rafael	Was	2	42	2.26	1.167	67.7	69	55	69	24	17
Stange, Daniel	SD(NRI)	0	0	0.00	0.000	0.0	0	0	0	0	0
Stinson, Josh	Mil	0	0	0.96	1.286	9.3	6	7	3	5	1
Stites, Matt	SD(NRI)	0	0	0.00	0.000	0.0	0	0	0	0	0
Storen, Drew	Was	3	4	2.37	0.989	30.3	37	22	24	8	8
Stults, Eric	SD	8	0	2.91	1.202	99.0	20	92	55	27	32
Stutes, Michael	Phi	0	0	6.35	1.941	5.7	6	7	5	4	4
Sullivan, Jerry	SD(NRI)	0	0	0.00	0.000	0.0	0	0	0	0	0
Surkamp, Eric	SF	0	0	0.00	0.000	0.0	0	0	0	0	0
Takahashi, Hisanori	ChC(NRI)	0	0	5.54	1.252	50.3	51	49	52	14	31
Talbot, Mitch	Mia(NRI)	0	0	0.00	0.000	0.0	0	0	0	0	0
Teheran, Julio	Atl	0	0	5.68	0.947	6.3	2	5	5	1	4
Thatcher, Joe	SD	1	1	3.41	1.389	31.7	55	30	39	14	12
Tobin, Mason	SF(NRI)	0	0	0.00	0.000	0.0	0	0	0	0	0
Tolleson, Shawn	LAD	3	0	4.30	1.327	37.7	40	30	39	20	18
Torres, Carlos	NYM(NRI)	5	0	5.26	1.415	53.0	31	49	42	26	31
Turner, Jacob	Mia	2	0	4.42	1.200	55.0	10	50	36	16	27
Valdes, Raul	Phi	3	0	2.90	0.742	31.0	27	18	35	5	10
Varvaro, Anthony	Atl	1	0	5.40	1.500	16.7	12	16	21	9	10
Vincent, Nick	SD	2	0	1.71	0.987	26.3	27	19	28	7	5
Vizcaino, Arodys	ChC	0	0	0.00	0.000	0.0	0	0	0	0	0
Volquez, Edinson	SD	11	0	4.14	1.451	182.7	32	160	174	105	84
Volstad, Chris	Col(NRI)	3	0	6.31	1.617	111.3	21	137	61	43	78
Wacha, Michael	StL(NRI)	0	0	0.00	0.000	0.0	0	0	0	0	0
Wade, Cory	ChC(NRI)	1	0	6.46	1.385	39.0	39	46	38	8	28
Walden, Jordan	Atl	3	1	3.46	1.359	39.0	45	35	48	18	15
Waldrop, Kyle	Pit(NRI)	0	0	2.53	1.547	21.3	17	27	7	6	6
Wall, Josh	LAD	1	0	4.76	0.706	5.7	7	3	4	1	3
Watson, Tony	Pit	5	0	3.38	1.125	53.3	68	37	53	23	20
Webb, Travis	Mil(NRI)	0	0	0.00	0.000	0.0	0	0	0	0	0
Weber, Thad	SD(NRI)	0	0	9.00	3.000	4.0	2	10	1	2	4
Wilson, Justin	Pit	0	0	1.93	2.786	4.7	8	10	7	3	1
Withrow, Chris	LAD	0	0	0.00	0.000	0.0	0	0	0	0	0
Wood, Alex	Atl(NRI)	0	0	0.00	0.000	0.0	0	0	0	0	0
Wooten, Robert	Mil(NRI)	0	0	0.00	0.000	0.0	0	0	0	0	0
Zagurski, Mike	Pit(NRI)	0	0	5.54	1.500	37.3	45	37	34	19	23
Zimmermann, Jordan	Was	12	0	2.94	1.170	195.7	32	186	153	43	64
Villanueva, Carlos	ChC	7	0	4.16	1.269	125.3	38	113	122	46	58
Lopez, Rodrigo	Phi(NRI)	0	0	5.68	2.053	6.3	4	8	2	5	4
Martinez, Cristhian	Atl	5	1	3.91	1.344	73.7	54	80	65	19	32
