Rk,Name,Age,Tm,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,ERA+,FIP,WHIP,H9,HR9,BB9,SO9,SO/W
1,Jim Acker\ackerji01,27,ATL,3,8,.273,3.79,21,14,3,0,0,0,95.0,100,47,40,7,26,3,37,1,0,2,402,105,3.80,1.326,9.5,0.7,2.5,3.5,1.42
2,Rick Aguilera\aguilri01,24,NYM,10,7,.588,3.88,28,20,2,2,0,0,141.2,145,70,61,15,36,1,104,7,3,5,605,93,3.59,1.278,9.2,1.0,2.3,6.6,2.89
3,Doyle Alexander\alexado01,35,ATL,6,6,.500,3.84,17,17,0,2,0,0,117.1,135,58,50,9,17,1,74,0,0,1,496,103,2.94,1.295,10.4,0.7,1.3,5.7,4.35
4,Larry Andersen\anderla02,33,TOT,2,1,.667,3.03,48,0,8,0,0,1,77.1,83,30,26,2,26,10,42,1,0,1,323,121,3.07,1.409,9.7,0.2,3.0,4.9,1.62
5,Larry Andersen\anderla02,33,PHI,0,0,,4.26,10,0,1,0,0,0,12.2,19,8,6,0,3,0,9,0,0,0,55,94,2.06,1.737,13.5,0.0,2.1,6.4,3.00
6,Larry Andersen\anderla02,33,HOU,2,1,.667,2.78,38,0,7,0,0,1,64.2,64,22,20,2,23,10,33,1,0,1,268,129,3.27,1.345,8.9,0.3,3.2,4.6,1.43
7,Rick Anderson\anderri02,29,NYM,2,1,.667,2.72,15,5,4,0,0,1,49.2,45,17,15,3,11,3,21,0,1,1,201,133,3.38,1.128,8.2,0.5,2.0,3.8,1.91
8,Paul Assenmacher*\assenpa01,25,ATL,7,3,.700,2.50,61,0,27,0,0,7,68.1,61,23,19,5,26,4,56,0,3,2,287,159,3.22,1.273,8.0,0.7,3.4,7.4,2.15
9,Jay Baller\balleja01,25,CHC,2,4,.333,5.37,36,0,16,0,0,5,53.2,58,37,32,7,28,4,42,2,4,2,248,76,4.58,1.602,9.7,1.2,4.7,7.0,1.50
10,Greg Bargar\bargagr01,27,STL,0,2,.000,5.60,22,0,10,0,0,0,27.1,36,19,17,3,10,1,12,3,0,2,126,66,4.75,1.683,11.9,1.0,3.3,4.0,1.20
11,Joe Beckwith\beckwjo01,31,LAD,0,0,,6.87,15,0,4,0,0,0,18.1,28,16,14,5,6,0,13,0,0,0,86,52,5.88,1.855,13.7,2.5,2.9,6.4,2.17
12,Steve Bedrosian\bedrost01,28,PHI,8,6,.571,3.39,68,0,56,0,0,29,90.1,79,39,34,12,34,10,82,0,2,5,381,115,3.81,1.251,7.9,1.2,3.4,8.2,2.41
13,Juan Berenguer\berenju01,31,SFG,2,3,.400,2.70,46,4,17,0,0,4,73.1,64,23,22,4,44,3,72,2,2,4,314,132,3.40,1.473,7.9,0.5,5.4,8.8,1.64
14,Bruce Berenyi\berenbr01,31,NYM,2,2,.500,6.35,14,7,2,0,0,0,39.2,47,30,28,5,22,0,30,1,0,4,184,57,4.64,1.739,10.7,1.1,5.0,6.8,1.36
15,Mike Bielecki\bielemi01,26,PIT,6,11,.353,4.66,31,27,0,0,0,0,148.2,149,87,77,10,83,3,83,2,5,7,667,83,4.24,1.561,9.0,0.6,5.0,5.0,1.00
16,Jeff Bittiger\bittije01,24,PHI,1,1,.500,5.52,3,3,0,0,0,0,14.2,16,10,9,2,7,1,8,1,2,2,68,72,5.09,1.568,9.8,1.2,4.3,4.9,1.14
17,Vida Blue*\bluevi01,36,SFG,10,10,.500,3.27,28,28,0,0,0,0,156.2,137,65,57,19,77,3,100,0,1,5,663,108,4.55,1.366,7.9,1.1,4.4,5.7,1.30
18,Randy Bockus\bockura01,25,SFG,0,0,,2.57,5,0,1,0,0,0,7.0,7,5,2,1,6,1,4,0,0,0,36,146,6.06,1.857,9.0,1.3,7.7,5.1,0.67
19,Joe Boever\boevejo01,25,STL,0,1,.000,1.66,11,0,4,0,0,0,21.2,19,5,4,2,11,0,8,0,0,1,93,224,4.76,1.385,7.9,0.8,4.6,3.3,0.73
20,Greg Booker\bookegr01,26,SDP,1,0,1.000,1.64,9,0,4,0,0,0,11.0,10,5,2,0,4,2,7,0,0,0,47,232,2.59,1.273,8.2,0.0,3.3,5.7,1.75
21,Curt Brown\browncu03,26,MON,0,1,.000,3.00,6,0,2,0,0,0,12.0,15,6,4,0,2,2,4,0,0,0,53,128,2.60,1.417,11.3,0.0,1.5,3.0,2.00
22,Tom Browning*\brownto05,26,CIN,14,13,.519,3.81,39,39,0,4,2,0,243.1,225,123,103,26,70,6,147,1,0,3,1016,101,3.83,1.212,8.3,1.0,2.6,5.4,2.10
23,Tim Burke\burketi01,27,MON,9,7,.563,2.93,68,2,25,0,0,4,101.1,103,37,33,7,46,13,82,4,0,4,451,128,3.53,1.470,9.1,0.6,4.1,7.3,1.78
24,Ray Burris\burrira01,35,STL,4,5,.444,5.60,23,10,5,0,0,0,82.0,92,52,51,13,32,4,34,4,0,0,361,66,5.32,1.512,10.1,1.4,3.5,3.7,1.06
25,Sal Butera\butersa01,33,CIN,0,0,,0.00,1,0,1,0,0,0,1.0,0,0,0,0,1,0,1,0,0,0,4,,3.77,1.000,0.0,0.0,9.0,9.0,1.00
26,Jeff Calhoun*\calhoje01,28,HOU,1,0,1.000,3.71,20,0,7,0,0,0,26.2,28,16,11,3,12,1,14,0,0,2,119,98,4.53,1.500,9.5,1.0,4.1,4.7,1.17
27,Steve Carlton*\carltst01,41,TOT,5,11,.313,5.89,22,22,0,0,0,0,113.0,138,90,74,19,61,4,80,1,1,5,533,65,5.19,1.761,11.0,1.5,4.9,6.4,1.31
28,Steve Carlton*\carltst01,41,PHI,4,8,.333,6.18,16,16,0,0,0,0,83.0,102,70,57,15,45,4,62,0,0,3,393,63,5.25,1.771,11.1,1.6,4.9,6.7,1.38
29,Steve Carlton*\carltst01,41,SFG,1,3,.250,5.10,6,6,0,0,0,0,30.0,36,20,17,4,16,0,18,1,1,2,140,70,5.00,1.733,10.8,1.2,4.8,5.4,1.13
30,Don Carman*\carmado01,26,PHI,10,5,.667,3.22,50,14,13,2,1,1,134.1,113,50,48,11,52,11,98,3,2,6,545,121,3.60,1.228,7.6,0.7,3.5,6.6,1.88
31,Rocky Childress\childro01,24,PHI,0,0,,6.75,2,0,0,0,0,0,2.2,4,3,2,0,1,0,1,0,0,0,12,66,3.15,1.875,13.5,0.0,3.4,3.4,1.00
32,Pat Clements*\clemepa01,24,PIT,0,4,.000,2.80,65,0,19,0,0,2,61.0,53,20,19,1,32,6,31,2,0,2,256,138,3.64,1.393,7.8,0.1,4.7,4.6,0.97
33,Tim Conroy*\conroti01,26,STL,5,11,.313,5.23,25,21,2,1,0,0,115.1,122,72,67,15,56,7,79,3,0,7,513,70,4.63,1.543,9.5,1.2,4.4,6.2,1.41
34,Danny Cox\coxda01,26,STL,12,13,.480,2.90,32,32,0,8,0,0,220.0,189,85,71,14,60,6,108,2,4,3,881,126,3.46,1.132,7.7,0.6,2.5,4.4,1.80
35,Ron Darling\darliro01,25,NYM,15,6,.714,2.81,34,34,0,4,2,0,237.0,203,84,74,21,81,2,184,3,3,7,967,128,3.43,1.198,7.7,0.8,3.1,7.0,2.27
36,Danny Darwin\darwida01,30,HOU,5,2,.714,2.32,12,8,2,1,0,0,54.1,50,19,14,3,9,0,40,0,1,2,222,155,2.51,1.086,8.3,0.5,1.5,6.6,4.44
37,Mark Davis*\davisma01,25,SFG,5,7,.417,2.99,67,2,20,0,0,4,84.1,63,33,28,6,34,7,90,1,0,3,342,119,2.81,1.150,6.7,0.6,3.6,9.6,2.65
38,Ron Davis\davisro02,30,CHC,0,2,.000,7.65,17,0,5,0,0,0,20.0,31,18,17,3,3,0,10,0,1,0,91,54,4.17,1.700,14.0,1.4,1.4,4.5,3.33
39,Ken Dayley*\dayleke01,27,STL,0,3,.000,3.26,31,0,13,0,0,5,38.2,42,19,14,1,11,3,33,1,0,0,170,113,2.33,1.371,9.8,0.2,2.6,7.7,3.00
40,Jeff Dedmon\dedmoje01,26,ATL,6,6,.500,2.98,57,0,22,0,0,3,99.2,90,43,33,8,39,5,58,4,2,3,424,133,3.94,1.294,8.1,0.7,3.5,5.2,1.49
41,Jose DeLeon\deleojo01,25,PIT,1,3,.250,8.27,9,1,5,0,0,1,16.1,17,16,15,2,17,3,11,1,0,1,83,48,6.32,2.082,9.4,1.1,9.4,6.1,0.65
42,John Denny\dennyjo01,33,CIN,11,10,.524,4.20,27,27,0,2,1,0,171.1,179,89,80,15,56,9,115,4,1,2,731,92,3.62,1.372,9.4,0.8,2.9,6.0,2.05
43,Jim Deshaies*\deshaji01,26,HOU,12,5,.706,3.25,26,26,0,1,1,0,144.0,124,58,52,16,59,2,128,2,7,0,599,110,3.71,1.271,7.8,1.0,3.7,8.0,2.17
