Rk,Name,Age,Tm,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB,Pos Summary
1,Don Aase\aasedo01,35,LAD,32,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,1
2,Shawn Abner\abnersh01,24,SDP,91,198,184,17,45,9,0,1,15,2,3,9,28,.245,.286,.310,.595,64,57,3,2,2,1,1,87/9
3,Juan Agosto*\agostju01,32,HOU,82,2,2,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,-100,0,0,0,0,0,0,1
4,Darrel Akerfelds\akerfda01,28,PHI,71,6,6,0,1,0,0,0,0,0,0,0,3,.167,.167,.167,.333,-7,1,0,0,0,0,0,1
5,Mike Aldrete*\aldremi01,29,MON,96,200,161,22,39,7,1,1,18,1,2,37,31,.242,.385,.317,.702,100,51,2,1,0,1,2,739
6,Roberto Alomar#\alomaro01,22,SDP,147,646,586,80,168,27,5,6,60,24,7,48,72,.287,.340,.381,.721,98,223,16,2,5,5,1,*4/6
7,Moises Alou\aloumo01,23,TOT,16,21,20,4,4,0,1,0,0,0,0,0,3,.200,.200,.300,.500,38,6,1,0,1,0,0,/789
8,Moises Alou\aloumo01,23,PIT,2,5,5,0,1,0,0,0,0,0,0,0,0,.200,.200,.200,.400,13,1,1,0,0,0,0,/7
9,Moises Alou\aloumo01,23,MON,14,16,15,4,3,0,1,0,0,0,0,0,3,.200,.200,.333,.533,47,5,0,0,1,0,0,/897
10,Larry Andersen\anderla02,37,HOU,50,4,3,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,-100,0,0,0,1,0,0,1
11,Dave Anderson\anderda02,29,SFG,60,104,100,14,35,5,1,1,6,1,2,3,20,.350,.369,.450,.819,129,45,2,0,1,0,0,64/35
12,Scott Anderson\andersc01,27,MON,4,5,4,0,0,0,0,0,0,0,0,0,3,.000,.000,.000,.000,-100,0,0,0,1,0,0,/1
13,Eric Anthony*\anthoer01,22,HOU,84,277,239,26,46,8,0,10,29,5,0,29,78,.192,.279,.351,.630,75,84,4,2,1,6,3,97
14,Jack Armstrong\armstja01,25,CIN,29,62,47,2,5,0,0,0,3,0,0,0,21,.106,.143,.106,.249,-31,5,2,2,13,0,0,1
15,Paul Assenmacher*\assenpa01,29,CHC,74,10,8,0,0,0,0,0,0,0,0,0,3,.000,.000,.000,.000,-100,0,0,0,2,0,0,1
16,Steve Avery*\averyst01,20,ATL,21,32,30,1,4,0,0,0,0,0,0,0,7,.133,.133,.133,.267,-28,4,1,0,2,0,0,1
17,Wally Backman#\backmwa01,30,PIT,104,361,315,62,92,21,3,2,28,6,3,42,53,.292,.374,.397,.771,117,125,5,1,0,3,1,54
18,Kevin Baez\baezke01,23,NYM,5,12,12,0,2,1,0,0,0,0,0,0,0,.167,.167,.250,.417,13,3,2,0,0,0,0,/6
19,Mark Bailey#\bailema01,28,SFG,5,7,7,1,1,0,0,1,3,0,0,0,2,.143,.143,.571,.714,90,4,0,0,0,0,0,/2
20,Doug Bair\bairdo01,40,PIT,22,1,1,0,0,0,0,0,0,0,0,0,1,.000,.000,.000,.000,-100,0,0,0,0,0,0,1
21,Jeff Baldwin*\baldwje01,24,HOU,7,9,8,1,0,0,0,0,0,0,0,1,2,.000,.111,.000,.111,-66,0,0,0,0,0,0,/79
22,Brian Barnes*\barnebr01,23,MON,4,10,9,0,0,0,0,0,0,0,0,1,7,.000,.100,.000,.100,-69,0,0,0,0,0,0,/1
23,Kevin Bass#\basske01,31,SFG,61,233,214,25,54,9,1,7,32,2,2,14,26,.252,.303,.402,.705,96,86,5,2,2,1,3,9
24,Billy Bates*\batesbi01,26,CIN,8,5,5,2,0,0,0,0,0,2,1,0,2,.000,.000,.000,.000,-100,0,0,0,0,0,0,/4
25,Bill Bathe\bathebi01,29,SFG,52,56,48,3,11,0,1,3,12,0,0,7,12,.229,.321,.458,.780,116,22,2,0,0,1,2,/2
26,Steve Bedrosian\bedrost01,32,SFG,68,4,4,0,2,0,0,0,1,0,0,0,1,.500,.500,.500,1.000,182,2,0,0,0,0,0,1
27,Tim Belcher\belchti01,28,LAD,24,54,43,5,7,1,0,0,1,0,0,0,15,.163,.200,.186,.386,9,8,1,2,9,0,0,1
28,Stan Belinda\belinst01,23,PIT,55,6,5,0,0,0,0,0,0,0,0,0,3,.000,.000,.000,.000,-100,0,0,0,1,0,0,1
29,Jay Bell\bellja01,24,PIT,159,696,583,93,148,28,7,7,52,10,6,65,109,.254,.329,.362,.691,94,211,14,3,39,6,0,*6
30,Mike Bell*\bellmi01,22,ATL,36,48,45,8,11,5,1,1,5,0,1,2,9,.244,.292,.467,.758,102,21,4,1,0,0,0,3
31,Rafael Belliard\bellira01,28,PIT,47,61,54,10,11,3,0,0,6,1,2,5,13,.204,.283,.259,.543,54,14,2,1,1,0,0,46/5
32,Andy Benes\benesan01,22,SDP,32,68,60,2,6,1,0,0,2,0,0,2,25,.100,.127,.117,.244,-32,7,1,0,5,1,0,1
33,Mike Benjamin\benjami01,24,SFG,22,59,56,7,12,3,1,2,3,1,0,3,10,.214,.254,.411,.665,83,23,2,0,0,0,1,6
34,Todd Benzinger#\benzito01,27,CIN,118,408,376,35,95,14,2,5,46,3,4,19,69,.253,.291,.340,.631,70,128,3,4,2,7,4,37
35,Geronimo Berroa\berroge01,25,ATL,7,5,4,0,0,0,0,0,0,0,0,1,1,.000,.200,.000,.200,-41,0,0,0,0,0,1,/7
36,Damon Berryhill#\berryda01,26,CHC,17,59,53,6,10,4,0,1,9,0,0,5,14,.189,.254,.321,.575,53,17,3,0,0,1,1,2
37,Mike Bielecki\bielemi01,30,CHC,36,55,43,3,7,0,0,0,1,0,0,2,20,.163,.200,.163,.363,-2,7,0,0,10,0,0,1
38,Craig Biggio\biggicr01,24,HOU,150,621,555,53,153,24,2,4,42,25,11,53,79,.276,.342,.348,.689,93,193,11,3,9,1,1,*287/9
39,Dann Bilardello\bilarda01,31,PIT,19,43,37,1,2,0,0,0,3,0,0,4,10,.054,.146,.054,.200,-41,2,0,0,2,0,1,2
40,Tim Birtsas*\birtsti01,29,CIN,29,7,4,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,-100,0,0,0,3,0,0,1
41,Kevin Blankenship\blankke01,27,CHC,3,4,4,0,0,0,0,0,0,0,0,0,3,.000,.000,.000,.000,-100,0,0,0,0,0,0,/1
42,Jeff Blauser\blausje01,24,ATL,115,429,386,46,104,24,3,8,39,3,5,35,70,.269,.338,.409,.747,101,158,4,5,3,0,1,64/58
43,Joe Boever\boevejo01,29,TOT,67,3,3,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,-100,0,0,0,0,0,0,1
44,Joe Boever\boevejo01,29,ATL,33,2,2,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,-100,0,0,0,0,0,0,1
45,Joe Boever\boevejo01,29,PHI,34,1,1,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,-100,0,0,0,0,0,0,1
46,Barry Bonds*\bondsba01,25,PIT,151,621,519,104,156,32,3,33,114,52,13,93,83,.301,.406,.565,.970,170,293,8,3,0,6,15,*7/8
47,Bobby Bonilla#\bonilbo01,27,PIT,160,686,625,112,175,39,7,32,120,4,3,45,103,.280,.322,.518,.841,132,324,11,1,0,15,9,*95/3
48,Greg Booker\bookegr01,30,SFG,2,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,/1
49,Rod Booker*\bookero01,31,PHI,73,148,131,19,29,5,2,0,10,3,1,15,26,.221,.301,.290,.591,65,38,7,0,2,0,7,645
50,Shawn Boskie\boskish01,23,CHC,15,38,36,1,8,3,0,0,3,0,0,0,8,.222,.222,.306,.528,40,11,0,0,2,0,0,1
51,Daryl Boston*\bostoda01,27,NYM,115,396,366,65,100,21,2,12,45,18,7,28,50,.273,.328,.440,.768,110,161,7,2,0,0,2,*8/7
52,Oil Can Boyd\boydoi01,30,MON,31,71,59,1,3,0,0,0,0,0,0,0,20,.051,.051,.051,.102,-71,3,1,0,12,0,0,1
53,Glenn Braggs\bragggl01,27,CIN,72,231,201,22,60,9,1,6,28,3,4,26,43,.299,.385,.443,.828,123,89,3,3,0,1,1,97
54,Jeff Brantley\brantje01,26,SFG,55,11,7,1,2,1,0,0,2,0,0,0,1,.286,.286,.429,.714,98,3,0,0,4,0,0,1
55,Sid Bream*\breamsi01,29,PIT,147,448,389,39,105,23,2,15,67,8,4,48,65,.270,.349,.455,.804,124,177,6,2,4,5,5,*3
56,Rod Brewer*\brewero01,24,STL,14,25,25,4,6,1,0,0,2,0,0,0,4,.240,.240,.280,.520,43,7,1,0,0,0,0,/3
