Rk,Name,Age,Tm,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,ERA+,FIP,WHIP,H9,HR9,BB9,SO9,SO/W
1,Santo Alcala\alcalsa01,23,CIN,11,4,.733,4.70,30,21,3,3,1,0,132.0,131,72,69,12,67,3,67,3,2,3,583,75,4.39,1.500,8.9,0.8,4.6,4.6,1.00
2,Joaquin Andujar\andujjo01,23,HOU,9,10,.474,3.60,28,25,1,9,4,0,172.1,163,74,69,8,75,2,59,1,5,1,729,89,3.87,1.381,8.5,0.4,3.9,3.1,0.79
3,Bob Apodaca\apodabo01,26,NYM,3,7,.300,2.81,43,3,30,0,0,5,89.2,71,34,28,4,29,12,45,3,0,0,364,117,3.28,1.115,7.1,0.4,2.9,4.5,1.55
4,Bill Atkinson\atkinbi01,21,MON,0,0,,0.00,4,0,0,0,0,0,5.0,3,0,0,0,1,1,4,0,0,2,18,,1.63,0.800,5.4,0.0,1.8,7.2,4.00
5,Al Autry\autryal01,24,ATL,1,0,1.000,5.40,1,1,0,0,0,0,5.0,4,3,3,2,3,0,3,0,0,0,21,76,8.43,1.400,7.2,3.6,5.4,5.4,1.00
6,Doug Bair\bairdo01,26,PIT,0,0,,5.68,4,0,1,0,0,0,6.1,4,4,4,0,5,1,4,0,0,0,28,65,3.74,1.421,5.7,0.0,7.1,5.7,0.80
7,Rick Baldwin\baldwri01,23,NYM,0,0,,2.38,11,0,4,0,0,0,22.2,14,6,6,0,10,1,9,2,0,0,89,140,3.43,1.059,5.6,0.0,4.0,3.6,0.90
8,Mike Barlow\barlomi01,28,HOU,2,2,.500,4.50,16,0,7,0,0,0,22.0,27,13,11,0,17,1,11,0,0,1,107,72,3.95,2.000,11.0,0.0,7.0,4.5,0.65
9,Jim Barr\barrji01,28,SFG,15,12,.556,2.89,37,37,0,8,3,0,252.1,260,104,81,9,60,7,75,2,2,3,1056,125,3.24,1.268,9.3,0.3,2.1,2.7,1.25
10,Mike Beard*\beardmi01,26,ATL,0,2,.000,4.28,30,0,11,0,0,1,33.2,38,18,16,1,14,3,8,0,2,2,150,90,3.79,1.545,10.2,0.3,3.7,2.1,0.57
11,Jack Billingham\billija01,33,CIN,12,10,.545,4.32,34,29,3,5,2,1,177.0,190,96,85,17,62,5,76,4,0,9,762,81,4.14,1.424,9.7,0.9,3.2,3.9,1.23
12,Dennis Blair\blairde01,22,MON,0,2,.000,4.02,5,4,0,1,0,0,15.2,21,11,7,1,11,0,9,2,0,1,84,95,4.80,2.043,12.1,0.6,6.3,5.2,0.82
13,Bill Bonham\bonhabi01,27,CHC,9,13,.409,4.27,32,31,0,3,0,0,196.0,215,102,93,11,96,2,110,2,2,10,879,90,3.74,1.587,9.9,0.5,4.4,5.1,1.15
14,Pedro Borbon\borbope01,29,CIN,4,3,.571,3.35,69,1,26,0,0,8,121.0,135,49,45,4,31,11,53,4,1,3,515,105,3.05,1.372,10.0,0.3,2.3,3.9,1.71
15,Ray Burris\burrira01,25,CHC,15,13,.536,3.11,37,36,0,10,4,0,249.0,251,102,86,22,70,5,112,5,1,7,1053,123,3.79,1.289,9.1,0.8,2.5,4.0,1.60
16,Mike Caldwell*\caldwmi01,27,SFG,1,7,.125,4.86,50,9,19,0,0,2,107.1,145,74,58,5,20,2,55,2,0,7,480,75,2.83,1.537,12.2,0.4,1.7,4.6,2.75
17,Rick Camp\campri01,23,ATL,0,1,.000,6.35,5,1,2,0,0,0,11.1,13,9,8,0,2,0,6,0,0,0,46,62,2.10,1.324,10.3,0.0,1.6,4.8,3.00
18,John Candelaria*\candejo01,22,PIT,16,7,.696,3.15,32,31,1,11,4,1,220.0,173,87,77,22,60,5,138,2,0,0,881,110,3.52,1.059,7.1,0.9,2.5,5.6,2.30
19,Doug Capilla*\capildo01,24,STL,1,0,1.000,5.40,7,0,2,0,0,0,8.1,8,5,5,0,4,0,5,0,1,2,37,69,2.87,1.440,8.6,0.0,4.3,5.4,1.25
20,Buzz Capra\caprabu01,28,ATL,0,1,.000,8.68,5,0,2,0,0,0,9.1,9,9,9,0,6,2,4,0,0,0,44,46,3.70,1.607,8.7,0.0,5.8,3.9,0.67
21,Steve Carlton*\carltst01,31,PHI,20,7,.741,3.13,35,35,0,13,2,0,252.2,224,94,88,19,72,4,195,1,3,8,1031,113,2.93,1.172,8.0,0.7,2.6,6.9,2.71
22,Don Carrithers\carrido01,26,MON,6,12,.333,4.43,34,19,3,2,0,0,140.1,153,84,69,9,78,13,71,7,0,8,642,84,4.27,1.646,9.8,0.6,5.0,4.6,0.91
23,Larry Christenson\chrisla01,22,PHI,13,8,.619,3.68,32,29,1,2,0,0,168.2,199,77,69,8,42,4,54,1,1,4,727,96,3.37,1.429,10.6,0.4,2.2,2.9,1.29
