Rk,Name,Age,Tm,Yrs,G,GS,Batting,Defense,P,C,1B,2B,3B,SS,LF,CF,RF,OF,PH,PR
192,Don Kessinger\kessido01,33,STL,13,145,134,145,145,0,0,0,31,2,113,0,0,0,0,1,1
193,Dave Kingman\kingmda01,27,NYM,6,123,120,123,120,0,0,16,0,0,0,5,0,106,111,3,0
194,Clay Kirby\kirbycl01,28,MON,8,22,15,22,22,22,0,0,0,0,0,0,0,0,0,0,0
195,Ed Kirkpatrick\kirkped01,31,PIT,15,83,25,83,35,0,0,25,0,1,0,3,4,2,9,51,0
196,Bruce Kison\kisonbr01,26,PIT,6,31,29,31,31,31,0,0,0,0,0,0,0,0,0,0,0
197,Jay Kleven\kleveja01,26,NYM,1st,2,0,2,2,0,2,0,0,0,0,0,0,0,0,2,0
198,Bob Knepper\kneppbo01,22,SFG,1st,4,4,4,4,4,0,0,0,0,0,0,0,0,0,0,0
199,Darold Knowles\knowlda01,34,CHC,12,58,0,58,58,58,0,0,0,0,0,0,0,0,0,0,0
200,Jerry Koosman\koosmje01,33,NYM,10,34,32,34,34,34,0,0,0,0,0,0,0,0,0,0,0
201,Ed Kranepool\kraneed01,31,NYM,15,123,106,123,113,0,0,86,0,0,0,23,0,8,31,13,0
202,Mike Krukow\krukomi01,24,CHC,1st,2,0,2,2,2,0,0,0,0,0,0,0,0,0,0,0
203,Ted Kubiak\kubiate01,34,SDP,10,96,45,96,59,0,0,1,25,27,6,0,0,0,0,44,0
204,Pete LaCock\lacocpe01,24,CHC,5,106,59,106,70,0,0,52,0,0,0,7,0,14,21,42,0
205,Frank LaCorte\lacorfr01,24,ATL,2,21,17,21,19,19,0,0,0,0,0,0,0,0,0,0,2
206,Lee Lacy\lacyle01,28,2TM,5,103,82,103,89,0,0,0,46,4,0,6,27,11,42,19,0
207,Lerrin LaGrow\lagrole01,27,STL,6,8,2,8,8,8,0,0,0,0,0,0,0,0,0,0,0
208,Larry Landreth\landrla01,21,MON,1st,3,3,3,3,3,0,0,0,0,0,0,0,0,0,0,0
209,Chip Lang\langch01,23,MON,2,29,2,29,29,29,0,0,0,0,0,0,0,0,0,0,0
210,Rick Langford\langfri01,24,PIT,1st,12,1,12,12,12,0,0,0,0,0,0,0,0,0,0,0
211,Dan Larson\larsoda01,21,HOU,1st,14,13,14,13,13,0,0,0,0,0,0,0,0,0,0,1
212,Gary Lavelle\lavelga01,27,SFG,3,65,0,65,65,65,0,0,0,0,0,0,0,0,0,0,0
213,Leron Lee\leele02,28,LAD,8,23,8,23,10,0,0,0,0,0,0,0,0,10,10,14,0
214,Johnnie LeMaster\lemasjo01,22,SFG,2,33,28,33,31,0,0,0,0,0,31,0,0,0,0,0,5
215,Mark Lemongello\lemonma01,20,HOU,1st,4,4,4,4,4,0,0,0,0,0,0,0,0,0,0,0
216,Max Leon\leonma01,26,ATL,4,30,0,30,30,30,0,0,0,0,0,0,0,0,0,0,0
217,Randy Lerch\lerchra01,21,PHI,2,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0
218,Dennis Lewallyn\lewalde01,22,LAD,2,4,2,4,4,4,0,0,0,0,0,0,0,0,0,0,0
219,Gene Locklear\locklge01,26,SDP,4,43,11,43,11,0,0,0,0,0,0,11,0,0,11,32,0
220,Skip Lockwood\lockwsk01,29,NYM,9,56,0,56,56,56,0,0,0,0,0,0,0,0,0,0,0
221,Mickey Lolich\lolicmi01,35,NYM,14,31,30,31,31,31,0,0,0,0,0,0,0,0,0,0,0
222,Jim Lonborg\lonboji01,34,PHI,12,33,32,33,33,33,0,0,0,0,0,0,0,0,0,0,0
223,Davey Lopes\lopesda01,31,LAD,5,117,113,117,115,0,0,0,100,0,0,0,19,0,19,0,3
224,Mike Lum\lummi01,30,CIN,10,84,27,84,38,0,0,0,0,0,0,34,1,5,38,48,0
225,Greg Luzinski\luzingr01,25,PHI,7,149,144,149,144,0,0,0,0,0,0,144,0,0,144,5,0
226,Jim Lyttle\lyttlji01,30,2TM,8,65,34,65,47,0,0,0,0,0,0,13,17,21,47,21,2
227,Pete Mackanin\mackape01,24,MON,4,114,101,114,108,0,0,0,100,8,3,1,0,0,1,4,3
228,Garry Maddox\maddoga01,26,PHI,5,146,141,146,143,0,0,0,0,0,0,0,143,0,143,2,0
229,Bill Madlock\madlobi01,25,CHC,4,142,135,142,136,0,0,0,0,136,0,0,0,0,0,7,0
230,Pepe Mangual\mangupe01,24,2TM,5,107,85,107,100,0,0,0,0,0,0,46,57,7,100,4,11
231,Mike Marshall\marshmi01,33,2TM,9,54,0,54,54,54,0,0,0,0,0,0,0,0,0,0,0
232,Jerry Martin\martije01,27,PHI,3,130,15,130,111,0,0,1,0,0,0,74,25,16,111,26,40
233,Jon Matlack\matlajo01,26,NYM,6,35,35,35,35,35,0,0,0,0,0,0,0,0,0,0,0
234,Gary Matthews\matthga01,25,SFG,5,156,155,156,156,0,0,0,0,0,0,156,0,0,156,1,0
235,Dave May\mayda01,32,ATL,10,105,47,105,60,0,0,0,0,0,0,40,0,22,60,53,0
236,Lee Mazzilli\mazzile01,21,NYM,1st,24,20,24,23,0,0,0,0,0,0,2,21,0,23,3,0
237,Bake McBride\mcbriba01,27,STL,4,72,64,72,66,0,0,0,0,0,0,0,66,0,66,8,0
238,Tim McCarver\mccarti01,34,PHI,17,90,38,90,43,0,41,2,0,0,0,0,0,0,0,49,0
239,Willie McCovey\mccovwi01,38,SDP,18,71,51,71,51,0,0,51,0,0,0,0,0,0,0,20,0
240,Will McEnaney\mcenawi01,24,CIN,3,55,0,55,55,55,0,0,0,0,0,0,0,0,0,0,0
241,Lynn McGlothen\mcgloly01,26,STL,5,33,32,33,33,33,0,0,0,0,0,0,0,0,0,0,0
242,Tug McGraw\mcgratu01,31,PHI,11,58,0,58,58,58,0,0,0,0,0,0,0,0,0,0,0
243,Bo McLaughlin\mclaubo01,22,HOU,1st,17,11,17,17,17,0,0,0,0,0,0,0,0,0,0,0
244,Doc Medich\medicdo01,27,PIT,5,29,26,29,29,29,0,0,0,0,0,0,0,0,0,0,0
245,Sam Mejias\mejiasa01,24,STL,1st,18,5,18,17,0,0,0,0,0,0,4,1,13,17,0,7
246,Luis Melendez\melenlu01,26,2TM,7,92,23,92,68,0,0,0,0,0,0,28,33,10,68,29,10
247,Mario Mendoza\mendoma01,25,PIT,3,50,24,50,48,0,0,0,1,2,45,0,0,0,0,1,8
248,Andy Messersmith\messean01,30,ATL,9,29,28,29,29,29,0,0,0,0,0,0,0,0,0,0,0
249,Butch Metzger\metzgbu01,24,SDP,3,77,0,77,77,77,0,0,0,0,0,0,0,0,0,0,0
