Rk,Name,Age,Tm,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB,Pos Summary
1,Luis Aguayo\aguaylu01,22,PHI,45,94,84,11,18,4,0,1,7,1,0,6,15,.214,.283,.298,.580,62,25,0,2,2,0,0,46/5
2,Doyle Alexander\alexado01,30,SFG,24,58,51,5,9,4,0,0,6,0,0,2,12,.176,.204,.255,.459,31,13,2,0,4,1,0,1
3,Gary Alexander\alexaga01,28,PIT,21,51,47,6,10,4,1,1,6,0,0,3,12,.213,.255,.404,.659,82,19,1,0,0,1,0,/379
4,Matt Alexander#\alexama01,34,PIT,15,11,11,5,4,0,0,0,0,3,2,0,1,.364,.364,.364,.727,104,4,0,0,0,0,0,/87
5,Neil Allen\allenne01,23,NYM,43,7,5,0,1,0,1,0,0,0,0,0,4,.200,.200,.600,.800,122,3,0,0,2,0,0,1
6,Jose Alvarez\alvarjo01,25,ATL,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,/1
7,Joaquin Andujar#\andujjo01,28,TOT,21,26,23,0,0,0,0,0,0,0,0,1,12,.000,.042,.000,.042,-87,0,0,0,2,0,0,1
8,Joaquin Andujar#\andujjo01,28,HOU,9,6,4,0,0,0,0,0,0,0,0,1,3,.000,.200,.000,.200,-38,0,0,0,1,0,0,/1
9,Joaquin Andujar#\andujjo01,28,STL,12,20,19,0,0,0,0,0,0,0,0,0,9,.000,.000,.000,.000,-100,0,0,0,1,0,0,1
10,Mike Armstrong\armstmi01,27,SDP,10,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,1
11,Alan Ashby#\ashbyal01,29,HOU,83,296,255,20,69,13,0,4,33,0,2,35,33,.271,.356,.369,.725,111,94,6,0,3,2,6,*2
12,Brian Asselstine*\asselbr01,27,ATL,56,91,86,8,22,5,0,2,10,1,0,5,7,.256,.297,.384,.680,90,33,4,0,0,0,0,9/7
13,Ramon Aviles\avilera01,29,PHI,38,34,28,2,6,1,0,0,3,0,0,3,5,.214,.290,.250,.540,52,7,0,0,3,0,0,45/6
14,Wally Backman#\backmwa01,21,NYM,26,42,36,5,10,2,0,0,0,1,0,4,7,.278,.350,.333,.683,97,12,0,0,2,0,0,4/5
15,Stan Bahnsen\bahnsst01,36,MON,25,9,9,0,1,0,0,0,0,0,0,0,4,.111,.111,.111,.222,-37,1,0,0,0,0,0,1
16,Bob Bailor\bailobo01,29,NYM,51,95,81,11,23,3,1,0,8,2,0,8,11,.284,.352,.346,.697,101,28,3,1,4,1,0,647/95
17,Doug Bair\bairdo01,31,TOT,35,6,6,1,1,0,0,1,3,0,0,0,4,.167,.167,.667,.833,126,4,0,0,0,0,0,1
18,Doug Bair\bairdo01,31,CIN,24,3,3,1,1,0,0,1,3,0,0,0,1,.333,.333,1.333,1.667,352,4,0,0,0,0,0,1
19,Doug Bair\bairdo01,31,STL,11,3,3,0,0,0,0,0,0,0,0,0,3,.000,.000,.000,.000,-100,0,0,0,0,0,0,1
20,Dusty Baker\bakerdu01,32,LAD,103,438,400,48,128,17,3,9,49,10,7,29,43,.320,.363,.445,.808,132,178,9,1,3,5,1,*7
21,German Barranca*\barrage01,24,CIN,9,6,6,2,2,0,0,0,1,0,0,0,0,.333,.333,.333,.667,89,2,0,0,0,0,0,
22,Randy Bass*\bassra01,27,SDP,69,201,176,13,37,4,1,4,20,0,1,20,28,.210,.293,.313,.605,77,55,7,1,3,1,1,3
23,Steve Bedrosian\bedrost01,23,ATL,15,2,2,0,0,0,0,0,0,0,0,0,1,.000,.000,.000,.000,-100,0,0,0,0,0,0,1
24,Johnny Bench\benchjo01,33,CIN,52,196,178,14,55,8,0,8,25,0,2,17,21,.309,.369,.489,.858,141,87,4,0,1,0,3,3/2
25,Bruce Benedict\benedbr01,25,ATL,90,339,295,26,78,12,1,5,35,1,1,33,21,.264,.341,.363,.704,98,107,8,3,5,3,4,*2
26,Bruce Berenyi\berenbr01,26,CIN,21,48,42,4,8,3,0,0,1,0,0,2,18,.190,.222,.262,.484,36,11,1,0,3,1,0,1
27,Dave Bergman*\bergmda01,28,TOT,69,173,151,17,38,9,0,4,14,2,0,19,18,.252,.333,.391,.724,107,59,4,0,2,1,3,37
28,Dave Bergman*\bergmda01,28,HOU,6,6,6,1,1,0,0,1,1,0,0,0,0,.167,.167,.667,.833,133,4,0,0,0,0,0,/3
29,Dave Bergman*\bergmda01,28,SFG,63,167,145,16,37,9,0,3,13,2,0,19,18,.255,.339,.379,.719,106,55,4,0,2,1,3,37
30,Dale Berra\berrada01,24,PIT,81,257,232,21,56,12,0,2,27,11,1,17,34,.241,.302,.319,.621,74,74,3,3,2,0,4,564
31,Kurt Bevacqua\bevacku01,34,PIT,29,34,27,2,7,1,0,1,4,0,0,4,6,.259,.333,.407,.741,107,11,1,0,1,2,0,/45
32,Jim Bibby\bibbyji01,36,PIT,14,34,28,4,4,2,0,1,3,0,0,1,11,.143,.200,.321,.521,44,9,0,1,4,0,0,1
33,Larry Biittner*\biittla01,34,CIN,42,66,61,1,13,4,0,0,8,0,0,4,4,.213,.258,.279,.536,51,17,3,0,0,1,1,/39
34,Doug Bird\birddo01,31,CHC,12,23,20,0,2,0,0,0,0,0,0,1,11,.100,.143,.100,.243,-31,2,0,0,2,0,0,1
35,Tim Blackwell#\blackti01,28,CHC,58,182,158,21,37,10,2,1,11,2,1,23,23,.234,.331,.342,.673,89,54,2,0,1,0,4,2
36,Vida Blue#\bluevi01,31,SFG,18,43,35,4,7,2,0,0,1,0,0,3,10,.200,.263,.257,.520,50,9,1,0,5,0,0,1
37,Tommy Boggs\boggsto01,25,ATL,25,47,46,2,7,1,0,0,3,0,0,0,6,.152,.152,.174,.326,-8,8,1,0,1,0,0,1
38,Dan Boitano\boitada01,28,NYM,16,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,1
39,Bobby Bonds\bondsbo01,35,CHC,45,190,163,26,35,7,1,6,19,5,6,24,44,.215,.323,.380,.703,96,62,4,2,1,0,5,8/9
40,Juan Bonilla\bonilju01,25,SDP,99,407,369,30,107,13,2,1,25,4,9,25,23,.290,.337,.344,.681,99,127,7,2,9,2,5,*4
41,Bob Boone\boonebo01,33,PHI,76,253,227,19,48,7,0,4,24,2,2,22,16,.211,.279,.295,.574,60,67,6,0,2,2,2,*2
42,Danny Boone*\booneda02,27,SDP,37,5,4,0,2,0,0,0,0,0,0,0,0,.500,.500,.500,1.000,193,2,0,0,1,0,0,1
43,Larry Bowa#\bowala01,35,PHI,103,391,360,34,102,14,3,0,31,16,7,26,17,.283,.331,.339,.670,87,122,8,0,4,1,2,*6
44,Doe Boyland*\boylado01,26,PIT,11,9,8,0,0,0,0,0,0,0,0,1,3,.000,.111,.000,.111,-67,0,0,0,0,0,0,
45,Larry Bradford\bradfla01,31,ATL,25,1,1,1,1,0,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,464,1,0,0,0,0,0,1
46,Mark Bradley\bradlma01,24,LAD,9,6,6,2,1,1,0,0,0,0,0,0,1,.167,.167,.333,.500,41,2,0,0,0,0,0,/97
47,Steve Braun*\braunst01,33,STL,44,62,46,9,9,2,1,0,2,1,0,15,7,.196,.393,.283,.676,93,13,1,0,1,0,0,/795
48,Fred Breining\breinfr01,25,SFG,45,13,11,0,0,0,0,0,0,0,0,1,7,.000,.083,.000,.083,-74,0,0,0,1,0,0,1
49,Bob Brenly\brenlbo01,27,SFG,19,52,45,5,15,2,1,1,4,0,1,6,4,.333,.423,.489,.912,161,22,1,1,0,0,0,2/57
50,Dan Briggs*\briggda01,28,MON,9,11,11,0,1,0,0,0,0,0,1,0,3,.091,.091,.091,.182,-48,1,0,0,0,0,0,/3879
51,Hubie Brooks\brookhu01,24,NYM,98,389,358,34,110,21,2,4,38,9,5,23,65,.307,.345,.411,.756,116,147,9,1,1,6,2,*5/976
52,Scott Brown\brownsc01,24,CIN,10,1,1,0,0,0,0,0,0,0,0,0,1,.000,.000,.000,.000,-100,0,0,0,0,0,0,1
53,Glenn Brummer\brummgl01,26,STL,21,33,30,2,6,1,0,0,2,0,0,1,2,.200,.219,.233,.452,27,7,1,0,1,1,0,2
54,Warren Brusstar\brusswa01,29,PHI,14,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,1
55,Bill Buckner*\bucknbi01,31,CHC,106,453,421,45,131,35,3,10,75,5,2,26,16,.311,.349,.480,.829,130,202,17,1,0,5,9,*3
56,Ray Burris\burrira01,30,MON,22,49,37,4,7,0,0,0,2,0,0,4,12,.189,.262,.189,.451,30,7,0,0,7,1,0,1
57,Brett Butler*\butlebr01,24,ATL,40,145,126,17,32,2,3,0,4,9,1,19,17,.254,.352,.317,.669,89,40,0,0,0,0,0,78/9
58,Marty Bystrom\bystrma01,22,PHI,9,18,17,0,2,0,0,0,0,0,1,0,10,.118,.118,.118,.235,-34,2,0,0,1,0,0,/1
59,Enos Cabell\cabelen01,31,SFG,96,413,396,41,101,20,1,2,36,6,7,10,47,.255,.274,.326,.600,72,129,6,1,4,2,0,*35
60,Ernie Camacho\camacer01,26,PIT,7,5,4,0,0,0,0,0,0,0,0,0,1,.000,.000,.000,.000,-100,0,0,0,1,0,0,/1
61,Rick Camp\campri01,28,ATL,48,13,12,1,0,0,0,0,0,0,0,0,6,.000,.000,.000,.000,-100,0,0,0,1,0,0,1
62,John Candelaria*\candejo01,27,PIT,6,16,13,0,3,0,0,0,3,0,0,0,1,.231,.214,.231,.445,25,3,0,0,2,1,0,/1
63,Doug Capilla*\capildo01,29,CHC,42,3,3,0,0,0,0,0,0,0,0,0,1,.000,.000,.000,.000,-100,0,0,0,0,0,0,1
64,Steve Carlton*\carltst01,36,PHI,24,71,67,5,9,2,2,0,4,0,0,2,16,.134,.159,.224,.383,6,15,2,0,2,0,0,1
65,Gary Carter\cartega01,27,MON,100,419,374,48,94,20,2,16,68,1,5,35,35,.251,.313,.444,.756,112,166,6,1,3,6,4,*2/3
66,Bobby Castillo\castibo01,26,LAD,34,9,9,1,4,2,0,0,1,0,0,0,2,.444,.444,.667,1.111,217,6,0,0,0,0,0,1
67,Bill Caudill\caudibi01,24,CHC,30,17,14,0,2,0,0,0,1,0,0,2,6,.143,.250,.143,.393,12,2,0,0,1,0,0,1
68,Cesar Cedeno\cedence01,30,HOU,82,338,306,42,83,19,0,5,34,12,7,24,31,.271,.321,.382,.704,104,117,6,1,2,5,2,38
69,Ron Cey\ceyro01,33,LAD,85,359,312,42,90,15,2,13,50,0,2,40,55,.288,.372,.474,.846,143,148,7,3,1,3,3,*5
70,Chris Chambliss*\chambch01,32,ATL,107,455,404,44,110,25,2,8,51,4,1,44,41,.272,.343,.403,.746,109,163,11,1,2,3,10,*3
71,Larry Christenson\chrisla01,27,PHI,20,35,30,2,3,0,0,0,1,0,0,1,16,.100,.125,.100,.225,-37,3,0,0,3,1,0,1
72,Jack Clark\clarkja01,25,SFG,99,437,385,60,103,19,2,17,53,1,1,45,45,.268,.341,.460,.801,128,177,12,1,0,6,6,*9
73,Dave Collins#\collida02,28,CIN,95,412,360,63,98,18,6,3,23,26,10,41,41,.272,.355,.381,.735,108,137,6,6,3,2,1,*9/87
