Rk,Name,Age,Tm,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,ERA+,FIP,WHIP,H9,HR9,BB9,SO9,SO/W
1,Jack Aker\akerja01,33,TOT,2,2,.500,3.57,41,0,24,0,0,2,58.0,50,29,23,7,23,3,25,2,0,1,244,104,4.58,1.259,7.8,1.1,3.6,3.9,1.09
2,Jack Aker\akerja01,33,ATL,0,1,.000,3.78,17,0,8,0,0,0,16.2,17,11,7,3,9,2,7,0,0,0,71,102,5.70,1.560,9.2,1.6,4.9,3.8,0.78
3,Jack Aker\akerja01,33,NYM,2,1,.667,3.48,24,0,16,0,0,2,41.1,33,18,16,4,14,1,18,2,0,1,173,104,4.13,1.137,7.2,0.9,3.0,3.9,1.29
4,Bob Apodaca\apodabo01,24,NYM,6,6,.500,3.50,35,8,15,1,0,3,103.0,92,47,40,7,42,9,54,2,3,3,434,103,3.69,1.301,8.0,0.6,3.7,4.7,1.29
5,Steve Arlin\arlinst01,28,SDP,1,7,.125,5.91,16,12,2,1,0,1,64.0,85,46,42,5,37,4,18,2,1,6,310,61,4.86,1.906,12.0,0.7,5.2,2.5,0.49
6,Dick Baney\baneydi01,27,CIN,1,0,1.000,5.49,22,1,9,0,0,1,41.0,51,27,25,4,17,2,12,0,0,1,188,64,4.50,1.659,11.2,0.9,3.7,2.6,0.71
7,Steve Barber*\barbest01,36,SFG,0,1,.000,5.27,13,0,6,0,0,1,13.2,13,12,8,0,12,1,13,0,0,2,66,74,3.31,1.829,8.6,0.0,7.9,8.6,1.08
8,Ray Bare\barera01,25,STL,1,2,.333,5.92,10,3,3,0,0,0,24.1,25,17,16,2,9,0,6,0,0,3,102,62,4.26,1.397,9.2,0.7,3.3,2.2,0.67
9,Jim Barr\barrji01,26,SFG,13,9,.591,2.74,44,27,5,11,5,2,239.2,223,81,73,17,47,10,84,2,4,3,959,139,3.41,1.127,8.4,0.6,1.8,3.2,1.79
10,Mike Beard*\beardmi01,24,ATL,0,0,,2.89,6,0,3,0,0,0,9.1,5,3,3,1,1,0,7,1,0,0,34,136,3.11,0.643,4.8,1.0,1.0,6.8,7.00
