Rk,Name,Age,Tm,Yrs,G,GS,Batting,Defense,P,C,1B,2B,3B,SS,LF,CF,RF,OF,PH,PR
1,Don Aase\aasedo01,34,NYM,12,49,0,49,49,49,0,0,0,0,0,0,0,0,0,0,0
2,Shawn Abner\abnersh01,23,SDP,3,57,23,57,51,0,0,0,0,0,0,22,24,6,51,8,3
3,Jim Acker\ackerji01,30,ATL,7,59,0,59,59,59,0,0,0,0,0,0,0,0,0,0,0
4,Jim Adduci\adducji01,29,PHI,4,13,3,13,5,0,0,4,0,0,0,1,0,0,1,8,1
5,Juan Agosto\agostju01,31,HOU,9,71,0,71,71,71,0,0,0,0,0,0,0,0,0,0,0
6,Rick Aguilera\aguilri01,27,NYM,5,36,0,36,36,36,0,0,0,0,0,0,0,0,0,1,0
7,Mike Aldrete\aldremi01,28,MON,4,76,28,76,45,0,0,10,0,0,0,16,3,19,37,33,0
8,Jay Aldrich\aldrija01,28,ATL,2,8,0,8,8,8,0,0,0,0,0,0,0,0,0,0,0
9,Roberto Alomar\alomaro01,21,SDP,2,158,157,158,157,0,0,0,157,0,0,0,0,0,0,1,0
10,Sandy Alomar\alomasa02,23,SDP,2,7,4,7,6,0,6,0,0,0,0,0,0,0,0,1,0
11,Jose Alvarez\alvarjo01,33,ATL,4,30,0,30,30,30,0,0,0,0,0,0,0,0,0,0,0
12,Larry Andersen\anderla02,36,HOU,12,60,0,60,60,60,0,0,0,0,0,0,0,0,0,0,0
13,Dave Anderson\anderda02,28,LAD,7,87,30,87,55,0,0,0,7,18,33,0,0,0,0,31,8
14,Eric Anthony\anthoer01,21,HOU,1st,25,16,25,21,0,0,0,0,0,0,3,0,18,21,7,0
15,Jack Armstrong\armstja01,24,CIN,2,10,8,10,9,9,0,0,0,0,0,0,0,0,0,0,1
16,Alan Ashby\ashbyal01,37,HOU,17,22,17,22,19,0,19,0,0,0,0,0,0,0,0,4,0
17,Paul Assenmacher\assenpa01,28,2TM,4,63,0,63,63,63,0,0,0,0,0,0,0,0,0,0,0
18,Doug Bair\bairdo01,39,PIT,14,44,0,44,44,44,0,0,0,0,0,0,0,0,0,0,0
19,Skeeter Barnes\barnesk01,32,CIN,5,5,0,5,0,0,0,0,0,0,0,0,0,0,0,3,2
20,Tom Barrett\barreto01,29,PHI,2,14,7,14,9,0,0,0,9,0,0,0,0,0,0,3,3
21,Kevin Bass\basske01,30,HOU,8,87,81,87,84,0,0,0,0,0,0,31,0,53,84,3,2
22,Bill Bathe\bathebi01,28,SFG,2,30,0,30,7,0,7,0,0,0,0,0,0,0,0,27,0
23,Bill Bean\beanbi01,25,LAD,3,51,17,51,44,0,0,0,0,0,0,28,11,7,44,7,8
24,Blaine Beatty\beattbl01,25,NYM,1st,2,1,2,2,2,0,0,0,0,0,0,0,0,0,0,0
25,Steve Bedrosian\bedrost01,31,2TM,9,68,0,68,68,68,0,0,0,0,0,0,0,0,0,0,0
26,Tim Belcher\belchti01,27,LAD,3,39,30,39,39,39,0,0,0,0,0,0,0,0,0,0,0
27,Stan Belinda\belinst01,22,PIT,1st,8,0,8,8,8,0,0,0,0,0,0,0,0,0,0,0
28,Jay Bell\bellja01,23,PIT,4,78,70,78,78,0,0,0,0,0,78,0,0,0,0,3,0
29,Rafael Belliard\bellira01,27,PIT,8,67,47,67,64,0,0,0,20,6,40,0,0,0,0,1,5
30,Bruce Benedict\benedbr01,33,ATL,12,66,56,66,65,0,65,0,0,0,0,0,0,0,0,1,1
31,Andy Benes\benesan01,21,SDP,1st,10,10,10,10,10,0,0,0,0,0,0,0,0,0,0,0
32,Mike Benjamin\benjami01,23,SFG,1st,14,0,14,8,0,0,0,0,0,8,0,0,0,0,1,10
33,Todd Benzinger\benzito01,26,CIN,3,161,158,161,158,0,0,158,0,0,0,0,0,0,0,3,0
34,Geronimo Berroa\berroge01,24,ATL,1st,81,26,81,34,0,0,0,0,0,0,1,0,33,34,51,0
35,Damon Berryhill\berryda01,25,CHC,3,91,84,91,89,0,89,0,0,0,0,0,0,0,0,7,0
36,Mike Bielecki\bielemi01,29,CHC,6,33,33,33,33,33,0,0,0,0,0,0,0,0,0,0,0
37,Craig Biggio\biggicr01,23,HOU,2,134,124,134,130,0,125,0,0,0,0,1,4,0,5,5,1
38,Dann Bilardello\bilarda01,30,PIT,5,33,25,33,33,0,33,0,0,0,0,0,0,0,0,0,1
39,Tim Birtsas\birtsti01,28,CIN,4,42,1,42,42,42,0,0,0,0,0,0,0,0,0,0,0
40,Kevin Blankenship\blankke01,26,CHC,2,2,0,2,2,2,0,0,0,0,0,0,0,0,0,0,0
41,Jeff Blauser\blausje01,23,ATL,3,142,113,142,138,0,0,0,39,78,30,0,2,0,2,11,2
42,Terry Blocker\blockte01,29,ATL,3,26,1,26,9,1,0,0,0,0,0,2,2,4,8,20,0
43,Joe Boever\boevejo01,28,ATL,5,66,0,66,66,66,0,0,0,0,0,0,0,0,0,0,0
44,Barry Bonds\bondsba01,24,PIT,4,159,146,159,156,0,0,0,0,0,0,156,0,0,156,9,0
45,Bobby Bonilla\bonilbo01,26,PIT,4,163,161,163,163,0,0,8,0,156,0,0,0,1,1,1,0
46,Greg Booker\bookegr01,29,SDP,7,11,0,11,11,11,0,0,0,0,0,0,0,0,0,0,0
47,Rod Booker\bookero01,30,STL,3,10,1,10,6,0,0,0,5,1,0,0,0,0,0,2,2
48,Jeff Brantley\brantje01,25,SFG,2,59,1,59,59,59,0,0,0,0,0,0,0,0,0,0,2
49,Sid Bream\breamsi01,28,PIT,7,19,13,19,13,0,0,13,0,0,0,0,0,0,0,6,0
50,Bob Brenly\brenlbo01,35,SFG,9,12,6,12,12,0,12,0,0,0,0,0,0,0,0,2,0
51,Hubie Brooks\brookhu01,32,MON,10,148,139,148,140,0,0,0,0,0,0,0,0,140,140,9,0
52,Marty Brown\brownma03,26,CIN,2,16,7,16,11,0,0,0,0,11,0,0,0,0,0,4,3
53,Tom Browning\brownto05,29,CIN,6,41,37,41,37,37,0,0,0,0,0,0,0,0,0,2,2
54,Tom Brunansky\brunato01,28,STL,9,158,150,158,155,0,0,1,0,0,0,0,1,155,155,6,0
55,Eric Bullock\bulloer01,29,PHI,4,6,0,6,3,0,0,0,0,0,0,0,1,2,3,3,1
56,Tim Burke\burketi01,30,MON,5,68,0,68,68,68,0,0,0,0,0,0,0,0,0,0,0
57,Brett Butler\butlebr01,32,SFG,9,154,149,154,152,0,0,0,0,0,0,0,152,0,152,1,2
58,Francisco Cabrera\cabrefr01,22,ATL,1st,4,3,4,3,0,1,2,0,0,0,0,0,0,0,1,0
59,Ernie Camacho\camacer01,34,SFG,9,13,0,13,13,13,0,0,0,0,0,0,0,0,0,0,0
60,Ken Caminiti\caminke01,26,HOU,3,161,159,161,160,0,0,0,0,160,0,0,0,0,0,2,0
61,John Candelaria\candejo01,35,MON,15,12,0,12,12,12,0,0,0,0,0,0,0,0,0,0,0
62,John Cangelosi\cangejo01,26,PIT,5,112,23,112,46,0,0,0,0,0,0,12,24,10,46,83,1
63,Jose Cano\canojo01,27,HOU,1st,6,3,6,6,6,0,0,0,0,0,0,0,0,0,0,0
64,Don Carman\carmado01,29,PHI,7,49,20,49,49,49,0,0,0,0,0,0,0,0,0,0,0
65,Cris Carpenter\carpecr01,24,STL,2,36,5,36,36,36,0,0,0,0,0,0,0,0,0,0,0
66,Mark Carreon\carrema01,25,NYM,3,68,26,68,39,0,0,0,0,0,0,18,0,21,39,30,2
67,Gary Carter\cartega01,35,NYM,16,50,42,50,48,0,47,1,0,0,0,0,0,0,0,5,0
68,Steve Carter\cartest01,24,PIT,1st,9,4,9,5,0,0,0,0,0,0,0,0,5,5,5,0
69,Tony Castillo\castito02,26,ATL,2,12,0,12,12,12,0,0,0,0,0,0,0,0,0,0,0
70,Norm Charlton\charlno01,26,CIN,2,69,0,69,69,69,0,0,0,0,0,0,0,0,0,0,0
71,Jim Clancy\clancji01,33,HOU,13,33,26,33,33,33,0,0,0,0,0,0,0,0,0,0,0
72,Jack Clark\clarkja01,33,SDP,15,142,141,142,141,0,0,131,0,0,0,0,0,12,12,1,0
73,Jerald Clark\clarkje01,25,SDP,2,17,10,17,14,0,0,0,0,0,0,10,0,4,14,4,1
74,Will Clark\clarkwi02,25,SFG,4,159,157,159,158,0,0,158,0,0,0,0,0,0,0,2,0
75,Marty Clary\claryma01,27,ATL,2,18,17,18,18,18,0,0,0,0,0,0,0,0,0,0,0
76,Pat Clements\clemepa01,27,SDP,5,23,1,23,23,23,0,0,0,0,0,0,0,0,0,0,0
77,Vince Coleman\colemvi01,27,STL,5,145,134,145,142,0,0,0,0,0,0,142,0,0,142,5,1
78,Dave Collins\collida02,36,CIN,15,78,13,78,16,0,0,0,0,0,0,16,0,0,16,62,0
79,Pat Combs\combspa01,22,PHI,1st,6,6,6,6,6,0,0,0,0,0,0,0,0,0,0,0
80,David Cone\coneda01,26,NYM,4,34,33,34,34,34,0,0,0,0,0,0,0,0,0,0,0
81,Dennis Cook\cookde01,26,2TM,2,24,18,24,23,23,0,0,0,0,0,0,0,0,0,0,1
82,Joey Cora\corajo01,24,SDP,2,12,3,12,9,0,0,0,1,2,7,0,0,0,0,0,6
83,John Costello\costejo01,28,STL,2,48,0,48,48,48,0,0,0,0,0,0,0,0,0,0,0
84,Tim Crews\crewsti01,28,LAD,3,44,0,44,44,44,0,0,0,0,0,0,0,0,0,0,0
85,Kal Daniels\danieka01,25,2TM,4,55,49,55,49,0,0,0,0,0,0,49,0,0,49,6,0
86,Ron Darling\darliro01,28,NYM,7,35,33,35,33,33,0,0,0,0,0,0,0,0,0,0,2
87,Danny Darwin\darwida01,33,HOU,12,68,0,68,68,68,0,0,0,0,0,0,0,0,0,0,0
88,Doug Dascenzo\dascedo01,25,CHC,2,47,31,47,45,0,0,0,0,0,0,8,36,1,45,1,3
89,Darren Daulton\daultda01,27,PHI,6,131,106,131,126,0,126,0,0,0,0,0,0,0,0,11,2
90,Mark Davidson\davidma01,28,HOU,4,33,15,33,23,0,0,0,0,0,0,7,3,15,23,14,1
91,Eric Davis\daviser01,27,CIN,6,131,123,131,125,0,0,0,0,0,0,4,118,3,125,6,0
92,Glenn Davis\davisgl01,28,HOU,6,158,153,158,156,0,0,156,0,0,0,0,0,0,0,3,0
93,Jody Davis\davisjo02,32,ATL,9,78,62,78,73,0,72,2,0,0,0,0,0,0,0,9,0
94,Mark Davis\davisma01,28,SDP,9,70,0,70,70,70,0,0,0,0,0,0,0,0,0,0,0
95,Mike Davis\davismi02,30,LAD,10,67,41,67,48,0,0,0,0,0,0,16,0,34,48,20,1
96,Andre Dawson\dawsoan01,34,CHC,14,118,110,118,112,0,0,0,0,0,0,0,0,112,112,7,0
97,Ken Dayley\dayleke01,30,STL,8,71,0,71,71,71,0,0,0,0,0,0,0,0,0,0,0
