Rk,Name,Age,Tm,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,ERA+,FIP,WHIP,H9,HR9,BB9,SO9,SO/W
72,Charlie Hough\houghch01,24,LAD,0,0,,3.38,2,0,2,0,0,0,2.2,2,1,1,0,2,0,4,1,0,0,13,116,2.77,1.500,6.8,0.0,6.8,13.5,2.00
73,Tom House*\houseto01,25,ATL,0,0,,2.89,8,0,5,0,0,2,9.1,7,3,3,1,6,0,7,1,0,0,38,136,4.54,1.393,6.8,1.0,5.8,6.8,1.17
74,Al Hrabosky*\hraboal01,22,STL,1,0,1.000,0.00,5,0,2,0,0,0,7.0,2,0,0,0,3,0,9,0,0,1,27,,1.11,0.714,2.6,0.0,3.9,11.6,3.00
75,Charlie Hudson*\hudsoch01,22,STL,1,0,1.000,5.11,12,0,6,0,0,0,12.1,10,8,7,0,7,0,4,1,0,0,54,69,3.70,1.378,7.3,0.0,5.1,2.9,0.57
76,Pat Jarvis\jarvipa01,31,ATL,11,7,.611,4.10,37,6,17,0,0,2,98.2,94,50,45,7,44,7,56,0,1,5,423,92,3.52,1.399,8.6,0.6,4.0,5.1,1.27
77,Larry Jaster*\jastela01,28,ATL,1,1,.500,5.11,5,1,1,0,0,0,12.1,12,7,7,4,8,0,6,0,0,1,53,76,7.59,1.622,8.8,2.9,5.8,4.4,0.75
78,Fergie Jenkins\jenkife01,29,CHC,20,12,.625,3.20,36,36,0,23,5,0,289.1,253,111,103,32,62,7,184,7,1,3,1176,118,3.28,1.089,7.9,1.0,1.9,5.7,2.97
79,Tommy John*\johnto01,29,LAD,11,5,.688,2.89,29,29,0,4,1,0,186.2,172,68,60,14,40,1,117,3,0,10,766,116,2.81,1.136,8.3,0.7,1.9,5.6,2.93
80,Bob Johnson\johnsbo03,29,PIT,4,4,.500,2.96,31,11,6,1,0,3,115.2,98,40,38,14,46,8,79,4,0,3,483,114,3.90,1.245,7.6,1.1,3.6,6.1,1.72
81,Jerry Johnson\johnsje01,28,SFG,8,6,.571,4.42,48,0,32,0,0,8,73.1,73,40,36,4,40,10,57,0,0,5,332,79,3.19,1.541,9.0,0.5,4.9,7.0,1.43
82,Tom Kelley\kelleto01,28,ATL,5,7,.417,4.56,27,14,4,2,1,0,116.1,122,65,59,12,65,4,59,0,0,9,518,83,4.40,1.607,9.4,0.9,5.0,4.6,0.91
83,Mike Kilkenny*\kilkemi01,27,SDP,0,0,,8.31,5,0,3,0,0,0,4.1,7,4,4,1,3,0,5,0,0,1,23,44,5.17,2.308,14.5,2.1,6.2,10.4,1.67
84,Clay Kirby\kirbycl01,24,SDP,12,14,.462,3.13,34,34,0,9,2,0,238.2,197,87,83,21,116,11,175,2,0,8,1004,105,3.56,1.311,7.4,0.8,4.4,6.6,1.51
85,Bruce Kison\kisonbr01,22,PIT,9,7,.563,3.26,32,18,5,6,1,3,152.0,123,61,55,11,69,2,102,9,1,8,641,103,3.54,1.263,7.3,0.7,4.1,6.0,1.48
86,Jerry Koosman*\koosmje01,29,NYM,11,12,.478,4.14,34,24,5,4,1,1,163.0,155,81,75,14,52,7,147,6,0,9,692,81,2.78,1.270,8.6,0.8,2.9,8.1,2.83
87,Denny Lemaster*\lemasde01,33,MON,2,0,1.000,7.78,13,0,4,0,0,0,19.2,28,17,17,2,6,1,13,1,0,0,93,46,3.47,1.729,12.8,0.9,2.7,5.9,2.17
88,Barry Lersch\lerscba01,27,PHI,4,6,.400,3.04,36,8,4,3,1,0,100.2,86,37,34,8,33,7,48,3,1,3,416,119,3.55,1.182,7.7,0.7,3.0,4.3,1.45
89,Juan Marichal\maricju01,34,SFG,6,16,.273,3.71,25,24,1,6,0,0,165.0,176,82,68,15,46,7,72,3,0,2,699,94,3.60,1.345,9.6,0.8,2.5,3.9,1.57
90,Mike Marshall\marshmi01,29,MON,14,8,.636,1.78,65,0,56,0,0,18,116.0,82,26,23,3,47,7,95,2,2,8,465,198,2.36,1.112,6.4,0.2,3.6,7.4,2.02
91,Jon Matlack*\matlajo01,22,NYM,15,10,.600,2.32,34,32,1,8,4,0,244.0,215,79,63,14,71,14,169,2,1,7,1003,145,2.66,1.172,7.9,0.5,2.6,6.2,2.38
92,Ernie McAnally\mcanaer01,25,MON,6,15,.286,3.81,29,27,0,4,2,0,170.0,165,79,72,13,71,6,102,4,0,7,727,93,3.52,1.388,8.7,0.7,3.8,5.4,1.44
93,Jim McAndrew\mcandji01,28,NYM,11,8,.579,2.80,28,23,3,4,0,1,160.2,133,54,50,12,38,5,81,5,0,6,643,120,3.16,1.064,7.5,0.7,2.1,4.5,2.13
94,Sam McDowell*\mcdowsa01,29,SFG,10,8,.556,4.33,28,25,1,4,0,0,164.1,155,86,79,12,86,6,122,6,0,11,718,81,3.54,1.467,8.5,0.7,4.7,6.7,1.42
95,Dan McGinn*\mcginda01,28,CHC,0,5,.000,5.89,42,2,19,0,0,4,62.2,78,46,41,5,29,6,42,4,0,4,297,64,3.68,1.707,11.2,0.7,4.2,6.0,1.45
96,Jim McGlothlin\mcgloji01,28,CIN,9,8,.529,3.91,31,21,4,3,1,0,145.0,165,71,63,15,49,6,69,0,0,6,635,82,3.81,1.476,10.2,0.9,3.0,4.3,1.41
