Rk,Name,Age,Tm,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB,Pos Summary
283,Phil Niekro\niekrph01,41,ATL,40,96,90,2,12,5,0,0,5,0,0,1,19,.133,.143,.189,.332,-9,17,2,0,5,0,0,1
284,Randy Niemann*\niemara01,24,HOU,22,6,6,0,2,0,0,0,0,0,0,0,0,.333,.333,.333,.667,94,2,1,0,0,0,0,1
285,Joe Nolan*\nolanjo01,29,TOT,70,200,176,16,54,8,0,3,26,0,0,15,12,.307,.350,.403,.754,109,71,4,0,3,6,0,2
286,Joe Nolan*\nolanjo01,29,ATL,17,24,22,2,6,1,0,0,2,0,0,2,4,.273,.333,.318,.652,81,7,1,0,0,0,0,/2
287,Joe Nolan*\nolanjo01,29,CIN,53,176,154,14,48,7,0,3,24,0,0,13,8,.312,.353,.416,.768,114,64,3,0,3,6,0,2
288,Dickie Noles\nolesdi01,23,PHI,48,15,13,1,4,0,0,0,2,0,0,0,5,.308,.308,.308,.615,69,4,0,0,2,0,0,1
289,Dan Norman\normada01,25,NYM,69,98,92,5,17,1,1,2,9,5,0,6,14,.185,.235,.283,.517,46,26,1,0,0,0,0,9/7
290,Fred Norman#\normafr01,37,MON,48,22,20,1,1,0,0,0,0,0,0,0,4,.050,.050,.050,.100,-72,1,0,0,2,0,0,1
291,Bill North#\northbi01,32,SFG,128,500,415,73,104,12,1,1,19,45,19,81,78,.251,.373,.292,.665,91,121,4,1,2,1,5,*8
292,Mike O'Berry\o'bermi01,26,CHC,19,57,48,7,10,1,0,0,5,0,0,5,13,.208,.273,.229,.502,38,11,0,0,2,2,0,2
293,Ken Oberkfell*\oberkke01,24,STL,116,486,422,58,128,27,6,3,46,4,4,51,23,.303,.377,.417,.794,119,176,11,1,9,3,8,45
294,Ron Oester#\oestero01,24,CIN,100,335,303,40,84,16,2,2,20,6,2,26,44,.277,.336,.363,.699,95,110,7,1,5,0,7,46/5
295,Rowland Office*\officro01,27,MON,116,335,292,36,78,13,4,6,30,3,3,36,39,.267,.343,.401,.744,108,117,5,0,3,4,1,98/7
296,Al Olmsted\olmstal01,23,STL,5,13,11,0,2,0,0,0,1,0,0,0,3,.182,.182,.182,.364,1,2,0,0,2,0,0,/1
