Rk,Name,Age,Tm,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,ERA+,FIP,WHIP,H9,HR9,BB9,SO9,SO/W
1,Santo Alcala\alcalsa01,24,TOT,3,7,.300,4.83,38,12,8,0,0,2,117.1,126,66,63,13,54,6,73,3,3,6,520,79,4.39,1.534,9.7,1.0,4.1,5.6,1.35
2,Santo Alcala\alcalsa01,24,CIN,1,1,.500,5.74,7,2,2,0,0,0,15.2,22,11,10,1,7,1,9,1,1,2,73,70,3.95,1.851,12.6,0.6,4.0,5.2,1.29
3,Santo Alcala\alcalsa01,24,MON,2,6,.250,4.69,31,10,6,0,0,2,101.2,104,55,53,12,47,5,64,2,2,4,447,81,4.46,1.485,9.2,1.1,4.2,5.7,1.36
4,Joaquin Andujar\andujjo01,24,HOU,11,8,.579,3.69,26,25,1,4,1,0,158.2,149,80,65,11,64,3,69,4,2,2,678,97,4.06,1.342,8.5,0.6,3.6,3.9,1.08
5,Bob Apodaca\apodabo01,27,NYM,4,8,.333,3.43,59,0,27,0,0,5,84.0,83,38,32,7,30,11,53,1,1,2,367,109,3.67,1.345,8.9,0.8,3.2,5.7,1.77
6,Bill Atkinson\atkinbi01,22,MON,7,2,.778,3.35,55,0,30,0,0,7,83.1,72,33,31,12,29,11,56,0,0,5,346,114,4.31,1.212,7.8,1.3,3.1,6.0,1.93
7,Stan Bahnsen\bahnsst01,32,MON,8,9,.471,4.81,23,22,0,3,1,0,127.1,142,76,68,14,38,2,58,0,0,4,547,79,4.15,1.414,10.0,1.0,2.7,4.1,1.53
8,Rick Baldwin\baldwri01,24,NYM,1,2,.333,4.45,40,0,13,0,0,1,62.2,62,32,31,6,31,9,23,5,1,2,274,84,4.97,1.484,8.9,0.9,4.5,3.3,0.74
9,Floyd Bannister*\bannifl01,22,HOU,8,9,.471,4.04,24,23,0,4,1,0,142.2,138,70,64,11,68,1,112,4,2,6,622,88,3.69,1.444,8.7,0.7,4.3,7.1,1.65
10,Jim Barr\barrji01,29,SFG,12,16,.429,4.76,38,38,0,6,2,0,234.1,286,130,124,18,56,4,97,3,2,2,1011,82,3.67,1.459,11.0,0.7,2.2,3.7,1.73
11,Mike Beard*\beardmi01,27,ATL,0,0,,9.64,4,0,2,0,0,0,4.2,14,11,5,3,2,0,1,0,0,0,33,50,11.95,3.429,27.0,5.8,3.9,1.9,0.50
12,Victor Bernal\bernavi01,23,SDP,1,1,.500,5.31,15,0,6,0,0,0,20.1,23,13,12,4,9,2,6,0,0,0,89,68,6.03,1.574,10.2,1.8,4.0,2.7,0.67
13,Larry Biittner*\biittla01,30,CHC,0,0,,40.50,1,0,1,0,0,0,1.1,5,6,6,3,1,0,3,0,0,0,10,14,29.74,4.500,33.8,20.3,6.8,20.3,3.00
14,Jack Billingham\billija01,34,CIN,10,10,.500,5.23,36,23,8,3,2,0,161.2,195,105,94,16,56,9,76,10,0,7,724,75,4.31,1.553,10.9,0.9,3.1,4.2,1.36
15,Bill Bonham\bonhabi01,28,CHC,10,13,.435,4.36,34,34,0,1,0,0,214.2,207,111,104,15,82,16,134,3,2,3,915,101,3.59,1.346,8.7,0.6,3.4,5.6,1.63
16,Pedro Borbon\borbope01,30,CIN,10,5,.667,3.19,73,0,54,0,0,18,127.0,131,48,45,7,24,4,48,3,0,2,525,123,3.34,1.220,9.3,0.5,1.7,3.4,2.00
17,Larry Bradford*\bradfla01,27,ATL,0,0,,3.38,2,0,0,0,0,0,2.2,3,1,1,1,0,0,1,0,0,0,11,149,6.86,1.125,10.1,3.4,0.0,3.4,
18,Pete Broberg\brobepe01,27,CHC,1,2,.333,4.75,22,0,2,0,0,0,36.0,34,22,19,8,18,4,20,0,0,0,158,93,6.02,1.444,8.5,2.0,4.5,5.0,1.11
19,Jackie Brown\brownja01,34,MON,9,12,.429,4.51,42,25,3,6,2,0,185.2,189,99,93,15,71,5,89,4,0,2,804,84,4.04,1.400,9.2,0.7,3.4,4.3,1.25
20,Warren Brusstar\brusswa01,25,PHI,7,2,.778,2.65,46,0,8,0,0,3,71.1,64,26,21,7,24,3,46,1,0,3,285,153,3.78,1.234,8.1,0.9,3.0,5.8,1.92
21,Ray Burris\burrira01,26,CHC,14,16,.467,4.72,39,39,0,5,1,0,221.0,270,132,116,29,67,9,105,3,0,8,970,93,4.44,1.525,11.0,1.2,2.7,4.3,1.57
22,Mike Caldwell*\caldwmi01,28,CIN,0,0,,4.01,14,0,5,0,0,1,24.2,25,11,11,1,8,1,11,0,0,1,105,99,3.35,1.338,9.1,0.4,2.9,4.0,1.38
23,Rick Camp\campri01,24,ATL,6,3,.667,4.00,54,0,34,0,0,10,78.2,89,47,35,6,47,13,51,1,2,8,374,112,4.26,1.729,10.2,0.7,5.4,5.8,1.09
24,Dave Campbell\campbda02,25,ATL,0,6,.000,3.05,65,0,31,0,0,13,88.2,78,32,30,7,33,6,42,3,0,3,375,147,4.04,1.252,7.9,0.7,3.3,4.3,1.27
25,John Candelaria*\candejo01,23,PIT,20,5,.800,2.34,33,33,0,6,1,0,230.2,197,64,60,29,50,2,133,2,2,1,917,169,3.90,1.071,7.7,1.1,2.0,5.2,2.66
26,Doug Capilla*\capildo01,25,TOT,7,8,.467,4.47,24,16,3,1,0,0,108.2,96,57,54,10,61,1,75,2,0,8,472,88,4.29,1.445,8.0,0.8,5.1,6.2,1.23
27,Doug Capilla*\capildo01,25,STL,0,0,,15.43,2,0,0,0,0,0,2.1,2,4,4,0,2,0,1,0,0,0,11,29,4.45,1.714,7.7,0.0,7.7,3.9,0.50
28,Doug Capilla*\capildo01,25,CIN,7,8,.467,4.23,22,16,3,1,0,0,106.1,94,53,50,10,59,1,74,2,0,8,461,93,4.29,1.439,8.0,0.8,5.0,6.3,1.25
29,Buzz Capra\caprabu01,29,ATL,6,11,.353,5.36,45,16,7,0,0,0,139.1,142,88,83,28,80,12,100,4,0,7,633,83,5.72,1.593,9.2,1.8,5.2,6.5,1.25
30,Steve Carlton*\carltst01,32,PHI,23,10,.697,2.64,36,36,0,17,2,0,283.0,229,99,83,25,89,5,198,4,7,3,1135,153,3.47,1.124,7.3,0.8,2.8,6.3,2.22
31,Clay Carroll\carrocl02,36,STL,4,2,.667,2.50,51,1,16,0,0,4,90.0,77,28,25,8,24,8,34,1,1,0,357,156,3.97,1.122,7.7,0.8,2.4,3.4,1.42
32,Bobby Castillo\castibo01,22,LAD,1,0,1.000,3.97,6,1,3,0,0,0,11.1,12,5,5,2,2,0,7,0,0,0,46,100,4.33,1.235,9.5,1.6,1.6,5.6,3.50
33,Larry Christenson\chrisla01,23,PHI,19,6,.760,4.06,34,34,0,5,1,0,219.1,229,113,99,21,69,1,118,7,6,7,945,99,3.95,1.359,9.4,0.9,2.8,4.8,1.71
