Rk,Name,Age,Tm,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB,Pos Summary
1,Jim Adduci*\adducji01,23,STL,10,21,20,0,1,0,0,0,0,0,0,1,6,.050,.095,.050,.145,-59,1,0,0,0,0,0,/37
2,Luis Aguayo\aguaylu01,24,PHI,2,5,4,1,1,0,0,0,0,0,0,1,2,.250,.400,.250,.650,85,1,0,0,0,0,0,/6
3,Neil Allen\allenne01,25,TOT,46,56,49,2,5,2,0,0,3,0,0,0,22,.102,.102,.143,.245,-33,7,0,0,7,0,0,1
4,Neil Allen\allenne01,25,NYM,21,11,10,0,0,0,0,0,0,0,0,0,3,.000,.000,.000,.000,-100,0,0,0,1,0,0,1
5,Neil Allen\allenne01,25,STL,25,45,39,2,5,2,0,0,3,0,0,0,19,.128,.128,.179,.308,-16,7,0,0,6,0,0,1
6,Porfi Altamirano\altampo01,31,PHI,31,2,2,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,-100,0,0,0,0,0,0,1
7,Larry Andersen\anderla02,30,PHI,17,2,2,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,-100,0,0,0,0,0,0,1
8,Dave Anderson\anderda02,22,LAD,61,131,115,12,19,4,2,1,2,6,3,12,15,.165,.244,.261,.505,41,30,1,0,4,0,1,6/5
9,Joaquin Andujar#\andujjo01,30,STL,39,80,73,2,6,1,0,0,2,2,1,2,38,.082,.107,.096,.203,-43,7,2,0,5,0,0,1
10,Alan Ashby#\ashbyal01,31,HOU,87,311,275,31,63,18,1,8,34,0,0,31,38,.229,.303,.389,.692,97,107,12,0,1,4,4,2
11,Tucker Ashford\ashfotu01,28,NYM,35,63,56,3,10,0,1,0,2,0,0,7,4,.179,.270,.214,.484,37,12,1,0,0,0,1,54/2
12,Wally Backman#\backmwa01,23,NYM,26,45,42,6,7,0,1,0,3,0,0,2,8,.167,.205,.214,.419,17,9,2,0,1,0,0,4/5
13,Bob Bailor\bailobo01,31,NYM,118,368,340,33,85,8,0,1,30,18,3,20,23,.250,.290,.282,.573,61,96,11,1,3,4,2,645/79
