Rk,Name,Age,Tm,Yrs,G,GS,Batting,Defense,P,C,1B,2B,3B,SS,LF,CF,RF,OF,PH,PR
385,Bob Sykes\sykesbo01,25,STL,4,27,19,27,27,27,0,0,0,0,0,0,0,0,0,0,0
386,John Tamargo\tamarjo01,28,MON,5,37,7,37,10,0,10,0,0,0,0,0,0,0,0,28,0
387,Frank Taveras\taverfr01,30,NYM,9,141,131,141,140,0,0,0,0,0,140,0,0,0,0,5,1
388,Kent Tekulve\tekulke01,33,PIT,7,78,0,78,78,78,0,0,0,0,0,0,0,0,0,0,1
389,Tom Tellmann\tellmto01,26,SDP,2,6,2,6,6,6,0,0,0,0,0,0,0,0,0,0,0
390,Garry Templeton\templga01,24,STL,5,118,114,118,115,0,0,0,0,0,115,0,0,0,0,3,1
391,Gene Tenace\tenacge01,33,SDP,12,133,93,133,117,0,104,19,0,0,0,0,0,0,0,22,4
392,Derrel Thomas\thomade01,29,LAD,10,117,71,117,112,0,5,0,19,4,49,4,41,9,54,9,14
393,Roy Thomas\thomaro02,27,STL,4,24,5,24,24,24,0,0,0,0,0,0,0,0,0,0,0
394,Gary Thomasson\thomaga01,28,LAD,9,80,17,80,31,0,0,1,0,0,0,9,9,15,31,52,2
395,Scot Thompson\thompsc01,24,CHC,3,102,53,102,74,0,0,13,0,0,0,1,14,53,66,28,8
396,Dick Tidrow\tidrodi01,33,CHC,9,84,0,84,84,84,0,0,0,0,0,0,0,0,0,0,0
397,Dave Tomlin\tomlida01,31,CIN,9,27,0,27,27,27,0,0,0,0,0,0,0,0,0,0,0
398,Jim Tracy\tracyji01,24,CHC,1st,42,30,42,32,0,0,1,0,0,0,22,0,14,31,11,1
399,Alex Trevino\trevial01,22,NYM,3,106,86,106,96,0,86,0,1,14,0,0,0,0,0,13,2
400,Manny Trillo\trillma01,29,PHI,8,141,140,141,140,0,0,0,140,0,0,0,0,0,0,1,0
401,Jerry Turner\turneje01,26,SDP,7,85,26,85,34,0,0,0,0,0,0,5,0,30,34,56,0
402,Mike Tyson\tysonmi01,30,CHC,9,123,104,123,117,0,0,0,117,0,0,0,0,0,0,7,1
403,Del Unser\unserde01,35,PHI,13,96,17,96,51,0,0,31,0,0,0,12,13,2,23,49,2
404,John Urrea\urreajo01,25,STL,4,30,1,30,30,30,0,0,0,0,0,0,0,0,0,0,0
405,Mike Vail\vailmi01,28,CHC,6,114,64,114,77,0,0,0,0,0,0,19,0,61,77,46,0
406,Ellis Valentine\valenel01,25,MON,6,86,83,86,83,0,0,0,0,0,0,0,0,83,83,3,0
407,Fernando Valenzuela\valenfe01,19,LAD,1st,10,0,10,10,10,0,0,0,0,0,0,0,0,0,0,0
408,Max Venable\venabma01,23,SFG,2,64,29,64,40,0,0,0,0,0,0,16,15,11,40,33,0
409,Ozzie Virgil\virgioz02,23,PHI,1st,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0
410,Pete Vuckovich\vuckope01,27,STL,6,32,30,32,32,32,0,0,0,0,0,0,0,0,0,0,0
411,George Vukovich\vukovge01,24,PHI,1st,78,2,78,28,0,0,0,0,0,0,13,0,15,28,51,3
412,John Vukovich\vukovjo01,32,PHI,9,49,12,49,47,0,0,1,9,34,4,0,0,0,0,4,1
413,Bob Walk\walkbo01,23,PHI,1st,27,27,27,27,27,0,0,0,0,0,0,0,0,0,0,0
414,Tim Wallach\wallati01,22,MON,1st,5,2,5,3,0,0,1,0,0,0,3,0,1,3,2,0
415,Ty Waller\wallety01,23,STL,1st,5,3,5,5,0,0,0,0,5,0,0,0,0,0,0,1
416,Denny Walling\wallide01,26,HOU,6,100,70,100,82,0,0,63,0,0,0,1,0,18,19,26,0
417,Claudell Washington\washicl01,25,NYM,7,79,68,79,70,0,0,0,0,0,0,23,1,58,70,10,0
418,Gary Weiss\weissga01,24,LAD,1st,8,0,8,0,0,0,0,0,0,0,0,0,0,0,0,8
419,Bob Welch\welchbo01,23,LAD,3,34,32,34,32,32,0,0,0,0,0,0,0,0,0,0,2
420,Don Werner\wernedo01,27,CIN,5,24,19,24,24,0,24,0,0,0,0,0,0,0,0,1,2
421,Jerry White\whiteje01,27,MON,7,110,41,110,84,0,0,0,0,0,0,62,7,18,84,38,1
422,Terry Whitfield\whitfte01,27,SFG,7,118,77,118,95,0,0,0,0,0,0,95,0,0,95,34,0
423,Ed Whitson\whitsed01,25,SFG,4,34,34,34,34,34,0,0,0,0,0,0,0,0,0,0,0
424,Mookie Wilson\wilsomo01,24,NYM,1st,27,26,27,26,0,0,0,0,0,0,1,26,0,26,1,0
425,Dave Winfield\winfida01,28,SDP,8,162,143,162,159,0,0,0,0,0,0,0,20,154,159,10,0
426,Rick Wise\wiseri01,34,SDP,16,28,27,28,27,27,0,0,0,0,0,0,0,0,0,1,0
427,Jim Wohlford\wohlfji01,29,SFG,9,91,33,91,49,0,0,0,0,1,0,40,4,8,49,54,0
428,Gary Woods\woodsga01,26,HOU,4,19,13,19,14,0,0,0,0,0,0,4,0,12,14,5,0
429,Steve Yeager\yeagest01,31,LAD,9,96,66,96,95,0,95,0,0,0,0,0,0,0,0,4,2
430,Joel Youngblood\youngjo02,28,NYM,5,146,128,146,137,0,0,0,6,21,0,0,40,96,121,15,0
431,Pat Zachry\zachrpa01,28,NYM,5,28,26,28,28,28,0,0,0,0,0,0,0,0,0,0,0
