Rk,Name,Age,Tm,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB,Pos Summary
1,Cy Acosta\acostcy01,28,PHI,6,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,/1
2,Glenn Adams*\adamsgl01,27,SFG,61,103,90,10,27,2,1,4,15,1,0,11,25,.300,.379,.478,.856,133,43,1,1,0,1,0,7/9
3,Gary Alexander\alexaga01,22,SFG,3,4,3,1,0,0,0,0,0,0,0,1,2,.000,.250,.000,.250,-27,0,0,0,0,0,0,/2
4,Dick Allen\allendi01,33,PHI,119,481,416,54,97,21,3,12,62,11,2,58,109,.233,.327,.385,.712,94,160,19,2,1,4,4,*3
5,Bill Almon\almonbi01,22,SDP,6,10,10,0,4,0,0,0,0,0,0,0,1,.400,.400,.400,.800,129,4,0,0,0,0,0,/6
6,Jesus Alou\alouje01,33,NYM,62,108,102,8,27,3,0,0,11,0,1,4,5,.265,.299,.294,.593,69,30,4,1,1,0,2,7/9
7,Orlando Alvarez\alvaror01,23,LAD,4,4,4,0,0,0,0,0,0,0,0,0,1,.000,.000,.000,.000,-100,0,0,0,0,0,0,
8,Mike Anderson\andermi01,24,PHI,115,271,247,24,64,10,3,4,28,1,2,17,66,.259,.307,.372,.680,85,92,6,2,1,4,3,98/3
9,Rob Andrews\andrero01,22,HOU,103,321,277,29,66,5,4,0,19,12,5,31,34,.238,.310,.285,.595,72,79,6,0,8,5,4,4/6
10,Bob Apodaca\apodabo01,25,NYM,46,12,11,2,4,0,0,0,0,0,0,1,5,.364,.417,.364,.780,123,4,0,0,0,0,0,1
11,Ed Armbrister\armbred01,26,CIN,59,72,65,9,12,1,0,0,2,3,1,5,19,.185,.254,.200,.454,26,13,1,1,1,0,0,7/98
12,Chris Arnold\arnolch01,27,SFG,29,45,41,4,8,0,0,0,0,0,0,4,8,.195,.267,.195,.462,28,8,3,0,0,0,0,/479
13,Rick Auerbach\auerbri01,25,LAD,85,188,170,18,38,9,0,0,12,3,2,18,22,.224,.298,.276,.574,64,47,8,0,0,0,3,6/45
14,Bob Bailey\bailebo01,32,MON,106,279,227,23,62,5,0,5,30,4,4,46,38,.273,.392,.361,.753,107,82,8,1,1,4,3,7/5
15,Dusty Baker\bakerdu01,26,ATL,142,567,494,63,129,18,2,19,72,12,7,67,57,.261,.346,.421,.767,110,208,10,0,1,5,7,*98
16,Rick Baldwin*\baldwri01,22,NYM,54,17,15,1,3,0,0,0,0,0,0,0,5,.200,.200,.200,.400,14,3,0,0,2,0,0,1
17,Alan Bannister\bannial01,23,PHI,24,63,61,10,16,3,1,0,0,2,2,1,9,.262,.274,.344,.618,69,21,1,0,1,0,0,8/746
18,Mike Barlow*\barlomi01,27,STL,9,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,/1
19,Jim Barr\barrji01,27,SFG,38,91,76,5,9,1,0,0,2,0,0,3,24,.118,.152,.132,.283,-22,10,2,0,12,0,0,1
20,Rafael Batista*\batisra01,29,HOU,10,10,10,0,3,1,0,0,0,0,0,0,4,.300,.300,.400,.700,100,4,1,0,0,0,0,
21,Bob Beall#\beallbo01,27,ATL,20,38,31,2,7,2,0,0,1,0,0,6,9,.226,.351,.290,.642,78,9,0,0,1,0,0,/3
22,Mike Beard*\beardmi01,25,ATL,34,11,9,0,1,0,0,0,0,0,0,1,5,.111,.200,.111,.311,-13,1,0,0,1,0,0,1
23,Glenn Beckert\beckegl01,34,SDP,9,17,16,2,6,1,0,0,0,0,0,1,0,.375,.412,.438,.849,143,7,0,0,0,0,0,/5
24,Rob Belloir\belloro01,26,ATL,43,118,105,11,23,2,1,0,9,0,0,7,8,.219,.268,.257,.525,45,27,5,0,6,0,0,6/4
25,Johnny Bench\benchjo01,27,CIN,142,606,530,83,150,39,1,28,110,11,0,65,108,.283,.359,.519,.878,140,275,12,2,0,8,12,*27/39
26,Larry Biittner*\biittla01,28,MON,121,384,346,34,109,13,5,3,28,2,1,34,33,.315,.376,.408,.784,115,141,12,0,4,0,8,97/8
27,Jack Billingham\billija01,32,CIN,33,83,65,5,7,0,0,0,4,0,0,8,22,.108,.205,.108,.313,-12,7,0,0,10,0,0,1
28,Dick Billings\billidi01,32,STL,3,3,3,0,0,0,0,0,0,0,0,0,2,.000,.000,.000,.000,-100,0,0,0,0,0,0,
29,Dennis Blair\blairde01,21,MON,30,53,49,0,7,0,0,0,1,0,0,2,22,.143,.176,.143,.319,-12,7,0,0,2,0,0,1
30,Larvell Blanks\blankla01,25,ATL,141,517,471,49,110,13,3,3,38,4,3,38,43,.234,.292,.293,.585,61,138,11,2,3,3,1,*64
31,Bill Bonham\bonhabi01,26,CHC,40,92,82,8,15,1,1,0,6,0,0,1,19,.183,.190,.220,.410,12,18,1,0,8,1,0,1
32,Bob Boone\boonebo01,27,PHI,97,329,289,28,71,14,2,2,20,1,3,32,14,.246,.322,.329,.651,79,95,8,1,6,1,6,2/5
33,Pedro Borbon\borbope01,28,CIN,67,27,24,4,7,1,0,0,2,0,0,0,4,.292,.292,.333,.625,72,8,0,0,3,0,0,1
