Rk,Name,Age,Tm,Yrs,G,GS,Batting,Defense,P,C,1B,2B,3B,SS,LF,CF,RF,OF,PH,PR
1,Hank Aaron\aaronha01,35,ATL,16,147,145,147,145,0,0,4,0,0,0,0,0,144,144,2,0
2,Tommie Aaron\aaronto01,29,ATL,5,49,8,49,24,0,0,16,0,0,0,8,0,0,8,24,3
3,Ted Abernathy\abernte02,36,CHC,11,56,0,56,56,56,0,0,0,0,0,0,0,0,0,0,0
4,Tommie Agee\ageeto01,26,NYM,8,149,141,149,146,0,0,0,0,0,0,0,142,9,146,3,0
5,Hank Aguirre\aguirha01,38,CHC,15,41,0,41,41,41,0,0,0,0,0,0,0,0,0,0,0
6,Dick Allen\allendi01,27,PHI,7,118,117,118,117,0,0,117,0,0,0,0,0,0,0,1,0
7,Gene Alley\alleyge01,28,PIT,7,82,71,82,77,0,0,0,53,5,25,0,0,0,0,8,0
8,Felipe Alou\aloufe01,34,ATL,12,123,109,123,117,0,0,0,0,0,0,3,100,16,117,7,1
9,Jesus Alou\alouje01,27,HOU,7,115,108,115,112,0,0,0,0,0,0,65,0,58,112,6,0
10,Matty Alou\alouma01,30,PIT,10,162,161,162,162,0,0,0,0,0,0,1,162,0,162,0,0
11,Jose Arcia\arciajo01,25,SDP,2,120,79,120,114,0,0,1,68,8,37,4,0,0,4,1,29
12,Steve Arlin\arlinst01,23,SDP,1st,4,1,4,4,4,0,0,0,0,0,0,0,0,0,0,0
13,Gerry Arrigo\arrigge01,28,CIN,9,20,16,20,20,20,0,0,0,0,0,0,0,0,0,0,0
14,Bob Aspromonte\asprobo01,31,ATL,11,82,43,82,65,0,0,0,2,23,18,24,0,0,24,27,2
15,Bob Bailey\bailebo01,26,MON,8,111,95,111,98,0,0,85,0,1,0,12,0,0,12,15,0
16,Dusty Baker\bakerdu01,20,ATL,2,3,2,3,3,0,0,0,0,0,0,1,2,0,3,0,0
17,Jack Baldschun\baldsja01,32,SDP,8,61,0,61,61,61,0,0,0,0,0,0,0,0,0,0,0
18,Ernie Banks\bankser01,38,CHC,17,155,147,155,153,0,0,153,0,0,0,0,0,0,0,6,0
19,Rich Barry\barryri01,28,PHI,1st,20,5,20,9,0,0,0,0,0,0,9,0,0,9,13,0
20,Bob Barton\bartobo01,27,SFG,5,49,33,49,49,0,49,0,0,0,0,0,0,0,0,0,0
