Rk,Name,Age,Tm,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB,Pos Summary
1,Hank Aaron\aaronha01,39,ATL,120,465,392,84,118,12,1,40,96,1,1,68,51,.301,.402,.643,1.045,177,252,7,1,0,4,13,79
2,Tommie Agee\ageeto01,30,TOT,110,288,266,38,59,8,3,11,22,3,5,21,68,.222,.281,.398,.680,88,106,12,1,0,0,1,879
3,Tommie Agee\ageeto01,30,HOU,84,221,204,30,48,5,2,8,15,2,5,16,55,.235,.294,.397,.691,91,81,4,1,0,0,1,789
4,Tommie Agee\ageeto01,30,STL,26,67,62,8,11,3,1,3,7,1,0,5,13,.177,.239,.403,.642,75,25,8,0,0,0,0,8/9
5,Jack Aker\akerja01,32,CHC,47,7,7,0,0,0,0,0,0,0,0,0,3,.000,.000,.000,.000,-100,0,0,0,0,0,0,1
6,Matt Alexander#\alexama01,26,CHC,12,6,5,4,1,0,0,0,1,2,0,1,1,.200,.333,.200,.533,48,1,0,0,0,0,0,/8
7,Bernie Allen*\allenbe01,34,MON,16,56,50,5,9,1,0,2,9,0,0,5,4,.180,.255,.320,.575,57,16,0,0,1,0,1,/45
8,Gene Alley\alleyge01,32,PIT,76,181,158,25,32,3,2,2,8,1,0,20,28,.203,.292,.285,.577,62,45,8,0,3,0,6,6/5
9,Felipe Alou\aloufe01,38,MON,19,50,48,4,10,1,0,1,4,0,1,2,4,.208,.240,.292,.532,45,14,3,0,0,0,1,7/83
10,Jesus Alou\alouje01,31,HOU,28,58,55,7,13,2,0,1,8,0,0,1,6,.236,.276,.327,.603,68,18,3,2,0,0,1,9/7
11,Matty Alou*\alouma01,34,STL,11,12,11,1,3,0,0,0,1,0,0,1,0,.273,.333,.273,.606,70,3,2,0,0,0,1,/38
12,Orlando Alvarez\alvaror01,21,LAD,4,4,4,0,1,1,0,0,0,0,0,0,1,.250,.250,.500,.750,107,2,0,0,0,0,0,
13,Dwain Anderson\anderdw01,25,TOT,71,144,124,16,15,0,0,0,3,2,0,18,33,.121,.232,.121,.353,5,15,2,0,2,0,0,6/58
14,Dwain Anderson\anderdw01,25,STL,18,21,17,5,2,0,0,0,0,0,0,4,4,.118,.286,.118,.403,16,2,0,0,0,0,0,/68
15,Dwain Anderson\anderdw01,25,SDP,53,123,107,11,13,0,0,0,3,2,0,14,29,.121,.223,.121,.345,2,13,2,0,2,0,0,6/5
16,Mike Anderson\andermi01,22,PHI,87,215,193,32,49,9,1,9,28,0,3,19,53,.254,.321,.451,.772,110,87,2,1,0,2,4,98
17,John Andrews*\andrejo02,24,STL,16,2,2,0,1,0,0,0,0,0,0,0,0,.500,.500,.500,1.000,179,1,0,0,0,0,0,1
18,Bob Apodaca\apodabo01,23,NYM,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,/1
19,Steve Arlin\arlinst01,27,SDP,34,67,60,2,10,1,0,0,5,0,0,4,21,.167,.231,.183,.414,21,11,1,1,2,0,0,1
20,Ed Armbrister\armbred01,24,CIN,18,41,37,5,8,3,1,1,5,0,0,2,8,.216,.250,.432,.682,90,16,0,0,1,1,0,/987
21,Chris Arnold\arnolch01,25,SFG,49,63,54,7,16,2,0,1,13,0,0,8,11,.296,.381,.389,.770,111,21,2,0,0,1,2,/245
22,Dave Augustine\augusda01,23,PIT,11,7,7,1,2,1,0,0,0,0,0,0,1,.286,.286,.429,.714,98,3,1,0,0,0,0,/879
23,Bob Bailey\bailebo01,30,MON,151,607,513,77,140,25,4,26,86,5,8,88,99,.273,.379,.489,.868,137,251,23,1,3,2,10,*5/7
24,Dusty Baker\bakerdu01,24,ATL,159,686,604,101,174,29,4,21,99,24,3,67,72,.288,.359,.454,.813,117,274,14,5,1,9,8,*8
25,Dick Baney\baneydi01,26,CIN,11,11,9,0,2,0,0,0,0,0,0,0,2,.222,.300,.222,.522,51,2,0,1,1,0,0,1
26,Lute Barnes\barnelu01,26,NYM,3,2,2,2,1,0,0,0,1,0,0,0,1,.500,.500,.500,1.000,181,1,0,0,0,0,0,
27,Jim Barr\barrji01,25,SFG,41,81,66,5,10,2,0,0,1,0,0,1,16,.152,.188,.182,.370,2,12,1,2,12,0,0,1
28,Bob Barton\bartobo01,31,CIN,3,2,1,0,0,0,0,0,0,0,0,1,0,.000,.500,.000,.500,54,0,0,0,0,0,0,/2
29,Rafael Batista*\batisra01,27,HOU,12,16,15,2,4,0,0,0,2,0,0,1,6,.267,.313,.267,.579,63,4,0,0,0,0,1,/3
30,Jim Beauchamp\beaucji01,33,NYM,50,70,61,5,17,1,1,0,14,1,0,7,11,.279,.343,.328,.671,89,20,1,0,0,2,1,3
31,Glenn Beckert\beckegl01,32,CHC,114,410,372,38,95,13,0,0,29,0,2,30,15,.255,.313,.290,.603,64,108,15,2,4,2,1,4
32,Johnny Bench\benchjo01,25,CIN,152,651,557,83,141,17,3,25,104,4,1,83,83,.253,.345,.429,.774,119,239,22,0,1,10,14,*29/35
33,Jim Bibby\bibbyji01,28,STL,6,3,2,1,0,0,0,0,0,0,0,1,2,.000,.333,.000,.333,1,0,0,0,0,0,0,/1
34,Jack Billingham\billija01,30,CIN,40,109,93,2,6,3,0,0,4,0,0,3,32,.065,.094,.097,.191,-46,9,1,0,13,0,0,1
35,Damaso Blanco\blancda01,31,SFG,28,13,12,4,0,0,0,0,0,0,0,1,2,.000,.077,.000,.077,-77,0,0,0,0,0,0,/564
36,Larvell Blanks\blankla01,23,ATL,17,19,18,1,4,0,0,0,0,0,0,1,3,.222,.263,.222,.485,32,4,1,0,0,0,0,/546
37,Steve Blass\blassst01,31,PIT,24,29,24,2,10,2,0,0,1,0,0,0,2,.417,.417,.500,.917,156,12,0,0,5,0,0,1
38,John Boccabella\boccajo01,32,MON,118,442,403,25,94,13,0,7,46,1,1,26,57,.233,.279,.318,.597,64,128,15,1,7,3,8,*2/3
39,Bobby Bonds\bondsbo01,27,SFG,160,738,643,131,182,34,4,39,96,43,17,87,148,.283,.370,.530,.900,143,341,8,4,0,4,9,*9/8
40,Bill Bonham\bonhabi01,24,CHC,44,49,43,1,4,0,0,0,1,0,0,0,17,.093,.093,.093,.186,-50,4,1,0,6,0,0,1
41,Bob Boone\boonebo01,25,PHI,145,575,521,42,136,20,2,10,61,3,4,41,36,.261,.311,.365,.675,86,190,7,0,5,8,8,*2
42,Pedro Borbon\borbope01,26,CIN,80,15,15,2,5,0,0,0,0,1,0,0,5,.333,.333,.333,.667,90,5,0,0,0,0,0,1
43,Ken Boswell*\bosweke01,27,NYM,76,123,110,12,25,2,1,2,14,0,0,12,11,.227,.303,.318,.621,74,35,1,0,1,0,2,5/4
44,Pat Bourque*\bourqpa01,26,CHC,57,158,139,11,29,6,0,7,20,1,1,16,21,.209,.297,.403,.700,88,56,0,2,0,1,1,3
45,Larry Bowa#\bowala01,27,PHI,122,477,446,42,94,11,3,0,23,10,6,24,31,.211,.252,.249,.501,39,111,5,1,4,1,8,*6
46,Tom Bradley\bradlto01,26,SFG,35,86,77,3,15,2,0,0,4,0,0,3,19,.195,.225,.221,.446,22,17,0,0,6,0,0,1
47,Bucky Brandon\brandbu01,32,PHI,36,6,5,1,1,0,0,0,0,0,0,1,1,.200,.333,.200,.533,51,1,0,0,0,0,0,1
48,Hal Breeden\breedha01,29,MON,106,290,258,36,71,10,6,15,43,0,1,29,45,.275,.353,.535,.888,140,138,7,2,1,0,3,3
49,Ken Brett*\brettke01,24,PHI,37,85,80,6,20,5,0,4,16,0,0,4,17,.250,.282,.463,.745,102,37,0,0,0,1,0,1
50,Jim Brewer*\breweji01,35,LAD,56,7,5,0,2,0,0,0,0,0,0,0,2,.400,.400,.400,.800,127,2,0,0,2,0,0,1
51,Nelson Briles\brilene01,29,PIT,33,82,72,3,14,2,0,1,6,0,0,2,21,.194,.224,.264,.488,36,19,0,1,6,1,0,1
52,Lou Brock*\brocklo01,34,STL,160,727,650,110,193,29,8,7,63,70,20,71,112,.297,.364,.398,.762,112,259,9,0,1,5,15,*7
53,Curtis Brown\browncu02,27,MON,1,4,4,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,-100,0,0,0,0,0,0,/7
54,Oscar Brown\brownos01,27,ATL,22,62,58,3,12,3,0,0,0,0,0,3,10,.207,.246,.259,.505,36,15,1,0,1,0,0,/798
