Rk,Name,Age,Tm,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB,Pos Summary
1,Hank Aaron\aaronha01,38,ATL,129,545,449,75,119,10,0,34,77,4,0,92,55,.265,.390,.514,.904,147,231,17,1,0,2,15,*39
2,Ed Acosta#\acosted01,28,SDP,46,13,12,1,1,0,0,0,0,0,0,1,9,.083,.154,.083,.237,-28,1,0,0,0,0,0,1
3,Tommie Agee\ageeto01,29,NYM,114,483,422,52,96,23,0,13,47,8,9,53,92,.227,.317,.374,.692,99,158,18,4,1,3,6,*89/7
4,Jack Aker\akerja01,31,CHC,48,7,6,0,0,0,0,0,0,0,0,1,3,.000,.143,.000,.143,-58,0,0,0,0,0,0,1
5,Ron Allen#\allenro01,28,STL,7,14,11,2,1,0,0,1,1,0,0,3,5,.091,.286,.364,.649,85,4,1,0,0,0,0,/3
6,Gene Alley\alleyge01,31,PIT,119,389,347,30,86,12,2,3,36,4,3,38,52,.248,.321,.320,.641,85,111,6,0,3,1,10,*6/5
7,Jesus Alou\alouje01,30,HOU,52,102,93,8,29,4,1,0,11,0,2,7,5,.312,.366,.376,.743,114,35,3,1,1,0,4,97
8,Matty Alou*\alouma01,33,STL,108,431,404,46,127,17,2,3,31,11,4,24,23,.314,.353,.389,.742,112,157,12,1,1,1,2,39
9,Brant Alyea\alyeabr01,31,STL,13,19,19,0,3,1,0,0,1,0,0,0,6,.158,.158,.211,.368,5,4,0,0,0,0,0,/97
10,Dwain Anderson\anderdw01,24,STL,57,144,135,12,36,4,1,1,8,0,1,8,23,.267,.313,.333,.646,85,45,4,1,0,0,1,65/4
11,Mike Anderson\andermi01,21,PHI,36,125,103,8,20,5,1,2,5,1,0,19,36,.194,.317,.320,.637,81,33,0,0,2,1,1,9/8
12,Steve Arlin\arlinst01,26,SDP,38,85,72,6,11,1,1,0,4,0,0,8,24,.153,.247,.194,.441,32,14,1,1,4,0,0,1
13,Chris Arnold\arnolch01,24,SFG,51,93,84,8,19,3,1,1,4,0,1,8,12,.226,.293,.321,.615,74,27,3,0,1,0,1,5/46
14,Bob Bailey\bailebo01,29,MON,143,560,489,55,114,10,4,16,57,6,7,59,112,.233,.315,.368,.683,93,180,13,1,7,4,7,*5/73
15,Dusty Baker\bakerdu01,23,ATL,127,503,446,62,143,27,2,17,76,4,7,45,68,.321,.383,.504,.888,142,225,9,4,2,6,2,*8/97
16,Steve Barber*\barbest01,34,ATL,5,5,5,0,1,0,0,0,0,0,0,0,1,.200,.200,.200,.400,10,1,0,0,0,0,0,/1
17,Ray Bare\barera01,23,STL,14,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,1
18,Lute Barnes\barnelu01,25,NYM,24,79,72,5,17,2,2,0,6,0,1,6,4,.236,.291,.319,.611,76,23,2,0,0,1,1,4/6
19,Jim Barr\barrji01,24,SFG,44,53,49,4,9,3,0,0,2,0,0,0,10,.184,.184,.245,.429,20,12,0,0,4,0,0,1
20,Bob Barton\bartobo01,30,SDP,29,92,88,1,17,1,0,0,9,2,0,2,19,.193,.209,.205,.413,23,18,3,0,1,1,0,2
21,John Bateman\batemjo01,31,TOT,100,297,281,10,63,10,0,3,20,0,1,11,43,.224,.253,.292,.545,54,82,5,1,1,3,6,2
22,John Bateman\batemjo01,31,MON,18,32,29,0,7,1,0,0,3,0,0,3,4,.241,.313,.276,.588,68,8,1,0,0,0,0,/2
23,John Bateman\batemjo01,31,PHI,82,265,252,10,56,9,0,3,17,0,1,8,39,.222,.246,.294,.540,52,74,4,1,1,3,6,2
24,Jim Beauchamp\beaucji01,32,NYM,58,131,120,10,29,1,0,5,19,0,0,7,33,.242,.282,.375,.657,88,45,2,1,0,3,1,3/7
25,Glenn Beckert\beckegl01,31,CHC,120,510,474,51,128,22,2,3,43,2,1,23,17,.270,.304,.344,.648,77,163,16,2,7,4,1,*4
26,Johnny Bench\benchjo01,24,CIN,147,653,538,87,145,22,2,40,125,6,6,100,84,.270,.379,.541,.920,166,291,18,2,0,12,23,*29/35
27,Jim Bibby\bibbyji01,27,STL,6,12,8,0,1,0,0,0,0,0,0,2,3,.125,.300,.125,.425,26,1,0,0,2,0,0,/1
28,Jack Billingham\billija01,29,CIN,36,78,71,2,5,1,0,0,2,0,0,2,29,.070,.096,.085,.180,-47,6,1,0,5,0,0,1
29,Damaso Blanco\blancda01,30,SFG,39,25,20,5,7,1,0,0,2,2,1,4,3,.350,.440,.400,.840,139,8,1,0,0,1,0,5/64
30,Larvell Blanks\blankla01,22,ATL,33,94,85,10,28,5,0,1,7,0,0,7,12,.329,.376,.424,.800,120,36,3,0,1,1,0,4/65
31,Wade Blasingame*\blasiwa01,28,HOU,10,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,1
32,Steve Blass\blassst01,30,PIT,35,96,82,8,15,2,0,0,3,0,0,2,22,.183,.202,.207,.410,18,17,1,0,12,0,0,1
33,Curt Blefary*\blefacu01,28,SDP,74,122,102,10,20,3,0,3,9,0,0,19,18,.196,.320,.314,.633,88,32,1,0,0,1,3,2/359
34,John Boccabella\boccajo01,31,MON,83,223,207,14,47,8,1,1,10,1,2,9,29,.227,.259,.290,.549,56,60,4,1,2,3,3,2/35
35,Bobby Bonds\bondsbo01,26,SFG,153,697,626,118,162,29,5,26,80,44,6,60,137,.259,.326,.446,.772,116,279,13,5,1,5,4,*98
36,Bill Bonham\bonhabi01,23,CHC,19,19,14,3,4,0,0,0,1,0,0,2,3,.286,.375,.286,.661,83,4,0,0,3,0,0,1
37,Bob Boone\boonebo01,24,PHI,16,57,51,4,14,1,0,1,4,1,0,5,7,.275,.333,.353,.686,94,18,2,0,0,1,2,2
38,Pedro Borbon\borbope01,25,CIN,62,23,21,0,1,0,0,0,1,0,0,1,10,.048,.130,.048,.178,-46,1,1,1,0,0,0,1
39,Ken Boswell*\bosweke01,26,NYM,100,400,355,35,75,9,1,9,33,2,2,32,35,.211,.274,.318,.592,70,113,15,0,9,4,1,4
40,Pat Bourque*\bourqpa01,25,CHC,11,29,27,3,7,1,0,0,5,0,0,2,2,.259,.310,.296,.607,67,8,0,0,0,0,0,/3
41,Larry Bowa#\bowala01,26,PHI,152,633,579,67,145,11,13,1,31,17,9,32,51,.250,.291,.320,.611,72,185,8,2,18,2,1,*6
42,Bucky Brandon\brandbu01,31,PHI,42,19,15,0,1,0,0,0,0,0,0,0,8,.067,.067,.067,.133,-62,1,1,0,4,0,0,1
43,Jim Breazeale*\breazji01,22,ATL,52,91,85,10,21,2,0,5,17,0,1,6,12,.247,.297,.447,.744,102,38,2,0,0,0,1,3/5
44,Hal Breeden\breedha01,28,MON,42,96,87,6,20,2,0,3,10,0,0,7,15,.230,.281,.356,.638,80,31,1,0,0,2,1,3/79
45,Jim Brewer*\breweji01,34,LAD,51,3,1,1,0,0,0,0,0,0,0,1,0,.000,.500,.000,.500,55,0,0,0,0,0,0,1
46,Nelson Briles\brilene01,28,PIT,28,78,70,6,11,1,0,0,4,0,0,2,32,.157,.178,.171,.350,1,12,0,0,5,1,0,1
47,Lou Brock*\brocklo01,33,STL,153,676,621,81,193,26,8,3,42,63,18,47,93,.311,.359,.393,.752,115,244,6,1,3,3,12,*7
48,Ollie Brown\brownol02,28,SDP,23,76,70,3,12,2,0,0,3,0,0,5,9,.171,.224,.200,.424,26,14,1,0,0,1,2,9
49,Oscar Brown\brownos01,26,ATL,76,168,164,19,37,5,1,3,16,0,2,4,29,.226,.244,.323,.567,55,53,4,0,0,0,0,97/8
50,Byron Browne\brownby01,29,PHI,21,22,21,2,4,0,0,0,0,0,0,1,8,.190,.227,.190,.418,19,4,1,0,0,0,0,/98
51,Ron Bryant#\bryanro01,24,SFG,35,79,70,5,12,2,0,0,3,0,0,3,22,.171,.205,.200,.405,15,14,2,0,6,0,0,1
52,Bill Buckner*\bucknbi01,22,LAD,105,405,383,47,122,14,3,5,37,10,3,17,13,.319,.348,.410,.758,117,157,13,1,3,1,2,93/7
53,Mike Caldwell\caldwmi01,23,SDP,42,55,50,1,7,0,0,0,3,0,0,0,20,.140,.137,.140,.277,-18,7,3,0,4,1,0,1
54,Dave Campbell\campbda01,30,SDP,33,113,100,6,24,5,0,0,3,0,4,11,12,.240,.315,.290,.605,80,29,2,0,2,0,2,5/4
55,Chris Cannizzaro\cannich01,34,LAD,73,233,200,14,48,6,0,2,18,0,1,31,38,.240,.341,.300,.641,86,60,4,0,1,1,5,2
56,Buzz Capra\caprabu01,24,NYM,14,15,12,1,3,0,0,0,1,0,0,3,3,.250,.400,.250,.650,92,3,0,0,0,0,0,1
57,Bernie Carbo*\carbobe01,24,TOT,118,396,323,44,81,13,1,7,34,0,1,63,59,.251,.380,.362,.742,114,117,7,6,1,3,10,9/5
58,Bernie Carbo*\carbobe01,24,CIN,19,28,21,2,3,0,0,0,0,0,0,6,3,.143,.357,.143,.500,51,3,0,1,0,0,1,/9
59,Bernie Carbo*\carbobe01,24,STL,99,368,302,42,78,13,1,7,34,0,1,57,56,.258,.381,.377,.759,118,114,7,5,1,3,9,9/5
60,Jose Cardenal\cardejo02,28,CHC,143,593,533,96,155,24,6,17,70,25,14,55,58,.291,.356,.454,.810,120,242,15,1,1,3,3,*98/7
