Rk,Name,Age,Tm,Yrs,G,GS,Batting,Defense,P,C,1B,2B,3B,SS,LF,CF,RF,OF,PH,PR
1,Hank Aaron\aaronha01,38,ATL,19,129,121,129,122,0,0,109,0,0,0,0,0,15,15,8,0
2,Ed Acosta\acosted01,28,SDP,3,46,2,46,46,46,0,0,0,0,0,0,0,0,0,0,0
3,Tommie Agee\ageeto01,29,NYM,11,114,108,114,110,0,0,0,0,0,0,9,91,19,110,6,0
4,Jack Aker\akerja01,31,CHC,9,48,0,48,48,48,0,0,0,0,0,0,0,0,0,0,0
5,Ron Allen\allenro01,28,STL,1st,7,2,7,5,0,0,5,0,0,0,0,0,0,0,2,1
6,Gene Alley\alleyge01,31,PIT,10,119,98,119,116,0,0,0,0,4,114,0,0,0,0,6,2
7,Jesus Alou\alouje01,30,HOU,10,52,14,52,23,0,0,0,0,0,0,10,0,14,23,35,0
8,Matty Alou\alouma01,33,STL,13,108,98,108,101,0,0,66,0,0,0,0,0,39,39,10,0
9,Brant Alyea\alyeabr01,31,STL,6,13,2,13,3,0,0,0,0,0,0,1,0,2,3,11,0
10,Dwain Anderson\anderdw01,24,STL,2,57,33,57,53,0,0,0,1,13,43,0,0,0,0,7,1
11,Mike Anderson\andermi01,21,PHI,2,36,33,36,35,0,0,0,0,0,0,0,3,34,35,0,2
12,Steve Arlin\arlinst01,26,SDP,4,38,37,38,38,38,0,0,0,0,0,0,0,0,0,0,0
13,Chris Arnold\arnolch01,24,SFG,2,51,17,51,28,0,0,0,8,16,4,0,0,0,0,22,3
14,Bob Bailey\bailebo01,29,MON,11,143,134,143,141,0,0,3,0,134,0,6,0,0,6,7,1
15,Dusty Baker\bakerdu01,23,ATL,5,127,115,127,123,0,0,0,0,0,0,1,120,4,123,6,2
16,Steve Barber\barbest01,34,ATL,13,5,0,5,5,5,0,0,0,0,0,0,0,0,0,0,0
17,Ray Bare\barera01,23,STL,1st,14,0,14,14,14,0,0,0,0,0,0,0,0,0,0,0
18,Lute Barnes\barnelu01,25,NYM,1st,24,18,24,20,0,0,0,14,0,6,0,0,0,0,3,2
19,Jim Barr\barrji01,24,SFG,2,44,18,44,44,44,0,0,0,0,0,0,0,0,0,0,0
20,Bob Barton\bartobo01,30,SDP,8,29,29,29,29,0,29,0,0,0,0,0,0,0,0,0,0
21,John Bateman\batemjo01,31,2TM,10,100,79,100,87,0,87,0,0,0,0,0,0,0,0,15,0
22,Jim Beauchamp\beaucji01,32,NYM,9,58,29,58,38,0,0,35,0,0,0,5,0,0,5,25,1
23,Glenn Beckert\beckegl01,31,CHC,8,120,117,120,118,0,0,0,118,0,0,0,0,0,0,2,0
24,Johnny Bench\benchjo01,24,CIN,6,147,147,147,147,0,129,8,0,4,0,0,0,17,17,0,0
25,Jim Bibby\bibbyji01,27,STL,1st,6,6,6,6,6,0,0,0,0,0,0,0,0,0,0,0
26,Jack Billingham\billija01,29,CIN,5,36,31,36,36,36,0,0,0,0,0,0,0,0,0,0,0
27,Damaso Blanco\blancda01,30,SFG,1st,39,3,39,28,0,0,0,3,19,8,0,0,0,0,0,19
28,Larvell Blanks\blankla01,22,ATL,1st,33,20,33,24,0,0,0,18,2,4,0,0,0,0,8,3
29,Wade Blasingame\blasiwa01,28,HOU,10,10,0,10,10,10,0,0,0,0,0,0,0,0,0,0,0
30,Steve Blass\blassst01,30,PIT,8,35,32,35,33,33,0,0,0,0,0,0,0,0,0,0,2
31,Curt Blefary\blefacu01,28,SDP,8,74,15,74,23,0,12,6,0,3,0,0,0,3,3,59,0
32,John Boccabella\boccajo01,31,MON,10,83,51,83,80,0,73,8,0,1,0,0,0,0,0,5,0
33,Bobby Bonds\bondsbo01,26,SFG,5,153,153,153,153,0,0,0,0,0,0,0,14,141,153,0,0
34,Bill Bonham\bonhabi01,23,CHC,2,19,4,19,19,19,0,0,0,0,0,0,0,0,0,0,0
35,Bob Boone\boonebo01,24,PHI,1st,16,13,16,14,0,14,0,0,0,0,0,0,0,0,3,0
36,Pedro Borbon\borbope01,25,CIN,4,62,2,62,62,62,0,0,0,0,0,0,0,0,0,0,0
37,Ken Boswell\bosweke01,26,NYM,6,100,89,100,94,0,0,0,94,0,0,0,0,0,0,7,0
38,Pat Bourque\bourqpa01,25,CHC,2,11,6,11,7,0,0,7,0,0,0,0,0,0,0,4,1
39,Larry Bowa\bowala01,26,PHI,3,152,147,152,150,0,0,0,0,0,150,0,0,0,0,0,3
40,Bucky Brandon\brandbu01,31,PHI,6,42,6,42,42,42,0,0,0,0,0,0,0,0,0,0,0
41,Jim Breazeale\breazji01,22,ATL,3,52,12,52,17,0,0,17,0,0,0,0,0,0,0,35,1
42,Hal Breeden\breedha01,28,MON,2,42,23,42,26,0,0,26,0,0,0,1,0,1,1,18,0
43,Jim Brewer\breweji01,34,LAD,13,51,0,51,51,51,0,0,0,0,0,0,0,0,0,0,0
44,Nelson Briles\brilene01,28,PIT,8,28,27,28,28,28,0,0,0,0,0,0,0,0,0,0,0
45,Lou Brock\brocklo01,33,STL,12,153,147,153,149,0,0,0,0,0,0,149,0,0,149,5,1
46,Ollie Brown\brownol02,28,SDP,8,23,16,23,17,0,0,0,0,0,0,0,0,17,17,7,0
47,Oscar Brown\brownos01,26,ATL,4,76,28,76,59,0,0,0,0,0,0,27,3,29,59,14,14
48,Byron Browne\brownby01,29,PHI,8,21,1,21,10,0,0,0,0,0,0,0,3,7,10,14,0
49,Ron Bryant\bryanro01,24,SFG,5,35,28,35,35,35,0,0,0,0,0,0,0,0,0,0,0
50,Bill Buckner\bucknbi01,22,LAD,4,105,88,105,93,0,0,35,0,0,0,9,0,52,61,13,0
51,Mike Caldwell\caldwmi01,23,SDP,2,42,20,42,42,42,0,0,0,0,0,0,0,0,0,0,0
52,Dave Campbell\campbda01,30,SDP,6,33,31,33,33,0,0,0,1,32,0,0,0,0,0,0,1
53,Chris Cannizzaro\cannich01,34,LAD,11,73,59,73,72,0,72,0,0,0,0,0,0,0,0,7,0
54,Buzz Capra\caprabu01,24,NYM,2,14,6,14,14,14,0,0,0,0,0,0,0,0,0,0,0
55,Bernie Carbo\carbobe01,24,2TM,4,118,91,118,96,0,0,0,0,1,0,0,0,96,96,24,1
56,Jose Cardenal\cardejo02,28,CHC,10,143,135,143,137,0,0,0,0,0,0,8,19,123,137,5,2
57,Steve Carlton\carltst01,27,PHI,8,41,41,41,41,41,0,0,0,0,0,0,0,0,0,0,0
58,Don Carrithers\carrido01,22,SFG,3,26,14,26,25,25,0,0,0,0,0,0,0,0,0,0,1
59,Clay Carroll\carrocl02,31,CIN,9,65,0,65,65,65,0,0,0,0,0,0,0,0,0,0,0
60,Rico Carty\cartyri01,32,ATL,8,86,78,86,78,0,0,0,0,0,0,78,0,0,78,8,0
61,Paul Casanova\casanpa01,30,ATL,8,49,32,49,43,0,43,0,0,0,0,0,0,0,0,6,0
62,Dave Cash\cashda01,24,PIT,4,99,95,99,97,0,0,0,97,0,0,0,0,0,0,3,0
63,Cesar Cedeno\cedence01,21,HOU,3,139,136,139,137,0,0,0,0,0,0,0,137,0,137,3,0
