Rk,Name,Age,Tm,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,ERA+,FIP,WHIP,H9,HR9,BB9,SO9,SO/W
1,Jim Acker\ackerji01,28,ATL,4,9,.308,4.16,68,0,41,0,0,14,114.2,109,57,53,11,51,4,68,4,0,1,491,104,4.37,1.395,8.6,0.9,4.0,5.3,1.33
2,Juan Agosto*\agostju01,29,HOU,1,1,.500,2.63,27,0,13,0,0,2,27.1,26,12,8,1,10,1,6,0,0,1,118,151,4.01,1.317,8.6,0.3,3.3,2.0,0.60
3,Rick Aguilera\aguilri01,25,NYM,11,3,.786,3.60,18,17,0,1,0,0,115.0,124,53,46,12,33,2,77,3,0,9,494,106,3.83,1.365,9.7,0.9,2.6,6.0,2.33
4,Doyle Alexander\alexado01,36,ATL,5,10,.333,4.13,16,16,0,3,0,0,117.2,115,57,54,21,27,5,64,2,0,2,481,105,4.84,1.207,8.8,1.6,2.1,4.9,2.37
5,Larry Andersen\anderla02,34,HOU,9,5,.643,3.45,67,0,31,0,0,5,101.2,95,46,39,7,41,10,94,2,0,1,440,114,3.19,1.338,8.4,0.6,3.6,8.3,2.29
6,Paul Assenmacher*\assenpa01,26,ATL,1,1,.500,5.10,52,0,10,0,0,2,54.2,58,41,31,8,24,4,39,1,0,0,251,85,4.72,1.500,9.5,1.3,4.0,6.4,1.63
7,Doug Bair\bairdo01,37,PHI,2,0,1.000,5.93,11,0,2,0,0,0,13.2,17,9,9,4,5,0,10,0,0,0,61,74,6.31,1.610,11.2,2.6,3.3,6.6,2.00
8,Jay Baller\balleja01,26,CHC,0,1,.000,6.75,23,0,9,0,0,0,29.1,38,22,22,4,20,2,27,0,2,5,139,64,4.85,1.977,11.7,1.2,6.1,8.3,1.35
9,Steve Bedrosian\bedrost01,29,PHI,5,3,.625,2.83,65,0,56,0,0,40,89.0,79,31,28,11,28,5,74,1,1,3,366,151,3.79,1.202,8.0,1.1,2.8,7.5,2.64
10,Tim Belcher\belchti01,25,LAD,4,2,.667,2.38,6,5,1,0,0,0,34.0,30,11,9,2,7,0,23,0,1,0,135,170,2.90,1.088,7.9,0.5,1.9,6.1,3.29
11,Mike Bielecki\bielemi01,27,PIT,2,3,.400,4.73,8,8,0,2,0,0,45.2,43,25,24,6,12,0,25,1,0,3,192,87,4.34,1.204,8.5,1.2,2.4,4.9,2.08
12,Randy Bockus\bockura01,26,SFG,1,0,1.000,3.63,12,0,2,0,0,0,17.1,17,8,7,2,4,1,9,0,0,0,68,109,4.02,1.212,8.8,1.0,2.1,4.7,2.25
