Rk,Name,Age,Tm,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB,Pos Summary
1,Hank Aaron\aaronha01,36,ATL,150,598,516,103,154,26,1,38,118,9,0,74,63,.298,.385,.574,.958,149,296,13,2,0,6,15,*93
2,Tommie Aaron\aaronto01,30,ATL,44,66,63,3,13,2,0,2,7,0,0,3,10,.206,.242,.333,.576,50,21,5,0,0,0,0,37/9
3,Ted Abernathy\abernte02,37,TOT,22,3,3,0,0,0,0,0,0,0,0,0,2,.000,.000,.000,.000,-100,0,0,0,0,0,0,1
4,Ted Abernathy\abernte02,37,CHC,11,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,1
5,Ted Abernathy\abernte02,37,STL,11,3,3,0,0,0,0,0,0,0,0,0,2,.000,.000,.000,.000,-100,0,0,0,0,0,0,1
6,Ed Acosta#\acosted01,26,PIT,3,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,/1
7,Tommie Agee\ageeto01,27,NYM,153,696,636,107,182,30,7,24,75,31,15,55,156,.286,.344,.469,.812,116,298,11,2,1,2,3,*8/9
8,Hank Aguirre\aguirha01,39,CHC,17,2,2,0,0,0,0,0,0,0,0,0,2,.000,.000,.000,.000,-100,0,0,0,0,0,0,1
9,Dick Allen\allendi01,28,STL,122,533,459,88,128,17,5,34,101,5,4,71,118,.279,.377,.560,.937,146,257,9,2,0,1,16,35/7
10,Gene Alley\alleyge01,29,PIT,121,466,426,46,104,16,5,8,41,7,3,31,70,.244,.297,.362,.659,78,154,6,3,2,4,9,6/45
11,Jesus Alou\alouje01,28,HOU,117,487,458,59,140,27,3,1,44,3,2,21,15,.306,.335,.384,.719,96,176,15,1,3,4,4,97
12,Matty Alou*\alouma01,31,PIT,155,718,677,97,201,21,8,1,47,19,11,30,18,.297,.329,.356,.685,87,241,9,4,4,3,3,*8/9
13,Jose Arcia\arciajo01,26,SDP,114,252,229,28,51,9,3,0,17,3,6,12,36,.223,.282,.288,.570,57,66,3,7,4,0,1,64/57
14,Steve Arlin\arlinst01,24,SDP,2,5,5,0,0,0,0,0,0,0,0,0,1,.000,.000,.000,.000,-100,0,0,0,0,0,0,/1
15,Bob Aspromonte\asprobo01,32,ATL,62,142,127,5,27,3,0,0,7,0,0,13,13,.213,.282,.236,.518,38,30,4,0,0,2,0,5/637
16,Bob Bailey\bailebo01,27,MON,131,429,352,77,101,19,3,28,84,5,3,72,70,.287,.407,.597,1.004,167,210,12,1,2,2,8,573
17,Dusty Baker\bakerdu01,21,ATL,13,27,24,3,7,0,0,0,4,0,0,2,4,.292,.333,.292,.625,66,7,1,0,0,1,0,/789
18,Jack Baldschun\baldsja01,33,SDP,12,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,1
19,Ernie Banks\bankser01,39,CHC,72,247,222,25,56,6,2,12,44,0,0,20,33,.252,.313,.459,.772,96,102,5,1,1,3,3,3
20,Steve Barber*\barbest01,32,TOT,10,4,4,0,1,0,0,0,0,0,0,0,3,.250,.250,.250,.500,32,1,0,0,0,0,0,1
21,Steve Barber*\barbest01,32,CHC,5,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,/1
22,Steve Barber*\barbest01,32,ATL,5,4,4,0,1,0,0,0,0,0,0,0,3,.250,.250,.250,.500,32,1,0,0,0,0,0,/1
23,Bob Barton\bartobo01,28,SDP,61,206,188,15,41,6,0,4,16,1,1,15,37,.218,.278,.314,.592,62,59,4,1,1,1,2,2
24,John Bateman\batemjo01,29,MON,139,557,520,51,123,21,5,15,68,8,4,28,75,.237,.275,.383,.658,76,199,15,1,5,3,9,*2
25,Del Bates*\batesde01,30,PHI,22,70,60,1,8,2,0,0,1,0,1,6,15,.133,.257,.167,.424,18,10,2,4,0,0,1,2
26,Jim Beauchamp\beaucji01,30,TOT,75,97,84,11,20,2,0,2,10,2,1,11,18,.238,.320,.333,.653,76,28,1,0,0,2,0,7/839
27,Jim Beauchamp\beaucji01,30,HOU,31,29,26,3,5,0,0,1,4,0,1,3,7,.192,.276,.308,.584,59,8,1,0,0,0,0,7/8
28,Jim Beauchamp\beaucji01,30,STL,44,68,58,8,15,2,0,1,6,2,0,8,11,.259,.338,.345,.683,83,20,0,0,0,2,0,/8379
29,Glenn Beckert\beckegl01,29,CHC,143,632,591,99,170,15,6,3,36,4,1,32,22,.288,.323,.349,.671,73,206,13,0,6,3,0,*4/8
30,Mel Behney*\behneme01,22,CIN,5,1,1,0,0,0,0,0,0,0,0,0,1,.000,.000,.000,.000,-100,0,0,0,0,0,0,/1
31,Bo Belinsky*\belinbo01,33,CIN,3,2,1,0,1,0,0,0,0,0,0,1,0,1.000,1.000,1.000,2.000,431,1,0,0,0,0,0,/1
32,Johnny Bench\benchjo01,22,CIN,158,671,605,97,177,35,4,45,148,5,2,54,102,.293,.345,.587,.932,141,355,12,0,1,11,9,*273/985
33,Frank Bertaina*\bertafr01,26,STL,8,9,7,0,1,0,0,0,0,0,0,2,0,.143,.333,.143,.476,32,1,1,0,0,0,0,/1
34,Jack Billingham\billija01,27,HOU,46,69,58,2,6,0,0,0,1,0,0,4,27,.103,.161,.103,.265,-26,6,1,0,7,0,0,1
35,Wade Blasingame*\blasiwa01,26,HOU,13,28,24,0,2,0,0,0,2,0,0,4,10,.083,.214,.083,.298,-15,2,1,0,0,0,0,1
36,Steve Blass\blassst01,28,PIT,32,76,70,3,8,1,0,0,2,0,0,2,15,.114,.137,.129,.266,-27,9,2,0,3,1,0,1
37,John Boccabella\boccajo01,29,MON,61,156,145,18,39,3,1,5,17,0,1,11,24,.269,.321,.407,.727,95,59,3,0,0,0,2,32/5
38,Bobby Bonds\bondsbo01,24,SFG,157,745,663,134,200,36,10,26,78,48,10,77,189,.302,.375,.504,.879,135,334,6,2,1,2,7,*98
39,Pedro Borbon\borbope01,23,CIN,12,3,3,0,0,0,0,0,0,0,0,0,2,.000,.000,.000,.000,-100,0,0,0,0,0,0,1
40,Ken Boswell*\bosweke01,24,NYM,105,402,351,32,89,13,2,5,44,5,4,41,32,.254,.331,.345,.676,82,121,13,2,3,5,8,4
41,Jim Bouton\boutoji01,31,HOU,29,20,17,3,6,0,0,0,2,0,0,1,6,.353,.421,.353,.774,114,6,1,1,1,0,0,1
42,Larry Bowa#\bowala01,24,PHI,145,577,547,50,137,17,6,0,34,24,13,21,48,.250,.277,.303,.580,58,166,8,0,6,3,1,*6/4
43,Clete Boyer\boyercl02,33,ATL,134,525,475,44,117,14,1,16,62,2,5,41,71,.246,.305,.381,.686,79,181,11,1,3,5,8,*5/6
44,Ron Brand\brandro01,30,MON,72,140,126,10,30,2,3,0,9,2,1,9,16,.238,.287,.302,.588,59,38,0,0,4,1,0,65/24879
45,Angel Bravo*\bravoan01,27,CIN,65,78,65,10,18,1,1,0,3,0,1,9,13,.277,.365,.323,.688,84,21,0,0,4,0,0,8/79
46,Jim Brewer*\breweji01,32,LAD,58,14,12,0,1,0,0,0,1,1,0,1,6,.083,.154,.083,.237,-33,1,0,0,1,0,0,1
47,John Briggs*\briggjo02,26,PHI,110,387,341,43,92,15,7,9,47,5,4,39,65,.270,.342,.434,.776,110,148,14,0,4,3,5,798
48,Nelson Briles\brilene01,26,STL,30,43,39,4,7,1,2,0,3,0,0,1,14,.179,.200,.308,.508,33,12,0,0,3,0,0,1
49,Lou Brock*\brocklo01,31,STL,155,729,664,114,202,29,5,13,57,51,15,60,99,.304,.361,.422,.783,108,280,10,1,1,3,12,*7/9
50,Ollie Brown\brownol02,26,SDP,139,577,534,79,156,34,1,23,89,5,3,34,78,.292,.331,.489,.820,122,261,14,0,3,6,8,*9
51,Oscar Brown\brownos01,24,ATL,28,57,47,6,18,2,1,1,7,0,2,7,7,.383,.464,.532,.996,162,25,1,1,1,1,0,8/79
52,Byron Browne\brownby01,27,PHI,104,307,270,29,67,17,2,10,36,1,2,33,72,.248,.327,.437,.764,106,118,12,0,1,3,5,98/7
53,George Brunet\brunege01,35,PIT,12,4,4,0,0,0,0,0,0,0,0,0,2,.000,.000,.000,.000,-100,0,0,0,0,0,0,1
54,Don Bryant\bryando01,28,HOU,15,26,24,2,5,0,0,0,3,0,0,1,8,.208,.231,.208,.439,21,5,0,0,0,1,0,2
55,Ron Bryant#\bryanro01,22,SFG,34,30,27,0,3,0,0,0,2,0,0,1,7,.111,.143,.111,.254,-30,3,0,0,2,0,0,1
56,Bill Buckner*\bucknbi01,20,LAD,28,71,68,6,13,3,1,0,4,0,1,3,7,.191,.225,.265,.490,34,18,0,0,0,0,1,7/39
57,Jim Bunning\bunniji01,38,PHI,35,77,71,1,9,0,0,0,6,0,0,2,18,.127,.149,.127,.275,-24,9,2,0,3,1,0,1
58,Bob Burda*\burdabo01,31,SFG,28,29,23,1,6,0,0,0,3,0,0,5,2,.261,.414,.261,.675,86,6,0,1,0,0,2,/37
59,Johnny Callison*\callijo01,31,CHC,147,543,477,65,126,23,2,19,68,7,2,60,63,.264,.348,.440,.788,101,210,10,3,0,3,11,*9/8
