Rk,Name,Age,Tm,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,ERA+,FIP,WHIP,H9,HR9,BB9,SO9,SO/W
1,Neil Allen\allenne01,25,TOT,12,13,.480,3.94,46,22,12,5,3,2,175.2,179,84,77,12,84,9,106,1,1,8,762,93,3.89,1.497,9.2,0.6,4.3,5.4,1.26
2,Neil Allen\allenne01,25,NYM,2,7,.222,4.50,21,4,9,1,1,2,54.0,57,29,27,6,36,5,32,0,0,2,246,81,5.01,1.722,9.5,1.0,6.0,5.3,0.89
3,Neil Allen\allenne01,25,STL,10,6,.625,3.70,25,18,3,4,2,0,121.2,122,55,50,6,48,4,74,1,1,6,516,99,3.39,1.397,9.0,0.4,3.6,5.5,1.54
4,Porfi Altamirano\altampo01,31,PHI,2,3,.400,3.70,31,0,11,0,0,0,41.1,38,18,17,9,15,3,24,2,1,2,173,98,5.66,1.282,8.3,2.0,3.3,5.2,1.60
5,Larry Andersen\anderla02,30,PHI,1,0,1.000,2.39,17,0,4,0,0,0,26.1,19,7,7,0,9,1,14,0,1,1,106,153,2.72,1.063,6.5,0.0,3.1,4.8,1.56
6,Joaquin Andujar\andujjo01,30,STL,6,16,.273,4.16,39,34,3,5,2,1,225.0,215,112,104,23,75,7,125,3,6,5,943,88,4.01,1.289,8.6,0.9,3.0,5.0,1.67
7,Doug Bair\bairdo01,33,STL,1,1,.500,3.03,26,0,9,0,0,1,29.2,24,11,10,4,13,3,21,0,0,1,122,122,4.41,1.247,7.3,1.2,3.9,6.4,1.62
8,Steve Baker\bakerst01,26,STL,0,1,.000,1.80,8,0,3,0,0,0,10.0,10,4,2,0,4,1,1,1,0,3,43,211,4.06,1.400,9.0,0.0,3.6,0.9,0.25
9,Greg Bargar\bargagr01,24,MON,2,0,1.000,6.75,8,3,1,0,0,0,20.0,23,15,15,6,8,0,9,1,0,0,94,54,7.11,1.550,10.4,2.7,3.6,4.1,1.13
10,Len Barker\barkele01,27,ATL,1,3,.250,3.82,6,6,0,0,0,0,33.0,31,17,14,0,14,2,21,0,0,2,143,103,2.76,1.364,8.5,0.0,3.8,5.7,1.50
11,Jim Barr\barrji01,35,SFG,5,3,.625,3.98,53,0,23,0,0,2,92.2,106,47,41,7,20,9,47,1,0,1,395,90,3.40,1.360,10.3,0.7,1.9,4.6,2.35
12,Joe Beckwith\beckwjo01,28,LAD,3,4,.429,3.55,42,3,15,0,0,1,71.0,73,40,28,5,35,11,50,1,0,1,321,102,3.78,1.521,9.3,0.6,4.4,6.3,1.43
13,Steve Bedrosian\bedrost01,25,ATL,9,10,.474,3.60,70,1,52,0,0,19,120.0,100,50,48,11,51,8,114,4,0,2,504,108,3.42,1.258,7.5,0.8,3.8,8.6,2.24
14,Rick Behenna\behenri01,23,ATL,3,3,.500,4.58,14,6,1,0,0,0,37.1,37,20,19,7,12,2,17,1,3,0,160,86,5.33,1.313,8.9,1.7,2.9,4.1,1.42
15,Bruce Berenyi\berenbr01,28,CIN,9,14,.391,3.86,32,31,1,4,1,0,186.1,173,92,80,9,102,3,151,2,0,8,816,98,3.44,1.476,8.4,0.4,4.9,7.3,1.48
16,Jim Bibby\bibbyji01,38,PIT,5,12,.294,6.69,29,12,6,0,0,2,78.0,92,60,58,10,51,0,44,1,2,2,367,56,5.29,1.833,10.6,1.2,5.9,5.1,0.86
17,Tommy Boggs\boggsto01,27,ATL,0,0,,5.68,5,0,1,0,0,0,6.1,8,4,4,1,1,0,5,0,0,1,27,73,3.70,1.421,11.4,1.4,1.4,7.1,5.00
18,Greg Booker\bookegr01,23,SDP,0,1,.000,7.71,6,1,1,0,0,0,11.2,18,10,10,2,9,0,5,0,0,0,58,47,6.44,2.314,13.9,1.5,6.9,3.9,0.56
19,Rich Bordi\bordiri01,24,CHC,0,2,.000,4.97,11,1,1,0,0,1,25.1,34,15,14,2,12,1,20,0,0,0,119,77,3.62,1.816,12.1,0.7,4.3,7.1,1.67
20,Fred Breining\breinfr01,27,SFG,11,12,.478,3.82,32,32,0,6,0,0,202.2,202,97,86,15,60,11,117,5,1,4,868,94,3.52,1.293,9.0,0.7,2.7,5.2,1.95
21,Tony Brizzolara\brizzto01,26,ATL,1,0,1.000,3.54,14,0,2,0,0,1,20.1,22,8,8,2,6,0,17,0,0,0,88,112,3.25,1.377,9.7,0.9,2.7,7.5,2.83
22,Warren Brusstar\brusswa01,31,CHC,3,1,.750,2.35,59,0,21,0,0,1,80.1,67,21,21,1,37,10,46,2,1,4,335,162,3.23,1.295,7.5,0.1,4.1,5.2,1.24
23,Ray Burris\burrira01,32,MON,4,7,.364,3.68,40,17,6,2,1,0,154.0,139,68,63,13,56,4,100,2,1,2,641,97,3.68,1.266,8.1,0.8,3.3,5.8,1.79
24,Marty Bystrom\bystrma01,24,PHI,6,9,.400,4.60,24,23,0,1,1,0,119.1,136,75,61,6,44,2,87,7,1,2,540,79,3.23,1.508,10.3,0.5,3.3,6.6,1.98
25,Mark Calvert\calvema01,26,SFG,1,4,.200,6.27,18,4,5,0,0,0,37.1,46,33,26,2,34,4,14,3,1,3,190,58,5.67,2.143,11.1,0.5,8.2,3.4,0.41
26,Rick Camp\campri01,30,ATL,10,9,.526,3.79,40,16,4,1,0,0,140.0,146,64,59,16,38,2,61,4,0,3,590,103,4.27,1.314,9.4,1.0,2.4,3.9,1.61
27,Bill Campbell\campbbi02,34,CHC,6,8,.429,4.49,82,0,46,0,0,8,122.1,128,65,61,4,49,18,97,1,1,6,530,85,2.82,1.447,9.4,0.3,3.6,7.1,1.98
28,John Candelaria*\candejo01,29,PIT,15,8,.652,3.23,33,32,0,2,0,0,197.2,191,73,71,15,45,3,157,2,2,3,797,115,2.87,1.194,8.7,0.7,2.0,7.1,3.49
29,Steve Carlton*\carltst01,38,PHI,15,16,.484,3.11,37,37,0,8,3,0,283.2,277,117,98,20,84,10,275,3,9,13,1183,116,2.65,1.273,8.8,0.6,2.7,8.7,3.27
30,Don Carman*\carmado01,23,PHI,0,0,,0.00,1,0,1,0,0,1,1.0,0,0,0,0,0,0,0,0,0,0,3,,2.76,0.000,0.0,0.0,0.0,0.0,
31,Keefe Cato\catoke01,25,CIN,1,0,1.000,2.45,4,0,1,0,0,0,3.2,2,1,1,0,1,0,3,0,0,0,14,171,1.94,0.818,4.9,0.0,2.5,7.4,3.00
32,Floyd Chiffer\chifffl01,27,SDP,0,2,.000,3.18,15,0,3,0,0,1,22.2,17,10,8,0,10,1,15,0,1,0,94,113,2.76,1.191,6.8,0.0,4.0,6.0,1.50
33,Mike Chris*\chrismi01,25,SFG,0,0,,8.10,7,0,0,0,0,0,13.1,16,14,12,1,16,2,5,2,0,1,72,45,7.03,2.400,10.8,0.7,10.8,3.4,0.31
34,Larry Christenson\chrisla01,29,PHI,2,4,.333,3.91,9,9,0,0,0,0,48.1,42,25,21,2,17,1,44,1,0,2,203,93,2.59,1.221,7.8,0.4,3.2,8.2,2.59
35,Ralph Citarella\citarra01,25,STL,0,0,,1.64,6,0,2,0,0,0,11.0,8,2,2,0,3,1,4,0,0,1,42,231,2.85,1.000,6.5,0.0,2.5,3.3,1.33
36,Steve Comer\comerst01,29,PHI,1,0,1.000,5.19,3,1,0,0,0,0,8.2,11,6,5,0,3,0,1,0,0,0,38,73,3.56,1.615,11.4,0.0,3.1,1.0,0.33
37,Mike Couchee\couchmi01,25,SDP,0,1,.000,5.14,8,0,2,0,0,0,14.0,12,8,8,1,6,1,5,0,1,0,63,71,4.26,1.286,7.7,0.6,3.9,3.2,0.83
38,Danny Cox\coxda01,23,STL,3,6,.333,3.25,12,12,0,0,0,0,83.0,92,38,30,6,23,2,36,0,0,2,352,112,3.66,1.386,10.0,0.7,2.5,3.9,1.57
39,Ron Darling\darliro01,22,NYM,1,3,.250,2.80,5,5,0,1,0,0,35.1,31,11,11,0,17,1,23,3,2,3,148,131,3.15,1.358,7.9,0.0,4.3,5.9,1.35
40,Mark Davis*\davisma01,22,SFG,6,4,.600,3.49,20,20,0,2,2,0,111.0,93,51,43,14,50,4,83,3,1,8,469,103,4.33,1.288,7.5,1.1,4.1,6.7,1.66
41,Bill Dawley\dawlebi01,25,HOU,6,6,.500,2.82,48,0,37,0,0,14,79.2,51,26,25,9,22,4,60,1,0,1,304,120,3.58,0.916,5.8,1.0,2.5,6.8,2.73
42,Ken Dayley*\dayleke01,24,ATL,5,8,.385,4.30,24,16,3,0,0,0,104.2,100,59,50,12,39,2,70,2,0,3,436,91,4.08,1.328,8.6,1.0,3.4,6.0,1.79
43,Marty Decker\deckema01,26,SDP,0,0,,2.08,4,0,1,0,0,0,8.2,5,2,2,1,3,0,9,1,0,1,34,178,3.56,0.923,5.2,1.0,3.1,9.3,3.00
44,Jeff Dedmon\dedmoje01,23,ATL,0,0,,13.50,5,0,0,0,0,0,4.0,10,6,6,1,0,0,3,0,0,0,23,32,4.51,2.500,22.5,2.3,0.0,6.8,
45,Jose DeLeon\deleojo01,22,PIT,7,3,.700,2.83,15,15,0,3,2,0,108.0,75,36,34,5,47,2,118,1,2,5,438,131,2.51,1.130,6.3,0.4,3.9,9.8,2.51
