Rk,Name,Age,Tm,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,ERA+,FIP,WHIP,H9,HR9,BB9,SO9,SO/W
1,Neil Allen\allenne01,21,NYM,6,10,.375,3.55,50,5,27,0,0,8,99.0,100,46,39,4,47,13,65,0,0,6,431,103,3.37,1.485,9.1,0.4,4.3,5.9,1.38
2,Mike Anderson\andermi01,28,PHI,0,0,,0.00,1,0,1,0,0,0,1.0,2,0,0,0,0,0,2,0,0,0,5,,-1.27,2.000,18.0,0.0,0.0,18.0,
3,Joaquin Andujar\andujjo01,26,HOU,12,12,.500,3.43,46,23,9,8,0,4,194.0,168,86,74,7,88,6,77,2,0,5,825,103,3.80,1.320,7.8,0.3,4.1,3.6,0.88
4,Bill Atkinson\atkinbi01,24,MON,2,0,1.000,1.98,10,0,5,0,0,1,13.2,9,4,3,0,4,1,7,0,0,0,57,191,2.59,0.951,5.9,0.0,2.6,4.6,1.75
5,Stan Bahnsen\bahnsst01,34,MON,3,1,.750,3.15,55,0,15,0,0,5,94.1,80,34,33,10,42,4,71,0,0,2,388,117,3.94,1.293,7.6,1.0,4.0,6.8,1.69
6,Doug Bair\bairdo01,29,CIN,11,7,.611,4.29,65,0,42,0,0,16,94.1,93,47,45,7,51,12,86,3,0,3,430,88,3.59,1.527,8.9,0.7,4.9,8.2,1.69
7,Joe Beckwith\beckwjo01,24,LAD,1,2,.333,4.34,17,0,8,0,0,2,37.1,42,18,18,4,15,1,28,0,1,0,168,85,3.83,1.527,10.1,1.0,3.6,6.8,1.87
8,Juan Berenguer\berenju01,24,NYM,1,1,.500,2.93,5,5,0,0,0,0,30.2,28,13,10,2,12,0,25,1,2,0,126,125,3.22,1.304,8.2,0.6,3.5,7.3,2.08
9,Dwight Bernard\bernadw01,27,NYM,0,3,.000,4.70,32,1,6,0,0,0,44.0,59,26,23,2,26,4,20,0,0,1,208,78,4.19,1.932,12.1,0.4,5.3,4.1,0.77
10,Jim Bibby\bibbyji01,34,PIT,12,4,.750,2.81,34,17,2,4,1,0,137.2,110,51,43,9,47,6,103,4,0,5,562,139,3.20,1.140,7.2,0.6,3.1,6.7,2.19
