Rk,Name,Age,Tm,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,ERA+,FIP,WHIP,H9,HR9,BB9,SO9,SO/W
1,Johnny Abrego\abregjo01,22,CHC,1,1,.500,6.38,6,5,0,0,0,0,24.0,32,18,17,3,12,1,13,0,0,0,109,63,4.73,1.833,12.0,1.1,4.5,4.9,1.08
2,Rick Aguilera\aguilri01,23,NYM,10,7,.588,3.24,21,19,1,2,0,0,122.1,118,49,44,8,37,2,74,2,2,5,507,108,3.28,1.267,8.7,0.6,2.7,5.4,2.00
3,Neil Allen\allenne01,27,STL,1,4,.200,5.59,23,1,13,0,0,2,29.0,32,22,18,3,17,6,10,1,1,1,135,65,5.20,1.690,9.9,0.9,5.3,3.1,0.59
4,Larry Andersen\anderla02,32,PHI,3,3,.500,4.32,57,0,19,0,0,3,73.0,78,41,35,5,26,4,50,3,1,1,318,86,3.40,1.425,9.6,0.6,3.2,6.2,1.92
5,Joaquin Andujar\andujjo01,32,STL,21,12,.636,3.40,38,38,0,10,2,0,269.2,265,113,102,15,82,12,112,11,0,2,1127,105,3.61,1.287,8.8,0.5,2.7,3.7,1.37
6,Doug Bair\bairdo01,35,STL,0,0,,0.00,2,0,1,0,0,0,2.0,1,0,0,0,2,0,0,0,0,0,8,,5.69,1.500,4.5,0.0,9.0,0.0,0.00
7,Jay Baller\balleja01,24,CHC,2,3,.400,3.46,20,4,4,0,0,1,52.0,52,21,20,8,17,7,31,1,0,2,223,115,4.53,1.327,9.0,1.4,2.9,5.4,1.82
8,Len Barker\barkele01,29,ATL,2,9,.182,6.35,20,18,1,0,0,0,73.2,84,55,52,10,37,1,47,1,0,3,335,60,4.72,1.643,10.3,1.2,4.5,5.7,1.27
9,Dave Beard\beardda01,25,CHC,0,0,,6.39,9,0,5,0,0,0,12.2,16,9,9,2,7,2,4,0,0,0,59,64,5.76,1.816,11.4,1.4,5.0,2.8,0.57
10,Steve Bedrosian\bedrost01,27,ATL,7,15,.318,3.83,37,37,0,0,0,0,206.2,198,101,88,17,111,6,134,5,0,6,907,100,4.14,1.495,8.6,0.7,4.8,5.8,1.21
