Rk,Name,Age,Tm,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB,Pos Summary
238,Bob Knepper*\kneppbo01,34,HOU,27,65,48,1,6,0,0,0,3,0,0,2,17,.125,.157,.125,.282,-16,6,0,0,14,1,0,1
239,Randy Kramer\kramera01,27,PIT,5,2,2,0,0,0,0,0,0,0,0,0,1,.000,.000,.000,.000,-100,0,0,0,0,0,0,/1
240,Bill Krueger*\kruegbi01,30,LAD,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,/1
241,John Kruk*\krukjo01,27,SDP,120,466,378,54,91,17,1,9,44,5,3,80,68,.241,.369,.362,.732,113,137,7,0,3,5,12,379
242,Mike Krukow\krukomi01,36,SFG,20,47,41,1,3,1,0,1,2,0,0,2,8,.073,.116,.171,.287,-17,7,0,0,4,0,0,1
243,Mike LaCoss\lacosmi01,32,SFG,19,39,33,3,8,1,0,0,2,0,0,2,13,.242,.286,.273,.558,65,9,0,0,4,0,0,1
244,Mike Laga*\lagami01,28,STL,41,102,100,5,13,0,0,1,4,0,0,2,21,.130,.147,.160,.307,-12,16,0,0,0,0,0,3
245,Steve Lake\lakest01,31,STL,36,59,54,5,15,3,0,1,4,0,0,3,15,.278,.339,.389,.728,108,21,0,2,0,0,0,2
246,Les Lancaster\lancale01,26,CHC,44,23,20,1,1,0,0,0,0,0,0,0,12,.050,.050,.050,.100,-72,1,0,0,3,0,0,1
247,Bill Landrum\landrbi01,30,CHC,7,2,2,0,0,0,0,0,0,0,0,0,1,.000,.000,.000,.000,-100,0,0,0,0,0,0,/1
248,Dave LaPoint*\lapoida01,28,PIT,8,17,16,0,1,0,0,0,0,0,0,0,6,.063,.063,.063,.125,-64,1,2,0,1,0,0,/1
249,Barry Larkin\larkiba01,24,CIN,151,652,588,91,174,32,5,12,56,40,7,41,24,.296,.347,.429,.776,119,252,7,8,10,5,3,*6
250,Mike LaValliere*\lavalmi01,27,PIT,120,409,352,24,92,18,0,2,47,3,2,50,34,.261,.353,.330,.682,100,116,8,2,1,4,10,*2
251,Vance Law\lawva01,31,CHC,151,621,556,73,163,29,2,11,78,1,4,55,79,.293,.358,.412,.770,117,229,15,3,4,3,4,*5/7
252,Tom Lawless\lawleto01,31,STL,54,79,65,9,10,2,1,1,3,6,0,7,9,.154,.236,.262,.498,43,17,1,0,7,0,0,5/4793
253,Terry Leach\leachte01,34,NYM,52,14,14,1,2,1,0,0,3,0,0,0,9,.143,.143,.214,.357,4,3,0,0,0,0,0,1
254,Tim Leary\learyti01,29,LAD,36,83,67,4,18,3,0,0,9,0,1,1,26,.269,.286,.313,.599,74,21,0,1,13,1,0,1
255,Craig Lefferts*\leffecr01,30,SFG,64,9,9,0,0,0,0,0,0,0,0,0,7,.000,.000,.000,.000,-100,0,0,0,0,0,0,1
256,Dave Leiper*\leipeda01,26,SDP,35,2,2,0,1,0,0,0,1,0,0,0,1,.500,.500,.500,1.000,190,1,0,0,0,0,0,1
257,Mark Lemke#\lemkema01,22,ATL,16,64,58,8,13,4,0,0,2,0,2,4,5,.224,.274,.293,.567,61,17,1,0,2,0,0,4
258,Jeffrey Leonard\leonaje01,32,SFG,44,171,160,12,41,8,1,2,20,7,5,9,24,.256,.292,.356,.649,89,57,5,0,0,2,1,7
259,Jose Lind\lindjo01,24,PIT,154,668,611,82,160,24,4,2,49,15,4,42,75,.262,.308,.324,.632,84,198,11,0,12,3,0,*4
260,Jim Lindeman\lindeji01,26,STL,17,46,43,3,9,1,0,2,7,0,0,2,9,.209,.244,.372,.617,75,16,1,0,1,0,0,/973
261,Barry Lyons\lyonsba01,28,NYM,50,98,91,5,21,7,1,0,11,0,0,3,12,.231,.253,.330,.582,70,30,3,0,3,1,0,2/3
262,Shane Mack\macksh01,24,SDP,56,140,119,13,29,3,0,0,12,5,1,14,21,.244,.336,.269,.605,77,32,2,3,3,1,0,8/79
263,Morris Madden*\maddemo01,27,PIT,6,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,/1
264,Greg Maddux\maddugr01,22,CHC,37,97,96,13,19,3,0,0,5,1,0,0,22,.198,.198,.229,.427,20,22,1,0,1,0,0,1
265,Mike Maddux*\maddumi01,26,PHI,26,26,23,1,3,1,0,0,3,0,0,1,8,.130,.167,.174,.341,-2,4,0,0,2,0,0,1
266,Alex Madrid\madrial01,25,PHI,5,3,3,0,0,0,0,0,0,0,0,0,2,.000,.000,.000,.000,-100,0,0,0,0,0,0,/1
267,Dave Magadan*\magadda01,25,NYM,112,380,314,39,87,15,0,1,35,0,1,60,39,.277,.393,.334,.728,116,105,9,2,1,3,4,35
268,Joe Magrane\magrajo01,23,STL,25,57,48,2,8,1,0,1,3,0,0,1,18,.167,.184,.250,.434,23,12,1,0,8,0,0,1
269,Rick Mahler\mahleri01,34,ATL,39,84,72,3,9,1,0,0,5,0,0,0,20,.125,.137,.139,.276,-22,10,1,1,11,0,0,1
270,Candy Maldonado\maldoca01,27,SFG,142,552,499,53,127,23,1,12,68,6,5,37,89,.255,.311,.377,.688,101,188,13,7,3,6,1,*9
271,Kirt Manwaring\manwaki01,22,SFG,40,124,116,12,29,7,0,1,15,0,1,2,21,.250,.279,.336,.615,80,39,1,3,1,1,0,2
272,Mike Marshall\marshmi02,28,LAD,144,577,542,63,150,27,2,20,82,4,1,24,93,.277,.314,.445,.758,118,241,17,7,0,4,7,93
273,Carmelo Martinez\martica01,27,SDP,121,405,365,48,86,12,0,18,65,1,1,35,57,.236,.301,.416,.717,106,152,10,0,3,2,3,739
274,Dave Martinez*\martida01,23,TOT,138,494,447,51,114,13,6,6,46,23,9,38,94,.255,.313,.351,.664,88,157,3,2,2,5,8,*89/7
