Rk,Name,Age,Tm,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,ERA+,FIP,WHIP,H9,HR9,BB9,SO9,SO/W
1,Jack Aker\akerja01,32,CHC,4,5,.444,4.10,47,0,32,0,0,12,63.2,76,33,29,8,23,6,25,2,0,0,281,96,4.59,1.555,10.7,1.1,3.3,3.5,1.09
2,John Andrews*\andrejo02,24,STL,1,1,.500,4.42,16,0,2,0,0,0,18.1,16,10,9,3,11,1,5,0,0,3,80,85,5.95,1.473,7.9,1.5,5.4,2.5,0.45
3,Bob Apodaca\apodabo01,23,NYM,0,0,,inf,1,0,0,0,0,0,0.0,0,1,1,0,2,0,0,0,0,0,2,17,,,,,,,0.00
4,Steve Arlin\arlinst01,27,SDP,11,14,.440,5.10,34,27,0,7,3,0,180.0,196,107,102,26,72,7,98,1,0,7,794,68,4.57,1.489,9.8,1.3,3.6,4.9,1.36
5,Dick Baney\baneydi01,26,CIN,2,1,.667,2.93,11,1,3,0,0,2,30.2,26,10,10,1,6,1,17,4,0,0,122,118,2.86,1.043,7.6,0.3,1.8,5.0,2.83
6,Jim Barr\barrji01,25,SFG,11,17,.393,3.81,41,33,4,8,3,2,231.1,240,105,98,24,49,7,88,5,0,3,966,101,3.85,1.249,9.3,0.9,1.9,3.4,1.80
7,Jim Bibby\bibbyji01,28,STL,0,2,.000,9.56,6,3,0,0,0,0,16.0,19,17,17,2,17,2,12,2,1,5,83,39,6.25,2.250,10.7,1.1,9.6,6.8,0.71
8,Jack Billingham\billija01,30,CIN,19,10,.655,3.04,40,40,0,16,7,0,293.1,257,112,99,20,95,10,155,10,0,10,1205,113,3.47,1.200,7.9,0.6,2.9,4.8,1.63
9,Steve Blass\blassst01,31,PIT,3,9,.250,9.85,23,18,1,1,0,0,88.2,109,98,97,11,84,4,27,12,0,9,455,36,6.82,2.177,11.1,1.1,8.5,2.7,0.32
10,Bill Bonham\bonhabi01,24,CHC,7,5,.583,3.02,44,15,14,3,0,6,152.0,126,55,51,10,64,7,121,4,1,9,627,130,3.17,1.250,7.5,0.6,3.8,7.2,1.89
