Rk,Name,Age,Tm,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,ERA+,FIP,WHIP,H9,HR9,BB9,SO9,SO/W
104,Ed Lynch\lynched01,26,NYM,4,8,.333,3.55,43,12,11,0,0,2,139.1,145,57,55,6,40,4,51,1,3,2,585,103,3.43,1.328,9.4,0.4,2.6,3.3,1.28
105,Rick Mahler\mahleri01,28,ATL,9,10,.474,4.21,39,33,0,5,2,0,205.1,213,105,96,18,62,5,105,1,2,8,857,89,3.75,1.339,9.3,0.8,2.7,4.6,1.69
106,John Martin*\martijo05,26,STL,4,5,.444,4.23,24,7,3,0,0,0,66.0,56,33,31,6,30,3,21,0,0,1,276,87,4.63,1.303,7.6,0.8,4.1,2.9,0.70
107,Renie Martin\martire01,26,SFG,7,10,.412,4.65,29,25,1,1,0,0,141.1,148,91,73,14,64,9,63,0,2,2,619,77,4.47,1.500,9.4,0.9,4.1,4.0,0.98
108,Randy Martz\martzra01,26,CHC,11,10,.524,4.21,28,24,2,1,0,1,147.2,157,80,69,17,36,4,40,3,0,1,629,89,4.46,1.307,9.6,1.0,2.2,2.4,1.11
109,Andy McGaffigan\mcgafan01,25,SFG,1,0,1.000,0.00,4,0,2,0,0,0,8.0,5,1,0,0,1,0,4,1,0,0,30,,2.47,0.750,5.6,0.0,1.1,4.5,4.00
110,Tug McGraw*\mcgratu01,37,PHI,3,3,.500,4.31,34,0,25,0,0,5,39.2,50,19,19,3,12,6,25,1,0,2,181,86,3.42,1.563,11.3,0.7,2.7,5.7,2.08
111,Larry McWilliams*\mcwilla01,28,TOT,8,8,.500,3.84,46,20,6,2,2,1,159.1,158,79,68,12,44,6,118,6,1,3,678,98,3.16,1.268,8.9,0.7,2.5,6.7,2.68
112,Larry McWilliams*\mcwilla01,28,ATL,2,3,.400,6.21,27,2,5,0,0,0,37.2,52,30,26,3,20,5,24,2,1,1,185,61,4.23,1.912,12.4,0.7,4.8,5.7,1.20
113,Larry McWilliams*\mcwilla01,28,PIT,6,5,.545,3.11,19,18,1,2,2,1,121.2,106,49,42,9,24,1,94,4,0,2,493,121,2.82,1.068,7.8,0.7,1.8,7.0,3.92
114,Greg Minton\mintogr01,30,SFG,10,4,.714,1.83,78,0,66,0,0,30,123.0,108,29,25,5,42,17,58,2,0,7,496,196,3.38,1.220,7.9,0.4,3.1,4.2,1.38
115,Randy Moffitt\moffira01,33,HOU,2,4,.333,3.02,30,0,19,0,0,3,41.2,36,15,14,3,13,3,20,5,0,0,179,111,3.99,1.176,7.8,0.6,2.8,4.3,1.54
