Rk,Name,Age,Tm,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,ERA+,FIP,WHIP,H9,HR9,BB9,SO9,SO/W
1,Cy Acosta\acostcy01,28,PHI,0,0,,6.23,6,0,1,0,0,1,8.2,9,7,6,2,3,0,2,0,0,0,36,63,6.16,1.385,9.3,2.1,3.1,2.1,0.67
2,Bob Apodaca\apodabo01,25,NYM,3,4,.429,1.49,46,0,36,0,0,13,84.2,66,18,14,4,28,9,45,0,0,2,338,233,3.13,1.110,7.0,0.4,3.0,4.8,1.61
3,Rick Baldwin\baldwri01,22,NYM,3,5,.375,3.33,54,0,29,0,0,6,97.1,97,39,36,4,34,4,54,4,2,5,418,104,3.18,1.346,9.0,0.4,3.1,5.0,1.59
4,Mike Barlow\barlomi01,27,STL,0,0,,4.70,9,0,5,0,0,0,7.2,11,6,4,0,3,1,2,1,0,0,37,85,3.63,1.826,12.9,0.0,3.5,2.3,0.67
5,Jim Barr\barrji01,27,SFG,13,14,.481,3.06,35,33,2,12,2,0,244.0,244,94,83,17,58,10,77,3,1,3,1004,125,3.61,1.238,9.0,0.6,2.1,2.8,1.33
6,Mike Beard*\beardmi01,25,ATL,4,0,1.000,3.20,34,2,8,0,0,0,70.1,71,31,25,4,28,5,27,2,3,2,309,119,3.84,1.408,9.1,0.5,3.6,3.5,0.96
7,Jack Billingham\billija01,32,CIN,15,10,.600,4.11,33,32,0,5,0,0,208.0,222,100,95,22,76,12,79,9,1,8,893,88,4.43,1.433,9.6,1.0,3.3,3.4,1.04
8,Dennis Blair\blairde01,21,MON,8,15,.348,3.80,30,27,2,1,0,0,163.1,150,77,69,14,106,3,82,3,1,12,718,102,4.70,1.567,8.3,0.8,5.8,4.5,0.77
9,Bill Bonham\bonhabi01,26,CHC,13,15,.464,4.71,38,36,1,7,2,0,229.1,254,133,120,15,109,6,165,5,0,12,1035,81,3.49,1.583,10.0,0.6,4.3,6.5,1.51
10,Pedro Borbon\borbope01,28,CIN,9,5,.643,2.95,67,0,25,0,0,5,125.0,145,47,41,6,21,6,29,3,1,6,523,122,3.32,1.328,10.4,0.4,1.5,2.1,1.38
11,Tom Bradley\bradlto01,28,SFG,2,3,.400,6.21,13,6,0,0,0,0,42.0,57,33,29,6,18,4,13,1,0,0,199,62,5.18,1.786,12.2,1.3,3.9,2.8,0.72
12,Ken Brett*\brettke01,26,PIT,9,5,.643,3.36,23,16,4,4,1,0,118.0,110,47,44,10,43,5,47,2,1,5,492,105,4.04,1.297,8.4,0.8,3.3,3.6,1.09
13,Jim Brewer*\breweji01,37,LAD,3,1,.750,5.18,21,0,14,0,0,2,33.0,44,20,19,2,12,2,21,1,0,1,152,67,3.28,1.697,12.0,0.5,3.3,5.7,1.75
14,Ron Bryant*\bryanro01,27,STL,0,1,.000,16.62,10,1,3,0,0,0,8.2,20,17,16,2,7,1,7,0,0,1,55,24,6.39,3.115,20.8,2.1,7.3,7.3,1.00
15,Ray Burris\burrira01,24,CHC,15,10,.600,4.12,36,35,1,8,2,0,238.1,259,121,109,25,73,6,108,4,2,2,1020,93,4.01,1.393,9.8,0.9,2.8,4.1,1.48
16,Mike Caldwell*\caldwmi01,26,SFG,7,13,.350,4.79,38,21,4,4,0,1,163.1,194,102,87,16,48,7,57,5,0,1,723,80,4.14,1.482,10.7,0.9,2.6,3.1,1.19
