Rk,Name,Age,Tm,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB,Pos Summary
1,Matt Alexander#\alexama01,31,PIT,7,0,0,2,0,0,0,0,0,4,1,0,0,,,,,,0,0,0,0,0,0,
2,Bill Almon\almonbi01,25,SDP,138,442,405,39,102,19,2,0,21,17,5,33,74,.252,.308,.309,.616,80,125,6,0,3,1,10,*56/4
3,Jesus Alou\alouje01,36,HOU,77,152,139,7,45,5,1,2,19,0,0,6,5,.324,.345,.417,.762,120,58,4,0,4,3,1,7/9
4,Rob Andrews\andrero01,25,SFG,79,202,177,21,39,3,3,1,11,5,1,20,18,.220,.299,.288,.588,68,51,2,0,5,0,1,4/6
5,Joaquin Andujar#\andujjo01,25,HOU,36,28,23,0,3,1,0,0,3,0,0,1,11,.130,.167,.174,.341,-1,4,0,0,4,0,0,1
6,Tucker Ashford\ashfotu01,23,SDP,75,174,155,11,38,11,0,3,26,1,0,14,31,.245,.301,.374,.675,96,58,3,0,1,4,1,543
7,Brian Asselstine*\asselbr01,24,ATL,39,122,103,11,28,3,3,2,13,2,1,11,16,.272,.339,.417,.756,101,43,1,2,1,5,1,98
8,Bill Atkinson*\atkinbi01,23,MON,29,4,4,0,2,0,0,0,1,0,0,0,0,.500,.500,.500,1.000,184,2,0,0,0,0,0,1
9,Rick Auerbach\auerbri01,28,CIN,63,65,55,17,18,6,0,2,5,1,0,7,12,.327,.413,.545,.958,167,30,1,1,2,0,0,64/5
10,Stan Bahnsen\bahnsst01,33,MON,44,12,11,0,1,0,0,0,0,0,0,0,3,.091,.091,.091,.182,-48,1,0,0,1,0,0,1
11,Doug Bair\bairdo01,28,CIN,70,15,14,1,2,0,0,0,1,0,0,0,4,.143,.143,.143,.286,-20,2,0,0,1,0,0,1
12,Chuck Baker\bakerch02,25,SDP,44,66,58,8,12,1,0,0,3,0,0,2,15,.207,.233,.224,.457,34,13,1,0,6,0,0,46
13,Dusty Baker\bakerdu01,29,LAD,149,579,522,62,137,24,1,11,66,12,3,47,66,.262,.325,.375,.701,97,196,10,3,4,3,2,*7
14,Reggie Baldwin\baldwre01,23,HOU,38,70,67,5,17,5,0,1,11,0,0,3,3,.254,.286,.373,.659,90,25,3,0,0,0,0,2
15,Floyd Bannister*\bannifl01,23,HOU,28,37,31,2,5,1,0,0,0,0,0,1,12,.161,.188,.194,.381,11,6,0,0,5,0,0,1
16,Jim Barr\barrji01,30,SFG,34,55,50,1,5,0,0,0,2,0,0,0,8,.100,.100,.100,.200,-43,5,0,0,5,0,0,1
17,Bob Beall#\beallbo01,30,ATL,108,225,185,29,45,8,0,1,16,4,5,36,27,.243,.368,.303,.670,81,56,4,1,2,1,0,3/78
18,Rob Belloir\belloro01,29,ATL,2,1,1,0,1,1,0,0,0,0,0,0,0,1.000,1.000,2.000,3.000,684,2,0,0,0,0,0,/56
19,Johnny Bench\benchjo01,30,CIN,120,451,393,52,102,17,1,23,73,4,2,50,83,.260,.340,.483,.823,129,190,9,1,1,6,10,23/79
20,Bruce Benedict\benedbr01,22,ATL,22,58,52,3,13,2,0,0,1,0,0,6,6,.250,.328,.288,.616,66,15,0,0,0,0,2,2
21,Butch Benton\bentobu01,20,NYM,4,5,4,1,2,0,0,0,2,0,0,0,0,.500,.600,.500,1.100,217,2,0,1,0,0,0,/2
22,Juan Berenguer\berenju01,23,NYM,5,3,3,0,0,0,0,0,0,0,0,0,2,.000,.000,.000,.000,-100,0,0,0,0,0,0,/1
23,Dave Bergman*\bergmda01,25,HOU,104,228,186,15,43,5,1,0,12,2,0,39,32,.231,.361,.269,.630,86,50,5,0,1,2,9,37
24,Dwight Bernard\bernadw01,26,NYM,30,6,5,0,1,0,0,0,0,0,0,1,2,.200,.333,.200,.533,56,1,0,0,0,0,0,1
25,Dale Berra\berrada01,21,PIT,56,153,135,16,28,2,0,6,14,3,1,13,20,.207,.285,.356,.640,75,48,2,2,0,1,3,5/6
26,Jim Beswick#\beswiji01,20,SDP,17,21,20,2,1,0,0,0,0,0,0,1,7,.050,.095,.050,.145,-56,1,2,0,0,0,0,/98
27,Jim Bibby\bibbyji01,33,PIT,34,34,31,1,4,0,0,1,2,0,0,3,9,.129,.206,.226,.432,19,7,0,0,0,0,0,1
28,Larry Biittner*\biittla01,31,CHC,120,374,343,32,88,15,1,4,50,0,1,23,37,.257,.300,.341,.641,72,117,8,1,1,6,4,37
