Rk,Name,Age,Tm,Yrs,G,GS,Batting,Defense,P,C,1B,2B,3B,SS,LF,CF,RF,OF,PH,PR
1,Shawn Abner\abnersh01,22,SDP,2,37,24,37,35,0,0,0,0,0,0,10,11,17,35,1,3
2,Jim Acker\ackerji01,29,ATL,6,21,1,21,21,21,0,0,0,0,0,0,0,0,0,0,0
3,Juan Agosto\agostju01,30,HOU,8,75,0,75,75,75,0,0,0,0,0,0,0,0,0,0,0
4,Luis Aguayo\aguaylu01,29,PHI,9,49,25,49,39,0,0,0,2,13,27,0,0,0,0,12,2
5,Rick Aguilera\aguilri01,26,NYM,4,11,3,11,11,11,0,0,0,0,0,0,0,0,0,0,0
6,Gibson Alba\albagi01,28,STL,1st,3,0,3,3,3,0,0,0,0,0,0,0,0,0,0,0
7,Mike Aldrete\aldremi01,27,SFG,3,139,97,139,120,0,0,10,0,0,0,83,7,40,115,37,0
8,Luis Alicea\alicelu01,22,STL,1st,93,77,93,91,0,0,0,91,0,0,0,0,0,0,6,1
9,Bill Almon\almonbi01,35,PHI,15,20,4,20,15,0,0,1,0,9,5,0,0,0,0,6,2
10,Roberto Alomar\alomaro01,20,SDP,1st,143,137,143,143,0,0,0,143,0,0,0,0,0,0,0,1
11,Sandy Alomar\alomasa02,22,SDP,1st,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
12,Jose Alvarez\alvarjo01,32,ATL,3,61,0,61,60,60,0,0,0,0,0,0,0,0,0,0,1
13,Larry Andersen\anderla02,35,HOU,11,53,0,53,53,53,0,0,0,0,0,0,0,0,0,0,0
14,Dave Anderson\anderda02,27,LAD,6,116,79,116,103,0,0,0,11,12,82,0,0,0,0,11,5
15,Joaquin Andujar\andujjo01,35,HOU,13,23,10,23,23,23,0,0,0,0,0,0,0,0,0,0,0
16,Jack Armstrong\armstja01,23,CIN,1st,14,13,14,14,14,0,0,0,0,0,0,0,0,0,0,0
17,Scott Arnold\arnolsc01,25,STL,1st,6,0,6,6,6,0,0,0,0,0,0,0,0,0,0,0
18,Alan Ashby\ashbyal01,36,HOU,16,73,60,73,66,0,66,0,0,0,0,0,0,0,0,11,0
19,Paul Assenmacher\assenpa01,27,ATL,3,64,0,64,64,64,0,0,0,0,0,0,0,0,0,0,0
20,Wally Backman\backmwa01,28,NYM,9,99,84,99,92,0,0,0,92,0,0,0,0,0,0,6,6
21,Mark Bailey\bailema01,26,HOU,5,8,7,8,8,0,8,0,0,0,0,0,0,0,0,0,0
22,Salome Barojas\barojsa01,31,PHI,5,6,0,6,6,6,0,0,0,0,0,0,0,0,0,0,0
23,Tim Barrett\barreti01,27,MON,1st,4,0,4,4,4,0,0,0,0,0,0,0,0,0,0,0
24,Tom Barrett\barreto01,28,PHI,1st,36,9,36,10,0,0,0,10,0,0,0,0,0,0,26,0
25,Kevin Bass\basske01,29,HOU,7,157,137,157,147,0,0,0,0,0,0,0,0,147,147,18,0
26,Steve Bedrosian\bedrost01,30,PHI,8,57,0,57,57,57,0,0,0,0,0,0,0,0,0,0,0
27,Tim Belcher\belchti01,26,LAD,2,36,27,36,36,36,0,0,0,0,0,0,0,0,0,0,0
28,Buddy Bell\bellbu01,36,2TM,17,95,86,95,86,0,0,9,0,79,0,0,0,0,0,9,0
29,Rafael Belliard\bellira01,26,PIT,7,122,93,122,118,0,0,0,3,0,117,0,0,0,0,1,8
30,Bruce Benedict\benedbr01,32,ATL,11,90,76,90,89,0,89,0,0,0,0,0,0,0,0,3,0
31,Damon Berryhill\berryda01,24,CHC,2,95,80,95,90,0,90,0,0,0,0,0,0,0,0,7,0
32,Mike Bielecki\bielemi01,28,CHC,5,19,5,19,19,19,0,0,0,0,0,0,0,0,0,0,0
33,Craig Biggio\biggicr01,22,HOU,1st,50,40,50,50,0,50,0,0,0,0,0,0,0,0,0,1
34,Tim Birtsas\birtsti01,27,CIN,3,36,4,36,36,36,0,0,0,0,0,0,0,0,0,0,0
35,Kevin Blankenship\blankke01,25,2TM,1st,3,3,3,3,3,0,0,0,0,0,0,0,0,0,0,0
36,Jeff Blauser\blausje01,22,ATL,2,18,17,18,17,0,0,0,9,0,8,0,0,0,0,1,0
37,Terry Blocker\blockte01,28,ATL,2,66,59,66,61,0,0,0,0,0,0,0,61,0,61,4,2
38,Randy Bockus\bockura01,27,SFG,3,20,0,20,20,20,0,0,0,0,0,0,0,0,0,0,0
39,Joe Boever\boevejo01,27,ATL,4,16,0,16,16,16,0,0,0,0,0,0,0,0,0,0,0
40,Barry Bonds\bondsba01,23,PIT,3,144,129,144,136,0,0,0,0,0,0,135,3,0,136,12,0
41,Bobby Bonilla\bonilbo01,25,PIT,3,159,157,159,159,0,0,0,0,159,0,0,0,0,0,0,0
42,Greg Booker\bookegr01,28,SDP,6,34,2,34,34,34,0,0,0,0,0,0,0,0,0,0,0
43,Rod Booker\bookero01,29,STL,2,18,6,18,13,0,0,0,1,13,0,0,0,0,0,8,0
44,Phil Bradley\bradlph01,29,PHI,6,154,151,154,153,0,0,0,0,0,0,153,3,1,153,2,0
45,Jeff Brantley\brantje01,24,SFG,1st,9,1,9,9,9,0,0,0,0,0,0,0,0,0,0,0
46,Sid Bream\breamsi01,27,PIT,6,148,119,148,138,0,0,138,0,0,0,0,0,0,0,18,0
47,Bob Brenly\brenlbo01,34,SFG,8,73,55,73,69,0,69,0,0,0,0,0,0,0,0,6,1
48,William Brennan\brennwi01,25,LAD,1st,4,2,4,4,4,0,0,0,0,0,0,0,0,0,0,0
49,Hubie Brooks\brookhu01,31,MON,9,151,149,151,149,0,0,0,0,0,0,0,0,149,149,2,0
50,Chris Brown\brownch02,26,SDP,5,80,70,80,72,0,0,0,0,72,0,0,0,0,0,8,0
51,Keith Brown\brownke02,24,CIN,1st,4,3,4,4,4,0,0,0,0,0,0,0,0,0,0,0
52,Marty Brown\brownma03,25,CIN,1st,10,2,10,8,0,0,0,0,8,0,0,0,0,0,4,1
53,Tom Browning\brownto05,28,CIN,5,41,36,41,36,36,0,0,0,0,0,0,0,0,0,0,5
54,Tom Brunansky\brunato01,27,STL,8,143,143,143,143,0,0,0,0,0,0,1,0,143,143,0,0
55,Tim Burke\burketi01,29,MON,4,61,0,61,61,61,0,0,0,0,0,0,0,0,0,0,0
56,Brett Butler\butlebr01,31,SFG,8,157,150,157,155,0,0,0,0,0,0,0,155,0,155,2,3
57,Randy Byers\byersra01,23,SDP,2,11,0,11,2,0,0,0,0,0,0,1,0,1,2,10,0
58,Jeff Calhoun\calhoje01,30,PHI,5,3,0,3,3,3,0,0,0,0,0,0,0,0,0,0,0
59,Ernie Camacho\camacer01,33,HOU,8,13,0,13,13,13,0,0,0,0,0,0,0,0,0,0,0
60,Ken Caminiti\caminke01,25,HOU,2,30,20,30,28,0,0,0,0,28,0,0,0,0,0,5,0
61,Casey Candaele\candaca01,27,2TM,3,57,36,57,51,0,0,0,45,1,0,0,3,2,5,7,1
62,John Cangelosi\cangejo01,25,PIT,4,75,18,75,25,1,0,0,0,0,0,11,12,3,24,50,2
63,Mike Capel\capelmi01,26,CHC,1st,22,0,22,22,22,0,0,0,0,0,0,0,0,0,0,0
64,Don Carman\carmado01,28,PHI,6,36,32,36,36,36,0,0,0,0,0,0,0,0,0,0,0
65,Cris Carpenter\carpecr01,23,STL,1st,8,8,8,8,8,0,0,0,0,0,0,0,0,0,0,0
66,Mark Carreon\carrema01,24,NYM,2,7,0,7,4,0,0,0,0,0,0,4,0,0,4,3,1
67,Gary Carter\cartega01,34,NYM,15,130,122,130,126,0,119,10,0,1,0,0,0,0,0,8,0
68,Chuck Cary\carych01,28,ATL,4,7,0,7,7,7,0,0,0,0,0,0,0,0,0,0,0
69,Norm Charlton\charlno01,25,CIN,1st,10,10,10,10,10,0,0,0,0,0,0,0,0,0,0,0
70,Rocky Childress\childro01,26,HOU,4,11,0,11,11,11,0,0,0,0,0,0,0,0,0,0,0
71,Jerald Clark\clarkje01,24,SDP,1st,6,3,6,4,0,0,0,0,0,0,4,0,0,4,3,0
72,Will Clark\clarkwi02,24,SFG,3,162,157,162,158,0,0,158,0,0,0,0,0,0,0,5,0
73,Danny Clay\clayda02,26,PHI,1st,17,0,17,17,17,0,0,0,0,0,0,0,0,0,0,0
74,Kevin Coffman\coffmke01,23,ATL,2,19,11,19,18,18,0,0,0,0,0,0,0,0,0,1,0
75,Vince Coleman\colemvi01,26,STL,4,153,149,153,150,0,0,0,0,0,0,127,23,0,150,3,0
76,Darnell Coles\colesda01,26,PIT,6,68,55,68,56,0,0,1,0,1,0,0,0,55,55,13,0
77,Dave Collins\collida02,35,CIN,14,99,25,99,38,0,0,3,0,0,0,13,5,18,35,65,1
78,Keith Comstock\comstke01,32,SDP,3,7,0,7,7,7,0,0,0,0,0,0,0,0,0,0,0
79,Dave Concepcion\conceda01,40,CIN,19,84,47,84,74,1,0,16,46,9,13,0,0,0,0,21,0
