Name,Team,G,PA,AB,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,BB%,K%,BB/K,OBP,SLG,wOBA,OPS,ISO,Spd,BABIP,UBR,wSB,wRC,wRAA,wRC+,BsR,Fld,Off,Def,WAR,ADP,InterSD,InterSK,IntraSD,Vol,Skew,Dim,FPTS,FPTS/G,SPTS,SPTS/G,P10,P20,P30,P40,P50,P60,P70,P80,P90,TT10,TT20,TT30,TT40,TT50,TT60,TT70,TT80,TT90,NameASCII,PlayerId,MLBAMID
"Deivid Coronil","SDP",0.25,1,0.9369,0.1081,0.0908,0.0123,0.001,0.004,0.0508,0.0456,0.0403,0,0.4046,0.012,0.0072,0.0036,,0.0066,0.002,0.115381,0.0403,0.4046,0.0996045,0.16098,0.143452,0.142511,0.304431,0.0280713,3.42719,0.194398,0,-0.000435244,-0.021006,-0.138417,-13.9054,-0.000435244,0,-0.13419667934067547,0.011022927239537239,-0.00928899,999,,,,,,,-1,,-1,,,,,,,,,,,,,,,,,,,,"Deivid Coronil","sa3067691",829060
"Cesar Garcia","MIA",0.25,1,0.9291,0.1149,0.0922,0.0128,0.002,0.0078,0.0553,0.0517,0.0491,0,0.4045,0.011,0.0072,0.0036,,0.0084,0.0025,0.123668,0.0491,0.4045,0.121384,0.175632,0.166828,0.159158,0.34246,0.0431601,3.73653,0.204389,0,-0.000339478,-0.00753653,-0.124947,-7.73604,-0.000339478,0,-0.12685611844062805,0.0036743092350661755,-0.00928982,999,,,,,,,-1,,-1,,,,,,,,,,,,,,,,,,,,"Cesar Garcia","sa3067883",833066
"Jancory De La Cruz","MIA",0.25,1,0.9181,0.122,0.0931,0.0151,0.0016,0.0122,0.0629,0.0594,0.0621,0.003,0.4078,0.009,0.0072,0.0036,,0.009,0.0027,0.132883,0.0621,0.4078,0.152281,0.193798,0.192681,0.177267,0.386478,0.0597974,3.69468,0.217297,0,-0.000359463,0.00711726,-0.110293,4.74248,-0.000359463,0,-0.11222231647116132,-0.011022927239537239,-0.00929634,999,,,,,,,-1,,-1,,,,,,,,,,,,,,,,,,,,"Jancory De La Cruz","sa3021280",808519
"Andru Arthur","STL",0.25,1,0.912,0.1149,0.092,0.0131,0.001,0.0088,0.0608,0.0533,0.0632,0,0.405,0.014,0.0072,0.0036,,0.0116,0.0035,0.125987,0.0632,0.405,0.156049,0.192794,0.171491,0.171786,0.364285,0.0455044,3.75954,0.209933,0,-0.000218094,0.00268195,-0.114729,4.60647,-0.000218094,0,-0.1122406724607572,-0.011022927239537239,-0.00929822,999,,,,,,,-1,,-1,,,,,,,,,,,,,,,,,,,,"Andru Arthur","sa3021277",808504
"Alexander Herrera","CHC",0.25,1,0.9366,0.1179,0.0978,0.0136,0.0013,0.0052,0.0556,0.0504,0.0426,0,0.3596,0.01,0.0072,0.0036,,0.0085,0.0025,0.125881,0.0426,0.3596,0.118465,0.171116,0.159833,0.153442,0.330949,0.0339526,3.63094,0.194646,0,-0.000306997,-0.0121614,-0.129572,-7.98641,-0.000306997,0,-0.1271176516020205,0.0036743092350661755,-0.00931669,999,,,,,,,-1,,-1,,,,,,,,,,,,,,,,,,,,"Alexander Herrera","sa3068204",829843
"Yeycol Soriano","CIN",0.25,1,0.9249,0.1327,0.1039,0.0168,0.0012,0.0108,0.0644,0.0603,0.0553,0.002,0.3677,0.009,0.0072,0.0036,,0.0097,0.0029,0.143475,0.0553,0.3677,0.150394,0.197712,0.199265,0.181278,0.396977,0.0557898,3.54911,0.220195,0,-0.000333828,0.0103625,-0.107048,4.44058,-0.000333828,0,-0.11255121737485752,-0.011022927239537239,-0.00933012,999,,,,,,,-1,,-1,,,,,,,,,,,,,,,,,,,,"Yeycol Soriano","sa3021109",807649
"Yosmar Gimenez","PIT",0.25,1,0.9213,0.1363,0.1097,0.016,0.0013,0.0093,0.064,0.0594,0.0579,0,0.3054,0.01,0.0072,0.0036,,0.0095,0.0029,0.147943,0.0579,0.3054,0.189587,0.204938,0.198415,0.186054,0.403353,0.0504722,3.45788,0.206908,0,-0.000448717,0.0142272,-0.103183,10.7355,-0.000448717,0,-0.10527384138549678,-0.018371546640992165,-0.00933744,999,,,,,,,-1,,-1,,,,,,,,,,,,,,,,,,,,"Yosmar Gimenez","sa3021130",807981
"Juan Colorado","SFG",0.25,1,0.9426,0.1172,0.0945,0.0139,0.0013,0.0075,0.0527,0.0508,0.0376,0,0.4456,0.009,0.0072,0.0036,,0.0089,0.0027,0.124337,0.0376,0.4456,0.0843806,0.164392,0.165712,0.151412,0.330104,0.0413749,3.83829,0.220858,0,-0.000247423,-0.013804,-0.131215,-8.29297,-0.000247423,0,-0.12741807469865307,0.0036743092350661755,-0.00934754,999,,,,,,,-1,,-1,,,,,,,,,,,,,,,,,,,,"Juan Colorado","sa3023954",821610
"Samuel Salcedo","PHI",0.25,1,0.9369,0.1218,0.0994,0.0145,0.0012,0.0067,0.0574,0.0532,0.0423,0,0.3118,0.01,0.0072,0.0036,,0.0074,0.0022,0.130003,0.0423,0.3118,0.135664,0.174729,0.169495,0.158703,0.344224,0.0394919,3.48314,0.183983,0,-0.000413258,-0.00790446,-0.125315,-8.22284,-0.000413258,0,-0.12750156613765284,0.0036743092350661755,-0.00935612,999,,,,,,,-1,,-1,,,,,,,,,,,,,,,,,,,,"Samuel Salcedo","sa3067669",827422
"Boris Sarduy","SFG",0.25,1,0.9248,0.1062,0.0865,0.0129,0.0012,0.0056,0.0525,0.0463,0.0534,0,0.4253,0.011,0.0072,0.0036,,0.0079,0.0024,0.114836,0.0534,0.4253,0.125558,0.171216,0.149546,0.151428,0.320762,0.0347102,3.68374,0.200758,0,-0.000389522,-0.0137913,-0.131202,-8.28215,-0.000389522,0,-0.1275474632566329,0.0036743092350661755,-0.00936084,999,,,,,,,-1,,-1,,,,,,,,,,,,,,,,,,,,"Boris Sarduy","sa3024141",821652
"Yojanser Calzado","CIN",0.25,1,0.9118,0.1252,0.1024,0.014,0.0014,0.0074,0.0644,0.0537,0.0684,0.001,0.3896,0.009,0.0072,0.0036,,0.0252,0.0073,0.137311,0.0684,0.3896,0.175565,0.203332,0.180083,0.179378,0.383415,0.0427725,4.76503,0.225671,0,0.000889977,0.0088248,-0.108586,3.13118,0.000889977,0,-0.11286507081240416,-0.011022927239537239,-0.00936236,999,,,,,,,-1,,-1,,,,,,,,,,,,,,,,,,,,"Yojanser Calzado","sa3023785",821814
"Yorfran Medina","LAD",0.25,1,0.9111,0.1126,0.0789,0.0134,0.001,0.0193,0.0713,0.0691,0.0621,0,0.4409,0.016,0.0072,0.0036,,0.0073,0.0022,0.123587,0.0621,0.4409,0.140848,0.191389,0.204039,0.18277,0.395428,0.0804522,3.54892,0.203667,0,-0.000468074,0.0115698,-0.105841,10.4618,-0.000468074,0,-0.10561466883518733,-0.018371546640992165,-0.00937245,999,,,,,,,-1,,-1,,,,,,,,,,,,,,,,,,,,"Yorfran Medina","sa3019207",800337
"Anderson Tovar","COL",0.25,1,0.9409,0.1585,0.1275,0.0205,0.0025,0.008,0.0663,0.0621,0.0373,0,0.2758,0.011,0.0072,0.0036,,0.0116,0.0036,0.168456,0.0373,0.2758,0.135243,0.207547,0.221065,0.193168,0.428612,0.0526092,3.9892,0.226554,0,-0.00030221,0.0199837,-0.0974269,3.96305,-0.00030221,0,-0.11308036695118062,-0.011022927239537239,-0.00938448,999,,,,,,,-1,,-1,,,,,,,,,,,,,,,,,,,,"Anderson Tovar","sa3023922",821076
"Joan Delgado","CHC",0.25,1,0.9405,0.1289,0.0979,0.0172,0.002,0.0118,0.0638,0.062,0.0387,0,0.4312,0.01,0.0072,0.0036,,0.0165,0.005,0.137055,0.0387,0.4312,0.0897495,0.178242,0.197236,0.170007,0.375477,0.0601808,4.8691,0.232019,0,0.000298976,0.00124246,-0.116168,3.42776,0.000298976,0,-0.11310778674669564,-0.011022927239537239,-0.00938729,999,,,,,,,-1,,-1,,,,,,,,,,,,,,,,,,,,"Joan Delgado","sa3019676",805062
"Tytus Cissell","ARI",0.25,1,0.9471,0.1185,0.0964,0.0144,0.0016,0.0061,0.0532,0.0511,0.0321,0,0.4006,0.01,0.0072,0.0036,,0.0097,0.0029,0.125119,0.0321,0.4006,0.0801298,0.16118,0.163024,0.148238,0.324204,0.0379052,4.05939,0.205259,0,-0.000151862,-0.016372,-0.133783,-15.0008,-0.000151862,0,-0.1351996551384218,0.011022927239537239,-0.00939202,999,,,,,,,-1,,-1,,,,,,,,,,,,,,,,,,,,"Tytus Cissell","sa3067331",815632
