ID,AB,R,H,D,T,HR,RBI,SB,CS,BB,K,HP,SAC
5119,69,9,15,4,1,1,6,5,1,4,18,0,0,JMateo
9175,68,8,16,4,0,2,8,1,1,5,17,0,0,EWagaman
6747,66,7,15,3,0,1,7,1,0,5,17,1,0,JDelay
8583,64,8,16,3,0,2,8,1,0,5,17,0,0,SBasallo
6496,62,8,16,3,0,1,7,1,0,4,7,2,0,NMadrigal
5683,59,7,12,2,0,2,8,2,0,7,22,1,0,JBauers
6413,61,7,13,3,1,0,6,2,0,5,13,0,0,MStraw
8682,60,8,14,3,0,2,7,1,0,5,21,0,0,BEldridge
9013,59,7,14,3,0,2,6,2,0,5,15,1,0,LKeaschall
3224,63,7,14,2,0,2,6,1,0,3,18,0,0,CBethancourt
7713,61,7,15,3,0,2,7,1,0,3,19,1,0,BHouse
8832,56,8,11,3,0,2,8,1,0,8,19,1,0,NKurtz
8200,59,6,13,2,0,2,6,1,0,4,16,1,0,BRamos
7316,60,6,14,3,0,1,5,3,1,3,13,0,0,MAcosta
8140,51,7,11,2,0,2,6,1,0,3,16,1,0,SWhitcomb
5961,50,6,11,2,0,0,4,1,0,5,11,0,0,LGuillorme
7265,49,6,10,2,0,2,7,0,0,5,16,0,0,LBaker
6923,48,7,11,2,0,1,6,2,1,6,13,0,0,CStevenson
7044,50,6,10,2,0,1,5,3,1,3,23,0,0,GJones
6395,50,6,11,2,0,1,6,0,0,4,14,0,0,CTromp
5458,49,6,11,2,0,2,6,1,0,4,17,0,0,SGarrett
7364,49,6,11,2,0,1,5,1,0,4,16,0,0,RHassell
8498,49,6,11,2,0,2,7,0,0,4,14,0,0,AChaparro
7722,47,6,11,2,0,2,6,1,1,5,14,1,0,HDavis
6063,45,6,9,2,0,1,5,1,0,6,14,1,0,CBiggio
7165,45,6,10,2,0,1,5,2,0,3,13,0,0,LPeguero
8296,43,6,10,2,0,1,5,2,0,4,7,1,0,JFermin
7919,43,5,10,2,0,1,5,1,0,3,9,1,0,CMead
8815,42,5,9,2,0,2,6,0,0,5,16,0,0,WClarke
7805,42,5,10,2,0,1,5,1,0,4,10,0,0,DMillas
9189,39,5,8,2,0,1,5,1,0,3,12,0,0,TTawa
7375,38,5,9,2,0,1,4,1,0,3,10,0,0,AWilliams
8051,36,5,8,2,0,1,4,2,0,4,9,0,0,ICollins
8625,37,4,9,1,0,1,5,0,0,3,9,0,0,MBallesteros
6180,37,5,9,2,0,1,5,0,0,3,8,0,0,JYepez
8862,36,5,9,1,0,1,4,2,0,4,8,1,0,NAlvarez
7716,35,5,7,1,0,2,5,0,0,4,15,1,0,NKavadas
7280,37,4,8,1,0,0,3,1,0,3,9,0,0,MMastrobuoni
6919,37,4,8,2,0,1,4,1,0,2,14,0,0,EPereira
7822,36,4,8,2,0,1,3,1,0,3,11,0,0,DHarris
7354,37,4,8,2,0,1,4,0,0,2,11,0,0,ASchunk
7507,32,4,6,1,0,1,4,0,0,2,9,0,0,BHunt
7898,30,4,7,1,0,1,4,1,0,3,11,0,0,JSuwinski
8888,31,4,7,1,0,0,4,3,0,3,9,0,0,BLockridge
6532,31,3,7,1,0,1,4,0,0,2,7,0,0,ERivera
8328,31,4,7,1,0,1,4,1,0,2,7,0,0,OBasabe
7306,31,4,7,2,0,1,4,0,0,2,9,0,0,LDriscoll
5978,30,4,6,1,0,1,3,0,0,3,8,1,0,GStubbs
7743,30,4,7,1,0,0,3,3,0,3,7,0,0,EBradfield
7408,30,3,6,1,0,1,4,0,0,2,12,0,0,KMcCann
7420,30,3,6,1,0,1,3,0,0,3,11,0,0,AShenton
7457,30,3,6,1,0,1,3,1,1,3,7,0,0,AAmador
2347,30,3,6,1,0,1,3,0,0,2,10,0,0,MMaldonado
6462,30,3,7,1,0,1,3,0,0,2,6,0,0,BSullivan
7230,30,3,6,1,0,0,3,0,0,2,8,0,0,JAmaya
8777,29,3,6,1,0,1,3,0,0,3,7,1,0,BHarris
8654,26,3,6,1,0,1,3,0,0,2,9,0,0,ZDezenzo
8173,26,3,6,1,0,1,3,0,0,2,6,0,0,JQuero
7828,26,3,6,1,0,1,4,1,0,1,7,0,0,RGonzalez
7637,25,3,5,1,0,1,3,0,0,2,8,0,0,HFeduccia
7016,25,3,5,1,0,1,3,0,0,2,7,0,0,KClemens
4804,24,3,5,1,0,1,3,0,0,2,8,1,0,LMaile
6393,24,3,5,1,0,1,3,0,0,2,9,0,0,SZavala
8337,24,3,5,1,0,1,3,0,0,2,8,0,0,BSabol
8162,25,3,5,1,0,1,3,0,0,2,8,0,0,PHalpin
6872,19,3,4,1,0,1,2,1,0,2,6,0,0,ElWhite
6182,19,2,4,1,0,1,3,0,0,2,6,0,0,GCooper
8188,19,3,4,1,0,0,2,1,0,2,6,0,0,CBowman
7980,18,2,4,1,0,0,2,0,0,1,4,1,0,CSalazar
3905,18,2,4,1,0,0,2,0,0,2,5,0,0,CCasali
8628,18,2,4,1,0,1,2,0,0,2,6,0,0,TLocklear
7010,19,2,4,1,0,0,2,0,0,1,6,0,0,JOrnelas
8845,19,2,4,1,0,0,2,1,0,1,4,0,0,TLipscomb
7678,18,2,4,1,0,0,2,1,0,1,6,0,0,JClase
7600,18,2,4,1,0,0,2,0,0,2,6,0,0,GKessinger
8885,18,2,4,1,0,0,2,0,0,2,4,0,0,JEscarra
8365,18,2,4,1,0,1,2,0,0,2,6,0,0,JCrooks
6100,18,2,4,1,0,1,2,0,0,1,7,0,0,KHiura
8058,18,2,4,1,0,1,2,0,0,1,7,0,0,JCamargo
5883,19,2,4,1,0,0,2,0,0,1,5,0,0,TNido
6998,18,2,4,1,0,1,2,0,0,1,7,0,0,SHuff
5439,13,2,3,0,0,0,2,0,0,1,4,0,0,TMancini
6790,13,2,3,1,0,0,1,0,0,1,3,0,0,AToro
9178,13,2,3,1,0,0,1,1,0,1,3,0,0,GCampero
6991,12,2,3,1,0,0,2,0,0,1,4,0,0,JYoung
9330,12,2,2,0,0,1,2,0,0,1,5,0,0,LRitter
5955,12,1,3,1,0,0,2,0,0,1,4,0,0,AWynns
6855,12,1,3,0,0,0,2,0,0,1,4,0,0,MBrosseau
7386,12,1,3,1,0,0,1,0,0,1,3,0,0,DFletcher
7020,12,2,3,1,0,0,1,0,0,1,2,0,0,CDRodriguez
6240,12,2,2,1,0,0,2,0,0,2,5,0,0,RNoda
7312,12,2,3,1,0,0,2,0,0,1,4,0,0,KAlcantara
7243,12,1,2,1,0,0,1,0,0,1,4,0,0,MMcCoy
4631,12,1,3,0,0,0,1,0,0,1,3,0,0,RMcGuire
5287,12,1,2,0,0,0,1,0,0,1,4,0,0,DNunez
7846,12,1,3,1,0,0,1,0,0,1,4,0,0,JMack
5310,6,1,1,0,0,0,1,0,0,0,2,0,0,JReetz
6786,6,1,1,0,0,0,1,0,0,0,2,0,0,CRobinson
8202,6,1,1,0,0,0,1,0,0,1,1,0,0,VCapra
8152,6,1,1,0,0,0,1,0,0,1,1,0,0,BKennedy
7367,6,1,1,0,0,0,1,0,0,1,1,0,0,JFoscue
3911,6,1,1,0,0,0,0,0,0,0,2,0,0,TBarnhart
7947,6,1,1,0,0,0,0,0,0,0,2,0,0,RKreidler
