Name,Team,W,L,QS,ERA,G,GS,SV,HLD,BS,IP,TBF,H,R,ER,HR,BB,IBB,HBP,SO,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,AVG,WHIP,BABIP,LOB%,GB%,HR/FB,FIP,WAR,RA9-WAR,ADP,InterSD,InterSK,IntraSD,Vol,Skew,Dim,FPTS,FPTS/IP,SPTS,SPTS/IP,P10,P20,P30,P40,P50,P60,P70,P80,P90,TT10,TT20,TT30,TT40,TT50,TT60,TT70,TT80,TT90,NameASCII,PlayerId,MLBAMID
"Andrew Pérez","KCR",0.0467,0.0536,0.0063,4.71546,0.9167,0.0177,0,0,,1,4.424,1.0447,0.5619,0.52394,0.139111,0.4331,0.0245,0.0441,0.7659,6.8931,3.8979,1.76841,1.252,0.173124,0.0978978,0.07522604614496231,0.264695,1.4778,0.297716,0.713849,0.40939,,4.84338,-0.00462246,-0.0449403,999,,,,,,,6.800000000000001,6.800000000000001,7,7,,,,,,,,,,,,,,,,,,,"Andrew Perez","sa3006640",680970
"Jimmy Burnette","TOR",0.0474,0.0505,0,4.46715,1,0,0,0,,1,4.484,0.9573,0.5358,0.49635,0.124333,0.5484,0.0272,0.0679,0.8874,7.9866,4.9356,1.61816,1.119,0.197904,0.122302,0.07560214400291443,0.247511,1.5057,0.291658,0.728354,0.430189,,4.82557,-0.00462754,-0.0494674,999,,,,,,,3.8000000000000003,3.8000000000000003,4,4,,,,,,,,,,,,,,,,,,,"Jimmy Burnette","sa3017367",694787
"Adam Cimber",,0.0455,0.0525,0,4.71429,1,0,0,0,,1,4.405,1.0728,0.5634,0.52381,0.135111,0.368,0.0299,0.0708,0.6999,6.2991,3.312,1.9019,1.216,0.158888,0.0835414,0.07534618675708771,0.270486,1.4408,0.299467,0.700998,0.441007,,4.80818,-0.00463058,-0.0470039,999,,,,,,,6.800000000000001,6.800000000000001,7,7,,,,,,,,,,,,,,,,,,,"Adam Cimber","15288",643256
"Jake Haberer",,0.0468,0.0569,0.0156,4.71735,0.8005,0.0425,0,0,,1,4.433,1.0417,0.5645,0.52415,0.132889,0.4432,0.0213,0.0516,0.7691,6.9219,3.9888,1.73533,1.196,0.173494,0.0999774,0.07351680845022202,0.264512,1.4849,0.299324,0.708624,0.447013,,4.80889,-0.00464868,-0.0470134,999,,,,,,,6.800000000000001,6.800000000000001,7,7,,,,,,,,,,,,,,,,,,,"Jake Haberer","sa3008514",683065
"Travis Lakins",,0.0466,0.0514,0,4.79502,1,0,0,0,,1,4.386,1.0298,0.5678,0.53278,0.158444,0.3963,0.0251,0.0426,0.8617,7.7553,3.5667,2.17436,1.426,0.196466,0.0903557,0.1061103418469429,0.2609,1.4261,0.2977,0.712709,0.379822,,4.78821,-0.00465038,-0.0495773,999,,,,,,,6.800000000000001,6.800000000000001,7,7,,,,,,,,,,,,,,,,,,,"Travis Lakins","18600",664042
"Triston McKenzie","SDP",0.0469,0.051,0,4.49001,1,0,0,0,,1,4.348,0.9259,0.5298,0.49889,0.158,0.4555,0.0228,0.0336,0.9932,8.9388,4.0995,2.18046,1.422,0.228427,0.104761,0.12366604804992676,0.239939,1.3814,0.283599,0.734011,0.318982,,4.67004,-0.00465293,-0.0496442,999,,,,,,,6.800000000000001,6.800000000000001,7,7,,,,,,,,,,,,,,,,,,,"Triston McKenzie","18000",663474
"Ben Hecht",,0.0456,0.0524,0,4.72626,1,0,0,0,,1,4.437,0.9861,0.5611,0.52514,0.142667,0.4877,0.0269,0.0485,0.8944,8.0496,4.3893,1.83391,1.284,0.201578,0.109917,0.09166103601455688,0.252794,1.4738,0.294522,0.716368,0.383994,,4.8096,-0.00465667,-0.0470134,999,,,,,,,6.800000000000001,6.800000000000001,7,7,,,,,,,,,,,,,,,,,,,"Ben Hecht","sa738501",643357
"Eli Lingos",,0.0461,0.0519,0,4.60953,1,0,0,0,,1,4.419,1.0321,0.5502,0.51217,0.137889,0.4395,0.0268,0.0395,0.7774,6.9966,3.9555,1.76883,1.241,0.175922,0.0994569,0.07646526396274567,0.261954,1.4716,0.295635,0.720657,0.411001,,4.80989,-0.00465992,-0.0470134,999,,,,,,,6.800000000000001,6.800000000000001,7,7,,,,,,,,,,,,,,,,,,,"Eli Lingos","sa3006798",661526
"Daniel Tillo",,0.0501,0.062,0.0426,4.6278,0.5003,0.1063,0,0,,1,4.436,1.0535,0.5558,0.5142,0.128333,0.4491,0.0131,0.0412,0.7316,6.5844,4.0419,1.62904,1.155,0.164923,0.10124,0.06368350237607956,0.267,1.5026,0.299817,0.715682,0.457995,,4.81117,-0.00466417,-0.0470039,999,,,,,,,6.800000000000001,6.800000000000001,7,7,,,,,,,,,,,,,,,,,,,"Daniel Tillo","sa876284",664700
"Ty Buttrey",,0.0485,0.053,0.0108,4.33557,0.8747,0.0267,0,0,,1,4.345,0.9792,0.5189,0.48173,0.136778,0.4023,0.0229,0.0406,0.8449,7.6041,3.6207,2.10017,1.231,0.194453,0.0925892,0.10186421871185303,0.250942,1.3815,0.288459,0.724867,0.412048,,4.55215,-0.0046675,-0.0553582,999,,,,,,,6.800000000000001,6.800000000000001,7,7,,,,,,,,,,,,,,,,,,,"Ty Buttrey","14719",621142
"Mitch Myers","ATH",0.0481,0.0593,0.0248,4.88034,0.6702,0.0702,0,0,,1,4.363,1.1127,0.5818,0.54226,0.156667,0.3063,0.0174,0.0423,0.6316,5.6844,2.7567,2.06203,1.41,0.144763,0.070204,0.0745587944984436,0.277177,1.419,0.29634,0.697861,0.430733,,4.9544,-0.00467345,-0.0450707,999,,,,,,,6.800000000000001,6.800000000000001,7,7,,,,,,,,,,,,,,,,,,,"Mitch Myers","sa3018179",688490
"Luke Russo","PHI",0.0483,0.059,0.0253,4.7709,0.6702,0.0702,0,0,,1,4.383,1.0122,0.567,0.5301,0.156556,0.4188,0.0174,0.045,0.8142,7.3278,3.7692,1.94413,1.409,0.185763,0.095551,0.09021218866109848,0.258267,1.431,0.290202,0.712976,0.399884,,4.93336,-0.00468378,-0.0442366,999,,,,,,,6.800000000000001,6.800000000000001,7,7,,,,,,,,,,,,,,,,,,,"Luke Russo","sa3023502",689726
"Jeffrey Colon",,0.0462,0.0546,0.0078,4.67226,0.9002,0.0212,0,0,,1,4.433,1.0742,0.562,0.51914,0.124556,0.4214,0.0241,0.0523,0.6808,6.1272,3.7926,1.61557,1.121,0.153575,0.0950598,0.05851568281650543,0.271311,1.4956,0.301097,0.706618,0.48301,,4.81386,-0.00469439,-0.0470039,999,,,,,,,6.800000000000001,6.800000000000001,7,7,,,,,,,,,,,,,,,,,,,"Jeffrey Colon","sa3006421",681738
"Saul Teran","PHI",0.0461,0.0518,0,4.73877,1,0,0,0,,1,4.415,0.999,0.5639,0.52653,0.148222,0.4688,0.0268,0.0441,0.8327,7.4943,4.2192,1.77624,1.334,0.188607,0.106183,0.08242355287075043,0.256016,1.4678,0.291245,0.717216,0.406278,,4.93533,-0.0046954,-0.0442271,999,,,,,,,6.800000000000001,6.800000000000001,7,7,,,,,,,,,,,,,,,,,,,"Saul Teran","sa3018296",699703
"Matt Koch",,0.0453,0.0527,0,4.78098,1,0,0,0,,1,4.354,1.0962,0.5682,0.53122,0.158333,0.2959,0.0248,0.0418,0.6963,6.2667,2.6631,2.35316,1.425,0.159922,0.0679605,0.09196142107248306,0.272938,1.3921,0.296637,0.703927,0.402999,,4.81397,-0.00469563,-0.0470039,999,,,,,,,6.800000000000001,6.800000000000001,7,7,,,,,,,,,,,,,,,,,,,"Matt Koch","13420",571863
