Name,Team,G,PA,HR,R,RBI,SB,BB%,K%,ISO,BABIP,AVG,OBP,SLG,wOBA,xwOBA,wRC+,BsR,Off,Def,WAR,NameASCII,PlayerId,MLBAMID
"Corey Seager","TEX",102,445,21,61,50,3,0.130337078,0.195505617,0.215789474,0.299270072,0.271052631,0.373033707,0.486842105,0.36543997128804523,0.4124489619814116,137.68712924586418,-1.4139727130532265,18.352339137495246,5.546441674232483,4.012095424160573,"Corey Seager",13624,608369
"Kyle Stowers","MIA",117,457,25,61,73,5,0.105032822,0.273522975,0.255639098,0.355731225,0.288220551,0.368421052,0.543859649,0.38619400544408666,0.3872628676152862,148.79942673479505,0.9523557648062706,27.384057568302612,-3.6738064289093018,3.9816706979343404,"Kyle Stowers",26151,669065
"Shea Langeliers","ATH",123,523,31,73,72,7,0.068833652,0.196940726,0.25987526,0.289772727,0.276507276,0.325047801,0.536382536,0.36381869686060936,0.33877204792118254,132.34545220078905,0.6413053311407566,20.579576157663556,-0.027740478515625,3.944317640755446,"Shea Langeliers",25816,669127
"Jarren Duran","BOS",157,696,16,86,84,24,0.086206896,0.242816091,0.185483871,0.326484018,0.256451612,0.3323741,0.441935483,0.3350495208237288,0.3331151304478941,111.15078705378289,7.190561294555664,16.33774363990966,-2.0602667331695557,3.911546447682227,"Jarren Duran",24617,680776
"Freddie Freeman","LAD",147,627,24,81,90,6,0.095693779,0.20414673,0.206834533,0.342298288,0.294964028,0.366826156,0.501798561,0.3697290580118856,0.356859567669944,139.37060177554082,-1.6930969394743443,27.56417305989313,-10.371381998062134,3.8936026327130917,"Freddie Freeman",5361,518692
"Vladimir Guerrero Jr.","TOR",156,680,23,96,84,6,0.119117647,0.138235294,0.174872666,0.31302521,0.292020373,0.380882352,0.466893039,0.3656467213517144,0.39589391232249627,137.02781322530683,-2.597303118556738,27.078983161873513,-12.477776244282722,3.888328265871457,"Vladimir Guerrero Jr.",19611,665489
"Bo Bichette","TOR",139,628,18,78,94,4,0.063694267,0.144904458,0.171821306,0.342436974,0.310996563,0.356687898,0.482817869,0.36087718320349915,0.3638922373453776,133.74225688817225,-3.2458693850785494,21.72917944927185,-6.008702278137207,3.8197392269071178,"Bo Bichette",19612,666182
"Ceddanne Rafaela","BOS",156,587,16,84,63,20,0.04770017,0.199318568,0.164835164,0.289156626,0.249084249,0.294520547,0.413919413,0.3065042726389349,0.3128736835636505,91.48703384452843,3.9256491474807262,-1.9640292753249593,18.952499628067017,3.80510002639314,"Ceddanne Rafaela",24262,678882
"Eugenio Suárez","- - -",159,657,49,91,118,4,0.07001522,0.298325722,0.297619048,0.242857142,0.227891156,0.298325722,0.525510204,0.3468173504785727,0.32436412199762943,124.69361712346375,-3.4393553491681814,15.801692918928097,-0.7466615438461304,3.8027176351213363,"Eugenio Suarez",12552,553993
"Manny Machado","SDP",159,678,27,91,95,14,0.081120943,0.193215339,0.185365854,0.307359307,0.274796747,0.334808259,0.460162601,0.3411543614255922,0.36582128289550053,123.02550141793589,-0.7417483422905207,17.760861711744173,-3.5222429037094116,3.764978739894973,"Manny Machado",11493,592518
"Matt Chapman","SFG",128,535,21,76,61,9,0.13271028,0.235514018,0.198237885,0.270096463,0.231277533,0.340186915,0.429515418,0.33623319853111155,0.35129498542471327,118.30905700722285,0.8733118306845427,12.482823828643342,5.859816312789917,3.6980408823841877,"Matt Chapman",16505,656305
"William Contreras","MIL",150,659,17,89,76,6,0.127465857,0.182094081,0.139575972,0.298850574,0.259717314,0.355083459,0.399293286,0.3315742284287023,0.33986029202055856,113.47876548840496,-3.3323470633476973,7.195261717251871,6.542165517807007,3.6490167835235505,"William Contreras",20503,661388
