"Name","Team","Pos","G","GS","Inn","PO","A","E","FE","TE","DP","DPS","DPT","DPF","Scp","SB","CS","PB","WP","FP","TZ","playerid","mlbamid"
"Drew Waters","KCR","OF","84","55","508.2","120","1","3","3","0","0","0","0","0","","","","","",".976","","20505","671221"
"Nolan Jones","CLE","OF","149","102","892.0","212","8","1","1","0","0","1","0","0","","","","","",".995","","20529","666134"
"Vidal Brujan","MIN","OF","14","4","53.0","13","0","0","0","0","0","0","0","0","","","","","","1.000","","20536","660644"
"Kody Clemens","MIN","OF","23","12","119.0","24","2","0","0","0","0","0","0","0","","","","","","1.000","","20572","665019"
"Ivan Herrera","STL","OF","4","4","31.0","9","0","0","0","0","0","0","0","0","","","","","","1.000","","20599","671056"
"Leo Rivas","SEA","OF","2","1","9.1","3","0","0","0","0","0","0","0","0","","","","","","1.000","","21009","660844"
"Lars Nootbaar","STL","OF","142","129","1128.0","223","3","1","1","0","0","0","0","0","","","","","",".996","","21454","663457"
"Brandon Lockridge","MIL","OF","64","37","360.2","92","3","2","2","0","0","1","0","0","","","","","",".979","","21496","663604"
"Trevor Larnach","MIN","OF","63","53","441.0","118","1","0","0","0","0","0","0","0","","","","","","1.000","","21501","663616"
"Jonathan India","KCR","OF","21","18","146.0","30","1","1","0","1","0","0","0","0","","","","","",".969","","21523","663697"
"Matt Vierling","DET","OF","29","23","203.0","54","1","0","0","0","0","0","0","0","","","","","","1.000","","21558","663837"
"Kyle Isbel","KCR","OF","135","118","1032.0","329","3","1","0","1","0","2","0","0","","","","","",".997","","21614","664728"
"Jake McCarthy","COL","OF","63","57","483.1","131","1","0","0","0","0","1","0","0","","","","","","1.000","","21622","664983"
"Griffin Conine","MIA","OF","25","20","177.0","36","1","0","0","0","0","0","0","0","","","","","","1.000","","21626","665052"
"Oswaldo Cabrera","NYY","OF","2","0","2.0","0","0","0","0","0","0","0","0","0","","","","","",".000","","21707","665828"
"Oneil Cruz","PIT","OF","125","120","1061.1","302","6","11","9","2","0","2","0","0","","","","","",".966","","21711","665833"
"Enmanuel Valdez","PIT","OF","1","0","0.1","0","0","0","0","0","0","0","0","0","","","","","",".000","","21716","665839"
"Jose Fermin","STL","OF","5","2","24.0","4","0","0","0","0","0","0","0","0","","","","","","1.000","","21746","665877"
"Esteury Ruiz","MIA","OF","17","6","60.1","12","0","1","1","0","0","0","0","0","","","","","",".923","","21780","665923"
"Carlos Cortes","ATH","OF","29","21","191.0","37","1","1","1","0","0","0","0","0","","","","","",".974","","21842","666126"
"Will Benson","CIN","OF","85","61","573.0","155","3","2","1","1","0","1","0","0","","","","","",".988","","21853","666181"
"Jerar Encarnacion","SFG","OF","16","12","105.0","28","1","0","0","0","0","0","0","0","","","","","","1.000","","21871","666464"
"Christopher Morel","MIA","OF","70","58","480.2","101","2","3","1","2","0","0","0","0","","","","","",".972","","21897","666624"
"Dane Myers","CIN","OF","110","82","752.2","216","7","3","1","2","0","1","0","0","","","","","",".987","","22054","667472"
"Ryan Vilade","TBR","OF","7","3","34.0","8","0","0","0","0","0","0","0","0","","","","","","1.000","","22165","668723"
"Akil Baddoo","MIL","OF","8","5","45.0","14","1","0","0","0","0","1","0","0","","","","","","1.000","","22168","668731"
"Jeremiah Jackson","BAL","OF","34","31","250.0","62","3","1","1","0","0","0","0","0","","","","","",".985","","22239","669236"
"Jack Suwinski","PIT","OF","60","43","397.1","107","1","1","1","0","0","0","0","0","","","","","",".991","","22244","669261"
"Heliot Ramos","SFG","OF","154","153","1332.2","284","5","9","5","4","0","1","0","0","","","","","",".970","","22515","671218"
"Johnathan Rodriguez","CLE","OF","28","20","177.1","39","0","3","3","0","0","0","0","0","","","","","",".929","","22530","671286"
"Tyler Freeman","COL","OF","67","60","509.1","105","2","1","1","0","0","0","0","0","","","","","",".991","","22532","671289"
"George Valera","CLE","OF","5","4","32.0","5","0","0","0","0","0","0","0","0","","","","","","1.000","","22541","671655"
"Lawrence Butler","ATH","OF","151","140","1236.1","366","4","2","1","1","0","1","0","0","","","","","",".995","","22542","671732"
"Michael Siani","LAD","OF","17","5","59.1","15","0","0","0","0","0","0","0","0","","","","","","1.000","","22557","672279"
"Tirso Ornelas","SDP","OF","6","4","33.0","9","0","0","0","0","0","0","0","0","","","","","","1.000","","22566","672359"
"Maikel Garcia","KCR","OF","7","5","37.1","7","0","0","0","0","0","0","0","0","","","","","","1.000","","22715","672580"
"Steward Berroa","MIL","OF","2","2","13.0","2","1","0","0","0","0","0","0","0","","","","","","1.000","","22766","672642"
"Wenceel Perez","DET","OF","113","92","817.1","179","5","3","2","1","0","0","0","0","","","","","",".984","","22857","672761"
"Eric Wagaman","MIN","OF","22","14","118.1","31","0","0","0","0","0","0","0","0","","","","","","1.000","","23395","676572"
"Jose Caballero","NYY","OF","50","25","256.2","57","2","1","1","0","0","2","0","0","","","","","",".983","","23401","676609"
"Davis Schneider","TOR","OF","59","44","347.0","85","1","2","2","0","0","0","0","0","","","","","",".977","","23565","676914"
"Everson Pereira","CHW","OF","22","19","162.2","33","1","0","0","0","0","0","0","0","","","","","","1.000","","23695","677592"
"Julio Rodriguez","SEA","OF","159","158","1406.1","431","6","4","3","1","0","2","0","0","","","","","",".991","","23697","677594"
"Ezequiel Duran","TEX","OF","11","5","55.0","14","1","0","0","0","0","0","0","0","","","","","","1.000","","23733","677649"
"Wilyer Abreu","BOS","OF","104","95","847.1","215","7","5","4","1","0","3","0","0","","","","","",".978","","23772","677800"
"Blaze Alexander","ARI","OF","7","3","28.0","7","1","0","0","0","0","0","0","0","","","","","","1.000","","23789","677942"
