Name,Team,G,PA,AB,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,BB%,K%,BB/K,OBP,SLG,wOBA,OPS,ISO,Spd,BABIP,UBR,wSB,wRC,wRAA,wRC+,BsR,Fld,Off,Def,WAR,ADP,InterSD,InterSK,IntraSD,Vol,Skew,Dim,FPTS,FPTS/G,SPTS,SPTS/G,P10,P20,P30,P40,P50,P60,P70,P80,P90,TT10,TT20,TT30,TT40,TT50,TT60,TT70,TT80,TT90,NameASCII,PlayerId,MLBAMID
"Masyn Winn","STL",38,166,152,39,27,8,1,4,21,17,12,0,29,1,1,1,,3,1,0.257327,0.070133,0.177598,0.394899,0.312923,0.39267,0.308476,0.705593,0.135343,5.07633,0.295848,0.0977317,-0.0724537,18.797,-0.684496,98.7914,0.0252781,1.81009,-0.21021130122244358,3.5878660678863525,0.905063,157.3800048828125,,,,,,,174.8,4.6,174.8,4.6,,,,,,,,,,,,,,,,,,,"Masyn Winn","27479",691026
"Michael Harris II","ATL",36,154,144,40,26,7,2,5,18,20,7,0,30,1,1,0,,5,1,0.275839,0.0440802,0.19316,0.228206,0.311646,0.452964,0.327667,0.76461,0.177124,6.18653,0.313384,0.179828,0.22167,19.8541,1.7576,109.864,0.401498,0.997494,2.1868956983089447,1.5479573011398315,0.902077,41.880001068115234,,,,,,,189.4,5.261111111,189.4,5.261111111,,,,,,,,,,,,,,,,,,,"Michael Harris II","25931",671739
"Matt Olson","ATL",40,174,149,38,22,8,0,8,23,25,22,1,41,1,1,0,,0,0,0.253203,0.123941,0.235244,0.526859,0.349956,0.466994,0.352445,0.81695,0.213791,2.04045,0.295276,-0.0868689,-0.262736,25.8453,5.46075,126.937,-0.349605,0.72392,5.1424530148506165,-2.376388370990753,0.86811,33.970001220703125,,,,,,,231.2,5.78,231.2,5.78,,,,,,,,,,,,,,,,,,,"Matt Olson","14344",621566
"Pete Alonso","NYM",40,174,151,38,20,7,0,9,23,28,18,2,39,4,1,0,,1,0,0.248793,0.101215,0.226667,0.446538,0.339113,0.486906,0.353082,0.826019,0.238114,3.02554,0.272609,-0.319123,-0.205884,25.9347,5.55021,131.221,-0.525007,-0.209188,5.840306043624878,-3.360113814473152,0.838745,47.630001068115234,,,,,,,234.6,5.865,234.6,5.865,,,,,,,,,,,,,,,,,,,"Pete Alonso","19251",624413
"Kyle Schwarber","PHI",40,174,145,33,17,5,0,11,26,26,26,1,49,2,1,0,,2,1,0.231317,0.148251,0.284118,0.521796,0.352814,0.50236,0.365971,0.855175,0.271044,3.8217,0.262909,-0.171966,-0.127221,27.7454,7.36088,134.594,-0.299187,-0.00375029,6.753828346729279,-4.293565238825977,0.836698,75.9000015258789,,,,,,,242.7,6.0675,242.7,6.0675,,,,,,,,,,,,,,,,,,,"Kyle Schwarber","16478",656941
"CJ Abrams","WSN",38,163,148,38,24,8,1,5,23,18,10,0,29,4,1,1,,9,2,0.258107,0.0619026,0.179944,0.34401,0.319515,0.436044,0.326945,0.755559,0.177937,7.17939,0.288106,0.150218,0.683464,20.9,1.76348,109.407,0.833682,-1.43153,2.634222149848938,0.1249551773071289,0.831649,49.619998931884766,,,,,,,194.2,5.110526315,194.2,5.110526315,,,,,,,,,,,,,,,,,,,"CJ Abrams","25768",682928
"Brandon Nimmo","NYM",36,156,136,34,22,7,1,5,20,19,16,0,34,3,1,0,,3,1,0.251857,0.103555,0.216084,0.479236,0.339963,0.423816,0.334757,0.763779,0.171959,4.88825,0.295816,-0.100572,0.0405523,20.9766,2.67218,118.594,-0.0600199,0.888623,3.3440943099558353,-1.0348342061042786,0.761597,193.07000732421875,,,,,,,187.3,5.202777777,187.3,5.202777777,,,,,,,,,,,,,,,,,,,"Brandon Nimmo","12927",607043
"Ezequiel Tovar","COL",39,168,158,42,25,10,1,6,21,20,7,0,42,1,1,1,,2,1,0.263103,0.0443572,0.248222,0.1787,0.299603,0.444409,0.31937,0.744012,0.181306,4.99475,0.322446,-0.00313356,-0.167,20.5498,0.789306,90.9212,-0.170134,1.98719,-1.9644830077886581,3.790426015853882,0.753663,129.3000030517578,,,,,,,193.3,4.956410256,193.3,4.956410256,,,,,,,,,,,,,,,,,,,"Ezequiel Tovar","24064",678662
"Rafael Devers","SFG",40,174,150,38,22,8,0,8,23,24,21,3,40,2,1,0,,1,0,0.255777,0.118749,0.231729,0.512446,0.350092,0.472045,0.350392,0.822136,0.216267,3.09046,0.297168,-0.0474855,-0.247307,25.5569,5.17236,128.813,-0.294793,-0.119336,5.5796709060668945,-3.94094105809927,0.752309,40.939998626708984,,,,,,,232.1,5.8025,232.1,5.8025,,,,,,,,,,,,,,,,,,,"Rafael Devers","17350",646240
"Xavier Edwards","MIA",34,145,130,38,30,6,1,1,18,11,13,0,20,1,1,1,,7,2,0.294238,0.0894872,0.135353,0.661139,0.358757,0.38008,0.326731,0.738837,0.0858423,6.38525,0.338686,0.044652,0.465889,18.603,1.54657,107.729,0.510541,0.12359,1.8291025757789612,0.6803800985217094,0.746411,139.80999755859375,,,,,,,165,4.852941176,165,4.852941176,,,,,,,,,,,,,,,,,,,"Xavier Edwards","22266",669364
