Name,Team,G,PA,AB,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,BB%,K%,BB/K,OBP,SLG,wOBA,OPS,ISO,Spd,BABIP,UBR,wSB,wRC,wRAA,wRC+,BsR,Fld,Off,Def,WAR,ADP,InterSD,InterSK,IntraSD,Vol,Skew,Dim,FPTS,FPTS/G,SPTS,SPTS/G,P10,P20,P30,P40,P50,P60,P70,P80,P90,TT10,TT20,TT30,TT40,TT50,TT60,TT70,TT80,TT90,NameASCII,PlayerId,MLBAMID
"Josh Breaux","PHI",71,281,264,52,32,10,0,10,25,33,15,0,88,1,1,0,9,0,0,0.19697,0.0533808,0.313167,0.170455,0.241993,0.348485,0.25734,0.590478,0.151515,1.16259,0.251497,,-0.378836,20.9204,-11.9504,62.2843,-0.378836,-7.4,-13.052132248878479,-2.237595558166504,-0.614418,999,,,,,,,198.2,2.791549295,198.2,2.791549295,,,,,,,,,,,,,,,,,,,"Josh Breaux","sa3008051",677007
"Cade Bunnell","ATL",99,379,333,59,36,14,2,7,33,34,43,0,174,2,1,0,5,2,1,0.177177,0.113456,0.459103,0.247126,0.274406,0.294294,0.258322,0.568701,0.117117,4.15557,0.339869,,-0.644293,28.516,-15.8187,62.3419,-0.644293,6.1,-17.71137022972107,-0.8628158569335938,-0.617196,999,,,,,,,251.2,2.537373737,251.2,2.537373737,,,,,,,,,,,,,,,,,,,"Cade Bunnell","sa3010702",685298
"Michael Curialle","STL",91,350,315,64,43,15,2,4,37,35,21,0,117,11,2,1,8,3,2,0.203175,0.06,0.334286,0.179487,0.275072,0.301587,0.259319,0.576659,0.0984127,4.78422,0.306122,,-0.801944,26.615,-14.3273,65.6739,-0.801944,-3.8,-15.168528318405151,-2.5139917135238647,-0.624664,999,,,,,,,232,2.549450549,232,2.549450549,,,,,,,,,,,,,,,,,,,"Michael Curialle","sa3019837",683152
"Martín Maldonado","SDP",88,289,257,44,29,7,0,8,23,27,22,0,99,4,1,5,6,0,0,0.171206,0.0761246,0.342561,0.222222,0.246479,0.291829,0.242216,0.538308,0.120623,1.13424,0.238411,,-0.434083,17.9981,-15.8086,56.3712,-0.434083,-5.5,-15.5117027759552,-0.19062328338623047,-0.629566,999,,,,,,,162.9,1.851136363,162.9,1.851136363,,,,,,,,,,,,,,,,,,,"Martin Maldonado","6887",455117
"Andrew Kachel","SFG",80,328,294,66,49,13,1,3,32,30,26,0,99,5,2,1,8,6,1,0.22449,0.0792683,0.301829,0.262626,0.296636,0.306122,0.271464,0.602759,0.0816327,4.78093,0.324742,,0.1636,28.1483,-10.2206,74.3475,0.1636,-1.2,-9.897967487573624,-7.225867033004761,-0.64249,999,,,,,,,248.8,3.11,248.8,3.11,,,,,,,,,,,,,,,,,,,"Andrew Kachel","sa3020140",803288
"Yanquiel Fernandez","COL",130,520,487,120,81,24,2,13,53,61,27,2,120,3,3,0,6,1,0,0.246407,0.0519231,0.230769,0.225,0.288462,0.383984,0.291002,0.672445,0.137577,2.8815,0.29972,,-0.660274,52.8023,-8.02625,72.4256,-0.660274,0,-17.806581020355225,-5.731922626495361,-0.645848,747.9000244140625,,,,,,,480.1,3.693076923,480.1,3.693076923,,,,,,,,,,,,,,,,,,,"Yanquiel Fernandez","sa3015648",692585
"Julio Carreras","COL",105,422,386,87,61,20,3,3,45,37,23,0,121,4,2,7,11,13,3,0.225389,0.0545024,0.28673,0.190083,0.274699,0.316062,0.2615,0.590761,0.0906736,6.49777,0.318182,,0.690448,32.8309,-16.5338,52.5691,0.690448,-1.7,-23.24463576078415,2.9516756534576416,-0.647089,999,,,,,,,301.8,2.874285714,301.8,2.874285714,,,,,,,,,,,,,,,,,,,"Julio Carreras","sa3005598",679734
"Sam Praytor","MIA",52,199,177,32,20,8,0,4,17,20,15,0,55,3,1,3,7,0,1,0.180791,0.0753769,0.276382,0.272727,0.255102,0.293785,0.246764,0.548887,0.112994,1.86822,0.235294,,-0.704918,13.1216,-10.157,53.1337,-0.704918,-4.7,-11.857489168643951,-1.0440621376037598,-0.649278,999,,,,,,,114.2,2.196153846,114.2,2.196153846,,,,,,,,,,,,,,,,,,,"Sam Praytor","sa3017151",671217
"Zach Levenson","STL",76,309,277,52,33,12,1,6,28,30,25,0,81,5,2,0,1,4,2,0.187726,0.0809061,0.262136,0.308642,0.265372,0.303249,0.255232,0.568621,0.115523,4.09683,0.239583,,-0.507235,22.4807,-13.6655,62.9228,-0.507235,1,-14.207412600517273,-2.4060845375061035,-0.65501,999,,,,,,,203.1,2.672368421,203.1,2.672368421,,,,,,,,,,,,,,,,,,,"Zach Levenson","sa3022435",804241
"Kristian Robinson","ARI",109,409,362,72,51,11,2,8,40,38,41,0,168,5,1,0,7,8,4,0.198895,0.100244,0.410758,0.244048,0.288509,0.30663,0.269433,0.595138,0.107735,5.06424,0.342246,,-0.785591,34.431,-13.413,69.3788,-0.785591,0.3,-15.76195377111435,-4.208377540111542,-0.658397,750.8499755859375,,,,,,,301.7,2.767889908,301.7,2.767889908,,,,,,,,,,,,,,,,,,,"Kristian Robinson","sa3006884",677565
