Name,Team,G,PA,AB,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,BB%,K%,BB/K,OBP,SLG,wOBA,OPS,ISO,Spd,BABIP,UBR,wSB,wRC,wRAA,wRC+,BsR,Fld,Off,Def,WAR,ADP,InterSD,InterSK,IntraSD,Vol,Skew,Dim,FPTS,FPTS/G,SPTS,SPTS/G,P10,P20,P30,P40,P50,P60,P70,P80,P90,TT10,TT20,TT30,TT40,TT50,TT60,TT70,TT80,TT90,NameASCII,PlayerId,MLBAMID
"Blake Perkins","MIL",76,329,290,62,43,12,1,6,35,27,34,0,85,2,3,1,,13,3,0.215305,0.102815,0.259874,0.395635,0.298882,0.326604,0.280088,0.625486,0.111299,5.64697,0.281141,0.268616,0.643579,30.5178,-7.96796,77.8132,0.912195,-0.0334464,-7.81655615568161,1.1415535621345043,0.442135,517.0499877929688,,,,,,,278.4,3.663157894,278.4,3.663157894,,,,,,,,,,,,,,,,,,,"Blake Perkins","19921",663368
"Christian Encarnacion-Strand","CIN",81,350,324,83,51,16,1,15,41,47,20,1,95,4,3,0,,2,0,0.255108,0.0564406,0.270878,0.208361,0.303731,0.450784,0.323725,0.754515,0.195675,3.462,0.311731,-0.21412,-0.385824,44.7583,3.81594,101.081,-0.599944,0.128572,-0.14740973711013794,-7.371427923440933,0.42721,239.4199981689453,,,,,,,409.7,5.058024691,409.7,5.058024691,,,,,,,,,,,,,,,,,,,"Christian Encarnacion-Strand","30011",687952
"Connor Joe","SDP",81,350,307,69,44,15,1,9,39,35,36,0,81,5,2,0,,3,1,0.223966,0.103891,0.231577,0.448624,0.314033,0.367659,0.302173,0.681692,0.143693,3.78764,0.273354,0.132665,-0.610168,38.6871,-2.25519,96.7268,-0.477503,-0.634024,-1.8474420309066772,-5.734023451805115,0.420742,702.9500122070312,,,,,,,339.1,4.186419753,339.1,4.186419753,,,,,,,,,,,,,,,,,,,"Connor Joe","16572",656582
"Jon Berti","CHC",53,231,207,50,37,8,1,4,25,18,20,0,51,2,1,1,,9,3,0.241432,0.0871105,0.218615,0.398466,0.312367,0.342965,0.291638,0.655332,0.101532,5.34251,0.300419,0.366165,-0.0405551,23.5746,-3.44729,88.5042,0.32561,-0.387516,-2.849895805120468,-0.8625159561634064,0.411058,635.9199829101562,,,,,,,214.2,4.041509433,214.2,4.041509433,,,,,,,,,,,,,,,,,,,"Jon Berti","12037",542932
"Sal Frelick","MIL",107,462,416,103,77,19,3,3,51,31,38,0,70,4,3,1,,14,3,0.247199,0.0817405,0.150442,0.543336,0.313115,0.332619,0.287544,0.645734,0.08542,5.82776,0.287015,0.521333,0.592102,45.6271,-8.41675,82.8313,1.11344,1.64052,-8.371653079986572,-3.109484314918518,0.403188,399.1099853515625,,,,,,,405.4,3.788785046,405.4,3.788785046,,,,,,,,,,,,,,,,,,,"Sal Frelick","29622",686217
"Alex Call","WSN",65,280,241,53,36,11,1,6,30,25,33,0,55,4,2,1,,8,3,0.218931,0.116657,0.197843,0.589644,0.319093,0.340936,0.296558,0.66003,0.122005,4.55408,0.25844,0.0624431,-0.0449219,29.6841,-3.06972,89.634,0.0175212,-0.0255914,-3.4532870519906282,-2.0255914255976677,0.397144,727.1799926757812,,,,,,,267.6,4.116923076,267.6,4.116923076,,,,,,,,,,,,,,,,,,,"Alex Call","19296",669743
"Enrique Hernández","LAD",70,301,274,62,40,14,0,8,30,32,23,0,59,2,2,0,,1,0,0.226652,0.0748614,0.19623,0.381498,0.28847,0.366724,0.287464,0.655194,0.140072,2.85551,0.259348,0.219475,-0.439755,29.7073,-5.50314,84.8476,-0.22028,-0.310836,-5.674204811453819,-0.5358357727527618,0.393856,680.7100219726562,,,,,,,265.9,3.798571428,265.9,3.798571428,,,,,,,,,,,,,,,,,,,"Enrique Hernandez","10472",571771
"Victor Scott II","STL",113,490,446,100,73,18,4,5,52,34,30,0,101,6,5,4,,36,6,0.224347,0.0609696,0.206783,0.294848,0.279426,0.316858,0.26445,0.596284,0.0925109,7.45712,0.275225,0.209614,3.65396,39.2847,-18.0345,69.1276,3.86358,-0.0743076,-14.225964307785034,1.675692357122898,0.38907,393.3399963378906,,,,,,,395.6,3.500884955,395.6,3.500884955,,,,,,,,,,,,,,,,,,,"Victor Scott II","31349",687363
"Hyeseong Kim","LAD",97,420,378,82,55,17,1,9,44,40,32,1,109,5,3,2,,7,2,0.216931,0.0761905,0.259524,0.293578,0.284689,0.338624,0.275348,0.623313,0.121693,4.38041,0.277567,0,-0.128222,37.3564,-11.7744,76.693,-0.128222,0,-11.833914443850517,1.5500000715255737,0.382386,999,,,,,,,339.5,3.5,339.5,3.5,,,,,,,,,,,,,,,,,,,"Hyeseong Kim","sa3012639",808975
"Jonah Bride","MIA",99,427,365,84,57,17,1,9,47,38,51,1,87,7,4,1,,1,0,0.230091,0.119961,0.203272,0.590148,0.332198,0.353092,0.306897,0.68529,0.123001,2.80425,0.275326,-0.701194,-0.810107,48.8216,-1.12806,93.6071,-1.5113,1.78053,-4.775594234466553,-5.8944679498672485,0.366581,432.95001220703125,,,,,,,420.9,4.251515151,420.9,4.251515151,,,,,,,,,,,,,,,,,,,"Jonah Bride","24703",681146
