Name,Team,G,PA,AB,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,BB%,K%,BB/K,OBP,SLG,wOBA,OPS,ISO,Spd,BABIP,UBR,wSB,wRC,wRAA,wRC+,BsR,Fld,Off,Def,WAR,ADP,InterSD,InterSK,IntraSD,Vol,Skew,Dim,FPTS,FPTS/G,SPTS,SPTS/G,P10,P20,P30,P40,P50,P60,P70,P80,P90,TT10,TT20,TT30,TT40,TT50,TT60,TT70,TT80,TT90,NameASCII,PlayerId,MLBAMID
"Bryson Stott","PHI",37,157.723,141.762,36.3066,25.6329,6.60747,0.799921,3.26634,20.3235,15.6746,13.4505,0.243173,26.3544,0.817146,1.27973,0.413898,2.47004,6.7263,1.41288,0.25611,0.0852791,0.167093,0.510369,0.321496,0.383128,0.309535,0.704624,0.127018,6.06315,0.291307,,0.508859,18.0029,-0.515503,95.7067,0.508859,0.28,-0.2863278388977051,0.8641137778759003,0.589866,172.64999389648438,,,,,,,166.3,4.494594594,166.3,4.494594594,,,,,,,,,,,,,,,,,,,"Bryson Stott","26294",681082
"Luis Arraez","SDP",38,158.749,146.114,45.0177,35.4636,7.37298,0.676518,1.5047,19.1352,17.5051,9.2675,0.744811,6.80561,1.08846,1.28102,0.998567,3.81435,1.61237,0.690411,0.308101,0.0583783,0.0428702,1.36174,0.351021,0.398716,0.327518,0.749737,0.0906153,3.91859,0.312854,,-0.255039,20.43,1.7912,113.572,-0.255039,1.24,2.2751627266407013,-1.7685883045196533,0.586002,185.14999389648438,,,,,,,181.8,4.784210526,181.8,4.784210526,,,,,,,,,,,,,,,,,,,"Luis Arraez","18568",650333
"James Wood","WSN",38,161.028,140.976,37.4039,22.8623,7.30795,0.611938,6.62167,22.646,21.4068,17.8893,1.14771,45.4822,1.10868,0.923874,0.130465,2.90135,5.28095,1.31443,0.265321,0.111095,0.282449,0.393326,0.350545,0.466752,0.352199,0.817297,0.201431,5.46051,0.342802,,0.252984,23.9391,5.0327,126.808,0.252984,-1.63,5.322301805019379,-4.935860753059387,0.581327,53.29999923706055,,,,,,,221.7,5.834210526,221.7,5.834210526,,,,,,,,,,,,,,,,,,,"James Wood","29518",695578
"Bryan Reynolds","PIT",38,163.514,146.336,38.8364,25.1543,7.19114,1.03984,5.45119,20.6698,21.2071,13.9081,0.538764,37.6368,2.06793,1.03901,0.163095,3.07529,1.93561,0.666343,0.265392,0.0850573,0.230174,0.369534,0.33555,0.440499,0.336519,0.776049,0.175107,4.61052,0.320128,,-0.151129,22.2341,3.03584,114.412,-0.151129,-0.23,2.616262197494507,-2.3136615604162216,0.581077,98.11000061035156,,,,,,,194.4,5.115789473,194.4,5.115789473,,,,,,,,,,,,,,,,,,,"Bryan Reynolds","19326",668804
"Jurickson Profar","ATL",40,171.368,148.449,37.9538,25.196,7.33182,0.434157,4.99174,21.8592,19.739,18.517,0.422851,27.1407,2.22394,1.26114,0.838357,3.4627,2.20365,0.58238,0.255669,0.108054,0.158377,0.68226,0.344349,0.411785,0.332209,0.756135,0.156117,4.02228,0.280342,,-0.0956368,22.7044,2.58395,112.994,-0.0956368,-0.62,2.5192204266786575,-2.497842788696289,0.578607,192.1999969482422,,,,,,,196.1,4.9025,196.1,4.9025,,,,,,,,,,,,,,,,,,,"Jurickson Profar","10815",595777
"Nick Gonzales","PIT",34,150.393,137.204,36.6628,24.7132,7.94012,0.873756,3.13572,17.003,17.1785,9.4997,0.263268,29.8602,1.9703,1.29513,0.423176,2.89616,1.39633,0.449322,0.267213,0.063166,0.198548,0.318139,0.320951,0.406384,0.316701,0.727334,0.13917,4.45239,0.317782,,-0.139842,18.0383,0.380575,100.757,-0.139842,0.05,-0.006171971559524536,0.5990955717861652,0.566764,408.55999755859375,,,,,,,162.2,4.770588235,162.2,4.770588235,,,,,,,,,,,,,,,,,,,"Nick Gonzales","27490",693304
"Otto Lopez","MIA",35,144.725,132.067,34.8677,25.3446,6.39862,0.662181,2.46223,16.7612,14.5548,9.9369,0.472759,23.141,1.10634,0.995465,0.619635,3.23349,4.51277,1.19827,0.264016,0.0686606,0.159896,0.429407,0.318593,0.378425,0.305341,0.697018,0.114409,5.46085,0.301561,,0.178211,16.0281,-0.964123,92.9906,0.178211,0.14,-1.0130605548620224,1.7603703886270523,0.563559,322.1099853515625,,,,,,,145.6,4.16,145.6,4.16,,,,,,,,,,,,,,,,,,,"Otto Lopez","19608",672640
"Gabriel Moreno","ARI",20,77.1618,69.3595,18.9923,13.3831,3.79126,0.294039,1.52392,9.13284,8.97914,6.39727,0.140158,13.1972,0.702237,0.575378,0.127409,1.83387,0.828061,0.269458,0.273824,0.0829072,0.171033,0.484745,0.338704,0.402878,0.325148,0.741582,0.129054,3.99701,0.316378,,-0.0778511,9.78223,0.722627,106.898,-0.0778511,0.85,0.5471542328596115,2.2388888597488403,0.545726,184.36000061035156,,,,,,,90.7,4.535,90.7,4.535,,,,,,,,,,,,,,,,,,,"Gabriel Moreno","22664",672515
"Brandon Marsh","PHI",28,121.786,107.613,27.6036,17.8488,5.29485,0.817952,3.64209,16.4733,13.5824,12.0945,0.256361,33.8291,0.744159,0.742394,0.592664,1.82877,2.92085,0.748616,0.25651,0.099309,0.277774,0.357517,0.3337,0.422448,0.329827,0.756148,0.165938,5.81659,0.33804,,0.0791291,15.9006,1.60165,109.689,0.0791291,0.07,1.4648251980543137,-0.27180948108434677,0.532186,309.3299865722656,,,,,,,148.5,5.303571428,148.5,5.303571428,,,,,,,,,,,,,,,,,,,"Brandon Marsh","20202",669016
"Tyler Stephenson","CIN",26,100.386,88.8455,21.9,14.0978,3.99142,0.161092,3.64976,11.7977,13.2284,9.5982,0.223317,27.4269,1.10231,0.726271,0.108777,1.92745,0.219103,0.0704554,0.246496,0.095613,0.273214,0.349956,0.32512,0.418287,0.324494,0.743407,0.171791,2.56649,0.311996,,-0.146334,12.6734,0.887008,103.122,-0.146334,0.3,0.22175408899784088,1.641628086566925,0.529065,185.97000122070312,,,,,,,116.4,4.476923076,116.4,4.476923076,,,,,,,,,,,,,,,,,,,"Tyler Stephenson","17988",663886
