ID,G,GS,CG,ShO,W,L,SV,BS,HO,IP,BF,AB,H,D,T,HR,BB,HP,ER,R,K
7832,31,31,0,0,6,11,0,0,0,155,0,0,154,0,0,21,55,0,88,96,129,RFeltner
4443,26,26,0,0,9,8,0,0,0,152,0,0,127,0,0,19,50,0,73,79,145,SManaea
4950,28,28,0,0,6,11,0,0,0,152,0,0,172,0,0,24,42,0,89,96,106,KFreeland
6817,28,28,0,0,8,8,0,0,0,152,0,0,132,0,0,20,53,0,69,76,129,DKremer
6193,29,29,0,0,9,8,0,0,0,148,0,0,134,0,0,19,46,0,65,71,143,CSchmidt
8119,24,24,0,0,9,7,0,0,0,148,0,0,137,0,0,21,34,0,65,70,146,PPfaadt
8287,24,24,0,0,7,9,0,0,0,147,0,0,129,0,0,23,53,0,69,75,113,LOrtiz
6224,26,26,0,0,9,7,0,0,0,146,0,0,122,0,0,18,46,0,63,69,144,JLuzardo
5047,29,29,0,0,11,5,0,0,0,145,0,0,119,0,0,19,46,0,51,56,148,RLopez
6606,26,26,0,0,9,7,0,0,0,145,0,0,120,0,0,16,46,0,56,61,153,GRodriguez
7438,29,29,0,0,9,7,0,0,0,145,0,0,111,0,0,19,54,0,56,61,153,RPepiot
61,24,24,0,0,9,7,0,0,0,145,0,0,122,0,0,16,60,0,60,66,144,CMorton
6196,26,26,0,0,10,6,0,0,0,145,0,0,130,0,0,15,51,0,56,62,134,DPeterson
8136,28,28,0,0,7,9,0,0,0,144,0,0,126,0,0,17,47,0,71,78,130,ROlson
4597,24,24,0,0,10,5,0,0,0,141,0,0,101,0,0,13,39,0,50,55,168,TGlasnow
6585,28,28,0,0,10,6,0,0,0,141,0,0,111,0,0,16,60,0,52,57,152,KSenga
8461,26,26,0,0,7,9,0,0,0,140,0,0,129,0,0,19,50,0,70,76,138,JJones
7700,28,28,0,0,5,10,0,0,0,140,0,0,138,0,0,21,49,0,77,84,100,JCannon
7824,28,28,0,0,8,8,0,0,0,140,0,0,114,0,0,17,53,0,59,65,141,GWilliams
5593,26,26,0,0,5,10,0,0,0,140,0,0,153,0,0,23,40,0,78,84,96,AGomber
5846,24,24,0,0,8,8,0,0,0,139,0,0,129,0,0,20,35,0,63,68,128,NCortes
4445,24,24,0,0,7,8,0,0,0,139,0,0,128,0,0,20,43,0,65,71,117,JGray
8135,26,26,0,0,7,8,0,0,0,138,0,0,131,0,0,21,52,0,66,71,128,AAbbott
4880,26,26,0,0,7,8,0,0,0,138,0,0,124,0,0,19,45,0,60,66,103,BLively
7365,28,28,0,0,9,6,0,0,0,137,0,0,105,0,0,16,39,0,51,56,171,GCrochet
8437,26,26,0,0,9,7,0,0,0,137,0,0,107,0,0,18,29,0,52,57,126,BWoo
3685,28,28,0,0,8,7,0,0,0,137,0,0,109,0,0,18,48,0,57,61,161,RRay
5513,28,28,0,0,5,11,0,0,0,137,0,0,152,0,0,18,50,0,84,92,112,GMarquez
6990,23,23,0,0,8,7,0,0,0,137,0,0,131,0,0,18,30,0,60,65,105,TSugano
2919,24,24,0,0,6,9,0,0,0,136,0,0,133,0,0,19,46,0,77,84,126,LLynn
3839,24,24,0,0,8,8,0,0,0,136,0,0,127,0,0,18,50,0,63,69,103,JQuintana
504,24,24,0,0,6,9,0,0,0,136,0,0,134,0,0,22,36,0,72,77,113,JVerlander
7833,25,21,0,0,7,8,0,0,0,134,0,0,112,0,0,19,38,0,63,69,126,KCrawford
4900,29,24,0,0,7,8,0,0,0,134,0,0,141,0,0,20,32,0,66,72,109,NMartinez
8762,26,26,0,0,6,9,0,0,0,133,0,0,128,0,0,19,49,0,73,78,117,MParker
7061,24,24,0,0,7,8,0,0,0,133,0,0,126,0,0,17,41,0,63,68,121,ACivale
8158,18,18,0,0,10,5,0,0,0,132,0,0,91,0,0,11,41,0,48,52,163,RokSasaki
4146,24,24,0,0,6,8,0,0,0,132,0,0,128,0,0,19,38,0,66,71,127,AHeaney
4404,24,24,0,0,8,7,0,0,0,130,0,0,120,0,0,17,43,0,61,66,112,ERodriguez
6500,26,26,0,0,9,6,0,0,0,129,0,0,101,0,0,16,42,0,44,49,132,SMcClanahan
5857,26,26,0,0,8,6,0,0,0,129,0,0,107,0,0,17,36,0,52,56,138,BWoodruff
8077,26,26,0,0,8,7,0,0,0,129,0,0,122,0,0,13,52,0,53,59,86,APallante
7502,26,26,0,0,8,7,0,0,0,129,0,0,105,0,0,20,34,0,53,57,116,BFrancis
7549,26,26,0,0,7,7,0,0,0,129,0,0,107,0,0,11,51,0,55,61,107,JSoriano
6189,26,26,0,0,7,8,0,0,0,129,0,0,107,0,0,19,51,0,60,66,113,SBaz
6958,26,26,0,0,6,8,0,0,0,129,0,0,117,0,0,20,47,0,64,70,104,SWoodsRichardson
6927,26,26,0,0,5,9,0,0,0,129,0,0,134,0,0,19,46,0,68,74,111,RWeathers
8577,24,24,0,0,7,7,0,0,0,129,0,0,109,0,0,17,56,0,61,67,136,SArrighetti
5797,24,24,0,0,5,10,0,0,0,128,0,0,136,0,0,18,51,0,73,80,88,CQuantrill
5889,34,23,0,0,8,6,0,0,0,126,0,0,121,0,0,12,47,0,56,62,111,CHolmes
19,23,23,0,0,8,6,0,0,0,125,0,0,99,0,0,18,31,0,47,50,134,MScherzer
6960,24,24,0,0,6,8,0,0,0,125,0,0,103,0,0,14,57,0,55,61,125,ECabrera
4553,25,21,0,0,6,8,0,0,0,123,0,0,113,0,0,18,56,0,64,70,93,MLorenzen
5916,24,24,0,0,7,7,0,0,0,121,0,0,97,0,0,18,40,0,53,57,109,TMahle
6301,24,24,0,0,6,7,0,0,0,121,0,0,120,0,0,19,26,0,54,59,103,ZLittell
6429,24,24,0,0,6,8,0,0,0,121,0,0,116,0,0,18,34,0,56,60,122,JSprings
8208,24,24,0,0,5,8,0,0,0,121,0,0,110,0,0,16,43,0,57,62,109,DMartin
4620,23,23,0,0,5,9,0,0,0,119,0,0,127,0,0,18,35,0,72,79,84,KHendricks
8495,19,19,0,0,6,7,0,0,0,117,0,0,116,0,0,16,35,0,55,60,91,MSpence
7491,19,19,0,0,8,5,0,0,0,116,0,0,86,0,0,13,38,0,50,54,156,SStrider
8270,23,23,0,0,8,5,0,0,0,115,0,0,105,0,0,14,46,0,44,48,94,JAssad
4198,23,23,0,0,9,4,0,0,0,113,0,0,81,0,0,11,41,0,36,39,131,SOhtaniP
4563,23,23,0,0,8,4,0,0,0,113,0,0,77,0,0,13,14,0,34,37,146,JDeGrom
6580,23,23,0,0,6,6,0,0,0,113,0,0,112,0,0,16,35,0,54,58,103,TMyers
4040,23,23,0,0,6,7,0,0,0,113,0,0,101,0,0,15,46,0,55,60,117,LGiolito
8151,23,23,0,0,6,7,0,0,0,113,0,0,91,0,0,15,53,0,56,61,115,DHerz
7026,23,23,0,0,6,7,0,0,0,113,0,0,107,0,0,13,36,0,57,62,115,NLodolo
6940,23,23,0,0,5,8,0,0,0,113,0,0,116,0,0,18,35,0,60,65,83,BFalter
8406,23,23,0,0,5,8,0,0,0,113,0,0,97,0,0,15,51,0,55,60,118,SBurke
7363,23,23,0,0,4,8,0,0,0,113,0,0,119,0,0,14,40,0,62,68,96,MMeyer
5237,23,23,0,0,3,9,0,0,0,113,0,0,142,0,0,17,39,0,76,83,73,ASenzatela
