ID,G,GS,CG,ShO,W,L,SV,BS,HO,IP,BF,AB,H,D,T,HR,BB,HP,ER,R,K
8299,53,0,0,0,4,3,20,0,10,63,0,0,55,0,0,5,32,0,26,29,67,JMartinez
7119,59,0,0,0,3,4,2,0,10,63,0,0,59,0,0,7,22,0,26,29,60,MRodriguez
6239,59,0,0,0,3,4,0,0,14,63,0,0,55,0,0,7,29,0,28,30,70,GCleavinger
6592,20,2,0,0,3,4,0,0,7,63,0,0,65,0,0,9,26,0,36,39,59,JSuarez
5707,47,0,0,0,4,3,6,0,6,62,0,0,54,0,0,7,22,0,22,25,66,BHudson
7140,54,0,0,0,4,3,23,0,5,62,0,0,59,0,0,8,23,0,28,31,70,TMegill
5906,55,0,0,0,3,4,0,0,10,62,0,0,62,0,0,7,14,0,27,30,57,HMilner
9159,54,0,0,0,4,3,0,0,4,62,0,0,53,0,0,8,29,0,24,26,57,GHolman
7449,35,0,0,0,4,3,2,0,8,62,0,0,51,0,0,8,30,0,25,27,65,KThompson
7021,43,0,0,0,4,3,2,0,14,62,0,0,59,0,0,9,19,0,26,28,58,TMiller
4263,56,0,0,0,4,3,32,0,0,62,0,0,60,0,0,7,18,0,26,28,59,RPressly
7431,54,0,0,0,4,3,8,0,6,62,0,0,51,0,0,4,29,0,24,27,68,CDoval
6844,17,5,0,0,3,4,0,0,2,62,0,0,63,0,0,9,18,0,29,32,47,DLynch
7888,41,0,0,0,4,3,2,0,12,61,0,0,59,0,0,8,17,0,27,29,66,CSands
5640,48,0,0,0,3,4,0,0,9,61,0,0,60,0,0,7,27,0,30,32,57,SMoll
5129,58,0,0,0,3,4,21,0,4,61,0,0,59,0,0,8,24,0,30,33,65,TayRogers
6502,47,0,0,0,3,4,2,0,9,61,0,0,62,0,0,9,28,0,34,37,68,TSantillan
4303,59,0,0,0,5,1,11,0,14,61,0,0,37,0,0,6,32,0,16,17,75,KYates
7204,63,0,0,0,4,3,0,0,5,61,0,0,50,0,0,8,29,0,25,27,77,AVesia
5297,47,0,0,0,3,3,0,0,12,61,0,0,64,0,0,7,24,0,32,35,56,ABanda
6472,56,0,0,0,4,3,2,0,10,61,0,0,60,0,0,7,19,0,26,29,55,JRomero
7392,54,0,0,0,3,3,0,0,9,61,0,0,50,0,0,7,30,0,25,28,62,NSandlin
8278,59,0,0,0,3,4,0,0,12,61,0,0,50,0,0,7,30,0,29,31,83,FCruz
8142,53,0,0,0,3,4,2,0,11,61,0,0,59,0,0,8,27,0,30,33,59,CHolderman
6334,64,0,0,0,3,4,13,0,4,61,0,0,63,0,0,8,24,0,30,32,60,TKinley
6598,56,0,0,0,3,4,0,0,4,61,0,0,66,0,0,7,26,0,32,36,63,CFerguson
7552,41,0,0,0,3,4,6,0,4,61,0,0,64,0,0,6,22,0,30,33,61,ABender
9172,49,0,0,0,2,5,0,0,6,61,0,0,68,0,0,10,24,0,35,38,54,SHalvorsen
8258,59,0,0,0,4,3,2,0,12,60,0,0,50,0,0,7,28,0,25,27,79,JEstrada
7908,61,0,0,0,4,3,28,0,0,60,0,0,56,0,0,8,20,0,25,27,54,RSuarez
6307,59,0,0,0,4,3,4,0,15,60,0,0,55,0,0,8,24,0,26,28,62,SDominguez
8276,54,0,0,0,3,3,0,0,12,60,0,0,60,0,0,8,23,0,29,31,56,GWeissert
6749,51,0,0,0,4,2,30,0,0,60,0,0,43,0,0,4,26,0,18,20,72,AMunoz
5992,56,0,0,0,4,2,2,0,11,60,0,0,52,0,0,7,20,0,22,24,64,AMinter
4444,56,0,0,0,4,3,0,0,10,60,0,0,57,0,0,8,28,0,28,30,64,RStanek
6406,50,0,0,0,3,3,2,0,10,60,0,0,56,0,0,7,19,0,25,28,56,TThornton
6849,58,0,0,0,4,3,9,0,6,59,0,0,56,0,0,7,16,0,24,26,61,KGinkel
5675,54,0,0,0,4,3,16,0,5,59,0,0,52,0,0,8,21,0,25,27,67,APuk
7635,42,0,0,0,2,4,0,0,9,59,0,0,64,0,0,9,16,0,30,33,55,GVarland
8703,44,0,0,0,2,4,2,0,2,59,0,0,58,0,0,8,29,0,31,34,60,JLeasure
7625,55,0,0,0,4,3,2,0,8,59,0,0,60,0,0,7,20,0,28,30,57,DHernandez
2963,55,0,0,0,4,3,24,0,0,59,0,0,52,0,0,8,24,0,25,27,66,KJansen
8014,42,0,0,0,3,3,2,0,8,59,0,0,59,0,0,7,18,0,27,30,55,TBanks
9164,40,0,0,0,3,4,2,0,8,59,0,0,56,0,0,8,28,0,32,34,59,RZeferjahn
6087,26,0,0,0,3,4,0,0,9,59,0,0,55,0,0,8,26,0,27,30,54,AFaedo
8234,20,0,0,0,2,4,4,0,5,59,0,0,61,0,0,10,20,0,32,35,58,MMontgomery
2445,50,0,0,0,4,3,2,0,10,58,0,0,52,0,0,7,14,0,23,25,55,RBrasier
7789,14,5,0,0,4,3,0,0,0,58,0,0,57,0,0,6,13,0,23,26,43,MMcGreevy
9205,18,6,0,0,2,4,0,0,3,58,0,0,55,0,0,8,21,0,28,31,53,SSmith
6483,56,0,0,0,3,3,0,0,11,57,0,0,49,0,0,7,25,0,23,25,58,JAlcala
6321,46,0,0,0,3,3,0,0,4,57,0,0,53,0,0,6,27,0,26,28,60,SBarlow
5835,45,0,0,0,2,4,0,0,8,57,0,0,67,0,0,8,15,0,33,36,43,BSuter
1961,11,11,0,0,4,2,0,0,0,57,0,0,51,0,0,6,16,0,22,24,54,CKershaw
6190,46,0,0,0,3,3,0,0,9,57,0,0,52,0,0,4,24,0,21,24,46,BLittle
4688,40,0,0,0,3,3,8,0,10,57,0,0,50,0,0,7,15,0,22,24,64,YGarcia
7464,44,0,0,0,3,3,0,0,9,57,0,0,64,0,0,5,13,0,24,27,36,JKing
5625,53,0,0,0,3,3,6,0,7,57,0,0,52,0,0,8,16,0,24,26,50,CGreen
9103,52,0,0,0,4,3,0,0,12,57,0,0,52,0,0,7,21,0,22,25,57,BrKing
6164,45,0,0,0,4,3,0,0,9,57,0,0,49,0,0,6,22,0,23,25,66,MLeiter
5666,45,0,0,0,3,3,0,0,9,57,0,0,48,0,0,8,18,0,23,25,63,PSewald
5730,52,0,0,0,3,3,0,0,9,57,0,0,56,0,0,7,21,0,25,27,54,AMorejon
6296,52,0,0,0,3,3,2,0,7,57,0,0,64,0,0,6,14,0,27,31,39,THill
7585,48,0,0,0,3,3,2,0,7,57,0,0,56,0,0,8,25,0,29,31,55,KOrt
7863,47,0,0,0,4,2,32,0,0,56,0,0,38,0,0,5,24,0,16,17,83,FBautista
7754,11,11,0,0,3,3,0,0,0,56,0,0,53,0,0,9,17,0,26,28,51,APainter
6121,11,11,0,0,3,3,0,0,0,56,0,0,54,0,0,6,19,0,26,29,49,KWright
2633,0,0,0,0,3,3,5,0,0,56,0,0,48,0,0,9,29,0,27,29,68,CKimbrel
6467,11,11,0,0,3,3,0,0,0,56,0,0,50,0,0,7,23,0,27,29,47,JOviedo
7882,47,0,0,0,3,4,2,0,16,56,0,0,57,0,0,7,25,0,27,30,48,CSnider
7184,40,0,0,0,2,4,0,0,3,56,0,0,63,0,0,8,22,0,32,34,51,LBachar
3659,39,0,0,0,4,3,21,0,4,56,0,0,49,0,0,7,17,0,21,23,54,LHendriks
7278,54,0,0,0,4,3,0,0,12,56,0,0,56,0,0,5,15,0,24,26,41,RThompson
8736,42,0,0,0,4,3,9,0,5,55,0,0,53,0,0,6,15,0,22,24,59,OKerkering
8024,49,0,0,0,4,3,0,0,9,55,0,0,49,0,0,4,24,0,23,25,60,DYoung
5898,53,0,0,0,3,3,0,0,12,55,0,0,49,0,0,6,25,0,23,25,62,JAlvarado
6417,22,0,0,0,3,3,25,0,2,55,0,0,53,0,0,7,22,0,25,27,57,JRomano
6583,41,0,0,0,3,3,4,0,8,55,0,0,55,0,0,8,21,0,25,27,51,CPoche
7543,36,0,0,0,3,3,2,0,6,55,0,0,61,0,0,8,14,0,26,29,49,AZerpa
4510,46,0,0,0,3,4,2,0,6,55,0,0,55,0,0,8,23,0,30,32,54,LSims
8098,44,0,0,0,3,3,7,0,4,55,0,0,48,0,0,6,29,0,25,28,60,BJoyce
8207,12,8,0,0,3,3,0,0,0,55,0,0,45,0,0,8,23,0,25,27,54,ASmithShawver
4023,17,3,0,0,3,4,0,0,3,54,0,0,59,0,0,8,21,0,31,34,44,JRoss
7030,47,0,0,0,3,3,24,0,0,54,0,0,46,0,0,6,21,0,20,22,59,PFairbanks
7820,46,0,0,0,3,3,0,0,8,54,0,0,56,0,0,6,23,0,25,28,44,EPeguero
7193,50,0,0,0,3,3,0,0,8,54,0,0,52,0,0,7,26,0,28,31,63,NMears
5811,25,0,0,0,3,3,0,0,8,54,0,0,47,0,0,5,23,0,21,23,71,BStewart
4258,43,0,0,0,3,3,0,0,7,54,0,0,54,0,0,5,18,0,24,27,39,TMcFarland
4371,37,0,0,0,4,2,0,0,8,53,0,0,41,0,0,5,23,0,17,19,54,TKahnle
8743,51,0,0,0,3,3,0,0,4,53,0,0,45,0,0,7,24,0,22,24,59,YMatsui
6241,19,0,0,0,3,3,2,0,11,53,0,0,47,0,0,6,20,0,21,23,44,GSantos
7773,33,0,0,0,3,3,0,0,8,53,0,0,47,0,0,5,23,0,21,23,47,TSaucedo
7790,12,8,0,0,2,4,0,0,0,53,0,0,50,0,0,8,16,0,26,29,39,GHoglund
5819,23,0,0,0,2,4,0,0,7,53,0,0,58,0,0,7,19,0,29,31,51,JWentz
6706,44,0,0,0,2,4,0,0,0,53,0,0,54,0,0,6,24,0,29,32,46,JLawrence
5165,47,0,0,0,3,3,0,0,9,52,0,0,53,0,0,6,14,0,24,26,43,JMantiply
6294,45,0,0,0,3,3,0,0,4,52,0,0,48,0,0,6,25,0,26,28,56,GSoto
5468,48,0,0,0,3,3,0,0,0,52,0,0,52,0,0,6,25,0,26,29,40,CPerez
4729,40,0,0,0,3,3,7,0,4,52,0,0,54,0,0,5,15,0,23,26,37,SAlexander
8734,17,0,0,0,2,4,0,0,3,52,0,0,60,0,0,7,18,0,30,33,42,AVeneziano
3462,46,0,0,0,2,3,0,0,4,52,0,0,62,0,0,8,16,0,30,33,51,JusWilson
8330,34,0,0,0,3,3,0,0,3,51,0,0,55,0,0,7,15,0,24,26,41,JFerrer
7555,40,0,0,0,2,3,0,0,7,51,0,0,52,0,0,7,20,0,27,29,44,SLong
6714,38,0,0,0,3,3,0,0,3,51,0,0,49,0,0,7,21,0,26,28,50,JQuijada
7987,8,8,0,0,3,2,0,0,0,51,0,0,47,0,0,6,16,0,22,25,40,BElder
9084,16,2,0,0,3,3,0,0,0,51,0,0,46,0,0,6,22,0,25,27,51,YDiaz
6760,28,0,0,0,2,4,0,0,0,51,0,0,57,0,0,7,14,0,26,29,46,TGilbert
5009,49,0,0,0,3,3,0,0,4,50,0,0,48,0,0,6,23,0,23,25,51,HNeris
3740,46,0,0,0,3,3,2,0,1,50,0,0,43,0,0,5,23,0,20,23,52,LJackson
4790,32,0,0,0,3,2,5,0,9,50,0,0,49,0,0,6,15,0,21,23,47,BTreinen
6306,19,0,0,0,3,3,0,0,8,49,0,0,51,0,0,5,18,0,23,25,46,LTrivino
9108,41,0,0,0,3,3,0,0,3,49,0,0,45,0,0,7,22,0,22,24,58,HBigge
8472,10,10,0,0,2,4,0,0,0,49,0,0,45,0,0,8,26,0,30,32,44,NNastrini
8266,20,0,0,0,3,2,0,0,8,49,0,0,48,0,0,5,15,0,19,21,39,BHoeing
8756,14,3,0,0,3,3,0,0,0,49,0,0,46,0,0,6,14,0,21,23,44,BBasso
3814,10,10,0,0,3,2,0,0,0,48,0,0,40,0,0,6,22,0,20,22,47,LMcCullers
8283,14,2,0,0,3,3,0,0,0,48,0,0,48,0,0,6,14,0,22,25,44,LVarland
5891,40,0,0,0,3,3,0,0,8,48,0,0,49,0,0,7,18,0,24,27,46,JRuiz
2622,10,10,0,0,2,3,0,0,0,48,0,0,47,0,0,6,18,0,25,27,31,WMiley
8584,10,10,0,0,2,3,0,0,0,48,0,0,41,0,0,5,15,0,21,23,46,NSchultz
7906,22,0,0,0,2,4,0,0,0,48,0,0,54,0,0,7,16,0,26,28,40,RHenriquez
7437,12,6,0,0,3,2,0,0,0,47,0,0,43,0,0,7,16,0,21,22,46,LKnack
7550,35,0,0,0,3,2,0,0,4,47,0,0,44,0,0,6,16,0,19,20,54,DedNunez
6473,43,0,0,0,3,2,2,0,5,47,0,0,37,0,0,6,27,0,19,21,61,HCrouse
7237,42,0,0,0,3,2,0,0,0,47,0,0,35,0,0,5,19,0,16,18,47,PMurfee
6740,35,0,0,0,3,2,0,0,4,46,0,0,39,0,0,5,21,0,20,22,59,APerdomo
4229,42,0,0,0,3,2,0,0,4,46,0,0,45,0,0,5,19,0,21,23,48,CThielbar
7748,13,3,0,0,2,3,0,0,0,46,0,0,48,0,0,5,15,0,23,25,34,GAshcraft
5107,25,0,0,0,3,2,0,0,9,46,0,0,37,0,0,5,23,0,17,18,50,MKopech
8317,23,0,0,0,3,2,0,0,0,46,0,0,37,0,0,4,27,0,17,19,45,AUribe
6065,31,0,0,0,2,3,0,0,7,45,0,0,44,0,0,5,21,0,21,23,45,FWhitley
5494,40,0,0,0,3,2,9,0,6,45,0,0,37,0,0,6,11,0,15,17,53,MStrahm
4142,43,0,0,0,2,3,0,0,7,45,0,0,42,0,0,5,23,0,21,23,51,AChafin
6181,40,0,0,0,2,3,0,0,0,45,0,0,44,0,0,7,16,0,21,23,48,JBrebbia
8237,10,6,0,0,3,2,0,0,0,44,0,0,36,0,0,5,17,0,19,20,47,BBrown
4489,37,0,0,0,2,3,0,0,3,43,0,0,46,0,0,6,19,0,25,28,35,CStratton
8750,34,0,0,0,2,3,0,0,4,43,0,0,49,0,0,7,15,0,24,26,39,AChivilli
8226,12,3,0,0,2,3,0,0,0,43,0,0,31,0,0,4,29,0,20,22,49,JBoyle
8070,34,0,0,0,2,3,2,0,4,43,0,0,38,0,0,5,22,0,20,22,50,EReifert
6174,20,0,0,0,3,2,0,0,3,42,0,0,40,0,0,5,18,0,18,20,44,JMerryweather
5043,26,0,0,0,3,2,0,0,3,42,0,0,36,0,0,5,10,0,14,15,42,DCoulombe
2839,35,0,0,0,3,2,0,0,7,42,0,0,39,0,0,5,13,0,19,20,38,SMiller
5517,36,0,0,0,2,2,0,0,3,42,0,0,39,0,0,5,16,0,19,21,43,GSpeier
8423,22,0,0,0,2,3,0,0,0,42,0,0,42,0,0,6,14,0,20,22,39,MChurch
8361,17,0,0,0,2,3,0,0,6,42,0,0,46,0,0,6,12,0,22,24,35,KLeahy
6634,35,0,0,0,2,3,0,0,3,42,0,0,42,0,0,4,15,0,21,23,30,ZPop
8297,31,0,0,0,2,3,0,0,8,41,0,0,42,0,0,5,20,0,23,25,40,SReynolds
9208,22,0,0,0,2,3,0,0,0,41,0,0,38,0,0,4,21,0,21,23,35,NMurdock
8430,21,0,0,0,2,2,0,0,0,41,0,0,41,0,0,4,11,0,16,18,33,BHanifee
7900,27,0,0,0,2,3,0,0,3,41,0,0,42,0,0,5,18,0,21,23,37,RRodriguez
7004,10,5,0,0,2,3,0,0,0,41,0,0,41,0,0,4,21,0,24,26,35,AAshby
7652,33,0,0,0,2,2,0,0,3,40,0,0,33,0,0,5,22,0,17,18,47,JCousins
7848,8,8,0,0,2,2,0,0,0,40,0,0,38,0,0,5,14,0,19,21,33,JWicks
9064,14,0,0,0,2,2,0,0,0,40,0,0,36,0,0,5,19,0,19,20,38,DNikhazy
8321,8,8,0,0,2,3,0,0,0,40,0,0,43,0,0,6,13,0,22,24,30,RVasquez
8205,11,3,0,0,2,2,0,0,0,40,0,0,36,0,0,5,16,0,18,19,36,CSilseth
5915,32,0,0,0,2,2,0,0,0,39,0,0,41,0,0,6,11,0,18,19,37,JHerget
8264,30,0,0,0,2,3,9,0,0,39,0,0,38,0,0,5,15,0,19,20,49,ANardi
8314,24,0,0,0,1,3,0,0,0,39,0,0,42,0,0,6,16,0,23,24,36,GSoriano
8399,21,0,0,0,1,3,0,0,2,39,0,0,42,0,0,5,20,0,23,25,42,JYan
5093,25,0,0,0,3,2,0,0,3,38,0,0,32,0,0,3,23,0,15,16,42,SReidFoley
6191,31,0,0,0,2,2,0,0,7,38,0,0,37,0,0,5,15,0,17,19,40,NPearson
8643,16,0,0,0,2,3,0,0,2,38,0,0,45,0,0,5,11,0,21,23,30,ESalazar
6597,34,0,0,0,3,2,5,0,4,38,0,0,34,0,0,5,11,0,15,17,40,EPhillips
4316,32,0,0,0,2,2,0,0,0,38,0,0,38,0,0,6,13,0,18,20,36,RMontero
7494,18,0,0,0,2,2,0,0,3,38,0,0,38,0,0,4,19,0,18,20,37,ROBrien
6720,10,3,0,0,2,2,0,0,0,38,0,0,35,0,0,5,16,0,19,20,29,JBrubaker
9166,33,0,0,0,2,2,0,0,0,37,0,0,36,0,0,5,13,0,17,18,38,CYoho
6671,33,0,0,0,2,2,0,0,3,37,0,0,35,0,0,5,16,0,19,20,39,BBaker
8719,9,5,0,0,2,2,0,0,0,36,0,0,28,0,0,4,17,0,16,17,39,CMcDermott
7535,10,3,0,0,2,2,0,0,0,36,0,0,31,0,0,5,16,0,17,19,34,YGomez
5983,32,0,0,0,2,2,0,0,2,36,0,0,43,0,0,4,12,0,19,21,27,TMayza
8343,33,0,0,0,2,2,0,0,2,36,0,0,34,0,0,3,7,0,13,15,32,KKelly
8143,24,0,0,0,2,2,0,0,0,36,0,0,33,0,0,4,16,0,16,18,37,EOrze
8245,28,0,0,0,2,2,0,0,6,36,0,0,36,0,0,4,14,0,17,19,35,BBernardino
3808,29,0,0,0,2,2,0,0,0,36,0,0,36,0,0,5,17,0,18,20,37,MFulmer
8648,9,3,0,0,2,2,0,0,0,36,0,0,34,0,0,4,8,0,16,18,30,BHurter
7596,28,0,0,0,2,2,0,0,0,35,0,0,33,0,0,5,14,0,17,18,29,SMartinez
4230,25,0,0,0,2,2,0,0,5,34,0,0,32,0,0,4,13,0,17,18,34,MTonkin
5850,28,0,0,0,2,2,0,0,2,34,0,0,31,0,0,3,12,0,13,15,24,WPeralta
5746,23,0,0,0,2,2,0,0,0,34,0,0,32,0,0,5,11,0,15,17,43,RBurr
7376,11,0,0,0,1,2,0,0,4,34,0,0,34,0,0,5,14,0,17,18,25,JShuster
5015,31,0,0,0,2,2,0,0,6,33,0,0,32,0,0,5,14,0,16,17,31,BFarmer
8078,14,0,0,0,2,2,0,0,2,33,0,0,42,0,0,4,8,0,17,19,24,CThomas
7511,9,3,0,0,2,2,0,0,0,33,0,0,33,0,0,5,9,0,17,18,29,SCecconi
7731,6,6,0,0,2,2,0,0,0,33,0,0,29,0,0,4,11,0,15,17,33,THence
7049,7,3,0,0,2,2,0,0,0,32,0,0,31,0,0,3,10,0,16,18,26,QPriester
9107,6,6,0,0,1,2,0,0,0,32,0,0,35,0,0,6,12,0,19,21,24,VBellozo
7380,8,3,0,0,2,2,0,0,0,32,0,0,30,0,0,3,11,0,17,18,28,BMiller
7371,15,0,0,0,2,2,0,0,2,31,0,0,33,0,0,4,14,0,17,18,23,BJarvis
9206,18,0,0,0,2,2,0,0,2,31,0,0,33,0,0,3,12,0,15,17,26,GMcDaniels
8636,11,0,0,0,1,2,0,0,0,31,0,0,33,0,0,4,10,0,17,19,24,MVasil
8638,8,3,0,0,1,2,0,0,0,31,0,0,35,0,0,5,11,0,19,21,24,PMonteverde
8491,17,0,0,0,2,2,0,0,0,30,0,0,30,0,0,3,12,0,14,15,29,KFunderburk
9020,7,3,0,0,2,2,0,0,0,30,0,0,30,0,0,4,9,0,15,16,24,RFitts
9076,24,0,0,0,2,2,0,0,0,30,0,0,31,0,0,3,13,0,15,16,24,CRoycroft
8723,19,0,0,0,1,2,0,0,0,30,0,0,34,0,0,4,13,0,19,21,28,EJustice
8080,23,0,0,0,2,2,0,0,0,30,0,0,29,0,0,4,14,0,14,15,28,HBrazoban
8492,24,0,0,0,2,2,0,0,0,30,0,0,30,0,0,4,11,0,14,15,28,ZBrzykcy
7648,12,0,0,0,1,2,0,0,0,30,0,0,29,0,0,5,16,0,18,19,26,CHenry
9182,18,0,0,0,2,2,0,0,0,29,0,0,27,0,0,4,13,0,14,15,32,DGonzalez
3843,18,0,0,0,2,2,0,0,0,29,0,0,27,0,0,4,14,0,14,15,31,JDiekman
9180,7,3,0,0,1,2,0,0,0,29,0,0,29,0,0,5,10,0,15,17,24,RGusto
8772,27,0,0,0,1,2,6,0,1,29,0,0,31,0,0,4,12,0,16,18,29,CBooser
6031,7,3,0,0,1,2,0,0,0,29,0,0,27,0,0,4,11,0,14,15,24,MManning
6149,10,0,0,0,1,2,0,0,2,29,0,0,32,0,0,4,7,0,15,17,24,TAlexander
9109,8,3,0,0,1,2,0,0,0,29,0,0,35,0,0,5,8,0,19,21,22,TGordon
5198,27,0,0,0,1,2,0,0,4,29,0,0,30,0,0,3,8,0,13,14,22,DFloro
8621,7,3,0,0,2,2,0,0,0,28,0,0,22,0,0,3,15,0,13,14,28,JMisiorowski
8326,9,2,0,0,2,2,0,0,0,28,0,0,28,0,0,3,9,0,13,14,25,KWinn
8218,7,3,0,0,2,2,0,0,0,28,0,0,27,0,0,4,10,0,13,14,25,MBlack
8731,7,3,0,0,1,2,0,0,0,28,0,0,26,0,0,3,8,0,13,14,27,SGipsonLong
6145,7,3,0,0,1,2,0,0,0,28,0,0,27,0,0,3,13,0,15,16,27,DHall
7617,20,0,0,0,1,2,0,0,2,28,0,0,30,0,0,3,14,0,15,17,27,YZulueta
9123,5,5,0,0,1,2,0,0,0,28,0,0,29,0,0,4,9,0,15,16,22,MAdams
9153,28,0,0,0,2,2,0,0,4,28,0,0,24,0,0,3,12,0,11,12,26,TTaylor
7524,26,0,0,0,2,2,4,0,0,28,0,0,26,0,0,2,15,0,12,13,33,MBrash
6988,7,3,0,0,1,2,0,0,0,28,0,0,28,0,0,4,5,0,13,14,23,BAshcraft
9021,31,0,0,0,1,2,0,0,2,28,0,0,26,0,0,4,12,0,13,14,30,AWalters
7588,11,0,0,0,2,2,0,0,2,28,0,0,30,0,0,3,9,0,12,13,22,JWinckowski
7124,19,0,0,0,1,2,0,0,0,28,0,0,28,0,0,5,13,0,17,19,26,CHernandez
9190,7,3,0,0,2,2,0,0,0,27,0,0,26,0,0,4,8,0,12,13,26,BYoung
8765,9,3,0,0,1,2,0,0,0,27,0,0,30,0,0,3,9,0,15,16,21,SKolek
7390,23,0,0,0,2,1,0,0,0,27,0,0,26,0,0,4,9,0,12,13,24,EMorgan
9066,9,0,0,0,2,1,0,0,0,27,0,0,27,0,0,3,9,0,13,14,22,JWrobleski
7470,10,0,0,0,1,2,0,0,2,27,0,0,28,0,0,3,8,0,12,13,24,JTopa
6237,23,0,0,0,1,2,0,0,0,26,0,0,27,0,0,3,11,0,13,14,22,JBeeks
7590,22,0,0,0,1,2,0,0,2,26,0,0,28,0,0,3,9,0,13,15,23,TNance
7227,20,0,0,0,1,2,0,0,3,26,0,0,30,0,0,4,8,0,14,16,21,BdeGeus
8999,5,5,0,0,1,1,0,0,0,26,0,0,25,0,0,4,10,0,13,14,22,BSproat
7531,20,0,0,0,1,2,0,0,1,26,0,0,31,0,0,3,18,0,19,21,24,LGilbreath
7024,21,0,0,0,1,2,2,0,0,25,0,0,20,0,0,3,16,0,12,13,34,JKarinchak
7537,21,0,0,0,1,2,0,0,0,25,0,0,29,0,0,4,9,0,15,16,19,MThompson
8667,20,0,0,0,1,1,0,0,0,25,0,0,27,0,0,3,9,0,13,14,22,AWillingham
8727,7,2,0,0,1,2,0,0,0,25,0,0,28,0,0,4,8,0,15,16,22,CSpiers
7504,20,0,0,0,1,2,0,0,4,25,0,0,24,0,0,4,11,0,12,13,24,JLatz
9099,14,0,0,0,1,1,0,0,0,24,0,0,25,0,0,3,8,0,10,11,18,SBivens
7936,8,0,0,0,1,1,0,0,2,24,0,0,26,0,0,3,9,0,11,13,21,DJameson
8826,5,5,0,0,1,2,0,0,0,24,0,0,27,0,0,4,8,0,15,16,19,AMazur
7826,8,0,0,0,1,1,0,0,0,24,0,0,25,0,0,2,10,0,12,13,20,KTyler
8204,7,2,0,0,1,2,0,0,0,24,0,0,26,0,0,3,8,0,12,13,18,GGraceffo
9170,21,0,0,0,1,2,0,0,4,24,0,0,23,0,0,3,13,0,12,13,30,ESabrowski
8598,5,5,0,0,1,2,0,0,0,24,0,0,23,0,0,3,10,0,13,14,22,CWhisenhunt
9102,5,5,0,0,1,2,0,0,0,24,0,0,22,0,0,4,11,0,13,14,20,JBloss
7659,15,0,0,0,1,2,0,0,4,24,0,0,26,0,0,3,11,0,13,14,24,KNicolas
8113,5,5,0,0,1,2,0,0,0,24,0,0,24,0,0,4,10,0,15,16,21,AMacko
8714,5,5,0,0,1,2,0,0,0,24,0,0,27,0,0,4,10,0,16,17,18,BBlalock
8674,19,0,0,0,1,1,0,0,0,24,0,0,20,0,0,3,12,0,11,12,24,LGuerrero
7787,8,0,0,0,1,2,0,0,0,23,0,0,23,0,0,3,10,0,13,14,16,SBachman
9160,8,0,0,0,1,1,0,0,2,23,0,0,22,0,0,3,10,0,12,13,22,BCasparius
8732,19,0,0,0,1,1,0,0,0,23,0,0,21,0,0,3,9,0,11,12,24,NHernandez
7634,17,0,0,0,1,1,0,0,0,23,0,0,23,0,0,3,7,0,10,11,22,NRobertson
7891,19,0,0,0,1,1,0,0,0,22,0,0,20,0,0,3,10,0,10,11,22,RMarinaccio
8672,16,0,0,0,1,1,0,0,0,22,0,0,23,0,0,3,8,0,11,12,21,AJacob
8338,10,0,0,0,1,1,0,0,0,22,0,0,22,0,0,3,7,0,10,11,21,MEnglert
6659,12,0,0,0,1,1,0,0,0,22,0,0,23,0,0,3,10,0,11,12,23,JWaguespack
8657,3,3,0,0,1,2,0,0,0,22,0,0,24,0,0,4,8,0,13,14,19,RSnelling
8313,8,0,0,0,1,2,0,0,0,21,0,0,23,0,0,3,8,0,11,12,22,JSimpson
8866,15,0,0,0,1,2,0,0,0,21,0,0,23,0,0,3,7,0,12,13,20,LArias
7530,17,0,0,0,1,1,0,0,2,21,0,0,22,0,0,3,7,0,9,11,17,CVargas
9157,19,0,0,0,1,1,0,0,0,21,0,0,21,0,0,3,9,0,11,12,20,ORibalta
7189,19,0,0,0,1,2,0,0,0,21,0,0,19,0,0,3,13,0,12,13,21,SWilson
7332,7,0,0,0,1,1,0,0,0,21,0,0,21,0,0,3,9,0,10,11,17,BWalston
8783,15,0,0,0,1,1,0,0,0,21,0,0,19,0,0,2,8,0,9,10,19,WPennington
8693,3,3,0,0,1,1,0,0,0,21,0,0,19,0,0,3,6,0,9,10,15,AWinans
8869,6,2,0,0,1,1,0,0,0,20,0,0,16,0,0,2,10,0,8,9,21,ETeodo
7796,17,0,0,0,1,1,0,0,1,20,0,0,20,0,0,2,5,0,8,9,17,SGuenther
5695,11,0,0,0,1,1,0,0,0,20,0,0,17,0,0,2,11,0,9,10,21,ALange
7574,7,0,0,0,1,1,0,0,1,20,0,0,21,0,0,3,6,0,10,11,17,TBeck
8647,6,2,0,0,1,1,0,0,0,20,0,0,21,0,0,3,6,0,10,11,19,NCameron
9192,15,0,0,0,1,1,0,0,0,20,0,0,22,0,0,2,10,0,11,12,19,LMey
7444,7,0,0,0,1,1,0,0,1,20,0,0,16,0,0,2,9,0,7,8,22,CBeeter
8318,7,0,0,0,1,1,0,0,0,20,0,0,18,0,0,2,6,0,8,9,20,BHeadrick
6304,14,0,0,0,1,1,0,0,0,20,0,0,22,0,0,2,6,0,10,11,13,JLoaisiga
2835,10,0,0,0,1,1,0,0,0,20,0,0,20,0,0,3,10,0,11,12,16,TMatzek
6394,19,0,0,0,1,1,0,0,0,20,0,0,21,0,0,3,7,0,11,12,19,TRainey
