Name,Team,W,L,QS,ERA,G,GS,SV,HLD,IP,TBF,H,R,ER,HR,BB,IBB,HBP,SO,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,AVG,WHIP,BABIP,LOB%,GB%,HR/FB,FIP,WAR,RA9-WAR,ADP,InterSD,InterSK,IntraSD,PlayerId
"T.J. Zeuch","WSN",3,5,,5.66618,16,14,0,0,68.3,312,81,46,43,11,28,0,3,42,5.53441,3.6896,1.5,1.44949,0.134615,0.0897436,0.044871799647808075,0.288256,1.5959,0.307018,0.673077,,,5.48052,0.175739,-0.0909055,999,,,,"19269"
"Hunter Stratton","PIT",3,4,,4.55312,47,2,0,11,59.3,264,55,32,30,8,31,0,4,62,9.40978,4.70489,2,1.21417,0.234848,0.117424,0.11742424219846725,0.240175,1.45025,0.295597,0.721925,,,4.68843,0.17506,0.225548,999,,,,"23455"
"Grant Hartwig","NYM",5,7,,4.57627,46,0,0,1,59,263,55,32,30,6,29,1,6,59,9,4.42373,2.03448,0.915254,0.224335,0.110266,0.11406844109296799,0.241228,1.42373,0.300613,0.687831,,,4.35674,0.17372,-0.0966773,999,,,,"29946"
"Paul Campbell","MIA",4,6,,5.08065,16,9,0,0,62,278,68,38,35,10,25,1,3,49,7.1129,3.62903,1.96,1.45161,0.176259,0.0899281,0.08633093535900116,0.272,1.5,0.303665,0.696203,,,5.12601,0.173532,0.192263,999,,,,"22248"
"Michael Tonkin","NYM",4,4,,4.37601,40,0,0,5,61.7,260,56,32,30,9,22,1,4,64,9.33549,3.20908,2.90909,1.3128,0.246154,0.0846154,0.16153845936059952,0.239316,1.26418,0.291925,0.703364,,,4.34094,0.173336,0.0503333,999,,,,"10315"
"Derek Law","WSN",3,5,,4.68,48,3,0,6,50,224,51,28,26,7,23,1,2,47,8.46,4.14,2.04348,1.26,0.209821,0.102679,0.1071428582072258,0.256281,1.48,0.303448,0.716511,,,4.69504,0.169626,0.0970335,999,,,,"13133"
"Yency Almonte","CHC",2,2,,4.3326,44,0,0,7,45.7,196,39,24,22,6,21,1,4,51,10.0438,4.13567,2.42857,1.18162,0.260204,0.107143,0.15306121855974197,0.22807,1.31291,0.289474,0.697674,,,4.37101,0.168459,0.0983936,999,,,,"15068"
"Tommy Romero","SFG",5,7,,4.85346,31,13,0,0,85.3,384,89,50,46,12,42,0,2,71,7.49121,4.43142,1.69048,1.26612,0.184896,0.109375,0.0755208283662796,0.261765,1.53576,0.299611,0.709282,,,4.96665,0.164658,0.194754,999,,,,"23465"
"Connor Curlis","CIN",3,6,,5.7375,22,15,0,0,80,363,86,55,51,15,36,0,6,65,7.3125,4.05,1.80556,1.6875,0.179063,0.0991736,0.07988981157541275,0.267913,1.525,0.294606,0.663366,,,5.64254,0.16435,-0.0385537,999,,,,"sa3006707"
"Russell Smith","MIL",3,4,,4.8474,23,5,0,0,55.7,247,53,32,30,8,27,0,4,51,8.24057,4.36266,1.88889,1.29264,0.206478,0.109312,0.09716598689556122,0.24537,1.43627,0.286624,0.697674,,,4.96061,0.163775,0.209587,999,,,,"sa3018191"
"Daniel Juarez","NYM",3,3,,4.81836,36,2,0,0,52.3,232,50,30,28,6,25,0,3,48,8.26004,4.3021,1.92,1.0325,0.206897,0.107759,0.09913793951272964,0.245098,1.43403,0.293333,0.675676,,,4.51699,0.163436,-0.134452,999,,,,"sa3011139"
"Dugan Darnell","COL",3,5,,5.07042,39,0,0,0,49.7,222,51,30,28,7,21,1,2,46,8.32998,3.80282,2.19048,1.26761,0.207207,0.0945946,0.11261260509490967,0.256281,1.44869,0.30137,0.675241,,,4.62325,0.162721,0.139275,999,,,,"sa3014876"
"Angel Perdomo","ATL",3,3,,4.11899,42,0,0,0,43.7,191,34,22,20,6,25,2,5,62,12.7689,5.14874,2.48,1.2357,0.324607,0.13089,0.19371728599071503,0.21118,1.35011,0.301075,0.731225,,,4.26191,0.161932,0.242061,999,,,,"17759"
"Lincoln Henzman","MIA",2,4,,5.07463,28,9,0,0,60.3,278,70,37,34,8,24,0,4,42,6.26866,3.58209,1.75,1.19403,0.151079,0.0863309,0.06474819779396057,0.28,1.55887,0.31,0.688406,,,4.97975,0.160418,0.0798078,999,,,,"sa3005187"
