Name,Team,G,PA,AB,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,BB%,K%,BB/K,OBP,SLG,wOBA,OPS,ISO,Spd,BABIP,UBR,wSB,wRC,wRAA,wRC+,BsR,Fld,Off,Def,WAR,ADP,InterSD,InterSK,IntraSD,Vol,Skew,Dim,FPTS,FPTS/G,SPTS,SPTS/G,P10,P20,P30,P40,P50,P60,P70,P80,P90,TT10,TT20,TT30,TT40,TT50,TT60,TT70,TT80,TT90,NameASCII,PlayerId,MLBAMID
"Andy Pages","LAD",34,149,134,33,20,7,0,6,19,21,11,0,35,3,1,0,,2,1,0.246722,0.0714916,0.237051,0.301588,0.31208,0.434867,0.32289,0.746947,0.188145,4.46256,0.288844,-0.000744649,-0.199058,18.5943,1.12186,107.011,-0.199803,-0.291902,1.025361880660057,-0.19066768139600754,0.586292,381.8599853515625,,,,,,,170.5,5.014705882,170.5,5.014705882,,,,,,,,,,,,,,,,,,,"Andy Pages","24816",681624
"Seiya Suzuki","CHC",37,160,142,37,22,7,1,7,23,23,15,1,41,1,1,0,,2,1,0.259669,0.0959827,0.259555,0.369797,0.333092,0.470478,0.344789,0.80357,0.210809,5.11113,0.315608,-0.0940262,-0.251335,22.7847,4.03379,123.86,-0.345361,-0.0359705,4.1294310092926025,-3.6915259659290314,0.582159,84.3499984741211,,,,,,,206,5.567567567,206,5.567567567,,,,,,,,,,,,,,,,,,,"Seiya Suzuki","30116",673548
"Luis García Jr.","WSN",33,142,132,35,23,7,1,4,15,15,8,0,23,0,1,0,,4,1,0.267838,0.0557542,0.162561,0.342973,0.308132,0.429649,0.317479,0.73778,0.161811,4.83503,0.293033,-0.0661066,-0.0456148,17.0882,0.447816,102.884,-0.111721,0.0910548,0.3683248311281204,0.5972276628017426,0.575898,127.55999755859375,,,,,,,156.4,4.739393939,156.4,4.739393939,,,,,,,,,,,,,,,,,,,"Luis Garcia Jr.","20391",671277
"Gabriel Moreno","ARI",19,76,68,19,13,4,0,2,9,7,6,0,13,1,1,0,,1,0,0.27608,0.0846789,0.169637,0.499177,0.341852,0.4091,0.328593,0.750952,0.13302,3.88028,0.317566,-0.0810462,-0.0804716,9.86604,0.925436,109.272,-0.161518,1.07109,0.6675796061754227,2.4044257402420044,0.571284,184.36000061035156,,,,,,,91.7,4.826315789,91.7,4.826315789,,,,,,,,,,,,,,,,,,,"Gabriel Moreno","22664",672515
"Bryson Stott","PHI",36,154,139,34,25,7,1,3,18,14,13,0,27,1,1,0,,7,1,0.248634,0.0848075,0.178243,0.475798,0.313959,0.36547,0.299685,0.679429,0.116836,5.92829,0.288561,0.0969492,0.567998,16.3643,-1.73213,88.9201,0.664948,1.20455,-1.3404956459999084,1.7676657438278198,0.562307,172.64999389648438,,,,,,,158.1,4.391666666,158.1,4.391666666,,,,,,,,,,,,,,,,,,,"Bryson Stott","26294",681082
"Lars Nootbaar","STL",27,118,102,25,16,5,0,4,14,14,14,0,25,1,1,0,,2,1,0.248836,0.119635,0.21244,0.563147,0.341548,0.428674,0.33601,0.770222,0.179838,4.02573,0.288413,0.04658,-0.11562,15.933,2.13368,117.764,-0.0690399,0.350427,2.382683463394642,-0.7606844902038574,0.561939,258.2900085449219,,,,,,,136.1,5.04074074,136.1,5.04074074,,,,,,,,,,,,,,,,,,,"Lars Nootbaar","21454",663457
"Drake Baldwin","ATL",24,98,87,23,15,4,0,4,12,13,9,0,21,1,1,0,,0,0,0.261408,0.0942131,0.212069,0.444257,0.335191,0.438739,0.335823,0.77393,0.177331,2.62086,0.301856,-0.00243421,-0.14335,13.2082,1.75599,115.484,-0.145784,-0.260956,1.6277980208396912,0.6185193061828613,0.558827,999,,,,,,,121,5.041666666,121,5.041666666,,,,,,,,,,,,,,,,,,,"Drake Baldwin","31539",686948
"Matt Shaw","CHC",32,138,124,30,19,5,1,4,18,15,12,0,28,2,1,0,,6,1,0.240308,0.0839233,0.202569,0.414294,0.311648,0.401257,0.311204,0.712905,0.160949,6.36606,0.275518,0,0.371158,15.9294,-0.264534,100.718,0.371158,-0.0591111,0.4874880984425545,0.43348149210214615,0.558529,999,,,,,,,152.4,4.7625,152.4,4.7625,,,,,,,,,,,,,,,,,,,"Matt Shaw","33322",807713
"Brendan Donovan","STL",35,150,133,36,26,7,0,3,17,14,13,0,21,3,1,0,,2,1,0.270883,0.0854069,0.141369,0.604142,0.345636,0.393653,0.3262,0.739289,0.122771,3.4722,0.301092,0.0160615,-0.238525,19.1913,1.53625,111.004,-0.222463,-0.697108,1.7206958830356598,-1.2464903593063354,0.554494,248.27000427246094,,,,,,,166.1,4.745714285,166.1,4.745714285,,,,,,,,,,,,,,,,,,,"Brendan Donovan","24679",680977
"Heliot Ramos","SFG",34,147,133,34,22,6,1,5,17,17,11,0,38,2,1,0,,2,1,0.255495,0.0733609,0.255593,0.287023,0.317968,0.428252,0.323239,0.74622,0.172757,4.42253,0.315809,-0.0486143,-0.0744826,18.4145,1.15002,110.104,-0.123097,0.527925,1.62156243622303,-1.0475380420684814,0.553557,200.07000732421875,,,,,,,167.5,4.926470588,167.5,4.926470588,,,,,,,,,,,,,,,,,,,"Heliot Ramos","22515",671218
"Jung Hoo Lee","SFG",36,156,141,36,25,8,2,2,20,13,12,0,19,2,1,0,,3,1,0.255864,0.0745026,0.119197,0.625037,0.31732,0.383177,0.306986,0.700497,0.127313,6.08036,0.27851,0,0.0322098,17.4734,-0.831093,98.9041,0.0322098,-0.10957,-0.16842398047447205,0.44721997529268265,0.553025,233.94000244140625,,,,,,,158.9,4.413888888,158.9,4.413888888,,,,,,,,,,,,,,,,,,,"Jung Hoo Lee","33824",808982
"Jake Cronenworth","SDP",36,158,138,32,21,6,1,4,21,16,15,0,31,3,1,0,,1,1,0.23501,0.097803,0.193756,0.504774,0.322848,0.382456,0.311504,0.705304,0.147447,4.77178,0.272184,0.105431,-0.178384,18.2484,-0.264064,102.538,-0.072953,-0.68668,0.39697690308094025,-0.3007235527038574,0.540233,284.07000732421875,,,,,,,155,4.305555555,155,4.305555555,,,,,,,,,,,,,,,,,,,"Jake Cronenworth","18036",630105
"Ramón Laureano","SDP",33,143,129,31,19,6,1,5,18,19,10,0,38,3,1,0,,3,1,0.242946,0.0723891,0.267811,0.270299,0.311913,0.425412,0.320048,0.737325,0.182466,5.11183,0.301164,-0.00889941,-0.0660916,17.6002,0.751763,108.425,-0.0749911,0.533748,1.3447881191968918,-0.8265918493270874,0.535904,626.47998046875,,,,,,,156.6,4.745454545,156.6,4.745454545,,,,,,,,,,,,,,,,,,,"Ramon Laureano","17128",657656
"Ozzie Albies","ATL",39,167,151,37,24,8,1,5,21,20,12,0,27,1,1,0,,3,1,0.247183,0.0745606,0.163064,0.457249,0.30797,0.401602,0.308984,0.709572,0.15442,5.19903,0.270912,0.16882,0.0707001,18.934,-0.618459,96.9911,0.23952,-0.594574,-0.3489074409008026,0.00017911195755004883,0.524319,69.22000122070312,,,,,,,174,4.461538461,174,4.461538461,,,,,,,,,,,,,,,,,,,"Ozzie Albies","16556",645277
"Christian Yelich","MIL",37,162,142,36,24,6,0,5,19,17,18,1,40,1,1,0,,6,1,0.256174,0.109258,0.247974,0.440603,0.341793,0.419425,0.333184,0.761218,0.163251,4.99881,0.318751,0.116466,0.325674,21.5269,2.56294,115.068,0.44214,-0.150727,3.3000833094120026,-3.488690599799156,0.523907,112.05000305175781,,,,,,,189.6,5.124324324,189.6,5.124324324,,,,,,,,,,,,,,,,,,,"Christian Yelich","11477",592885
"Jeff McNeil","NYM",34,149,133,34,24,7,1,3,18,15,12,0,19,3,1,0,,1,0,0.253143,0.0774032,0.126412,0.612311,0.323444,0.372665,0.307651,0.696109,0.119521,4.2902,0.275658,-0.102673,-0.0900486,16.7592,-0.713204,99.9168,-0.192722,0.0673978,-0.20726235583424568,0.40906451642513275,0.52128,446.95001220703125,,,,,,,158.5,4.661764705,158.5,4.661764705,,,,,,,,,,,,,,,,,,,"Jeff McNeil","15362",643446
"Marcell Ozuna","ATL",30,131,115,30,18,5,0,7,18,20,15,1,31,1,1,0,,0,0,0.257995,0.112754,0.238833,0.472102,0.343807,0.480171,0.354365,0.823978,0.222176,2.23507,0.294839,-0.102192,-0.197822,19.7195,4.32713,128.261,-0.300014,0,4.050755620002747,-3.2774691581726074,0.520395,68.76000213623047,,,,,,,181.3,6.043333333,181.3,6.043333333,,,,,,,,,,,,,,,,,,,"Marcell Ozuna","10324",542303
"Ian Happ","CHC",37,160,139,33,20,7,0,5,20,19,19,0,38,1,1,0,,2,1,0.2342,0.116817,0.239905,0.48693,0.327897,0.40343,0.321117,0.731327,0.169229,4.39704,0.283101,0.0173854,-0.0530702,19.7257,0.974784,107.549,-0.0356848,0.0828834,1.3801003471016884,-1.6541536450386047,0.509026,130.16000366210938,,,,,,,174.1,4.705405405,174.1,4.705405405,,,,,,,,,,,,,,,,,,,"Ian Happ","17919",664023
"Matt McLain","CIN",33,143,127,29,19,6,1,4,16,14,14,0,39,2,1,0,,5,1,0.230518,0.095068,0.274667,0.346121,0.312576,0.383993,0.306931,0.696569,0.153475,5.50586,0.297318,-0.00647119,0.410713,16.0723,-0.771047,91.0212,0.404241,0.674269,-1.1083692014217377,1.1989608407020569,0.491835,86.18000030517578,,,,,,,150.8,4.569696969,150.8,4.569696969,,,,,,,,,,,,,,,,,,,"Matt McLain","29695",680574
"Nick Gonzales","PIT",34,149,135,34,23,7,1,3,17,14,10,0,34,2,1,0,,1,1,0.252935,0.0664042,0.228367,0.290778,0.310955,0.389854,0.306077,0.700809,0.136919,4.72986,0.314389,0.0716018,-0.20718,16.5504,-0.901739,93.436,-0.135578,0.587913,-1.281349003314972,1.1434686183929443,0.485806,408.55999755859375,,,,,,,144.7,4.255882352,144.7,4.255882352,,,,,,,,,,,,,,,,,,,"Nick Gonzales","27490",693304
"Iván Herrera","STL",32,138,120,32,21,6,0,4,16,15,15,0,30,2,1,0,,2,1,0.265186,0.106788,0.218396,0.488964,0.351175,0.42357,0.339097,0.774745,0.158384,3.97303,0.319033,0.111238,-0.0115681,18.9879,2.84033,119.891,0.09967,-0.080163,3.3121719881892204,-3.1171998530626297,0.483005,225.9600067138672,,,,,,,166.2,5.19375,166.2,5.19375,,,,,,,,,,,,,,,,,,,"Ivan Herrera","20599",671056
"Cedric Mullins","NYM",30,129,115,26,17,5,1,4,16,15,12,0,28,1,1,0,,6,2,0.228302,0.0905053,0.216548,0.417946,0.303786,0.379512,0.300256,0.683299,0.15121,6.21214,0.268384,0.0281625,0.384118,13.7907,-1.39371,94.821,0.412281,0.325826,-0.37425971031188965,0.6864738464355469,0.467074,211.2100067138672,,,,,,,133.2,4.44,133.2,4.44,,,,,,,,,,,,,,,,,,,"Cedric Mullins","17929",656775
"Nolan Arenado","STL",26,111,101,26,17,5,0,3,12,12,8,0,15,1,1,0,,1,0,0.253363,0.0689988,0.139687,0.493954,0.308435,0.406029,0.310779,0.714464,0.152666,3.01796,0.268251,-0.0384,-0.13042,12.7375,-0.250146,100.379,-0.16882,0.643148,-0.11962807178497314,0.9888268411159515,0.461356,222.5399932861328,,,,,,,116.2,4.469230769,116.2,4.469230769,,,,,,,,,,,,,,,,,,,"Nolan Arenado","9777",571448
"Brandon Marsh","PHI",27,119,105,26,17,5,1,3,16,13,11,0,35,1,1,0,,3,1,0.249885,0.0967071,0.292967,0.330095,0.324646,0.401262,0.317467,0.725908,0.151377,5.90029,0.339163,0.0891153,0.103988,14.3102,0.373899,101.172,0.193103,0.547778,0.35652150213718414,0.21243828535079956,0.457693,309.3299865722656,,,,,,,127.9,4.737037037,127.9,4.737037037,,,,,,,,,,,,,,,,,,,"Brandon Marsh","20202",669016
"Brett Baty","NYM",22,96,86,21,13,4,0,4,12,13,8,0,24,1,1,0,,1,0,0.244528,0.0852393,0.254419,0.335035,0.313135,0.425184,0.320155,0.738319,0.180656,3.67876,0.294404,0.00563564,-0.07029,11.7417,0.50945,108.533,-0.0646543,0.0151625,0.8939359858632088,0.35682920180261135,0.450263,465.25,,,,,,,109.7,4.986363636,109.7,4.986363636,,,,,,,,,,,,,,,,,,,"Brett Baty","26123",683146
