Name,Team,W,L,QS,ERA,G,GS,SV,HLD,IP,TBF,H,R,ER,HR,BB,IBB,HBP,SO,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,AVG,WHIP,BABIP,LOB%,GB%,HR/FB,FIP,WAR,RA9-WAR,ADP,InterSD,InterSK,IntraSD,PlayerId
"Robert Garcia","WSN",3,3,,4.42498,61,0,0,11,61,268,57,32,30,8,30,,3,63,9.22659,4.45588,2.07065,1.17885,0.233177,0.11261,0.12056650966405869,0.241147,1.42221,0.296131,0.718193,,,4.56337,0.210689,0.17015,999,,,,"23363"
"Tristan Beck","SFG",2,2,,4.42429,17,3,0,1,34,147,35,18,17,4,11,,1,29,7.74627,3.04365,2.54506,1.19691,0.19805,0.0778175,0.12023263424634933,0.258481,1.36287,0.300176,0.706403,,,4.40731,0.205595,0.157145,750.8400268554688,,,,"21584"
"Lucas Sims","CIN",4,5,,4.84293,64,0,2,14,64,278,54,37,34,10,35,,6,74,10.4632,4.93456,2.12039,1.43405,0.267996,0.12639,0.14160576462745667,0.227335,1.38796,0.286863,0.701224,,,4.93476,0.200866,0.0728639,623.1300048828125,,,,"13470"
"Dylan Lee","ATL",3,2,,3.71531,48,0,0,4,48,200,45,21,20,7,13,,1,50,9.43063,2.4563,3.83937,1.2255,0.251076,0.0653951,0.18568098545074463,0.239643,1.20353,0.294314,0.754666,,,3.7999,0.189837,0.262122,750.8300170898438,,,,"19996"
"Kyle Nelson","ARI",4,4,,4.07093,58,0,0,10,58,250,54,28,26,8,24,,3,60,9.35268,3.68664,2.53691,1.20136,0.240743,0.094896,0.14584672451019287,0.240348,1.33607,0.295668,0.73627,,,4.29792,0.187831,0.278758,750.6099853515625,,,,"20515"
"Huascar Ynoa","ATL",3,2,,4.06875,35,2,0,1,41,178,38,20,19,5,16,,2,44,9.55387,3.41508,2.79756,1.10697,0.247732,0.0885529,0.15917890518903732,0.239522,1.30482,0.299521,0.718582,,,3.9959,0.187721,0.176199,737.8400268554688,,,,"20468"
"Miguel Castro","ARI",4,4,,4.0999,62,0,1,12,62,267,56,31,28,7,28,,4,64,9.28456,4.00514,2.31816,1.05406,0.239521,0.103324,0.13619734346866608,0.238308,1.35079,0.297369,0.723519,,,4.23283,0.187178,0.338229,747.0800170898438,,,,"15684"
"Michael McGreevy","STL",1,1,,4.3756,9,3,0,1,23,101,25,12,11,3,7,,1,15,5.62544,2.59331,2.16921,1.12615,0.14567,0.0671535,0.07851672172546387,0.270695,1.36587,0.294817,0.705297,,,4.56023,0.179809,0.196688,999,,,,"sa3017598"
"Mitchell Parker","WSN",2,2,,4.84463,15,5,0,1,34,154,34,20,19,5,18,,1,30,7.945,4.59041,1.73078,1.30309,0.19753,0.114128,0.08340231329202652,0.252227,1.50053,0.291681,0.709375,,,4.9981,0.176602,0.172091,999,,,,"sa3014973"
"Brent Suter","CIN",3,4,,4.64249,70,0,1,13,70,306,73,39,36,11,27,,3,58,7.49436,3.46474,2.16304,1.35289,0.190387,0.0880182,0.10236853361129761,0.264268,1.42911,0.301147,0.712768,,,4.81189,0.171116,0.193879,750.7999877929688,,,,"13942"
"Víctor Arano","WSN",1,1,,4.04612,28,0,0,0,28,120,26,13,13,3,11,,2,28,9.07678,3.41397,2.65872,1.06246,0.234472,0.08819,0.1462821587920189,0.240891,1.30823,0.297067,0.723516,,,4.10819,0.169941,0.25611,999,,,,"15915"
"Cade Horton","CHC",1,1,,4.55703,3,3,0,0,16,67,15,9,8,2,6,,0,14,7.74832,3.16041,2.45169,1.31821,0.201943,0.0823692,0.11957423388957977,0.252851,1.3332,0.290485,0.701088,,,4.57524,0.168692,0.137547,999,,,,"sa3020860"
"Bryan Hudson","MIL",3,3,,4.00225,57,0,0,5,57,247,51,27,25,7,26,,3,62,9.80537,4.04437,2.42445,1.1085,0.251819,0.103867,0.14795277267694473,0.234277,1.34637,0.295791,0.737532,,,4.1702,0.16151,0.195309,999,,,,"19924"
"Ryan Thompson","ARI",4,3,,4.12325,60,0,0,12,60,256,60,30,27,7,20,,3,51,7.63966,3.03269,2.51911,1.09114,0.198719,0.0788849,0.1198345422744751,0.256867,1.33566,0.300716,0.715743,,,4.28432,0.157641,0.253758,740.5399780273438,,,,"16647"
"Jordan Weems","WSN",3,3,,4.56631,62,0,0,12,62,269,57,34,31,9,29,,3,63,9.15917,4.186,2.18805,1.28881,0.234791,0.107306,0.12748493999242783,0.240507,1.38487,0.29157,0.70667,,,4.61185,0.157368,0.0797125,999,,,,"13190"
"Carmen Mlodzinski","PIT",4,4,,4.30285,61,0,0,12,61,266,59,32,29,7,25,,2,54,7.99254,3.74205,2.13587,1.08159,0.203974,0.0954993,0.10847488045692444,0.249368,1.3895,0.294681,0.714262,,,4.38842,0.148484,0.200814,999,,,,"27572"
"Kolby Allard","PHI",2,2,,4.68413,26,2,0,1,33,140,32,18,17,5,11,,1,31,8.4579,3.10433,2.72455,1.45889,0.218771,0.0802962,0.13847465813159943,0.251099,1.32925,0.291756,0.697441,,,4.60959,0.145733,0.0934078,999,,,,"18694"
"Luke Little","CHC",3,2,,3.80355,48,0,0,4,48,207,39,22,20,5,25,,3,59,11.0238,4.70264,2.34417,0.984056,0.284063,0.121178,0.1628844439983368,0.215993,1.32808,0.290652,0.740018,,,3.97373,0.14332,0.200178,749.6900024414062,,,,"28036"
"Slade Cecconi","ARI",2,2,,4.20647,23,2,0,1,30,127,30,15,14,4,8,,2,25,7.50626,2.2909,3.27655,1.21772,0.196333,0.0599208,0.13641267642378807,0.255772,1.26036,0.293781,0.706391,,,4.29259,0.142056,0.199552,747.8599853515625,,,,"27500"
"Ty Blach","COL",1,2,,5.5227,15,3,0,1,30,135,37,20,18,5,9,,1,19,5.76509,2.53923,2.27041,1.4991,0.142942,0.0629588,0.07998357713222504,0.294944,1.50883,0.316273,0.667807,,,5.10591,0.137494,0.130018,999,,,,"14361"
"Jalen Beeks","COL",2,3,,4.69829,60,0,0,9,60,266,64,34,31,9,23,,3,55,8.29252,3.47675,2.38514,1.30264,0.207591,0.0870352,0.12055560946464539,0.265906,1.44957,0.313221,0.710501,,,4.61339,0.136246,0.261769,999,,,,"17192"
"Buck Farmer","CIN",3,4,,4.87875,61,0,0,10,61,267,58,36,33,10,28,,3,64,9.41061,4.16169,2.26125,1.51377,0.238594,0.105514,0.13307973742485046,0.243998,1.40717,0.292141,0.702454,,,4.8817,0.13325,-0.0262157,750.9199829101562,,,,"14814"
"Dylan Floro","WSN",4,4,,4.52704,58,0,0,10,58,252,60,31,29,8,20,,2,50,7.80107,3.10529,2.51219,1.21131,0.199304,0.0793347,0.11996882408857346,0.261,1.38283,0.303613,0.703824,,,4.38964,0.128915,0.0963558,744.47998046875,,,,"13394"
"Pedro Avila","SDP",3,3,,4.35087,43,3,0,1,56,247,53,30,27,7,25,,4,51,8.18523,3.9468,2.07389,1.12339,0.208026,0.100307,0.1077190414071083,0.244756,1.38466,0.29008,0.711563,,,4.57764,0.127304,0.0698011,745.0800170898438,,,,"18864"
"Tom Cosgrove","SDP",2,2,,4.08956,56,0,0,9,56,240,49,27,25,7,25,,4,56,9.04704,3.95164,2.28944,1.18259,0.234403,0.102384,0.13201864063739777,0.233563,1.32274,0.284218,0.730416,,,4.46785,0.126555,0.147471,750.75,,,,"23443"
"Andre Pallante","STL",3,2,,4.00922,60,0,1,11,60,262,62,29,27,5,24,,2,44,6.55165,3.57522,1.83252,0.820658,0.167014,0.0911389,0.07587472349405289,0.263127,1.42993,0.30317,0.724948,,,4.28658,0.119023,0.280782,999,,,,"26108"
"Carlos F. Rodriguez","MIL",1,1,,4.75708,3,3,0,0,17,74,16,10,9,3,7,,1,16,8.4288,3.85397,2.18705,1.439,0.213779,0.0977478,0.11603101342916489,0.244906,1.3792,0.283888,0.702674,,,4.9539,0.118791,0.10894,999,,,,"sa3018116"
"Noah Davis","COL",2,3,,5.98863,14,6,0,1,40,185,45,29,27,7,19,,4,30,6.62843,4.24307,1.56218,1.58294,0.159781,0.102281,0.05750028043985367,0.279854,1.59884,0.305351,0.655809,,,5.81121,0.109358,0.0967259,999,,,,"25862"
"Tyler Rogers","SFG",3,4,,4.12965,64,0,3,12,64,273,67,32,29,7,17,,4,48,6.72975,2.38675,2.81963,1.05145,0.175524,0.0622506,0.11327313259243965,0.26515,1.30975,0.301709,0.710931,,,4.24016,0.107652,0.241483,695.4600219726562,,,,"15541"
"Andrew Saalfrank","ARI",3,3,,3.87331,50,0,0,4,50,217,45,23,22,5,24,,2,51,9.23102,4.40489,2.09563,0.857363,0.235868,0.112552,0.12331572920084,0.237479,1.39725,0.300746,0.736131,,,4.01943,0.107421,0.218727,999,,,,"26203"
"Ian Gibaut","CIN",3,4,,4.60366,54,0,0,4,54,237,53,30,28,8,23,,3,55,9.13691,3.78501,2.41397,1.33373,0.231544,0.095918,0.13562559336423874,0.248499,1.39405,0.299664,0.70826,,,4.55224,0.0989533,0.0602401,750.260009765625,,,,"17871"
"Mick Abel","PHI",2,3,,5.17419,24,5,0,1,44,197,43,27,25,7,23,,3,40,8.11577,4.71891,1.71984,1.43219,0.200996,0.116869,0.0841270163655281,0.25294,1.50996,0.291451,0.694274,,,5.28939,0.0985227,0.10319,999,,,,"sa3014534"
"Christian Scott","NYM",0,0,,4.32876,2,2,0,0,8,34,8,4,4,1,2,,0,7,8.1256,2.57541,3.15507,1.2728,0.211305,0.0669731,0.1443314477801323,0.249114,1.26408,0.290318,0.699731,,,4.32921,0.0981916,0.0966622,999,,,,"sa3017948"
"Hunter Stratton","PIT",3,4,,4.42389,60,0,0,11,60,265,55,32,29,8,30,,4,61,9.21567,4.48929,2.05281,1.18408,0.232123,0.113076,0.11904752999544144,0.239221,1.42066,0.292912,0.723536,,,4.59065,0.0967763,0.1093,999,,,,"23455"
"Hurston Waldrep","ATL",1,1,,4.33974,19,2,0,1,25,108,23,13,12,3,12,,1,26,9.27005,4.28245,2.16466,1.17862,0.236189,0.109111,0.1270778328180313,0.245121,1.41893,0.302301,0.724217,,,4.43772,0.0956672,0.128457,999,,,,"sa3022942"
"Bryce Jarvis","ARI",3,3,,4.45268,46,2,0,1,53,232,53,28,26,7,22,,2,46,7.78285,3.81617,2.03944,1.11883,0.197451,0.0968159,0.1006346270442009,0.255045,1.42279,0.298758,0.71336,,,4.53238,0.0951124,0.110929,999,,,,"27477"
"Nick Nelson","PHI",1,2,,4.94862,25,2,0,1,31,139,33,18,17,4,13,,2,24,6.96777,3.88992,1.79124,1.1964,0.173815,0.0970361,0.0767785981297493,0.264146,1.47893,0.29906,0.685645,,,4.90925,0.093391,-0.0151327,999,,,,"20153"
"Lyon Richardson","CIN",1,1,,4.96981,12,2,0,1,18,79,17,11,10,3,9,,1,18,9.08289,4.51557,2.01146,1.41316,0.227154,0.11293,0.11422399431467056,0.248446,1.46758,0.297219,0.699562,,,4.94373,0.0898909,0.0425461,999,,,,"24581"
"Roansy Contreras","PIT",2,3,,4.21571,54,0,0,7,54,230,51,27,25,7,19,,2,53,8.77078,3.13161,2.80072,1.14262,0.229085,0.0817949,0.14729012548923492,0.241659,1.28383,0.2919,0.704015,,,4.10042,0.0877304,0.0675151,685,,,,"22810"
"Janson Junk","MIL",2,2,,4.6949,30,2,0,1,37,159,40,21,19,6,10,,1,26,6.28946,2.52969,2.48625,1.44465,0.161473,0.0649462,0.096526600420475,0.269312,1.36263,0.291778,0.70451,,,4.87968,0.0843949,0.0550084,999,,,,"23301"
"Bryan Hoeing","MIA",2,2,,4.56771,34,2,0,1,41,179,45,23,21,5,12,,2,30,6.58501,2.60401,2.5288,1.16548,0.1681,0.0664742,0.10162555426359177,0.272222,1.38247,0.305487,0.694197,,,4.48609,0.0840955,0.0651409,999,,,,"26304"
"Yunior Marte","PHI",2,2,,4.44977,48,0,0,1,48,210,46,25,24,6,20,,2,47,8.88473,3.79398,2.34179,1.18842,0.226094,0.0965475,0.12954683601856232,0.246192,1.38048,0.297889,0.710311,,,4.41101,0.0828771,0.0317752,999,,,,"14416"
"Keynan Middleton","STL",2,2,,3.83715,52,0,0,7,52,220,46,24,22,7,21,,2,56,9.68777,3.56152,2.72012,1.13165,0.254961,0.0937315,0.16122936457395554,0.232181,1.27694,0.291326,0.73718,,,4.01635,0.0813456,0.104258,750.5599975585938,,,,"15264"
"Blake Treinen","LAD",4,3,,4.08688,55,0,0,7,55,232,51,27,25,7,20,,3,54,8.91131,3.26077,2.73289,1.19635,0.234247,0.085714,0.14853286743164062,0.243686,1.29273,0.295911,0.720813,,,4.22919,0.0810546,0.0521498,727.7100219726562,,,,"12572"
"Mike Vasil","NYM",0,0,,4.49003,2,2,0,0,8,36,8,4,4,1,3,,0,8,8.1674,3.2304,2.52829,1.32336,0.210147,0.0831181,0.1270289421081543,0.250095,1.34045,0.290753,0.710193,,,4.53291,0.0802538,0.0966718,999,,,,"sa3017915"
"Drew Smith","NYM",4,4,,4.36466,62,0,0,13,62,266,56,32,30,10,26,,3,65,9.37126,3.83103,2.44615,1.38339,0.242536,0.0991499,0.1433856263756752,0.237695,1.3327,0.287419,0.727786,,,4.60252,0.0776829,0.0127144,999,,,,"17755"
"Cristian Mena","ARI",1,1,,4.38527,12,2,0,1,18,81,18,10,9,2,8,,1,16,7.97432,3.77867,2.11035,1.1599,0.202633,0.0960189,0.10661433637142181,0.253185,1.41135,0.297334,0.719382,,,4.52788,0.0766019,0.135051,749.9099731445312,,,,"sa3015302"
"Nick Robertson","STL",2,2,,3.80916,38,0,0,1,38,161,34,17,16,4,14,,2,38,9.04127,3.26655,2.76784,1.04775,0.236623,0.0854902,0.15113256126642227,0.235261,1.267,0.289385,0.730795,,,3.96757,0.0758625,0.0925531,999,,,,"26226"
"Michael Tonkin","NYM",3,3,,4.21638,55,0,0,5,55,233,50,28,26,8,19,,3,56,9.21896,3.14665,2.92977,1.2769,0.241997,0.0825991,0.15939761698246002,0.239438,1.26598,0.291058,0.716433,,,4.26792,0.074429,0.00988913,999,,,,"10315"
"Luis F. Ortiz","PHI",3,2,,4.53445,55,0,0,4,55,238,56,30,28,7,17,,3,46,7.46628,2.79765,2.66877,1.21708,0.19205,0.0719622,0.12008808553218842,0.258702,1.33295,0.297004,0.687054,,,4.46012,0.0722589,0.0182374,750.739990234375,,,,"16942"
"Jorge López","NYM",3,4,,4.29126,59,0,0,10,59,257,57,31,28,7,22,,5,57,8.74064,3.35685,2.60382,1.12296,0.222584,0.0854837,0.1371004283428192,0.247032,1.3384,0.298937,0.705515,,,4.30018,0.0696716,-0.0401727,746.0599975585938,,,,"14527"
"Yency Almonte","CHC",2,2,,4.2062,52,0,0,7,52,224,46,26,24,7,23,,4,56,9.61115,3.9356,2.4421,1.13631,0.248266,0.101661,0.1466054990887642,0.234296,1.32582,0.293388,0.712329,,,4.28787,0.0690374,0.0507437,999,,,,"15068"
"Thyago Vieira","MIL",3,3,,4.07864,55,0,0,1,55,233,49,27,25,8,20,,3,61,9.9968,3.30415,3.02552,1.2715,0.262296,0.0866943,0.17560142278671265,0.232739,1.25327,0.291485,0.719127,,,4.15205,0.0674621,0.0698212,999,,,,"14510"
"Carson Spiers","CIN",1,2,,5.25585,24,2,0,1,31,139,33,20,18,5,13,,2,26,7.63596,3.70755,2.05957,1.53378,0.190654,0.0925698,0.09808435291051865,0.263517,1.45764,0.296768,0.680175,,,5.2195,0.0668865,-0.0171288,748.3099975585938,,,,"27685"
"Joe Mantiply","ARI",3,3,,3.9188,54,0,0,7,54,231,55,26,24,6,16,,2,46,7.73075,2.58795,2.98721,1.04501,0.200927,0.0672623,0.1336645558476448,0.260128,1.3143,0.306405,0.72807,,,4.03037,0.0650685,0.0925576,999,,,,"14857"
"DJ Herz","WSN",1,1,,4.70295,19,2,0,1,25,112,22,14,13,3,15,,2,26,9.44969,5.50126,1.71773,1.15124,0.234066,0.136264,0.09780147671699524,0.23257,1.49446,0.288311,0.709757,,,4.88256,0.0644838,0.105963,750.52001953125,,,,"sa3011680"
"Gordon Graceffo","STL",0,1,,4.67934,2,2,0,0,9,37,9,5,4,1,3,,0,6,6.42683,3.18965,2.0149,1.2884,0.165128,0.0819533,0.08317460864782333,0.260695,1.37903,0.286833,0.695744,,,4.87022,0.0643853,0.0778355,999,,,,"sa3016849"
"José Buttó","NYM",2,2,,4.64436,23,2,0,1,30,130,29,16,15,4,12,,2,26,7.89829,3.56746,2.21398,1.28992,0.200135,0.090396,0.10973922908306122,0.253595,1.393,0.293324,0.702639,,,4.72816,0.0624132,0.0148111,691.3200073242188,,,,"23313"
"Landen Roupp","SFG",3,3,,3.99782,54,0,0,7,54,229,50,26,24,6,19,,2,52,8.6572,3.24435,2.66839,1.04521,0.226492,0.0848797,0.14161276072263718,0.241766,1.2918,0.293854,0.717557,,,4.02549,0.0612561,0.0468856,999,,,,"sa3017869"
"Jose Hernandez","PIT",2,2,,4.14682,38,0,0,1,38,165,34,19,18,5,18,,2,41,9.73513,4.1519,2.34474,1.17004,0.248362,0.105923,0.1424390748143196,0.234688,1.36563,0.293126,0.732972,,,4.28789,0.060897,0.0473153,999,,,,"22318"
"Robby Snelling","SDP",1,1,,4.58213,2,2,0,0,8,36,8,5,4,1,3,,0,7,7.21166,3.63495,1.98398,1.28764,0.184552,0.0930214,0.09153076261281967,0.25309,1.39379,0.285426,0.708274,,,4.80406,0.0607159,-0.00272928,999,,,,"sa3020707"
"Sam Moll","CIN",3,3,,4.46433,60,0,0,7,60,260,54,32,30,8,28,,5,63,9.37804,4.22548,2.2194,1.26032,0.240272,0.10826,0.13201193511486053,0.239369,1.37687,0.294152,0.71406,,,4.62983,0.06023,0.0627252,999,,,,"14874"
"Elvis Peguero","MIL",3,4,,4.18496,60,0,0,7,60,259,57,30,28,7,23,,3,57,8.53627,3.41287,2.5012,1.10228,0.219759,0.0878614,0.13189756125211716,0.244473,1.32773,0.29408,0.714753,,,4.2586,0.0591799,0.060397,999,,,,"21652"
"Justin Wilson","CIN",3,3,,4.73179,52,0,0,1,52,226,53,30,27,8,20,,1,50,8.65564,3.43082,2.52291,1.4275,0.221714,0.0878803,0.13383348286151886,0.256816,1.39191,0.302678,0.701517,,,4.60007,0.0590281,-0.00888902,999,,,,"4301"
"Anthony Maldonado","MIA",3,2,,3.97813,35,0,3,1,35,149,32,17,15,5,13,,2,38,9.75967,3.2885,2.96782,1.17254,0.254137,0.0856311,0.1685062125325203,0.236797,1.27631,0.296579,0.72861,,,4.04043,0.0589021,0.0540226,999,,,,"sa1169893"
"Sem Robberse","STL",0,1,,4.76047,2,2,0,0,9,38,9,5,5,1,3,,0,6,6.48738,3.58722,1.80847,1.2788,0.163712,0.0905248,0.0731867328286171,0.263622,1.44267,0.291189,0.700974,,,4.98777,0.0530953,0.0778482,999,,,,"sa3011735"
"David Buchanan","PHI",0,1,,5.36222,2,2,0,0,10,42,11,6,6,2,3,,0,7,6.15437,2.37644,2.58974,1.70616,0.155624,0.0600925,0.09553157910704613,0.287603,1.44211,0.306723,0.678941,,,5.24556,0.0526314,0.0575048,999,,,,"11176"
"Woo-Suk Go","SDP",4,4,,3.94215,44,0,0,1,44,189,37,21,19,6,21,,3,53,10.8763,4.2096,2.58368,1.21502,0.281295,0.108874,0.17242144793272018,0.22084,1.29872,0.287673,0.741089,,,4.19295,0.0521959,0.0397983,638.8599853515625,,,,"sa3012630"
"Wandy Peralta","SDP",3,3,,3.87603,62,0,2,12,62,265,55,29,27,7,28,,3,60,8.75547,4.1049,2.13293,1.08504,0.227671,0.106741,0.12093010544776917,0.23589,1.344,0.287323,0.743556,,,4.40342,0.0510828,0.346099,723.2899780273438,,,,"14295"
"J.B. Bukauskas","MIL",3,3,,4.08965,46,0,0,1,46,197,44,23,21,6,16,,2,43,8.45419,3.07703,2.74752,1.15482,0.219392,0.0798509,0.1395411565899849,0.248083,1.3087,0.296347,0.720959,,,4.19796,0.0499422,0.0463892,999,,,,"20491"
"Jose Cuas","CHC",3,3,,4.25376,56,0,0,10,56,246,52,29,26,7,25,,5,57,9.21166,4.01172,2.29619,1.13317,0.233318,0.101611,0.13170694559812546,0.242436,1.38125,0.298817,0.723807,,,4.42893,0.0489062,0.107193,999,,,,"17701"
"Matt Barnes","WSN",2,3,,4.94275,46,0,0,4,46,204,44,27,25,6,22,,2,46,8.91953,4.33952,2.05542,1.23875,0.223228,0.108605,0.11462346464395523,0.246267,1.44373,0.296819,0.677939,,,4.66761,0.0485586,-0.0722368,747.3200073242188,,,,"12863"
"Connor Brogdon","PHI",3,3,,4.4188,60,0,0,7,60,258,56,32,29,9,24,,2,61,9.19489,3.63968,2.52629,1.34505,0.237713,0.0940958,0.14361736178398132,0.242288,1.33841,0.292327,0.719817,,,4.48337,0.0468355,0.0174046,999,,,,"21205"
"Jeff Criswell","COL",0,1,,5.5973,2,2,0,0,8,38,9,6,5,2,4,,0,7,7.07148,3.91366,1.80687,1.59278,0.174868,0.0967797,0.07808859646320343,0.273534,1.5342,0.301788,0.677366,,,5.40672,0.0461658,0.00892217,999,,,,"sa3014435"
"Dustin May","LAD",1,1,,3.61806,17,0,0,1,17,70,14,7,7,2,6,,1,18,9.70662,2.9186,3.32578,1.07253,0.261874,0.0787407,0.1831337735056877,0.22745,1.17384,0.287843,0.731882,,,3.79714,0.0450713,0.0576369,691.47998046875,,,,"19716"
"Nick Mears","COL",3,4,,5.1149,62,0,0,11,62,280,60,38,35,9,36,,3,66,9.51465,5.2675,1.80629,1.37902,0.234052,0.129576,0.10447593033313751,0.250282,1.55733,0.306284,0.703894,,,5.03171,0.0421936,0.12459,999,,,,"25376"
"Alex Young","CIN",2,2,,4.70683,38,0,0,1,38,165,38,22,20,6,14,,1,37,8.672,3.41659,2.53821,1.49015,0.221499,0.087266,0.13423313200473785,0.257049,1.39051,0.301517,0.709776,,,4.73278,0.0418317,-0.0106317,999,,,,"18333"
"Jesse Chavez","ATL",2,2,,4.29984,44,0,0,1,44,191,44,23,21,7,16,,1,45,9.17605,3.24748,2.82559,1.342,0.234365,0.0829438,0.15142151713371277,0.252837,1.36142,0.305323,0.730197,,,4.33293,0.0391712,0.0199258,750.0399780273438,,,,"5448"
"Luke Jackson","SFG",3,3,,4.09914,62,0,1,12,62,268,58,31,28,8,27,,3,65,9.36817,3.90381,2.39975,1.17606,0.240827,0.100355,0.14047212898731232,0.245078,1.37573,0.303632,0.736344,,,4.30796,0.0380025,0.155836,749.8300170898438,,,,"11752"
"Braxton Ashcraft","PIT",1,1,,4.22276,33,0,0,1,33,142,33,17,15,4,10,,1,28,7.74144,2.76046,2.8044,1.16265,0.200237,0.0714011,0.12883587926626205,0.252132,1.30107,0.292837,0.713035,,,4.26992,0.0376527,0.0264982,999,,,,"sa3008470"
"Drew Rom","STL",2,2,,3.92572,33,0,0,1,33,141,31,16,14,4,12,,2,30,8.21663,3.22899,2.54464,1.03691,0.213289,0.0838189,0.12947003543376923,0.245665,1.30907,0.294034,0.727728,,,4.16326,0.0372407,0.0422102,999,,,,"24602"
"Ryan Fernandez","STL",3,3,,4.07812,45,0,0,1,45,192,44,22,20,6,15,,1,39,7.80743,3.01278,2.59144,1.2103,0.202943,0.078313,0.1246301531791687,0.252261,1.3214,0.292917,0.732279,,,4.35825,0.0339832,0.0526322,999,,,,"sa3007996"
"Ray Kerr","ATL",2,2,,4.10218,38,0,0,1,38,167,34,19,17,5,19,,2,44,10.4245,4.5206,2.30599,1.12059,0.263519,0.114276,0.14924301952123642,0.235053,1.40607,0.304138,0.742187,,,4.20831,0.0325716,0.0438404,999,,,,"23809"
"Daulton Jefferies","SFG",3,3,,4.41538,58,0,0,10,58,249,62,31,28,8,14,,3,45,6.91329,2.11586,3.26736,1.20458,0.179072,0.0548063,0.12426577135920525,0.265815,1.30013,0.299931,0.695655,,,4.30739,0.031544,-0.0534411,749.2000122070312,,,,"19345"
"José Ruiz","PHI",1,2,,4.59384,38,0,0,1,38,166,36,21,19,6,17,,1,39,9.25777,4.03247,2.29581,1.35079,0.234865,0.102302,0.13256295770406723,0.245952,1.40584,0.297444,0.714319,,,4.60547,0.0308497,-0.0109325,999,,,,"14552"
"Jay Groome","SDP",1,1,,4.86072,8,2,0,1,15,65,14,8,8,2,8,,1,12,7.60345,4.72834,1.60806,1.24258,0.188765,0.117387,0.071378193795681,0.249048,1.49657,0.285638,0.701179,,,5.08795,0.0305295,0.0291252,999,,,,"sa917925"
"Luis Frías","ARI",2,2,,4.15738,40,0,0,1,40,174,37,20,18,5,18,,1,40,9.06088,4.07133,2.22554,1.04519,0.231955,0.104224,0.1277306228876114,0.242729,1.38973,0.299842,0.724135,,,4.18693,0.0303757,0.0463919,999,,,,"21997"
"Josh Fleming","PIT",2,3,,4.4554,48,0,0,4,48,211,55,26,24,5,14,,1,28,5.26989,2.55267,2.06446,0.976634,0.133261,0.0645501,0.06871110200881958,0.281709,1.43315,0.307401,0.695536,,,4.43491,0.0303481,0.0234458,999,,,,"20418"
"Richard Lovelady","CHC",1,1,,4.09292,18,0,0,1,18,77,17,9,8,2,7,,1,17,8.6258,3.45227,2.49859,1.02388,0.223704,0.0895323,0.13417206704616547,0.24115,1.30954,0.293469,0.712041,,,4.15093,0.030159,0.0175072,999,,,,"19337"
"Taylor Clarke","MIL",2,2,,4.34401,32,0,0,1,32,138,31,17,15,5,11,,1,33,9.33733,3.11218,3.00025,1.473,0.241441,0.0804735,0.16096732765436172,0.244536,1.30293,0.292476,0.732409,,,4.45667,0.0294237,0.00287061,750.8400268554688,,,,"17611"
"Daniel Palencia","CHC",2,2,,4.39172,44,0,0,1,44,193,39,23,21,6,22,,3,47,9.56355,4.51909,2.11626,1.19408,0.241715,0.114218,0.12749704718589783,0.233886,1.39643,0.28977,0.721896,,,4.5719,0.0260221,0.0127015,999,,,,"27914"
"Richard Bleier","WSN",1,2,,4.68699,40,0,0,1,40,174,46,23,21,6,9,,2,25,5.64951,2.10676,2.68161,1.2685,0.144062,0.0537223,0.09033992514014244,0.280936,1.37824,0.303636,0.684092,,,4.68586,0.024945,-0.0361937,999,,,,"7803"
"Derek Law","WSN",3,4,,4.57842,52,0,0,6,52,230,53,28,26,7,23,,2,46,8.0327,3.9273,2.04535,1.2185,0.201773,0.0986494,0.103123240172863,0.25703,1.45046,0.301182,0.715698,,,4.66397,0.0249412,0.0108261,999,,,,"13133"
"Nate Lavender","NYM",1,1,,3.92219,16,0,0,1,16,69,13,8,7,2,8,,1,19,10.8686,4.31288,2.52002,1.077,0.279362,0.110857,0.1685052141547203,0.221162,1.31318,0.29232,0.735215,,,4.05117,0.0242517,0.00250425,999,,,,"sa3017917"
"JT Brubaker","PIT",1,1,,4.2157,16,0,0,1,16,69,15,8,7,2,5,,1,16,9.01278,2.92991,3.07613,1.22655,0.23275,0.0756631,0.15708664804697037,0.24642,1.29092,0.298245,0.711301,,,4.17873,0.0232098,0.02011,999,,,,"17578"
"Huascar Brazoban","MIA",1,1,,4.14977,21,0,0,1,21,92,19,10,10,2,10,,1,23,9.72752,4.35361,2.23436,1.0395,0.247263,0.110664,0.13659895211458206,0.23958,1.4032,0.30436,0.729617,,,4.19496,0.0224964,0.0384322,999,,,,"6107"
"Shintaro Fujinami","NYM",3,3,,4.43129,46,0,0,1,46,202,40,24,23,6,25,,3,51,9.97697,4.9052,2.03396,1.08589,0.251958,0.123876,0.1280824840068817,0.228008,1.41075,0.290169,0.710333,,,4.41492,0.0207978,-0.0250225,741.6900024414062,,,,"31839"
"Sean Reid-Foley","NYM",3,3,,4.27437,57,0,0,7,57,251,48,29,27,8,32,,2,72,11.4384,4.98699,2.29365,1.23136,0.289129,0.126056,0.1630723774433136,0.222788,1.4007,0.296698,0.733664,,,4.27902,0.0204224,-0.0100873,999,,,,"17034"
