Name,Team,W,L,QS,ERA,G,GS,SV,HLD,IP,TBF,H,R,ER,HR,BB,IBB,HBP,SO,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,AVG,WHIP,BABIP,LOB%,GB%,HR/FB,FIP,WAR,RA9-WAR,ADP,InterSD,InterSK,IntraSD,PlayerId
"Tylor Megill","NYM",6,7,,4.60034,45,13,0,1,100,437,103,55,51,15,37,,4,88,7.94452,3.33985,2.37871,1.32375,0.201838,0.084852,0.11698633432388306,0.259608,1.3996,0.300625,0.709481,,,4.63661,0.521178,0.349927,416.44000244140625,,,,"21318"
"Emilio Pagán","CIN",3,4,,4.5868,66,0,2,12,66,278,61,36,34,12,24,,2,69,9.44108,3.23793,2.91578,1.61429,0.248989,0.0853936,0.16359519958496094,0.24155,1.2841,0.286714,0.718626,,,4.64799,0.517972,0.371125,657.9199829101562,,,,"14771"
"Joe Jiménez","ATL",4,2,,3.79744,67,0,2,16,67,281,57,30,28,10,22,,4,84,11.2361,3.01225,3.73012,1.33384,0.298003,0.079891,0.21811207383871078,0.225333,1.18907,0.294858,0.747788,,,3.8781,0.514722,0.854652,668.6099853515625,,,,"15761"
"Cade Cavalli","WSN",3,3,,4.40152,20,6,0,1,48,210,45,25,23,6,22,,3,47,8.74782,4.07179,2.1484,1.05219,0.22206,0.103361,0.11869937181472778,0.241654,1.38528,0.294415,0.703554,,,4.38131,0.504086,0.464282,674.6799926757812,,,,"27473"
"Ben Brown","CHC",4,4,,4.14793,38,6,0,1,65,281,59,33,30,8,28,,3,67,9.25386,3.84483,2.40684,1.1383,0.238678,0.0991667,0.1395113542675972,0.237227,1.33774,0.292169,0.722338,,,4.25178,0.503142,0.469632,999,,,,"sa3005122"
"Ryne Nelson","ARI",4,5,,4.53336,45,10,0,1,88,379,90,48,44,13,28,,3,69,7.01646,2.9036,2.41647,1.30269,0.181491,0.075106,0.10638541728258133,0.260758,1.34938,0.292713,0.704207,,,4.65137,0.502737,0.566797,481.0899963378906,,,,"26253"
"Spencer Turnbull","PHI",4,5,,4.93694,44,10,0,1,81,358,83,48,45,12,31,,6,72,7.98451,3.48452,2.29143,1.32161,0.200885,0.0876679,0.11321664601564407,0.258925,1.41103,0.30032,0.678617,,,4.77576,0.500895,0.263693,647.22998046875,,,,"16207"
"Joel Payamps","MIL",4,4,,3.97021,67,0,4,14,67,285,62,32,30,9,23,,3,65,8.79002,3.09504,2.84003,1.21308,0.229982,0.0809786,0.14900312572717667,0.241218,1.27437,0.289768,0.737104,,,4.22184,0.484544,0.582435,361.9800109863281,,,,"14332"
"Jackson Rutledge","WSN",4,6,,5.30546,23,15,0,1,83,373,89,53,49,13,34,,6,59,6.42368,3.71537,1.72895,1.39936,0.159424,0.0922086,0.06721514463424683,0.268104,1.48208,0.292971,0.672779,,,5.31522,0.484253,0.177536,750.22998046875,,,,"26215"
"Abner Uribe","MIL",2,2,,3.59754,63,0,6,10,63,269,47,27,25,6,37,,3,82,11.7619,5.28734,2.22454,0.919246,0.30556,0.137359,0.16820110380649567,0.203745,1.32912,0.28664,0.753282,,,3.87996,0.465326,0.756341,401.5,,,,"25327"
"Joan Adon","WSN",3,4,,4.83396,30,8,0,1,64,282,65,37,34,8,27,,3,53,7.49583,3.80253,1.97127,1.17387,0.188127,0.0954343,0.09269285202026367,0.259318,1.44698,0.299276,0.68734,,,4.71434,0.450876,0.347429,999,,,,"22925"
"Ryan Brasier","LAD",3,2,,4.10855,64,0,1,16,64,265,59,31,29,9,21,,2,60,8.49581,2.91462,2.91489,1.24627,0.22775,0.0781333,0.14961697906255722,0.24365,1.24545,0.290045,0.716319,,,4.25423,0.440682,0.423186,736.0700073242188,,,,"5615"
"Alex Vesia","LAD",4,3,,3.80794,60,0,0,11,60,252,48,27,25,9,25,,3,77,11.4822,3.6971,3.10574,1.31172,0.30362,0.0977611,0.20585916191339493,0.214909,1.21581,0.283643,0.753546,,,3.96649,0.430106,0.362115,737.4199829101562,,,,"25007"
"Brooks Raley","NYM",2,3,,4.15023,64,0,1,15,64,279,58,32,30,8,27,,5,69,9.70276,3.76567,2.57663,1.064,0.247699,0.0961329,0.15156643092632294,0.235446,1.32684,0.296844,0.71141,,,4.11788,0.420665,0.150158,732.6500244140625,,,,"10061"
"Tyler Kinley","COL",3,3,,4.99307,64,0,8,9,64,277,64,38,36,10,25,,2,62,8.75023,3.56325,2.45569,1.46736,0.224384,0.0913733,0.13301094621419907,0.257939,1.40214,0.304869,0.685021,,,4.72593,0.416119,0.398191,461.4800109863281,,,,"18297"
"Orion Kerkering","PHI",4,3,,3.82129,63,0,4,9,63,264,56,29,27,8,21,,2,69,9.89002,2.94667,3.35633,1.16792,0.262245,0.0781344,0.18411078304052353,0.233356,1.21997,0.293808,0.733054,,,3.84058,0.4149,0.418851,418.94000244140625,,,,"31776"
"Aaron Bummer","ATL",5,3,,3.67029,62,0,0,12,62,266,53,28,25,6,28,,4,75,10.8964,4.1057,2.65398,0.900368,0.282064,0.106279,0.1757841259241104,0.226307,1.31045,0.306091,0.738549,,,3.68684,0.413609,0.490758,746.5399780273438,,,,"16258"
"Gregory Soto","PHI",4,4,,4.07705,62,0,2,11,62,266,53,30,28,8,29,,3,74,10.8118,4.1888,2.58112,1.18641,0.280175,0.108548,0.17162732779979706,0.226291,1.31916,0.295914,0.732789,,,4.11105,0.405989,0.461715,602.6799926757812,,,,"19677"
"Matthew Liberatore","STL",5,4,,4.14135,56,5,0,4,76,328,73,38,35,9,29,,4,69,8.15087,3.48533,2.33862,1.10256,0.209643,0.0896438,0.11999933421611786,0.246418,1.34215,0.29238,0.720333,,,4.37094,0.398854,0.52832,674.8499755859375,,,,"22294"
"Germán Márquez","COL",1,2,,4.83363,5,5,0,0,28,119,29,16,15,4,9,,1,24,7.73488,3.05649,2.53064,1.28134,0.199661,0.0788976,0.12076389044523239,0.265299,1.38423,0.307335,0.679792,,,4.48775,0.393562,0.448786,749.47998046875,,,,"15038"
"Fernando Cruz","CIN",3,3,,4.06444,62,0,1,11,62,273,55,30,28,10,27,,4,79,11.5036,3.97897,2.8911,1.39386,0.290657,0.100535,0.1901218220591545,0.22914,1.33286,0.29983,0.759742,,,4.24257,0.388755,0.472368,732.2899780273438,,,,"7048"
"Robbie Ray","SFG",3,2,,4.0627,12,6,0,1,44,185,40,21,20,7,15,,1,48,9.87354,3.1783,3.10655,1.42231,0.257983,0.0830449,0.1749383807182312,0.240102,1.28124,0.295006,0.749289,,,4.27644,0.388133,0.587407,544.0399780273438,,,,"11486"
"Anthony Bender","MIA",3,4,,4.03509,60,0,3,11,60,256,54,29,27,7,23,,4,63,9.45013,3.44397,2.74396,1.02343,0.245816,0.0895841,0.1562313586473465,0.237166,1.28796,0.298327,0.706974,,,3.99655,0.384516,0.415525,647.3099975585938,,,,"19742"
"Zack Thompson","STL",5,5,,4.2714,48,6,0,1,76,332,71,39,36,9,36,,4,71,8.45302,4.31309,1.95985,1.07767,0.213892,0.109137,0.10475514084100723,0.242517,1.41593,0.291413,0.721647,,,4.51935,0.378365,0.493823,599.77001953125,,,,"25918"
"Hayden Wesneski","CHC",3,3,,4.37925,33,5,0,1,54,230,52,28,26,8,19,,2,50,8.36324,3.15342,2.65212,1.26424,0.217694,0.0820832,0.1356111764907837,0.247825,1.31101,0.292233,0.706437,,,4.39974,0.343188,0.282028,618.52001953125,,,,"27581"
"Ryan Walker","SFG",3,3,,3.81571,60,0,0,12,60,258,54,27,25,7,23,,3,68,10.1577,3.45862,2.93693,1.01131,0.262484,0.0893734,0.17311038076877594,0.233644,1.28683,0.301376,0.735021,,,3.76943,0.331645,0.358766,748.9600219726562,,,,"20423"
"Enyel De Los Santos","SDP",4,3,,3.92291,66,0,1,15,66,277,57,31,29,8,25,,3,67,9.20179,3.34177,2.75357,1.1405,0.243446,0.0884113,0.15503503382205963,0.229005,1.23716,0.280847,0.725752,,,4.11418,0.322079,0.434551,741.5700073242188,,,,"18403"
"Drew Smyly","CHC",4,5,,4.30483,62,2,1,11,69,293,67,35,33,11,22,,3,68,8.87771,2.8653,3.09835,1.42975,0.230988,0.0745519,0.15643581002950668,0.248992,1.29233,0.294648,0.726915,,,4.42375,0.318517,0.326499,661.4600219726562,,,,"11760"
"Tanner Rainey","WSN",3,4,,4.65673,60,0,5,12,60,262,53,33,31,9,31,,2,67,10.0492,4.60881,2.18044,1.32467,0.255403,0.117134,0.13826952874660492,0.231408,1.39608,0.288233,0.710041,,,4.59067,0.315748,0.0929992,724.0700073242188,,,,"17610"
"Andrew Kittredge","STL",4,4,,4.03807,62,0,2,12,62,262,63,30,28,8,16,,3,48,7.01105,2.2608,3.10113,1.20141,0.18441,0.0594654,0.12494450435042381,0.259602,1.27103,0.293886,0.719523,,,4.32005,0.310201,0.368779,658.9400024414062,,,,"12828"
"Ryan Weathers","MIA",4,5,,4.49164,56,5,0,6,76,332,78,41,38,10,30,,3,64,7.65299,3.53359,2.16578,1.19344,0.193563,0.0893734,0.10418988764286041,0.260197,1.4244,0.30149,0.715205,,,4.56122,0.301295,0.345,477.7099914550781,,,,"23796"
"Michael Grove","LAD",3,2,,4.26992,43,3,0,1,56,240,54,29,27,8,19,,2,59,9.39449,2.96769,3.16559,1.36295,0.244567,0.0772578,0.16730887442827225,0.244575,1.28529,0.296533,0.722971,,,4.21948,0.298059,0.248045,598.7999877929688,,,,"23221"
"AJ Smith-Shawver","ATL",3,2,,4.61361,25,6,0,1,50,219,47,27,26,7,24,,2,52,9.30263,4.39761,2.11539,1.32659,0.236304,0.111708,0.12459693104028702,0.242099,1.41945,0.294102,0.717418,,,4.69195,0.296962,0.337318,419.0899963378906,,,,"29960"
"Bailey Falter","PIT",3,4,,4.34852,47,3,0,1,61,258,62,31,29,9,16,,2,47,7.03561,2.3987,2.93309,1.29569,0.183749,0.0626469,0.12110196053981781,0.258764,1.28998,0.290311,0.709736,,,4.46068,0.293455,0.24404,737.7000122070312,,,,"20070"
"Mason Black","SFG",2,2,,4.2095,24,5,0,1,43,184,41,22,20,5,16,,3,41,8.66927,3.35803,2.58165,1.13132,0.223127,0.0864279,0.13669896870851517,0.245281,1.3253,0.295906,0.714396,,,4.26784,0.279317,0.291341,999,,,,"sa3018146"
"Jake Bird","COL",3,3,,4.69119,63,0,1,11,63,277,66,35,33,8,24,,5,54,7.77649,3.42372,2.27136,1.11765,0.196396,0.0864664,0.10992993414402008,0.265413,1.42744,0.312124,0.690951,,,4.50527,0.277223,0.474552,750.4199829101562,,,,"21267"
"Tommy Henry","ARI",2,3,,4.48539,29,5,0,1,50,219,51,27,25,6,20,,2,40,7.17178,3.53753,2.02734,1.14833,0.183307,0.0904175,0.09288930147886276,0.256869,1.39886,0.293602,0.708352,,,4.61464,0.27002,0.300099,717.5,,,,"26285"
"Sixto Sánchez","MIA",3,3,,3.99002,54,0,0,9,54,232,53,26,24,6,18,,2,52,8.65025,2.98098,2.90182,1.03493,0.223559,0.0770412,0.14651820808649063,0.248498,1.3075,0.301932,0.717784,,,3.93925,0.265223,0.258784,632.3699951171875,,,,"19680"
"Kyle Hurt","LAD",3,3,,4.05385,52,2,0,4,58,251,49,28,26,7,28,,3,71,10.9722,4.3076,2.54718,1.15578,0.282577,0.110937,0.17163951694965363,0.222656,1.3201,0.293232,0.730313,,,4.09147,0.264283,0.239711,636.1400146484375,,,,"27514"
"Joey Lucchesi","NYM",2,3,,4.59116,19,5,0,1,40,174,41,22,20,5,15,,1,32,7.32808,3.50331,2.09176,1.23319,0.186058,0.0889482,0.09710980206727982,0.260624,1.41949,0.297569,0.706188,,,4.67772,0.260052,0.182787,735.6099853515625,,,,"19320"
"Ryan Yarbrough","LAD",3,3,,4.59051,38,3,0,1,55,235,57,30,28,9,12,,4,45,7.3579,1.97102,3.73304,1.50448,0.190966,0.0511556,0.13981010019779205,0.262328,1.2655,0.292666,0.696205,,,4.66858,0.25268,0.154309,630.1799926757812,,,,"16502"
"Hoby Milner","MIL",3,2,,3.9231,62,0,0,12,62,264,60,29,27,9,18,,4,59,8.51015,2.56641,3.31597,1.23732,0.222443,0.0670825,0.15536097437143326,0.248038,1.25354,0.294529,0.736117,,,4.19119,0.240953,0.39114,742.030029296875,,,,"13346"
"Connor Phillips","CIN",1,2,,4.70462,19,3,0,1,32,140,29,18,17,5,16,,2,36,10.0587,4.60717,2.18328,1.3743,0.253857,0.116273,0.13758384436368942,0.237122,1.42037,0.295121,0.711854,,,4.71921,0.237003,0.198168,687.6599731445312,,,,"27649"
"Robert Suarez","SDP",4,5,,4.0325,65,0,26,4,65,272,55,32,29,9,27,,4,69,9.51892,3.68442,2.58356,1.19439,0.252467,0.0977207,0.1547463834285736,0.228421,1.26,0.283363,0.717308,,,4.26116,0.236679,0.312106,191.11000061035156,,,,"30115"
"Mark Leiter Jr.","CHC",3,4,,4.08766,62,0,1,12,62,265,56,31,28,8,23,,5,65,9.39407,3.33082,2.82035,1.15794,0.244568,0.0867156,0.15785235911607742,0.236122,1.27172,0.292123,0.714041,,,4.1882,0.23026,0.297753,721.9199829101562,,,,"15551"
"Daniel Hudson","LAD",5,4,,4.00654,61,0,1,12,61,256,53,29,27,10,22,,2,73,10.8195,3.31364,3.26513,1.45757,0.286046,0.0876062,0.1984398439526558,0.230057,1.24128,0.29253,0.753196,,,4.17882,0.227042,0.299062,612.4099731445312,,,,"7146"
"Adam Ottavino","NYM",4,3,,4.11349,63,0,2,12,63,274,57,31,29,7,28,,5,65,9.24049,4.04973,2.28176,0.963692,0.23614,0.10349,0.13264966011047363,0.238403,1.36018,0.299213,0.714711,,,4.18351,0.224989,0.249458,608.3200073242188,,,,"1247"
"Eric Lauer","PIT",2,3,,4.59596,13,5,0,1,34,147,34,19,17,5,13,,1,29,7.79248,3.53309,2.20557,1.36305,0.200426,0.0908726,0.10955362766981125,0.253539,1.38154,0.290464,0.714017,,,4.75002,0.219867,0.320938,727.5900268554688,,,,"19316"
"Ian Anderson","ATL",2,2,,4.34777,17,3,0,1,31,135,30,16,15,4,13,,1,30,8.55523,3.79176,2.25627,1.1616,0.21924,0.0971691,0.12207049131393433,0.248696,1.38959,0.298251,0.717026,,,4.3589,0.214305,0.230388,749.5399780273438,,,,"19951"
"Colin Holderman","PIT",2,2,,4.14432,56,0,1,9,56,241,52,28,26,6,23,,3,53,8.59015,3.62679,2.36853,1,0.222136,0.0937864,0.12834928929805756,0.243669,1.33879,0.297197,0.70964,,,4.15933,0.212856,0.212569,744.6300048828125,,,,"22361"
"Spencer Howard","SFG",3,3,,4.28386,50,2,0,4,56,241,53,28,27,8,21,,3,58,9.363,3.4042,2.75043,1.21594,0.240752,0.0875324,0.15321917086839676,0.243085,1.32511,0.298467,0.717666,,,4.20872,0.212207,0.142943,748.9500122070312,,,,"23252"
