Name,Team,G,PA,AB,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,BB%,K%,BB/K,OBP,SLG,wOBA,OPS,ISO,Spd,BABIP,UBR,wSB,wRC,wRAA,wRC+,BsR,Fld,Off,Def,WAR,ADP,InterSD,InterSK,IntraSD,Vol,Skew,Dim,FPTS,FPTS/G,SPTS,SPTS/G,P10,P20,P30,P40,P50,P60,P70,P80,P90,TT10,TT20,TT30,TT40,TT50,TT60,TT70,TT80,TT90,NameASCII,PlayerId,MLBAMID
"Austin Barnes","NYM",16.63,60.4282,54.7094,11.6577,9.5322,1.4227,0.0361389,0.666644,5.454,4.817,4.80824,0.011472,14.8901,0.26488,0.14932,0.496371,1.2426,0.49932,0.196521,0.213084,0.0795696,0.246409,0.322916,0.279164,0.276965,0.25227,0.556129,0.0638813,2.91618,0.279656,-0.0356795,-0.0769585,4.15782,-2.98224,58.0048,-0.112638,-0.662404,-3.1119694262742996,0.6207714676856995,-0.0456363,999,3.37883,-0.423982,1.90322,3.37883,0.423982,2.46237,39.5,2.323529411,39.5,2.323529411,,,,,,,,,,,,,,,,,,,"Austin Barnes","12158",605131
"Aaron Schunk","ATL",9.22323,25.8186,23.9888,5.30629,3.71697,1.08528,0.10309,0.400955,2.3899,2.31486,1.25283,0.0489876,6.52939,0.148058,0.130434,0.298466,0.413644,0.219927,0.0967305,0.221199,0.0485242,0.252895,0.191875,0.262819,0.325177,0.257475,0.587997,0.103979,4.11947,0.285378,0.00504783,-0.0290904,1.88558,-1.16508,61.4929,-0.0240425,-0.293348,-1.202373445034027,-0.19848289340734482,-0.0554396,999,1.50129,2.2131,2.04785,1.50129,-2.2131,2.26953,9.9,1.1,9.9,1.1,,,,,,,,,,,,,,,,,,,"Aaron Schunk","25524",668845
"Rafael Flores Jr.","PIT",27.9351,95.3952,86.8382,20.3406,13.822,4.01481,0.0643999,2.43939,9.76005,10.0601,7.21388,0.106319,27.656,0.684766,0.597798,0.0605268,1.27671,0.934229,0.116097,0.234235,0.075621,0.28991,0.260843,0.296211,0.366225,0.290924,0.662437,0.13199,3.50656,0.31219,-0.111272,-0.00338838,9.55761,-1.71406,82.9942,-0.11466,-2.05463,-2.0373886302113533,-1.7467023432254791,-0.0624382,742.5999755859375,2.3608,-0.535682,1.7715,2.3608,0.535682,2.63801,81.3,2.903571428,81.3,2.903571428,,,,,,,,,,,,,,,,,,,"Rafael Flores Jr.","31991",804668
"Ildemaro Vargas","ARI",18.5282,71.6529,66.3153,15.8483,11.8041,3.02408,0.151508,0.868589,6.72688,6.79584,3.93038,0.0459699,9.15351,0.631929,0.297349,0.477875,1.71621,0.696023,0.213044,0.238983,0.0548531,0.127748,0.429385,0.286766,0.328448,0.272098,0.615214,0.0894644,3.69054,0.264702,-0.00142439,-0.0557827,6.08364,-2.3827,70.9968,-0.0572071,0.189545,-2.5202634520828724,-0.49668583273887634,-0.064768,999,3.25163,0.000729173,1.89994,3.25163,-0.000729173,2.46675,58.6,3.084210526,58.6,3.084210526,,,,,,,,,,,,,,,,,,,"Ildemaro Vargas","13324",545121
"Abimelec Ortiz","WSN",50.9601,202.942,183.528,40.8835,25.2048,8.19194,0.757422,6.72939,21.9837,23.5428,15.6254,0.277285,52.1168,1.86871,1.66364,0.256231,2.84692,1.04305,0.461531,0.222765,0.0769944,0.256807,0.299814,0.288021,0.385655,0.293317,0.673676,0.162891,3.63288,0.270324,-0.0350788,-0.260449,20.7269,-3.25219,86.537,-0.295528,0.0687809,-3.533760577440262,-4.010778412222862,-0.0810946,999,1.83684,0.477057,1.19908,1.83684,-0.477057,3.40122,196.2,3.847058823,196.2,3.847058823,,,,,,,,,,,,,,,,,,,"Abimelec Ortiz","sa3016926",694673
"Christian Encarnacion-Strand","CIN",39.7188,156.808,145.257,34.4712,20.6991,7.32678,0.266008,6.17925,17.4288,20.6233,8.12817,0.119055,40.7207,2.06178,1.2852,0.0765275,2.21516,0.839523,0.375744,0.237312,0.051835,0.259684,0.199608,0.284952,0.419035,0.303142,0.703987,0.181723,3.20503,0.283935,0.0266605,-0.189103,17.2661,-1.26203,88.3673,-0.162442,-0.10534,-2.324385553598404,-3.783007614314556,-0.0910926,564.4600219726562,2.63064,1.06732,1.44702,2.63064,-1.06732,3.07064,154,3.85,154,3.85,,,,,,,,,,,,,,,,,,,"Christian Encarnacion-Strand","30011",687952
"Charlie Condon","COL",48.5736,193.914,174.385,41.9256,27.253,7.79827,0.886206,5.9882,21.5457,22.9549,14.8232,0.0117153,55.2909,3.40372,1.08611,0.216515,2.9162,1.07628,0.483604,0.240421,0.0764422,0.285131,0.268095,0.310549,0.39832,0.310379,0.708869,0.1579,3.65447,0.314712,0.0295144,-0.282954,22.4911,-0.421401,84.5515,-0.253439,0.42871,-3.803945928812027,-3.569115847349167,-0.09428,999,2.64994,-0.342467,1.33518,2.64994,0.342467,3.21976,202.4,4.130612244,202.4,4.130612244,,,,,,,,,,,,,,,,,,,"Charlie Condon","sa3025257",809707
"Billy Cook","PIT",11.4528,39.0983,36.1638,7.82807,5.508,1.70045,0.0617869,0.557825,3.88945,3.68724,2.5687,0.0721211,10.96,0.22077,0.0952315,0.0497915,0.302947,1.14677,0.166528,0.216462,0.0656985,0.28032,0.23437,0.271907,0.313175,0.259371,0.585081,0.0967129,5.22439,0.293852,-0.0856497,0.106857,2.91562,-1.70414,61.3793,0.0212076,-0.160241,-1.7684560976922512,-0.45480871200561523,-0.0943788,999,3.0982,-0.291108,1.99652,3.0982,0.291108,2.33797,34.9,3.172727272,34.9,3.172727272,,,,,,,,,,,,,,,,,,,"Billy Cook","29573",695257
"Tirso Ornelas","SDP",36.0839,125.689,113.627,26.3351,17.9924,5.45526,0.0878992,2.79952,13.3453,12.8067,10.2128,0.161557,25.9577,0.884559,0.875082,0.0896531,3.07838,1.19101,0.492649,0.231768,0.0812543,0.206523,0.393439,0.29803,0.355239,0.288098,0.653269,0.123471,3.3386,0.274484,0.00335641,-0.15452,12.3043,-2.54682,82.6165,-0.151164,0.627434,-2.7335375994443893,-2.528047204017639,-0.103103,748.489990234375,2.62881,-0.435099,1.63664,2.62881,0.435099,2.81781,109.2,3.033333333,109.2,3.033333333,,,,,,,,,,,,,,,,,,,"Tirso Ornelas","22566",672359
"Kristian Robinson","ARI",5.44769,20.3941,18.2065,3.79689,2.70444,0.773826,0.0328123,0.28581,2.28448,1.96868,2.03642,0.0300664,6.82835,0.0792082,0.0518537,0.0201238,0.275791,0.674133,0.106537,0.208546,0.0998536,0.334821,0.29823,0.2902,0.301748,0.267111,0.591949,0.0932021,5.38569,0.31506,-0.0452238,0.0595757,1.64897,-0.760746,67.5804,0.0143518,-0.940695,-0.7692672619596124,-0.9687178861349821,-0.108397,999,2.56189,-0.171979,2.06273,2.56189,0.171979,2.2497,15.2,3.04,15.2,3.04,,,,,,,,,,,,,,,,,,,"Kristian Robinson","sa3006884",677565
