Name,Team,G,PA,AB,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,BB%,K%,BB/K,OBP,SLG,wOBA,OPS,ISO,Spd,BABIP,UBR,wSB,wRC,wRAA,wRC+,BsR,Fld,Off,Def,WAR,ADP,InterSD,InterSK,IntraSD,Vol,Skew,Dim,FPTS,FPTS/G,SPTS,SPTS/G,P10,P20,P30,P40,P50,P60,P70,P80,P90,TT10,TT20,TT30,TT40,TT50,TT60,TT70,TT80,TT90,NameASCII,PlayerId,MLBAMID
"Ketel Marte","ARI",147,637,558,153,91,32,4,26,92,87,67,5,115,6,5,1,,7,2,0.274785,0.104765,0.180932,0.57903,0.354979,0.48738,0.360271,0.842358,0.212595,4.79367,0.301015,-0.160544,-0.460186,100.197,25.682,130.519,-0.62073,-1.11817,22.626431822776794,-0.4431650638580322,4.48299,31.510000228881836,,,,,,,885.5,6.023809523,885.5,6.023809523,,,,,,,,,,,,,,,,,,,"Ketel Marte","13613",606466
"Matt Chapman","SFG",157,679,595,143,81,34,2,26,86,83,71,2,176,8,5,0,,10,3,0.241131,0.105114,0.258999,0.405846,0.328332,0.437326,0.332064,0.765659,0.196195,4.39336,0.295283,1.015,-0.365887,91.3883,11.9602,115.135,0.649111,4.52594,12.938395261764526,6.950944662094116,4.3906,128.24000549316406,,,,,,,807.8,5.145222929,807.8,5.145222929,,,,,,,,,,,,,,,,,,,"Matt Chapman","16505",656305
"Freddie Freeman","LAD",154,665,576,169,107,36,2,24,97,92,74,9,109,9,5,0,,11,2,0.292741,0.11085,0.163473,0.678096,0.379027,0.487588,0.370831,0.866615,0.194847,4.539,0.322663,0.123832,-0.25836,110.253,32.4626,140.959,-0.134528,-0.0724793,32.436799108982086,-12.09747888892889,4.3889,25.829999923706055,,,,,,,976.1,6.338311688,976.1,6.338311688,,,,,,,,,,,,,,,,,,,"Freddie Freeman","5361",518692
"Dansby Swanson","CHC",157,679,610,149,98,29,2,21,82,78,60,1,166,4,4,1,,15,4,0.245019,0.0889761,0.244145,0.36444,0.315363,0.401173,0.312978,0.716536,0.156154,4.8362,0.301241,1.15116,0.246046,80.958,1.52989,102.868,1.3972,8.34914,3.7259600162506104,15.62414026260376,4.33491,173.66000366210938,,,,,,,726.6,4.628025477,726.6,4.628025477,,,,,,,,,,,,,,,,,,,"Dansby Swanson","18314",621020
"Gabriel Moreno","ARI",128,507,450,128,91,25,1,11,57,59,49,1,83,4,4,1,,6,2,0.283987,0.0963871,0.163611,0.589124,0.357077,0.416094,0.338843,0.773172,0.132107,3.8329,0.325573,-0.800648,-0.618775,71.0607,11.7061,116.097,-1.41942,7.15406,8.347219228744507,16.129058837890625,4.26979,188.38999938964844,,,,,,,613.2,4.790625,613.2,4.790625,,,,,,,,,,,,,,,,,,,"Gabriel Moreno","22664",672515
"Corbin Carroll","ARI",156,672,583,152,91,26,11,24,108,84,70,1,130,11,5,3,,38,7,0.260122,0.104172,0.193379,0.538693,0.348068,0.463657,0.350918,0.811725,0.203536,8.30245,0.294882,1.94411,3.19954,100.644,22.0345,124.224,5.14364,0.392234,24.609525203704834,-6.307765692472458,4.20255,8.390000343322754,,,,,,,927.5,5.94551282,927.5,5.94551282,,,,,,,,,,,,,,,,,,,"Corbin Carroll","25878",682998
"Willy Adames","SFG",156,672,597,145,84,35,1,25,83,84,67,2,158,3,4,1,,14,4,0.24319,0.099412,0.235706,0.421763,0.320371,0.429041,0.324648,0.749411,0.185851,4.40269,0.288349,0.541324,-0.000413106,86.4349,7.82562,110.144,0.540911,1.59027,8.692261099815369,8.790272235870361,4.11795,96.12000274658203,,,,,,,782.6,5.016666666,782.6,5.016666666,,,,,,,,,,,,,,,,,,,"Willy Adames","15986",642715
"Manny Machado","SDP",151,651,592,158,98,30,1,29,83,99,52,6,127,2,5,0,,8,2,0.266686,0.0795039,0.194473,0.408817,0.325119,0.467753,0.338328,0.792872,0.201067,3.56583,0.291722,-0.543753,-0.439666,90.9017,14.749,121.061,-0.983419,1.27989,15.412128925323486,2.404889702796936,4.08023,37.65999984741211,,,,,,,829.7,5.494701986,829.7,5.494701986,,,,,,,,,,,,,,,,,,,"Manny Machado","11493",592518
"Xander Bogaerts","SDP",149,644,580,154,109,28,1,17,74,71,52,1,114,6,6,1,,13,3,0.266252,0.0804157,0.177108,0.45405,0.330015,0.40495,0.321377,0.734964,0.138698,4.41508,0.302818,0.431634,0.223921,81.1379,5.80405,109.652,0.655555,0.955484,8.088475406169891,7.105484426021576,3.78524,155.44000244140625,,,,,,,719.4,4.828187919,719.4,4.828187919,,,,,,,,,,,,,,,,,,,"Xander Bogaerts","12161",593428
"Matt McLain","CIN",138,595,523,135,79,29,4,23,81,79,59,1,156,9,3,1,,18,6,0.257194,0.0988403,0.262454,0.3766,0.340831,0.45648,0.345351,0.797311,0.199286,5.91544,0.322202,-0.0411869,0.044164,86.4455,16.8435,115.637,0.00297715,2.65222,11.128698128275573,4.077223896980286,3.61786,89.44000244140625,,,,,,,777.5,5.634057971,777.5,5.634057971,,,,,,,,,,,,,,,,,,,"Matt McLain","29695",680574
