Name,Team,G,PA,AB,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,BB%,K%,BB/K,OBP,SLG,wOBA,OPS,ISO,Spd,BABIP,UBR,wSB,wRC,wRAA,wRC+,BsR,Fld,Off,Def,WAR,ADP,InterSD,InterSK,IntraSD,Vol,Skew,Dim,FPTS,FPTS/G,SPTS,SPTS/G,P10,P20,P30,P40,P50,P60,P70,P80,P90,TT10,TT20,TT30,TT40,TT50,TT60,TT70,TT80,TT90,NameASCII,PlayerId,MLBAMID
"Andruw Monasterio","MIL",23,72,64,16,11,3,0,1,10,7,7,0,18,1,0,0,,2,1,0.247722,0.0996284,0.24684,0.403614,0.328413,0.365947,0.309029,0.69436,0.118225,5.83594,0.324151,0,0.0648174,8.20084,-0.265172,98.4237,0.0648174,0.457191,-0.06865837424993515,0.6693253219127655,0.304236,750.3099975585938,,,,,,,68.7,2.986956521,68.7,2.986956521,,,,,,,,,,,,,,,,,,,"Andruw Monasterio","19455",655316
"Moisés Ballesteros","CHC",23,91,84,20,14,3,0,2,9,11,7,0,19,1,1,0,,0,0,0.243724,0.0745341,0.204006,0.365353,0.302826,0.374198,0.297085,0.677025,0.130475,2.74145,0.285408,0,-0.142553,9.51714,-1.22014,90.99,-0.142553,-0.623414,-1.1101608574390411,1.0566760301589966,0.302108,999,,,,,,,79.5,3.456521739,79.5,3.456521739,,,,,,,,,,,,,,,,,,,"Moises Ballesteros","28820",694208
"Edmundo Sosa","PHI",25,72,66,17,11,3,1,2,9,9,3,0,17,2,0,1,,1,0,0.254809,0.0423023,0.22976,0.184116,0.306427,0.411858,0.312808,0.718285,0.157049,5.55757,0.30914,0,-0.0680157,8.39703,-0.044572,97.9621,-0.0680157,0.540267,-0.24008118361234665,0.811919778585434,0.300575,531.2100219726562,,,,,,,79.3,3.172,79.3,3.172,,,,,,,,,,,,,,,,,,,"Edmundo Sosa","17022",624641
"Max Kepler","PHI",31,117,104,24,14,5,0,4,14,14,11,0,23,1,1,0,,1,0,0.228895,0.0952203,0.198704,0.479207,0.308604,0.405188,0.31132,0.713792,0.176294,3.94327,0.253474,0,-0.0261685,13.5554,-0.213858,96.9371,-0.0261685,0.747126,-0.4479838591068983,-0.482099711894989,0.298923,347.260009765625,,,,,,,120.4,3.883870967,120.4,3.883870967,,,,,,,,,,,,,,,,,,,"Max Kepler","12144",596146
"Spencer Steer","CIN",37,154,137,33,20,7,1,5,18,20,14,0,33,2,1,0,,3,1,0.244881,0.0932705,0.213203,0.437472,0.324092,0.418568,0.324548,0.742659,0.173687,5.0381,0.285765,0,0.198524,19.4414,1.36697,103.16,0.198524,-0.0889889,0.7697265297174454,-2.9198285341262817,0.296935,177.8000030517578,,,,,,,171.7,4.64054054,171.7,4.64054054,,,,,,,,,,,,,,,,,,,"Spencer Steer","26323",668715
"Nacho Alvarez Jr.","ATL",23,97,86,21,16,3,0,1,11,9,9,0,21,2,1,0,,2,0,0.245705,0.0892327,0.216336,0.412473,0.328106,0.335242,0.298598,0.663349,0.0895367,4.63593,0.308889,0,0.0823695,10.2388,-1.17835,89.8345,0.0823695,0.439484,-1.0784473046660423,0.7719469666481018,0.295595,742.6799926757812,,,,,,,86.5,3.760869565,86.5,3.760869565,,,,,,,,,,,,,,,,,,,"Nacho Alvarez Jr.","31765",805373
"Derek Hill","MIA",21,75,68,17,12,3,1,2,10,8,5,0,22,1,0,1,,2,0,0.25082,0.0632336,0.289239,0.218621,0.303663,0.400394,0.306889,0.704057,0.149574,6.79219,0.336081,0,0.159623,8.37116,-0.40429,94.0573,0.159623,0.616306,-0.3619747459888458,0.775995284318924,0.293928,581.030029296875,,,,,,,82.2,3.914285714,82.2,3.914285714,,,,,,,,,,,,,,,,,,,"Derek Hill","16947",656537
"Nathaniel Lowe","WSN",39,158,140,35,25,5,1,5,17,19,16,0,36,1,1,0,,1,0,0.252443,0.102786,0.228559,0.449711,0.331628,0.399851,0.321959,0.731479,0.147409,2.9207,0.306375,0,-0.217748,19.6539,1.07372,105.971,-0.217748,-0.344971,0.8919578641653061,-3.2296654284000397,0.292153,262.8599853515625,,,,,,,176.1,4.515384615,176.1,4.515384615,,,,,,,,,,,,,,,,,,,"Nathaniel Lowe","19566",663993
"Isiah Kiner-Falefa","PIT",33,120,112,30,23,5,1,1,12,10,6,0,18,2,1,1,,4,1,0.264622,0.0460678,0.153801,0.299528,0.307134,0.341435,0.286697,0.648569,0.0768131,5.45726,0.30831,0,0.195077,11.4746,-2.60854,80.083,0.195077,0.15588,-2.610385298728943,1.5153812319040298,0.290975,373.9700012207031,,,,,,,114.4,3.466666666,114.4,3.466666666,,,,,,,,,,,,,,,,,,,"Isiah Kiner-Falefa","16512",643396
"Ronny Mauricio","NYM",27,114,107,25,16,4,0,4,13,13,6,0,29,1,1,0,,3,1,0.232898,0.0511887,0.250733,0.204156,0.276132,0.386541,0.286848,0.662673,0.153643,5.14755,0.282328,0,-0.0533245,10.964,-2.4753,85.583,-0.0533245,1.02889,-1.9912275820970535,1.0486813448369503,0.28819,644,,,,,,,106.1,3.929629629,106.1,3.929629629,,,,,,,,,,,,,,,,,,,"Ronny Mauricio","23698",677595
