Name,Team,W,L,QS,ERA,G,GS,SV,HLD,BS,IP,TBF,H,R,ER,HR,BB,IBB,HBP,SO,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,AVG,WHIP,BABIP,LOB%,GB%,HR/FB,FIP,WAR,RA9-WAR,ADP,InterSD,InterSK,IntraSD,Vol,Skew,Dim,FPTS,FPTS/IP,SPTS,SPTS/IP,P10,P20,P30,P40,P50,P60,P70,P80,P90,TT10,TT20,TT30,TT40,TT50,TT60,TT70,TT80,TT90,NameASCII,PlayerId,MLBAMID
"Brayan Palencia","SFG",0,0,0,5.82182,1,1,0,0,,2.41028,10,3,2,2,0,1,0,0,1,4.02961,3.28636,1.22616,1.36272,0.106058,0.0864959,0.019562087953090668,0.289777,1.46966,0.296689,0.606782,,,5.43814,-0.00728524,-0.0498154,999,,,,,,,9.036093091964723,3.74897622118058,11.051414251327515,4.5851109342250655,,,,,,,,,,,,,,,,,,,"Brayan Palencia","sa3016011",696037
"Elison Joseph","ATL",0,0,0,4.51562,1,0,0,0,,1.16884,5,1,1,1,0,1,0,0,1,9.74927,6.0267,1.61768,1.19678,0.235139,0.145356,0.08978334069252014,0.227444,1.55196,0.281385,0.735071,,,4.87996,-0.00730845,-0.0371927,999,,,,,,,5.049408435821533,4.320020577399211,4.8441948890686035,4.144450160388669,,,,,,,,,,,,,,,,,,,"Elison Joseph","sa3015306",693176
"Orlando Gonzalez","PHI",0,0,0,5.79823,1,1,0,0,,2.21108,10,2,2,1,0,1,0,0,1,4.95021,4.43855,1.11528,1.43627,0.125788,0.112786,0.013001546263694763,0.274068,1.54263,0.285255,0.635965,,,5.74005,-0.00731001,-0.0540075,999,,,,,,,10.161976671218873,4.595937818399163,10.055389642715454,4.547731906193413,,,,,,,,,,,,,,,,,,,"Orlando Gonzalez","sa3024196",701432
"Jadon Williamson","MIA",0,0,0,4.88358,1,0,0,0,,0.55,4,1,0,0,0,0,0,0,1,11.888,6.52858,1.82091,1.95032,0.188698,0.103628,0.08506980538368225,0.260322,2.33841,0.299725,0.857852,,,5.72181,-0.00731089,0.0301438,999,,,,,,,3.4700000882148747,6.309090932735727,4.750000059604645,8.636363557547579,,,,,,,,,,,,,,,,,,,"Jadon Williamson","sa3069193",836056
"Ethan Chenault","PHI",0,0,0,5.06922,1,0,0,0,,1.18795,5,1,1,1,0,1,0,0,1,7.18509,4.73582,1.51718,1.22905,0.179784,0.118499,0.06128518283367157,0.258796,1.5258,0.294795,0.682303,,,5.04804,-0.00733521,-0.0351465,999,,,,,,,5.190836286544801,4.369571593458633,4.939754247665405,4.1582143315162865,,,,,,,,,,,,,,,,,,,"Ethan Chenault","sa3023445",694839
"Ben Brutti","CIN",0,0,0,5.95939,1,1,0,0,,2.6156,12,3,2,2,0,2,0,0,2,5.73196,5.44878,1.05197,1.41537,0.138297,0.131465,0.006832301616668701,0.275831,1.69329,0.295446,0.658516,,,5.88941,-0.00734567,-0.0246927,999,,,,,,,9.555440807342528,3.6532498886571787,11.078000545501709,4.235357120134118,,,,,,,,,,,,,,,,,,,"Ben Brutti","sa3021478",804992
"Garrett Acton","COL",0,0,0,5.19196,8,0,0,1,,8,35,8,5,5,1,3,,0,7,8.42032,3.91325,2.15174,1.55717,0.212067,0.0985559,0.11351127177476883,0.259211,1.45306,0.299763,0.679679,,,4.96359,-0.00737309,-0.0118825,999,,,,,,,35.10000000000001,4.387500000000001,36,4.5,,,,,,,,,,,,,,,,,,,"Garrett Acton","27583",670183
"Alessandro Ercolani","PIT",0,0,0,5.71053,1,1,0,0,,3.78391,16,4,3,2,1,2,0,0,2,4.66733,3.73064,1.25108,1.46244,0.121584,0.097183,0.024400755763053894,0.275974,1.46431,0.28413,0.623611,,,5.59446,-0.0073998,-0.0507193,999,,,,,,,3.3009430885314988,0.8723627192806155,3.919556140899658,1.0358478052311422,,,,,,,,,,,,,,,,,,,"Alessandro Ercolani","sa3016714",700344
"Evan Shaw","LAD",0,0,0,5.21661,1,0,0,0,,1.34285,5,1,1,1,0,1,0,0,1,5.86286,4.11764,1.42384,1.16036,0.160174,0.112494,0.047679342329502106,0.264555,1.40006,0.292415,0.628906,,,5.02108,-0.00744602,-0.0292774,999,,,,,,,6.337073898315431,4.719130332268526,5.714239120483398,4.255313981185702,,,,,,,,,,,,,,,,,,,"Evan Shaw","sa3025563",822627
"Gerson Moreno","STL",0,0,0,4.7467,1,0,0,0,,1.13753,5,1,1,1,0,1,0,0,1,7.77632,4.68804,1.65876,1.25189,0.201866,0.121697,0.08016882091760635,0.241312,1.41589,0.279368,0.687747,,,4.92945,-0.00744957,-0.041332,999,,,,,,,4.817706775665284,4.235242577347376,4.6876397132873535,4.120900715929826,,,,,,,,,,,,,,,,,,,"Gerson Moreno","sa736656",642575
"Jake Shirk","PIT",0,0,0,5.24881,1,0,0,0,,1.37561,6,1,1,1,0,1,0,0,1,4.94329,3.48564,1.41819,1.03972,0.131263,0.0925566,0.038705989718437195,0.283119,1.4495,0.306666,0.630951,,,4.83629,-0.0074952,-0.0252875,999,,,,,,,6.579512190818788,4.782978722297968,5.878048777580261,4.273049645082769,,,,,,,,,,,,,,,,,,,"Jake Shirk","sa3042195",827620
"Peyton Havard","PHI",0,0,0,5.04545,1,0,0,0,,1,5,1,1,1,0,1,0,0,1,8.59213,4.59556,1.86966,1.60256,0.190936,0.102124,0.08881263434886932,0.257942,1.65424,0.292514,0.741617,,,5.23964,-0.00750318,-0.0446328,999,,,,,,,3.8000000000000003,3.8000000000000003,4,4,,,,,,,,,,,,,,,,,,,"Peyton Havard","sa3069191",823028
"Lenny Torres Jr.","PHI",0,0,0,5.05759,1,0,0,0,,1.08807,5,1,1,1,0,1,0,0,1,8.03493,5.32946,1.50764,1.39484,0.196393,0.130265,0.06612816452980042,0.244901,1.54698,0.280542,0.701654,,,5.30552,-0.00751888,-0.0372562,999,,,,,,,4.451734137535096,4.09139597197935,4.440360903739929,4.0809433255498195,,,,,,,,,,,,,,,,,,,"Lenny Torres Jr.","sa3008329",678013
"Connor Spencer","CHC",0,0,0,4.87656,1,0,0,0,,0.84,4,1,0,0,0,0,0,0,1,8.10355,4.59466,1.76369,1.48194,0.180079,0.102104,0.07797524333000183,0.255811,1.64472,0.28781,0.744533,,,5.17368,-0.00758346,0.0465508,999,,,,,,,5.615999805927277,6.685714263413228,6.1999998688697815,7.380952455289242,,,,,,,,,,,,,,,,,,,"Connor Spencer","sa3042826",824606
"Nathan Blasick","COL",0,0,0,5.80279,1,0,0,0,,1.20362,5,1,1,1,0,1,0,0,1,6.47858,4.92698,1.31492,1.20975,0.163173,0.124093,0.03907947242259979,0.284609,1.63229,0.321368,0.642668,,,5.24231,-0.00758906,-0.0241942,999,,,,,,,5.306765627861024,4.409015268497905,5.01808488368988,4.169170907916085,,,,,,,,,,,,,,,,,,,"Nathan Blasick","sa3025491",802136
