Name,Team,W,L,QS,ERA,G,GS,SV,HLD,BS,IP,TBF,H,R,ER,HR,BB,IBB,HBP,SO,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,AVG,WHIP,BABIP,LOB%,GB%,HR/FB,FIP,WAR,RA9-WAR,ADP,InterSD,InterSK,IntraSD,Vol,Skew,Dim,FPTS,FPTS/IP,SPTS,SPTS/IP,P10,P20,P30,P40,P50,P60,P70,P80,P90,TT10,TT20,TT30,TT40,TT50,TT60,TT70,TT80,TT90,NameASCII,PlayerId,MLBAMID
"Casey Mize","DET",8.59217,9.3797,10.293,4.25024,26.359,26.359,0,0,,144.627,608.712,139.18,73.61,68.3,20.028,38.6653,0.473587,6.74628,119.5,7.43635,2.4061,3.09062,1.24632,0.196316,0.0635198,0.1327957659959793,0.247079,1.22968,0.281169,0.695801,,,4.22483,2.04181,1.63097,274.2300109863281,,,,,,,565.6,3.900689655172414,565,3.896551724137931,,,,,,,,,,,,,,,,,,,"Casey Mize","20492",663554
"Chad Patrick","MIL",8.18878,9.32269,9.91549,4.38995,25.824,25.824,0,0,,140.209,592.466,131.435,73.25,68.39,22.4637,42.1867,0.468585,5.47465,132.361,8.49621,2.70796,3.13749,1.44194,0.223406,0.0712053,0.1522008329629898,0.241252,1.23831,0.279429,0.705986,,,4.34969,2.04166,1.41779,301.4200134277344,,,,,,,547.8,3.9128571428571424,537,3.835714285714286,,,,,,,,,,,,,,,,,,,"Chad Patrick","30113",694477
"Shota Imanaga","CHC",9.64188,8.5775,12.1911,4.1902,25.515,25.515,0,0,,153.272,631.783,138.883,76.66,71.36,28.2473,35.4403,0.388292,4.18821,142.936,8.39305,2.08103,4.03313,1.65866,0.226241,0.0560957,0.1701456606388092,0.234539,1.13735,0.262811,0.724629,,,4.4415,2.02904,1.83126,164.2899932861328,,,,,,,595.4000000000001,3.8915032679738566,570,3.7254901960784315,,,,,,,,,,,,,,,,,,,"Shota Imanaga","33829",684007
"Braxton Garrett","MIA",5.98663,8.52677,4.47516,4.13139,26.629,20.284,0,0.6387,,115.501,485.074,114.901,57.03,53.02,14.4866,27.5582,1.02411,5.19213,104.614,8.15169,2.14737,3.79612,1.12882,0.215667,0.0568124,0.15885410457849503,0.254024,1.2334,0.301343,0.69922,,,3.80482,2.02799,1.45403,481.3399963378906,,,,,,,502.20000000000005,4.3293103448275865,513,4.422413793103448,,,,,,,,,,,,,,,,,,,"Braxton Garrett","21844",666129
"Jacob Misiorowski","MIL",8.77814,9.71605,6.44603,4.0849,30.302,25.372,0,0.621,,138.87,595.366,113.116,67.02,63.03,17.9543,66.9542,0.891759,9.04879,158.256,10.2564,4.33923,2.36364,1.16359,0.265813,0.112459,0.1533537432551384,0.217798,1.29668,0.277316,0.729666,,,4.17858,2.01041,1.91447,119.5999984741211,,,,,,,605.4000000000001,4.355395683453238,553,3.9784172661870505,,,,,,,,,,,,,,,,,,,"Jacob Misiorowski","31623",694819
"Noah Cameron","KCR",8.55518,9.09206,11.3469,4.45026,25.188,25.188,0,0,,146.378,625.358,143.484,77.54,72.38,20.9019,47.5645,0.488082,4.92646,127.361,7.83072,2.92449,2.67764,1.28514,0.20366,0.0760596,0.12760061770677567,0.250466,1.30517,0.288697,0.701597,,,4.32709,1.99176,1.29168,276.0400085449219,,,,,,,545.3000000000002,3.7349315068493163,552,3.780821917808219,,,,,,,,,,,,,,,,,,,"Noah Cameron","30184",702070
"Carlos Rodón","NYY",9.02533,7.65352,10.9411,4.18987,23.51,23.51,0,0,,139.515,586.2,117.968,69.14,64.95,21.0454,52.2565,0.374619,5.98413,145.872,9.41009,3.37102,2.79146,1.35762,0.248844,0.0891446,0.15969917178153992,0.223442,1.22012,0.268454,0.71813,,,4.25737,1.98424,1.82529,200.57000732421875,,,,,,,588.9000000000001,4.206428571428572,545,3.892857142857143,,,,,,,,,,,,,,,,,,,"Carlos Rodon","16137",607074
"Robbie Ray","SFG",9.53805,10.6807,13.577,4.58004,28.574,28.574,0,0,,169.682,728.441,153.372,92.99,86.35,28.5518,70.1976,0.487354,6.07135,182.642,9.6874,3.72331,2.60183,1.5144,0.25073,0.0963669,0.15436306595802307,0.235171,1.31758,0.283053,0.711229,,,4.51829,1.96034,1.28879,169.05999755859375,,,,,,,641.5,3.773529411764706,611,3.5941176470588236,,,,,,,,,,,,,,,,,,,"Robbie Ray","11486",592662
"Cade Horton","CHC",8.15392,7.61537,9.07568,4.08975,23.078,23.078,0,0,,127.504,532.817,115.204,62.11,57.94,16.8481,38.7462,0.360146,5.15621,109.197,7.7078,2.73494,2.81827,1.18924,0.204943,0.0727195,0.13222365826368332,0.235633,1.20742,0.271051,0.704498,,,4.17305,1.95236,1.78115,184.60000610351562,,,,,,,525.1,4.10234375,505,3.9453125,,,,,,,,,,,,,,,,,,,"Cade Horton","31872",690990
"Shane Smith","CHW",8.43718,10.8856,11.6866,4.51017,28.004,28.004,0,0,,157.065,672.131,149.035,84.12,78.71,22.5371,54.7676,0.495272,8.56501,146.764,8.40977,3.13824,2.67977,1.2914,0.218357,0.0814834,0.13687341660261154,0.244802,1.29757,0.287825,0.694817,,,4.34133,1.94726,1.37644,247.4600067138672,,,,,,,593.5,3.7802547770700636,588,3.745222929936306,,,,,,,,,,,,,,,,,,,"Shane Smith","31687",681343
"Cam Schlittler","NYY",8.42096,7.70101,9.60441,4.25012,23.47,23.47,0,0,,131.354,559.867,119.953,66.14,62.03,17.1585,49.4676,0.361781,6.34248,129.601,8.87988,3.38938,2.61991,1.17565,0.231485,0.0883561,0.14312902837991714,0.237975,1.2898,0.2877,0.710327,,,4.13465,1.93967,1.5606,125.62999725341797,,,,,,,543.3000000000001,4.14732824427481,529,4.038167938931298,,,,,,,,,,,,,,,,,,,"Cam Schlittler","32095",693645
"Clay Holmes","NYM",10.395,9.55426,9.14275,4.04724,27.78,26.695,0,0,,143.987,616.229,137.702,69.37,64.75,14.0248,53.4452,0.487134,8.43612,109.888,6.86859,3.34063,2.05608,0.876629,0.178323,0.0867294,0.0915931761264801,0.248403,1.32753,0.287329,0.710019,,,4.16433,1.93071,2.07102,368.6099853515625,,,,,,,571.6000000000001,3.9694444444444454,575,3.9930555555555554,,,,,,,,,,,,,,,,,,,"Clay Holmes","13649",605280
"Joe Musgrove","SDP",7.75706,7.48857,9.5908,4.1898,21.766,21.766,0,0,,126.006,529.051,117.484,62.7,58.66,18.3628,33.6825,0.492232,7.6828,117.693,8.40625,2.40578,3.49419,1.31157,0.222461,0.063666,0.1587948203086853,0.240902,1.19968,0.281892,0.705146,,,4.14641,1.91922,1.55023,233.63999938964844,,,,,,,516.8000000000002,4.101587301587303,506,4.015873015873016,,,,,,,,,,,,,,,,,,,"Joe Musgrove","12970",605397
"Taj Bradley","MIN",7.44858,9.52451,5.83179,4.30327,28.938,23.237,0,0.6268,,130.84,556.762,121.967,66.84,62.56,18.085,46.2355,0.890011,4.55169,120.665,8.30007,3.18037,2.60978,1.244,0.216725,0.0830435,0.13368184119462967,0.241052,1.28556,0.282882,0.709406,,,4.25206,1.89129,1.39374,521.8699951171875,,,,,,,523.8000000000002,3.9984732824427494,514,3.9236641221374047,,,,,,,,,,,,,,,,,,,"Taj Bradley","22543",671737
"Ryan Pepiot","TBR",9.13237,11.3067,12.4688,4.50011,29.574,29.574,0,0,,166.656,709.317,150.414,89.28,83.33,27.7827,61.443,0.461215,8.27309,164.018,8.85754,3.31813,2.66943,1.50036,0.231234,0.0866228,0.14461110532283783,0.235168,1.27122,0.273853,0.708696,,,4.58895,1.88519,1.49893,125.77999877929688,,,,,,,622.4,3.726946107784431,592,3.5449101796407185,,,,,,,,,,,,,,,,,,,"Ryan Pepiot","26221",686752
"Reid Detmers","LAA",6.78468,10.0309,5.68938,4.4788,30.43,23.18,0,0.6079,,135.418,580.475,126.131,72.15,67.39,20.7014,49.485,1.37379,6.71608,149.662,9.9467,3.28882,3.0244,1.37583,0.257828,0.0852492,0.17257839441299438,0.240582,1.29684,0.297899,0.705606,,,4.15713,1.8837,1.12778,330.8500061035156,,,,,,,549.1,4.067407407407408,538,3.9851851851851854,,,,,,,,,,,,,,,,,,,"Reid Detmers","27468",672282
